commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_5,e_6,e_7,e_8,e_9
k_10,38,20,51,34,21,73,98,4,64,33,51,59,20,74,76,22,58,73,99,39,4,85,55,21,54,23,9,8,26,47,58,86,94,69,48,82,64,33,27,87,91,23,7,62,36
k_11,29,1,1,30,55,48,94,88,22,4,100,72,10,16,21,98,51,96,9,78,2,70,98,94,9,43,94,88,99,30,29,10,8,67,10,21,38,42,91,76,79,24,11,3,55
k_12,85,45,51,85,41,28,48,5,15,87,9,51,86,94,51,12,23,66,68,76,26,14,24,20,97,16,42,56,19,9,68,78,68,29,10,59,71,95,25,7,45,12,33,88,55
k_13,29,12,59,6,53,27,7,35,85,47,81,34,45,43,81,52,99,55,2,25,20,2,5,19,76,79,21,20,43,42,81,39,10,11,71,15,43,28,25,83,5,36,84,15,96
k_14,97,28,29,44,9,82,47,20,33,53,47,15,57,30,32,28,32,55,77,54,63,14,10,69,93,84,39,94,1,87,62,62,26,36,92,64,62,66,51,61,41,69,36,83,15
k_15,66,39,58,78,5,92,47,58,9,91,87,63,18,2,56,52,16,5,97,34,33,53,44,52,89,49,13,87,89,35,46,45,78,11,4,31,76,14,21,73,100,35,59,89,13
k_16,67,20,3,75,66,2,31,53,80,25,40,62,61,79,88,4,69,51,43,11,27,94,32,24,10,27,26,92,20,53,97,44,80,47,5,31,36,33,75,28,92,43,34,56,46
k_17,98,61,60,57,99,78,41,80,23,32,95,79,13,76,100,42,21,27,26,20,83,77,6,96,26,67,94,82,86,60,1,83,11,24,49,66,66,38,97,41,52,83,67,15,9
k_18,65,42,21,57,66,21,38,56,62,14,55,31,3,92,87,44,50,35,95,31,53,18,16,86,16,59,75,16,5,94,33,16,28,31,63,38,66,63,15,13,83,47,89,39,83
k_19,39,57,80,41,84,94,71,51,70,58,68,5,83,62,7,2,30,7,52,66,76,81,52,61,2,67,12,63,2,78,69,52,88,9,21,69,92,90,93,41,89,85,48,45,66
k_20,72,81,98,98,92,20,19,60,48,94,15,20,66,45,78,88,17,64,29,1,22,93,32,8,100,23,27,27,100,66,8,98,36,82,70,38,74,39,98,71,86,75,26,66,63
k_21,77,95,26,58,96,29,91,29,19,61,100,4,97,57,65,53,55,39,75,32,68,41,12,43,80,28,91,96,23,58,96,27,6,24,55,60,27,15,57,92,22,12,27,84,21
k_22,50,72,76,82,2,21,4,85,93,58,63,95,83,89,96,21,78,21,23,1,53,46,53,10,19,14,78,49,26,86,91,46,79,76,45,40,37,85,37,2,36,91,93,60,68
k_23,80,14,18,32,53,48,52,41,68,36,84,88,58,43,9,60,44,21,62,73,74,51,60,12,5,16,14,68,32,14,74,75,47,35,14,75,81,19,29,55,75,48,88,62,55
k_24,91,26,4,35,5,18,99,29,72,31,74,9,12,70,36,10,92,61,42,21,2,77,33,54,80,75,90,50,81,69,52,17,1,56,20,81,73,78,74,95,50,98,84,9,83
k_25,59,74,72,23,68,63,70,55,77,56,2,15,64,36,31,100,36,56,97,70,76,51,3,40,95,69,74,7,52,44,2,67,76,35,60,12,27,37,92,96,72,28,41,53,52
k_26,69,29,25,61,52,23,4,80,89,69,97,35,91,15,76,100,71,91,72,25,54,83,25,6,95,40,56,76,90,91,92,85,12,26,45,95,54,2,84,67,45,59,23,95,36
k_27,8,27,84,6,7,28,11,77,54,100,2,40,19,49,93,15,21,24,1,44,88,40,4,31,6,20,82,18,50,13,89,35,44,26,32,86,4,66,26,28,95,27,35,7,35
k_28,43,26,56,86,47,85,34,80,37,31,81,64,53,27,78,25,87,74,55,74,11,69,4,11,66,77,8,97,45,8,50,97,26,19,10,42,23,77,58,90,46,25,58,46,39
k_29,48,58,59,52,3,96,28,2,23,23,83,18,38,50,45,4,70,81,16,1,95,30,35,70,6,11,42,99,52,100,36,36,64,28,70,51,37,27,2,66,71,10,49,9,75
k_30,56,80,100,18,57,28,18,3,52,66,95,1,2,27,45,53,46,74,52,72,66,28,91,25,97,22,2,66,98,75,25,74,96,4,21,90,95,43,79,95,40,88,17,42,55
k_31,10,71,91,84,39,80,35,98,37,32,50,34,1,60,94,57,38,29,99,95,87,69,55,20,27,94,24,25,98,5,90,4,25,93,98,93,74,65,35,15,43,43,35,69,86
k_32,57,74,81,72,15,92,47,4,55,42,68,92,99,54,77,79,65,4,81,67,5,18,57,1,41,35,84,4,47,63,86,30,19,58,72,91,24,28,43,11,93,94,7,74,21
k_33,89,85,38,5,46,98,85,91,64,42,35,3,95,23,70,15,55,18,27,97,74,70,83,9,86,99,11,26,43,47,3,56,98,99,64,85,72,57,87,86,40,29,82,9,36
k_34,81,18,18,30,72,23,73,15,85,11,57,13,47,68,58,32,95,21,42,69,83,23,16,5,50,50,34,100,49,40,97,75,50,96,61,41,87,66,88,11,69,73,63,48,51
k_35,93,19,73,73,12,61,23,22,97,57,91,26,15,63,7,19,80,20,28,55,16,82,29,13,59,66,45,39,15,80,29,85,28,9,85,9,90,83,32,78,53,4,98,43,56
k_36,17,90,60,8,19,50,34,78,31,25,23,25,18,91,77,75,41,70,63,68,85,64,61,19,19,63,64,59,38,82,93,91,27,47,33,2,16,10,25,95,46,28,2,23,25
k_37,36,88,34,12,81,22,73,6,80,87,33,56,60,53,55,2,67,51,78,41,68,88,90,28,34,17,14,43,28,68,53,77,65,58,34,33,1,88,83,79,37,34,47,65,60
k_38,5,21,14,73,56,31,59,92,100,63,14,76,32,65,89,35,52,90,20,20,64,4,13,18,61,5,81,6,70,27,76,67,83,77,55,74,41,10,93,56,52,52,42,78,14
k_39,92,29,57,81,87,62,96,46,13,38,97,27,41,61,60,66,49,39,19,80,46,69,14,84,5,28,33,66,85,54,83,48,38,45,19,61,89,19,17,98,4,93,79,11,73
k_40,33,78,88,56,77,8,78,18,68,38,79,41,52,73,1,16,14,69,91,77,10,96,29,66,63,84,72,49,45,4,92,35,69,82,68,46,33,62,61,92,81,24,38,93,96
k_41,15,68,12,90,99,59,43,78,15,37,98,41,1,59,26,48,1,81,45,49,73,96,12,42,54,77,61,54,73,93,50,99,18,97,46,20,62,72,77,95,42,93,72,79,51
k_42,61,59,86,16,46,95,2,2,1,56,42,51,43,63,89,40,25,79,52,73,7,57,26,26,80,27,90,42,96,88,64,20,75,24,44,80,85,24,71,57,17,23,84,7,57
k_43,63,53,57,64,5,31,37,69,2,35,54,78,47,78,100,80,52,5,31,14,84,36,52,18,70,41,97,75,35,59,97,11,87,8,55,66,97,64,97,60,54,91,87,51,73
k_44,68,25,32,82,71,61,34,57,58,77,84,74,15,94,57,50,58,82,27,67,49,99,45,65,9,55,37,19,29,43,21,48,56,18,97,5,44,95,14,14,28,68,69,4,42
k_45,80,45,33,70,63,69,63,88,8,52,99,13,20,42,41,78,18,36,8,4,80,14,47,72,88,97,84,25,78,76,28,41,12,8,43,100,53,10,29,44,79,64,17,42,23
k_46,1,100,56,42,53,15,44,59,8,40,11,91,16,31,70,72,43,96,44,13,27,75,99,31,47,98,48,62,53,88,42,27,95,66,30,77,60,95,16,27,78,53,8,16,74
k_47,76,94,66,30,39,49,63,64,47,81,88,7,17,27,22,94,10,97,67,93,18,55,31,16,2,22,92,85,74,6,58,54,19,39,37,25,44,77,13,54,90,97,19,10,82
k_48,2,90,24,82,50,50,80,78,82,17,91,1,76,17,24,83,90,28,11,50,46,14,91,24,31,85,44,86,88,31,13,13,30,35,66,64,98,69,69,53,12,74,90,40,51
k_49,54,54,62,78,92,83,18,37,77,93,33,73,21,18,94,43,65,72,7,13,29,94,77,43,92,67,50,48,9,99,54,46,10,5,38,57,4,13,81,15,35,58,47,35,86
k_50,95,74,68,16,39,13,1,89,50,30,86,53,72,36,44,48,68,94,45,52,70,57,48,8,37,21,79,65,15,23,26,71,11,83,25,45,31,85,7,12,27,95,45,92,12
k_51,49,55,33,66,43,95,39,10,78,51,97,59,77,83,30,51,92,11,84,84,7,1,35,34,34,32,47,35,19,17,44,22,15,99,76,69,57,99,5,86,22,63,38,34,59
k_52,32,68,76,21,14,98,51,10,27,1,47,90,20,51,34,10,88,28,8,20,29,82,11,67,55,96,50,28,92,80,59,76,74,22,97,76,95,63,29,89,97,17,42,3,49
k_53,92,44,12,82,56,44,9,29,23,67,74,6,45,43,84,22,21,9,70,17,32,49,17,27,90,22,98,31,18,31,60,88,83,13,66,79,75,64,87,33,62,5,15,9,24
k_54,51,72,69,6,67,60,17,15,44,68,58,99,24,84,32,29,10,50,64,99,44,76,59,100,82,19,17,44,95,10,3,36,90,17,99,95,13,59,59,26,50,73,94,77,10
k_55,83,82,89,46,79,36,30,47,65,27,23,32,94,20,1,61,96,40,75,80,94,3,63,90,82,17,33,99,87,18,23,56,28,43,89,77,29,90,18,21,44,75,21,92,78
k_56,6,31,9,73,88,49,34,76,77,78,99,2,74,30,20,42,64,17,34,45,53,54,14,96,100,46,84,23,30,89,74,67,49,61,67,25,79,19,5,90,84,11,10,96,100
k_57,45,52,74,62,62,71,88,27,8,6,59,6,44,19,56,81,90,20,9,63,21,31,39,34,25,61,4,7,56,6,11,10,89,53,31,65,41,61,41,19,6,46,48,88,51
k_58,41,1,99,76,85,68,84,46,94,58,85,7,52,91,85,83,89,35,99,77,1,23,61,7,88,15,3,77,71,67,17,38,1,84,5,47,40,10,98,36,78,94,42,6,42
k_59,25,82,87,40,60,39,33,51,73,77,94,9,21,9,86,24,4,67,54,25,63,58,72,49,53,55,23,68,92,87,75,2,27,1,47,22,89,87,91,3,3,48,24,6,9
k_60,48,72,92,90,44,13,50,63,86,84,71,41,29,20,90,73,25,2,60,71,100,70,17,20,76,6,51,30,10,5,27,29,87,36,44,3,3,62,56,89,63,27,98,58,58
k_61,8,30,16,99,70,64,17,44,89,23,75,91,4,61,10,74,99,96,85,40,16,98,14,71,73,4,66,58,78,56,37,13,76,52,87,42,16,51,41,90,12,95,61,79,81
k_62,32,78,45,7,98,41,76,88,68,8,99,54,27,51,68,16,71,34,8,79,91,73,46,54,74,25,6,9,33,21,73,29,50,67,39,28,26,91,36,9,32,90,45,69,90
k_63,57,67,50,47,14,45,44,43,61,16,9,12,22,11,18,48,87,29,27,68,19,37,91,51,43,23,24,73,54,100,60,35,64,14,59,68,15,18,78,94,13,16,28,82,99
k_64,86,72,56,20,11,64,77,53,80,96,25,74,95,71,50,59,24,11,94,1,33,52,98,80,82,97,64,86,40,71,4,56,92,55,36,90,44,38,99,47,5,61,13,69,60
k_65,78,10,66,65,65,4,48,5,87,95,61,58,34,31,55,98,76,60,94,3,58,66,87,16,7,34,62,58,64,25,96,99,58,54,96,63,21,62,1,28,36,9,74,63,14
k_66,73,41,81,39,16,20,15,26,89,3,20,80,10,74,64,40,79,50,51,75,49,44,75,86,61,70,43,11,53,41,21,28,14,19,71,83,16,75,16,44,54,29,76,93,61
k_67,54,91,31,79,76,90,95,32,66,92,28,35,13,40,39,13,83,70,33,9,20,69,35,15,3,79,45,72,81,72,69,82,59,19,48,3,45,55,79,2,18,5,16,29,93
k_68,98,47,31,59,100,55,49,48,69,14,10,26,23,25,51,69,36,80,32,78,40,96,100,68,1,27,81,83,29,59,39,48,39,1,96,75,87,94,53,21,96,19,17,3,44
k_69,43,68,48,20,23,56,63,44,65,45,41,7,77,25,77,61,87,66,3,42,95,50,39,89,43,1,60,48,63,51,83,7,9,39,40,35,7,47,25,30,7,14,79,84,58
k_70,37,71,24,52,100,66,28,92,50,91,69,69,80,29,82,40,49,87,6,87,35,67,9,93,57,82,68,85,77,89,98,12,65,33,33,97,93,67,98,12,64,63,74,72,85
k_71,46,77,80,49,97,36,33,66,74,19,48,3,46,30,58,59,64,78,79,60,78,33,91,26,55,25,23,82,58,50,74,77,66,32,35,27,50,29,18,100,36,96,23,64,54
k_72,99,71,70,99,35,12,60,72,31,100,57,43,15,94,19,65,52,48,48,32,53,67,1,51,45,54,100,63,81,17,98,45,80,19,2,2,88,98,85,43,22,2,33,8,40
k_73,65,51,98,42,65,77,84,9,59,14,59,72,7,26,50,63,37,71,78,19,21,35,22,28,57,78,55,15,62,70,98,14,44,98,7,2,1,11,80,60,30,12,72,48,1
k_74,61,9,35,11,37,32,46,6,37,18,76,84,28,21,49,35,9,16,69,10,67,10,55,36,28,55,61,37,26,76,43,94,54,70,88,98,41,65,65,10,74,15,98,84,81
k_75,97,84,49,66,96,99,1,39,47,98,88,22,66,19,84,23,73,14,20,45,49,62,80,45,98,47,40,41,4,14,95,89,4,64,12,35,100,82,12,70,71,12,92,63,8
k_76,30,73,34,63,98,24,81,11,91,81,22,77,28,78,72,89,41,81,63,65,45,60,52,93,13,6,7,96,9,70,67,39,18,59,64,14,74,30,48,71,32,20,33,34,84
k_77,92,26,16,10,4,35,1,30,42,56,44,12,93,96,7,66,42,66,86,1,62,9,54,78,58,90,68,15,95,17,7,9,26,65,49,19,38,86,14,16,84,97,45,55,56
k_78,97,34,63,14,94,97,3,56,29,27,89,70,72,87,69,8,82,2,82,34,56,45,74,44,85,41,13,32,88,13,25,62,5,28,66,7,86,2,38,57,41,10,23,30,7
k_79,71,46,52,34,66,78,27,11,40,89,96,5,42,46,46,44,8,18,83,69,84,78,96,46,38,70,28,48,22,42,10,45,17,15,82,43,75,83,89,86,84,54,81,18,21
k_80,60,41,14,48,7,62,32,22,12,3,30,58,56,78,13,26,4,50,83,42,89,61,68,25,31,4,40,60,32,42,62,39,85,68,1,36,50,67,89,49,50,56,56,76,84
k_81,51,87,73,24,10,78,46,13,60,67,37,45,16,3,34,43,25,8,12,30,85,5,68,94,100,75,17,30,39,59,84,11,91,16,67,18,78,1,18,43,72,9,83,30,41
k_82,77,63,44,82,73,54,41,3,6,36,86,38,50,86,82,84,44,51,57,4,34,85,31,21,50,81,89,5,34,42,20,52,1,73,73,35,45,48,7,95,65,29,44,15,48
k_83,83,15,50,3,98,73,7,71,80,10,84,13,54,88,33,42,67,64,97,60,92,87,54,64,25,41,16,79,54,97,25,5,34,52,92,79,93,42,63,54,98,58,4,85,43
k_84,36,84,83,39,67,54,21,39,75,2,28,34,74,93,30,18,31,70,32,77,5,42,2,83,64,83,51,52,65,59,30,1,66,63,51,38,76,91,13,72,80,27,72,16,99
k_85,88,66,14,96,26,29,15,46,71,26,66,20,32,17,68,89,90,90,77,81,37,72,94,59,49,46,45,75,7,4,85,54,97,30,34,53,82,18,1,11,90,48,11,96,31
k_86,74,49,33,98,25,44,48,82,51,62,24,62,45,15,24,34,59,83,1,82,32,96,80,97,87,45,20,83,37,88,63,45,51,20,7,20,78,48,38,55,3,53,85,39,26
k_87,35,23,98,32,15,50,51,89,9,44,73,86,57,28,33,15,68,46,63,23,9,30,17,87,55,82,46,63,21,94,82,30,2,61,63,21,76,66,33,27,65,94,63,79,31
k_88,94,97,14,47,6,47,58,38,22,28,66,95,3,84,92,35,56,66,34,50,37,19,13,16,40,11,42,57,42,30,71,9,97,56,51,74,73,28,82,35,58,92,43,41,1
k_89,21,64,13,98,8,1,86,53,96,80,57,57,61,8,18,31,22,75,41,99,1,76,42,30,5,85,4,29,28,44,13,35,5,52,10,18,87,9,34,4,71,3,87,52,62
k_90,84,87,65,94,30,39,83,64,64,73,64,100,20,34,2,2,71,19,88,69,57,74,91,92,10,57,86,68,43,33,18,84,41,45,1,73,63,35,32,73,52,22,51,63,87
k_91,79,84,90,46,30,98,87,70,33,33,23,59,93,88,91,100,9,76,10,73,9,72,66,36,85,59,36,36,23,56,66,82,95,91,89,85,89,70,90,8,87,96,28,20,51
k_92,50,81,45,28,63,92,40,75,77,73,98,99,41,98,75,53,13,75,49,38,62,5,65,32,14,19,96,64,12,45,19,39,28,26,54,87,43,37,25,12,49,46,80,21,35
k_93,79,93,78,13,48,62,65,12,4,12,34,45,2,15,5,61,59,59,78,9,55,95,97,69,61,40,69,35,34,71,27,16,8,62,10,45,95,96,77,16,29,53,43,34,44
k_94,78,46,6,6,74,100,82,42,10,67,79,9,5,29,67,28,7,44,65,63,11,10,79,31,37,50,55,27,46,58,80,23,64,32,94,79,60,69,4,35,60,49,58,65,79
k_95,90,72,53,88,28,45,79,67,63,25,50,18,8,87,86,39,97,27,13,98,5,17,55,70,82,43,46,18,71,84,83,81,30,62,99,95,63,98,60,85,40,33,55,30,62
k_96,59,76,40,66,78,32,24,58,63,91,49,92,96,6,60,51,13,71,72,62,19,4,67,1,88,4,84,84,34,66,97,37,31,75,35,70,48,2,67,74,42,59,15,6,70
k_97,85,6,20,29,5,33,50,48,51,78,85,35,30,30,14,16,81,60,13,90,72,29,34,48,23,19,90,4,22,88,63,28,74,81,47,49,64,24,44,87,16,55,32,54,38
k_98,73,64,38,67,63,43,83,91,35,43,59,79,55,95,32,71,18,37,41,96,17,65,62,29,82,65,99,91,55,1,48,58,40,10,40,37,72,83,30,22,54,35,36,87,1
k_99,69,24,95,51,59,65,52,33,100,13,63,66,27,61,29,76,12,16,8,13,46,49,89,17,21,21,44,23,39,87,58,42,48,14,37,3,31,73,15,87,45,30,54,22,91
