commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94
k_17,50,86,83,86,84,1,85,95,36,66,26,85,99,38,16,6,89,35,44,77,32,34,37,84,3,54,91,3,20,78,21,42,10,48,36,57,48,10,77,16,19,62,81,65,7,86,48,35,27,70,74,25,79,98,67,54,21,82,55,25,99,54,46,21,39,42,32,13,49,30,42,44,88,76,31,65,98,74,13,29,62,12,75,16,58,93,31,80,8,66,64,6,17,9,46
k_18,80,15,58,4,7,70,87,87,47,100,3,16,39,49,27,94,16,71,21,3,73,69,33,54,5,23,8,32,17,36,10,70,43,53,100,53,20,15,52,93,15,15,1,25,97,71,59,97,54,99,85,30,75,72,75,95,28,85,92,15,100,73,80,26,1,70,95,61,26,25,89,47,88,36,38,40,4,81,54,81,71,67,3,21,19,11,73,70,54,92,70,58,32,10,96
k_19,60,58,58,55,21,85,10,54,14,89,27,88,23,7,87,12,39,91,43,76,53,44,100,74,62,56,74,84,91,48,43,25,99,53,13,99,42,40,1,31,36,92,79,64,23,29,21,66,39,19,32,13,28,74,63,34,44,67,56,4,21,36,47,32,93,10,12,15,93,84,27,23,83,49,64,25,37,74,23,62,8,14,57,16,14,27,2,23,35,79,45,78,88,62,15
k_20,16,32,81,29,40,95,49,74,11,13,45,97,31,91,65,15,16,70,2,65,76,59,41,13,26,33,96,60,66,29,21,10,45,74,48,60,38,40,7,71,44,65,66,64,51,22,26,7,3,71,96,35,96,35,27,50,52,23,30,67,89,91,93,37,41,1,39,34,78,45,35,69,39,38,78,41,4,78,56,47,32,25,4,77,36,95,32,82,16,37,25,62,58,66,7
k_21,62,5,85,50,39,43,64,31,19,32,54,84,69,81,8,21,72,28,37,18,33,1,56,40,61,95,97,78,14,78,81,70,18,55,28,98,32,75,37,57,12,87,21,40,17,72,11,60,21,9,99,64,22,76,88,26,65,24,94,40,57,22,76,61,16,68,82,2,17,64,89,24,41,97,19,40,75,3,99,76,80,4,47,62,40,10,17,89,92,59,76,87,21,21,82
k_22,41,59,18,44,63,43,96,74,87,15,87,21,47,23,46,23,60,97,30,50,38,71,21,25,5,86,31,82,47,93,12,20,63,9,75,58,2,100,34,8,67,14,7,9,27,58,100,80,82,16,71,13,90,15,57,19,98,27,31,82,77,97,91,17,100,80,60,79,5,73,32,4,5,37,34,43,25,8,65,89,71,48,4,4,28,80,58,52,27,51,4,78,33,37,17
k_23,67,76,75,47,15,2,1,30,23,65,94,97,18,58,82,32,32,90,36,48,14,29,39,99,61,63,87,96,58,23,53,7,1,40,61,15,16,95,26,19,54,95,64,90,54,72,74,28,32,22,89,33,24,88,55,16,69,47,17,20,26,61,45,19,95,39,97,1,59,87,15,82,40,38,88,6,54,51,28,63,8,68,74,11,86,54,83,15,1,80,20,3,90,67,36
k_24,7,77,71,16,79,18,10,65,48,25,80,7,67,87,48,44,61,60,15,64,68,80,93,19,61,47,87,33,64,41,67,98,56,62,77,67,70,97,95,39,58,9,26,88,69,82,33,71,39,92,26,59,31,18,2,12,66,86,84,50,5,67,66,33,61,98,91,19,22,65,9,5,65,55,57,1,51,98,47,36,22,97,55,61,13,23,88,15,97,42,90,37,4,77,37
k_25,1,79,12,9,19,57,99,43,68,93,82,87,76,86,42,11,7,88,83,88,5,90,58,2,23,33,85,50,41,52,80,81,6,56,24,37,10,66,57,24,3,89,84,53,91,45,93,57,88,65,92,74,40,74,44,97,62,4,92,6,28,94,96,23,75,14,16,21,64,4,25,29,21,62,18,20,82,30,43,8,2,43,91,13,17,85,23,71,89,42,11,18,81,24,48
k_26,40,93,84,49,95,87,98,74,32,57,89,79,89,60,34,84,51,22,57,12,83,53,100,54,37,56,100,87,83,86,12,56,11,79,68,99,28,37,9,79,61,53,35,37,71,64,84,94,45,27,49,29,28,86,73,59,33,29,91,80,89,81,11,60,6,53,95,75,32,36,33,4,20,61,19,29,8,56,53,68,88,97,34,56,97,64,5,87,81,9,18,57,22,40,91
k_27,19,58,78,87,20,59,49,91,4,67,88,41,55,18,38,87,40,42,6,28,82,19,6,27,94,62,70,51,66,11,38,24,88,83,70,93,70,25,56,82,23,70,34,22,10,58,37,16,83,91,73,52,83,52,72,58,48,13,30,38,26,56,86,55,68,61,55,40,87,45,66,57,76,88,35,50,9,76,60,18,82,47,49,48,36,88,61,1,48,21,98,28,5,1,99
k_28,68,82,2,90,94,73,14,76,60,69,52,54,18,1,88,20,80,44,26,65,49,74,95,3,12,65,3,61,87,87,100,25,38,31,82,42,51,58,11,89,45,18,76,98,84,3,54,36,72,89,62,33,45,42,62,36,5,43,22,83,51,100,39,85,70,12,35,44,58,13,82,89,37,33,24,29,99,28,7,87,63,13,69,20,90,10,62,66,39,90,80,22,85,95,48
k_29,50,5,34,52,56,21,25,46,64,6,28,18,15,96,87,69,24,34,83,58,45,23,89,59,78,94,58,3,66,29,2,63,70,28,87,85,26,39,46,37,67,38,5,100,55,7,39,71,80,45,38,86,47,62,42,74,97,46,60,71,49,64,78,33,62,45,75,7,5,43,85,63,20,89,27,34,67,46,37,6,38,46,61,26,36,56,22,45,33,51,19,2,83,30,3
k_30,19,11,31,43,42,78,45,99,71,2,54,73,2,48,99,28,42,20,44,3,58,85,55,54,3,45,94,84,15,85,29,9,77,92,71,50,16,54,66,68,76,73,88,15,60,32,47,35,63,3,99,41,7,55,21,17,65,44,49,3,16,56,67,69,91,76,62,81,75,37,35,37,7,77,32,97,5,95,14,52,81,25,81,55,55,46,54,69,33,81,17,18,98,88,46
k_31,87,7,45,87,45,32,26,84,19,54,8,32,27,15,73,88,1,60,5,66,22,47,22,77,94,1,77,68,97,99,59,94,37,42,29,42,18,1,68,64,6,42,83,6,41,39,46,49,28,53,33,7,45,20,7,9,4,82,99,84,45,33,55,31,90,73,80,11,8,45,78,27,73,96,76,99,21,19,62,98,94,98,79,99,100,40,28,20,77,75,76,45,35,25,87
k_32,1,51,99,33,54,28,6,90,88,23,12,58,13,17,92,49,53,66,30,92,43,22,93,17,94,34,64,71,60,8,9,61,42,94,77,57,3,76,12,54,46,94,22,95,16,77,9,50,75,86,64,78,61,66,100,63,20,82,100,74,6,78,62,86,73,37,16,72,85,94,33,65,19,62,69,43,23,10,66,50,30,51,65,87,81,7,28,91,15,93,2,89,63,81,94
k_33,96,58,63,44,75,19,26,95,81,39,13,100,1,33,90,98,35,41,22,12,46,58,83,95,96,36,58,24,56,89,33,26,65,52,21,62,42,41,46,7,46,30,18,87,54,20,81,69,40,95,58,15,31,6,8,79,83,98,55,42,23,41,69,35,3,13,45,88,20,44,65,47,17,77,47,34,68,37,9,92,49,81,17,49,33,16,84,29,42,70,64,21,70,41,16
k_34,89,55,7,24,61,31,74,36,12,78,97,5,44,82,69,45,50,82,58,36,33,12,90,55,3,46,87,52,22,61,96,85,34,87,83,13,78,99,86,100,81,22,30,68,10,100,45,77,34,71,95,59,73,34,1,73,22,39,80,88,95,87,32,9,51,62,83,86,79,31,48,100,14,74,31,47,54,59,87,13,84,19,79,36,85,22,30,81,79,55,63,1,45,93,29
k_35,70,29,92,93,90,30,1,24,51,7,87,24,41,7,10,16,76,100,78,26,82,95,10,91,46,54,97,58,7,17,84,26,93,24,34,69,44,26,62,9,13,95,84,88,70,55,18,50,67,23,83,26,83,34,97,96,11,29,45,87,85,10,20,43,43,90,86,95,86,91,14,97,96,24,92,45,74,86,14,91,7,33,38,61,25,63,92,76,27,10,33,95,15,39,18
k_36,50,20,88,32,99,29,91,82,44,37,3,95,18,14,18,78,61,32,46,94,9,27,26,42,92,56,15,16,76,87,90,48,37,41,11,35,57,47,49,62,15,61,6,26,7,39,53,30,83,38,86,49,51,97,62,22,27,93,41,83,75,83,38,59,58,14,51,71,34,22,22,98,94,87,50,23,58,81,95,37,39,36,50,4,65,10,59,77,67,4,84,94,25,54,71
k_37,24,65,10,73,61,53,24,69,43,99,11,12,40,84,92,54,11,10,56,34,33,28,64,50,88,51,84,98,89,85,81,86,73,19,12,67,83,95,95,45,32,23,88,75,84,18,84,92,52,10,54,35,61,95,66,46,14,53,72,49,63,15,23,78,57,66,98,18,80,96,5,38,72,62,76,92,40,2,85,2,11,32,100,88,27,53,82,65,71,1,44,84,64,97,67
k_38,81,41,80,44,6,9,26,16,17,54,56,15,18,16,40,57,4,50,76,33,79,76,15,10,29,20,71,30,92,35,6,89,98,35,11,91,5,84,98,62,71,66,59,71,35,11,61,35,43,26,90,11,91,5,92,35,70,49,20,9,10,85,43,14,34,44,55,17,100,15,72,90,77,97,6,54,67,37,78,86,47,53,100,54,20,87,52,38,31,75,1,68,69,97,63
k_39,37,57,18,54,40,98,53,52,47,91,46,47,93,40,66,64,58,83,77,96,15,44,27,19,65,40,14,31,39,35,20,50,45,85,10,46,56,36,9,62,4,56,98,19,65,8,67,15,88,60,68,10,54,44,40,28,15,82,96,66,99,6,93,19,41,19,4,19,29,49,60,16,76,98,55,50,8,12,69,2,61,96,9,39,85,85,85,70,81,46,65,28,23,16,53
k_40,79,71,13,98,22,3,5,72,68,50,30,80,58,44,65,59,63,87,83,22,9,77,48,44,1,84,79,38,90,32,16,45,21,38,31,23,47,37,12,22,36,10,95,18,98,8,60,92,24,55,62,98,99,66,5,5,2,10,89,19,59,29,92,53,78,68,45,2,84,80,87,64,24,42,80,67,53,69,25,85,68,98,97,26,20,87,32,62,51,30,5,25,85,30,89
k_41,14,87,34,67,98,79,62,39,71,89,49,44,20,27,35,93,16,54,24,43,67,32,23,86,29,14,53,63,4,87,87,28,57,1,36,25,56,52,11,12,31,4,96,81,67,64,68,48,15,5,22,41,53,28,87,35,21,81,17,82,9,76,97,50,89,87,86,79,25,58,58,35,38,93,19,29,7,33,65,46,92,65,61,14,40,35,1,41,76,86,58,50,18,29,92
k_42,90,91,9,82,8,76,71,19,49,25,41,11,99,32,21,21,10,100,37,87,61,99,93,94,18,50,3,39,37,66,87,15,11,78,63,96,62,64,4,77,78,98,96,43,46,55,20,19,97,99,99,99,81,50,43,47,95,38,42,37,40,34,41,46,8,17,53,21,84,21,4,41,32,51,57,51,33,94,35,81,87,19,79,38,63,82,25,32,65,5,49,97,53,70,80
k_43,63,4,92,31,30,67,59,51,74,30,66,65,30,70,81,53,24,72,80,32,7,2,6,89,25,76,67,2,22,87,60,31,21,23,30,30,18,29,28,86,49,17,1,28,93,86,46,87,57,69,29,83,50,99,23,62,30,29,37,52,60,68,93,18,93,64,17,20,98,46,42,97,50,63,63,86,85,61,84,73,7,9,100,87,90,29,24,35,20,67,26,33,7,26,72
k_44,48,42,25,15,82,98,75,45,44,30,55,60,94,76,26,62,69,69,50,98,52,24,97,17,22,14,79,26,94,38,91,67,84,7,97,1,85,57,9,77,46,20,26,84,89,76,75,65,75,25,57,53,14,27,75,15,34,75,13,22,46,30,28,31,19,26,12,81,22,35,36,54,79,88,67,53,58,75,90,38,79,1,64,71,51,6,81,62,54,1,35,22,78,68,59
k_45,67,95,42,94,97,36,6,30,42,1,84,42,11,48,41,40,72,46,58,61,28,38,37,40,72,23,8,13,44,77,46,69,26,18,54,72,76,87,49,16,41,39,86,59,73,47,95,64,66,86,56,68,62,100,91,39,69,21,92,12,4,11,49,31,65,22,72,55,84,98,81,1,92,13,18,7,91,3,78,93,56,58,23,21,9,40,5,68,43,76,17,53,77,67,56
k_46,28,48,83,87,86,19,65,60,94,35,38,77,43,19,36,43,95,57,36,52,27,12,18,39,86,56,3,54,90,81,66,70,90,87,41,53,23,60,11,23,71,40,84,84,11,19,70,22,41,74,5,22,69,35,86,35,1,96,11,97,97,99,71,1,88,40,60,51,70,95,24,43,81,63,77,40,64,17,45,63,15,80,31,85,9,43,4,18,9,83,16,61,73,90,31
k_47,12,7,36,28,62,45,5,59,92,2,31,3,53,36,21,25,31,41,49,78,74,96,36,6,73,62,8,70,69,59,3,82,60,56,87,5,85,61,55,14,24,88,47,26,30,33,61,25,14,55,62,37,3,85,59,33,31,32,57,4,84,11,46,34,47,52,67,24,2,31,96,77,38,79,61,98,68,80,74,1,79,92,61,54,55,15,27,53,51,23,64,92,11,66,13
k_48,15,10,74,60,81,36,6,36,54,61,44,66,64,38,43,86,14,46,52,67,37,10,79,70,45,11,36,22,14,51,44,76,43,59,19,26,23,83,60,58,19,75,86,31,31,36,39,45,22,27,35,12,8,94,56,91,60,100,50,90,26,95,96,56,91,98,87,36,2,18,80,64,26,66,67,63,4,74,2,3,39,16,69,54,64,61,64,23,11,21,35,10,97,55,42
k_49,8,89,45,24,10,94,96,66,7,88,1,87,15,85,44,60,46,26,74,74,23,23,25,59,5,61,55,71,94,85,12,92,74,47,74,70,17,58,13,61,94,72,75,74,97,52,98,85,42,55,74,77,24,88,51,48,56,51,68,55,60,38,16,46,74,67,80,58,92,65,38,70,85,5,68,100,59,70,60,94,40,69,34,51,78,19,56,99,75,55,89,84,15,87,20
k_50,19,86,97,22,39,21,4,92,100,31,62,5,100,24,90,35,97,42,28,98,87,3,84,25,20,32,59,63,77,72,70,96,23,29,72,61,45,40,100,60,84,10,14,51,16,4,45,50,46,40,35,79,98,92,3,31,51,33,10,12,74,47,46,95,75,42,64,49,19,20,13,27,35,77,83,57,54,50,60,76,49,46,67,10,52,83,32,87,71,35,82,5,87,57,78
k_51,25,59,28,29,44,58,64,69,53,69,72,56,64,63,57,98,70,87,59,85,49,8,3,82,10,1,18,30,53,91,44,79,40,99,53,27,75,58,62,60,60,54,44,92,36,88,58,11,40,95,6,28,62,27,23,30,74,52,41,41,50,74,68,95,16,73,43,16,50,40,69,33,90,52,39,78,88,62,97,36,20,96,61,35,87,42,6,53,4,100,91,61,92,63,55
k_52,47,14,72,59,9,38,9,64,32,10,83,64,10,70,39,92,69,72,42,25,35,46,59,48,96,3,84,50,94,90,91,72,6,34,41,5,39,50,95,3,38,69,25,83,35,17,9,75,84,43,61,40,2,6,35,57,61,57,83,97,48,21,43,93,70,53,90,87,2,55,7,24,89,50,8,28,18,18,1,82,45,75,62,6,94,51,64,75,1,100,71,6,54,89,86
k_53,88,81,61,34,86,93,100,44,48,67,3,8,54,68,80,100,93,70,51,91,17,77,96,40,78,66,31,24,79,43,37,53,19,62,84,54,33,12,30,77,50,14,89,38,11,100,20,29,50,11,33,97,66,97,17,82,75,78,16,70,60,86,12,35,42,62,10,66,68,95,73,36,59,67,94,19,4,20,15,28,12,98,39,70,7,12,69,67,71,27,51,59,45,7,23
k_54,37,23,46,49,36,90,30,80,38,45,38,26,79,46,29,14,90,20,92,15,28,75,96,45,13,35,78,25,71,3,8,38,34,17,1,60,32,67,11,87,68,43,78,79,27,31,17,6,35,43,44,7,71,53,63,97,96,14,53,90,9,50,100,50,66,72,73,50,79,37,15,30,88,45,45,70,24,40,56,53,86,80,58,19,14,65,99,10,90,89,89,28,27,16,6
k_55,28,78,33,37,46,35,89,95,22,92,24,84,6,19,50,84,73,98,98,43,18,42,48,86,53,34,31,72,64,54,5,58,71,85,68,17,9,25,22,8,40,20,59,6,71,29,100,100,76,30,13,62,13,74,66,24,35,14,56,80,78,27,30,25,42,98,74,44,19,66,95,26,52,54,13,10,73,31,51,75,66,43,25,96,21,81,1,74,73,49,19,65,6,80,2
k_56,64,93,65,59,45,31,36,94,39,16,30,10,51,97,95,7,84,77,24,11,68,76,57,31,78,44,79,97,5,93,74,1,46,58,21,91,9,71,71,59,80,77,3,28,67,56,1,28,95,45,19,99,99,48,51,64,99,11,70,11,55,78,8,45,59,11,78,69,48,78,8,86,27,81,54,94,23,28,68,33,40,69,37,34,78,20,81,66,71,52,89,13,74,63,68
k_57,36,21,74,50,93,9,42,77,98,40,49,63,35,53,93,17,43,59,88,7,49,28,15,53,27,10,58,65,41,36,90,25,9,3,100,25,1,82,44,38,55,84,22,10,42,71,1,16,31,46,81,62,95,70,45,86,79,37,13,15,18,10,63,7,30,98,77,40,50,63,13,24,31,49,71,54,50,98,85,53,20,1,18,87,37,71,11,8,93,46,43,42,8,15,30
k_58,18,45,41,83,75,80,17,76,96,57,36,16,73,15,9,60,84,86,78,42,32,71,26,72,42,56,82,26,30,39,87,8,24,79,37,12,42,98,2,26,75,10,77,19,20,65,79,54,78,50,8,18,17,68,51,91,53,54,51,14,81,20,37,37,70,28,95,1,12,79,66,89,94,21,40,38,83,2,84,27,3,33,23,40,88,69,19,63,37,2,33,22,54,43,68
k_59,60,69,4,56,24,60,52,29,29,70,84,76,15,49,2,47,54,45,37,54,68,45,27,25,17,33,41,75,1,86,78,28,71,28,81,95,30,56,87,75,74,69,29,22,44,36,67,25,64,40,13,12,38,96,38,69,32,85,97,98,23,50,27,16,74,99,59,52,19,44,87,13,38,2,66,27,46,83,22,74,1,99,42,78,43,79,43,79,28,13,1,28,84,54,19
k_60,48,51,19,35,13,80,29,44,89,94,63,8,60,43,71,80,53,96,55,61,27,82,41,81,5,23,35,17,18,40,98,97,88,61,50,83,36,36,3,54,70,2,13,41,44,40,44,26,10,58,72,42,21,66,1,41,86,59,42,91,31,97,78,80,79,17,12,61,16,4,66,31,25,86,67,35,91,47,99,71,76,91,2,42,67,83,62,97,29,58,38,90,2,47,52
k_61,18,34,29,97,38,41,51,36,5,36,6,22,14,21,92,71,47,76,69,11,48,73,49,47,42,74,31,54,65,30,96,25,64,1,43,86,17,59,37,51,59,91,12,82,5,67,99,30,43,80,16,93,44,14,73,67,4,20,97,18,59,65,37,69,30,25,9,66,80,96,3,13,29,11,89,54,47,88,81,20,81,35,92,3,28,94,26,40,81,90,36,97,7,5,91
k_62,29,95,20,94,53,19,35,76,51,43,85,2,55,41,81,48,22,81,53,15,74,53,33,47,77,26,94,60,14,27,31,90,14,42,16,29,69,59,87,39,47,16,15,48,64,70,21,11,53,23,43,94,83,68,24,63,93,40,60,92,37,42,58,90,51,4,5,14,61,1,49,36,63,41,48,86,73,28,74,58,83,37,63,83,16,20,85,49,1,4,47,96,69,8,97
k_63,80,10,88,27,35,37,36,23,16,33,59,90,70,83,1,39,11,7,53,48,64,37,73,10,58,84,36,89,93,72,54,53,82,1,78,37,56,94,6,14,15,20,82,53,10,15,75,24,6,65,59,1,60,72,66,48,50,84,59,91,98,24,71,92,78,42,22,10,87,74,86,18,75,55,57,33,71,86,29,20,32,65,55,59,2,35,81,58,66,95,35,55,71,72,31
k_64,52,80,6,48,64,81,49,67,41,61,37,41,36,68,9,64,49,22,3,14,9,71,99,35,35,68,89,64,65,34,4,40,83,18,61,58,58,54,22,92,76,48,63,92,77,85,55,49,37,22,8,26,77,25,14,70,19,24,24,20,2,58,20,4,89,34,20,28,2,50,33,15,45,31,97,8,13,20,46,25,47,59,75,76,90,12,14,57,28,99,38,83,67,98,85
k_65,72,68,14,66,82,81,34,9,37,36,21,73,100,12,29,88,51,58,90,67,92,81,87,27,71,15,74,62,92,81,4,77,18,16,50,90,89,53,53,31,82,21,76,19,51,71,90,83,22,49,67,36,83,47,85,22,84,23,44,76,2,60,36,96,26,57,25,4,33,30,27,25,46,92,72,69,25,50,59,94,37,6,34,9,89,13,54,57,7,88,5,16,58,97,78
k_66,9,43,64,92,85,78,38,3,59,60,4,75,58,7,68,22,24,85,37,43,52,93,38,1,42,91,2,85,38,85,88,44,26,23,95,14,42,47,6,97,22,58,16,63,97,78,43,66,33,34,15,78,10,44,15,43,27,27,84,64,38,23,68,97,94,12,84,14,94,59,90,21,15,76,55,19,9,63,76,74,32,77,38,48,15,7,74,10,46,54,33,64,81,46,52
k_67,34,20,95,34,22,15,46,97,17,34,42,91,65,12,94,52,70,66,85,23,58,95,46,87,76,65,56,94,33,40,67,45,37,18,53,41,38,69,33,8,74,58,41,89,74,17,95,39,56,13,67,68,42,26,71,19,2,25,87,69,47,7,59,74,27,29,35,65,17,93,24,22,3,38,94,36,71,34,41,100,85,95,79,87,39,38,11,7,89,10,39,83,47,74,64
