commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_5,e_6,e_7,e_8,e_9
k_11,18,48,94,12,24,51,41,24,93,73,70,80,68,34,33,87,35,65,62,3,80,29,97,79,81,53,72,59,47,1,72,66,40,52,81,33,11,18,1,91,71,78,86,42,6
k_12,37,49,21,53,8,39,43,22,64,54,85,23,79,72,32,28,86,95,24,51,92,30,85,89,73,98,100,76,49,25,27,4,72,29,47,3,93,74,39,54,74,71,48,38,68
k_13,2,83,8,68,10,73,13,61,91,5,33,88,80,89,54,81,87,78,18,82,36,3,25,76,11,50,74,51,40,29,54,14,11,18,27,85,23,39,27,47,9,50,93,2,11
k_14,99,90,8,98,26,87,54,62,33,11,51,67,72,15,50,52,30,4,17,75,75,9,79,66,79,31,23,77,76,74,40,64,50,22,40,49,53,45,52,78,71,91,92,5,75
k_15,26,11,19,72,58,98,46,12,67,35,17,67,57,11,49,59,16,23,79,4,59,66,48,33,36,48,93,93,88,49,55,74,16,61,41,97,99,81,32,37,42,2,89,74,85
k_16,14,36,28,92,46,83,91,27,80,89,81,51,84,46,71,78,19,79,31,3,34,71,4,30,78,100,47,68,25,36,74,1,57,33,96,8,78,52,84,15,34,98,59,96,38
k_17,95,93,8,43,49,99,4,54,81,22,93,15,11,39,87,86,66,54,76,48,50,94,91,98,89,62,18,18,47,1,6,8,55,35,9,63,48,24,17,5,83,8,25,8,45
k_18,22,12,94,74,29,36,31,82,44,6,30,11,56,56,22,67,39,78,20,7,56,30,39,37,99,64,57,7,88,34,80,15,95,41,41,92,17,69,53,36,98,3,43,65,86
k_19,84,59,78,92,47,44,32,79,26,86,47,28,84,5,98,87,33,9,16,68,35,98,38,29,36,29,45,17,30,88,5,36,9,38,17,48,33,66,61,60,26,62,79,67,61
k_20,89,97,42,93,16,65,23,97,18,90,47,28,49,64,78,100,94,95,75,39,55,68,62,65,32,75,18,33,83,18,78,76,2,49,35,14,27,76,20,6,99,22,10,92,33
k_21,25,41,41,12,33,35,69,66,6,12,69,72,74,97,27,37,15,53,62,64,38,100,20,78,7,64,36,8,11,72,3,46,97,17,42,40,41,57,8,31,20,73,37,16,69
k_22,30,60,61,4,17,79,54,78,14,33,6,13,79,100,70,56,80,23,18,96,52,72,54,4,61,34,76,40,33,5,20,10,75,43,70,32,33,89,9,94,41,80,96,45,99
k_23,99,8,48,20,55,7,45,32,73,7,4,98,75,23,82,22,57,7,28,85,52,12,73,73,77,2,12,11,20,91,62,69,79,1,70,91,55,10,18,94,86,3,16,56,25
k_24,88,28,59,38,83,11,85,44,25,98,21,50,59,85,75,44,27,39,36,82,15,10,74,13,64,52,61,68,85,17,98,64,20,85,26,52,33,2,26,10,48,58,68,83,32
k_25,5,47,63,58,47,76,35,18,74,50,33,83,47,73,72,98,35,93,74,54,86,29,82,65,60,43,34,28,55,48,29,89,37,30,43,83,91,86,55,98,96,26,13,5,55
k_26,7,82,54,44,33,36,2,63,86,57,91,19,62,81,59,96,48,25,14,90,43,16,42,39,1,6,56,60,83,98,43,14,20,73,45,3,62,87,75,44,37,17,83,64,65
k_27,2,91,9,27,1,97,13,71,10,7,74,17,77,48,57,84,38,8,79,72,31,100,33,94,73,40,58,87,93,67,21,25,8,33,35,66,60,54,52,57,49,17,12,55,58
k_28,60,22,49,52,33,29,28,27,92,52,29,36,65,37,6,51,74,22,29,16,18,35,73,35,66,5,42,81,74,16,6,67,82,10,70,2,29,75,41,81,53,1,63,43,62
k_29,8,83,74,15,58,77,81,89,73,34,2,69,30,70,33,35,84,95,97,28,42,91,88,64,95,57,42,29,62,21,48,31,99,78,6,20,96,93,16,90,68,73,95,60,100
k_30,38,50,6,100,81,99,76,69,89,41,78,70,40,40,27,44,31,59,89,20,56,23,42,10,33,89,54,85,47,35,70,2,22,65,83,9,98,42,86,1,43,55,21,77,1
k_31,94,6,77,35,32,41,13,51,55,85,19,8,87,93,100,45,25,63,99,72,6,90,45,16,24,76,43,25,45,4,62,83,62,16,94,35,41,96,77,20,96,13,64,51,17
k_32,51,71,20,3,99,56,77,79,77,31,92,62,95,97,10,15,18,52,81,7,84,11,10,75,62,53,7,87,74,35,60,28,53,16,60,58,52,62,88,32,57,58,20,72,48
k_33,74,8,12,35,10,84,45,35,85,47,56,26,96,8,21,90,5,72,85,76,16,32,89,83,68,34,17,95,88,64,100,22,44,94,99,50,92,97,69,53,21,12,35,55,73
k_34,7,69,49,12,51,65,20,68,99,38,93,24,16,85,83,93,69,94,31,49,1,45,12,25,75,24,64,38,68,29,3,59,73,81,95,15,42,63,40,58,8,11,61,27,96
k_35,52,6,58,57,34,99,8,5,88,12,81,97,6,44,77,89,28,20,65,89,85,48,23,52,36,75,98,93,5,9,51,93,90,52,33,27,85,14,11,25,80,51,82,12,10
k_36,95,2,9,46,71,13,92,38,81,8,2,54,83,85,28,18,58,29,96,51,96,18,46,13,12,27,7,19,100,63,7,100,32,54,39,51,46,24,4,14,83,21,80,58,56
k_37,27,29,33,31,10,54,61,22,61,93,60,54,68,9,7,41,36,18,19,20,86,90,85,30,22,31,14,88,8,46,36,71,52,96,34,93,77,79,40,52,66,30,35,55,7
k_38,14,50,43,16,43,2,1,98,40,37,17,84,91,76,42,50,4,24,96,97,52,25,73,88,3,69,53,64,40,3,40,50,49,9,20,84,9,23,64,66,22,4,88,11,5
k_39,59,10,27,4,9,91,72,31,38,46,65,6,18,91,40,38,60,64,39,94,43,47,17,87,30,92,38,19,50,29,77,60,42,90,12,3,61,40,90,19,86,31,59,34,97
k_40,9,20,72,45,62,28,52,46,16,3,55,91,8,65,9,35,5,61,98,31,89,66,46,41,85,48,8,60,83,23,14,14,26,99,94,25,87,22,15,73,93,54,56,40,12
k_41,71,91,92,85,58,91,14,22,48,56,84,86,7,92,44,36,25,28,72,18,73,41,50,62,79,26,82,6,42,12,29,27,88,82,80,19,54,60,44,22,28,10,63,44,24
k_42,82,44,39,56,10,48,17,68,58,68,99,11,4,10,17,52,8,41,96,14,52,1,78,64,68,66,62,55,72,3,8,11,70,64,38,14,31,15,69,87,20,15,61,41,24
k_43,11,49,44,97,64,5,86,41,80,5,42,92,29,34,15,11,45,67,19,49,79,90,49,37,38,43,88,44,26,51,86,84,73,64,47,81,7,76,58,9,67,67,39,48,14
k_44,72,53,79,2,5,71,41,17,24,42,75,77,24,47,39,81,79,12,59,65,52,89,66,11,10,34,86,84,97,87,20,81,90,82,69,71,98,32,14,35,44,37,92,48,65
k_45,44,88,65,84,71,51,96,44,61,85,91,70,66,42,39,70,58,30,48,59,22,51,73,94,31,94,84,71,44,10,1,15,78,55,33,32,35,83,68,99,18,17,31,92,54
k_46,31,64,32,32,8,18,76,85,33,70,33,76,2,65,65,60,11,86,41,97,20,60,74,13,97,16,66,42,94,16,18,16,7,33,30,56,77,84,37,60,30,53,4,65,61
k_47,4,19,91,67,89,28,92,79,87,53,8,48,98,61,56,52,49,36,48,39,22,11,88,50,87,53,66,85,81,81,20,34,23,99,13,72,20,13,17,16,55,79,25,4,22
k_48,30,63,19,11,19,84,95,69,52,35,38,5,12,59,87,38,37,77,11,90,40,5,65,2,78,65,79,70,9,2,57,29,38,7,59,25,26,71,22,7,5,29,83,17,16
k_49,13,46,44,79,58,15,9,2,51,100,100,91,65,72,24,79,1,73,71,5,76,49,92,92,19,69,64,16,10,70,68,55,33,91,64,97,83,10,21,9,14,100,36,71,66
k_50,52,17,39,12,53,44,69,69,78,38,3,84,20,39,42,85,95,76,71,56,47,9,30,18,28,86,85,10,21,68,16,94,26,49,65,31,6,65,58,79,10,70,69,94,86
k_51,48,21,100,54,83,58,30,99,45,38,94,95,20,100,61,89,44,78,3,28,88,89,58,76,12,50,79,54,38,89,55,32,40,88,25,30,58,2,43,88,67,19,28,57,69
k_52,65,32,50,47,63,99,63,74,73,78,95,77,49,25,84,12,19,52,13,36,56,33,17,40,29,75,12,72,72,79,48,22,96,9,44,63,63,80,57,19,28,14,62,22,12
k_53,27,9,41,35,26,57,11,41,63,48,42,98,58,65,12,45,23,12,40,8,11,64,63,21,67,40,78,59,32,6,82,56,24,80,38,1,18,61,8,81,93,28,17,87,7
k_54,5,25,62,45,51,28,36,80,28,34,14,100,52,44,65,52,46,22,49,65,95,82,60,79,72,4,52,12,71,86,34,40,1,20,7,31,79,72,30,22,50,99,63,38,29
k_55,16,50,89,2,71,38,93,18,78,71,38,60,100,24,7,90,3,42,41,48,5,29,42,73,60,88,70,59,42,82,48,5,37,39,19,76,97,24,95,68,51,31,98,86,88
k_56,33,76,33,77,94,45,20,75,84,79,4,72,50,20,20,36,38,22,45,14,64,92,52,7,67,49,69,63,17,55,30,20,93,67,49,77,17,80,88,13,62,79,48,97,38
k_57,96,45,25,32,31,30,17,41,60,35,43,48,93,48,54,32,58,14,68,39,5,94,64,19,24,81,70,75,97,32,27,60,97,96,35,50,85,20,90,93,59,1,19,72,69
k_58,21,58,79,16,57,63,56,2,81,79,10,32,15,92,88,94,21,37,61,87,70,29,59,15,91,11,21,12,63,34,47,80,65,15,82,68,36,45,97,42,52,100,4,38,71
k_59,82,61,76,52,94,80,95,32,15,36,68,48,49,51,49,59,47,44,42,58,3,59,69,56,70,5,92,99,94,96,64,1,85,39,21,26,12,34,42,88,76,57,41,67,23
k_60,11,20,89,27,6,80,35,78,80,70,31,31,17,87,63,10,31,41,87,63,47,25,44,37,100,17,33,1,91,78,86,37,68,100,65,7,71,92,60,60,98,23,97,34,46
k_61,64,9,43,7,50,85,75,99,59,33,51,27,97,56,39,55,9,53,5,85,61,74,69,45,45,9,92,83,12,50,66,98,30,67,60,34,79,99,10,54,66,34,22,50,85
k_62,93,41,94,65,15,18,71,77,71,59,80,89,68,59,61,54,60,75,55,29,29,14,45,48,9,43,11,20,92,66,100,50,47,81,70,39,98,39,93,72,62,80,22,20,70
k_63,36,92,40,68,30,9,85,34,71,81,53,13,87,93,40,43,21,81,84,13,70,14,66,42,67,78,72,68,44,98,8,34,59,62,86,13,95,41,39,29,10,48,25,1,64
k_64,90,62,62,81,34,28,14,79,79,23,67,62,89,77,44,58,28,92,23,24,64,27,41,9,91,63,30,96,33,76,27,63,8,57,79,84,30,41,13,20,18,32,20,83,16
k_65,20,100,83,77,27,96,23,9,20,23,91,54,37,24,53,27,12,39,62,88,70,15,56,7,65,91,29,29,32,73,43,79,18,54,54,27,63,56,14,17,68,87,33,88,3
k_66,21,68,60,99,77,95,8,96,75,79,34,71,20,71,22,1,45,17,100,78,78,78,65,73,87,79,86,44,48,45,25,38,58,48,78,68,29,93,30,61,37,28,44,26,21
k_67,62,51,65,9,12,91,100,94,42,69,55,54,51,80,18,14,74,61,47,10,32,10,84,2,41,97,97,16,3,59,67,84,21,81,58,37,3,27,1,4,13,100,9,29,15
k_68,78,29,33,9,96,13,75,77,58,50,8,51,100,94,14,21,100,42,31,23,35,70,13,10,5,12,39,6,80,5,28,59,2,19,16,45,58,21,91,46,19,74,16,52,40
k_69,94,29,76,90,38,66,16,35,73,51,43,73,33,100,31,76,31,86,62,53,66,66,58,12,31,7,70,86,67,59,46,25,98,36,58,61,74,60,65,84,23,70,53,84,21
k_70,20,16,77,35,100,34,85,88,64,80,21,5,30,10,32,42,58,79,20,15,95,10,76,100,13,29,69,95,62,74,68,38,72,58,37,81,8,80,96,35,91,35,84,39,88
k_71,14,24,26,20,46,10,29,19,91,66,21,66,69,57,47,69,50,94,38,79,61,64,48,24,60,75,47,49,80,81,69,61,27,28,15,22,60,58,73,25,5,68,32,48,86
k_72,95,73,18,77,30,89,46,40,77,8,41,19,59,48,82,40,73,64,77,99,22,73,22,64,38,42,46,41,49,48,50,41,57,42,92,43,76,98,99,91,17,73,28,79,82
k_73,95,71,73,8,87,60,92,25,19,28,23,45,30,26,68,84,1,90,78,83,47,92,20,61,66,98,85,24,12,17,73,76,2,23,78,13,25,59,21,25,72,4,49,72,71
k_74,73,77,62,19,30,13,38,37,5,21,25,80,6,24,21,35,20,18,49,31,20,28,83,33,35,31,9,68,99,81,83,90,99,33,50,95,83,54,55,44,84,11,83,29,2
k_75,31,33,15,49,95,7,70,16,15,56,18,36,15,17,19,7,45,32,19,38,28,63,28,71,74,54,33,45,2,79,82,79,12,66,9,54,88,42,78,97,32,34,28,1,100
k_76,57,65,67,92,33,90,98,48,38,39,58,51,59,24,12,1,81,14,67,49,45,42,7,78,48,95,59,8,61,47,62,65,84,55,24,79,74,44,72,91,55,83,93,75,80
k_77,9,66,63,90,76,65,18,90,9,26,17,14,59,37,9,98,99,49,83,14,43,38,91,83,100,77,92,42,98,9,66,8,42,46,48,59,35,99,65,61,31,78,17,30,45
k_78,37,39,15,94,51,71,62,14,84,38,72,92,69,72,34,69,88,29,67,71,65,93,84,34,62,25,59,89,48,23,73,78,78,27,48,85,52,63,1,100,20,16,54,97,16
k_79,95,26,67,5,46,64,70,48,28,30,82,40,18,15,38,32,35,24,55,29,66,72,9,89,15,92,1,84,53,24,57,4,62,66,98,85,92,73,83,14,86,82,81,80,89
k_80,48,26,89,92,29,47,24,69,94,51,28,13,12,31,22,64,33,44,97,63,76,51,73,52,69,41,69,66,29,9,49,68,91,86,53,56,44,86,11,53,39,92,84,28,62
k_81,84,63,28,77,87,45,36,1,5,49,32,56,55,7,40,1,80,4,5,7,19,66,43,72,43,57,95,83,86,75,45,64,98,82,49,22,74,77,23,43,34,71,77,77,61
k_82,23,82,63,51,98,9,48,65,60,16,93,67,4,42,58,81,47,82,3,68,3,21,41,47,76,78,79,85,42,89,49,10,31,32,22,77,33,5,37,40,4,21,64,27,85
k_83,91,50,59,30,37,74,29,54,67,26,97,67,32,32,11,77,84,20,53,21,4,19,37,50,61,56,97,72,4,55,1,92,8,49,84,71,66,48,76,76,82,93,90,69,62
k_84,35,35,46,73,60,39,97,54,52,48,32,34,79,26,91,76,62,76,26,11,32,34,8,87,82,86,59,52,71,56,95,70,2,46,91,69,3,15,63,76,70,40,8,91,59
k_85,39,62,90,73,50,6,20,6,87,59,34,42,22,52,85,86,12,22,72,13,68,42,20,40,82,20,3,4,25,1,93,94,9,67,20,24,10,67,16,16,54,70,31,1,20
k_86,89,29,6,32,92,47,24,96,83,25,61,95,54,34,41,10,48,16,73,15,96,8,58,60,44,40,12,88,49,43,88,61,53,90,99,74,81,38,61,16,48,4,50,88,30
k_87,84,54,83,47,91,82,72,53,23,44,14,10,59,90,96,39,72,32,65,76,68,80,89,44,9,18,31,22,28,89,83,49,53,37,90,60,66,80,65,88,65,3,85,76,25
k_88,27,5,14,21,53,67,41,43,79,74,56,100,82,53,82,94,18,78,42,17,61,25,21,54,23,11,29,34,73,71,78,3,89,33,42,29,25,11,68,49,71,71,83,47,77
k_89,4,86,7,6,51,75,72,54,48,83,1,2,22,81,73,59,50,28,57,88,27,55,8,24,55,40,32,9,41,23,43,70,90,31,67,53,81,85,61,76,47,56,46,72,97
k_90,16,42,55,6,76,30,10,12,72,5,31,48,44,98,62,54,6,81,57,77,15,33,84,96,34,77,56,31,49,83,70,36,64,37,71,66,18,20,88,17,45,48,5,29,58
k_91,72,38,72,85,72,29,32,49,86,49,92,55,88,17,43,98,75,56,18,34,45,45,38,7,58,28,10,35,15,97,9,28,33,6,99,5,10,6,98,19,43,33,18,57,26
k_92,99,46,72,30,40,70,5,22,4,30,32,83,80,97,97,24,97,69,40,99,65,61,65,98,63,82,2,44,56,47,60,86,11,36,54,53,24,12,42,94,83,30,15,2,31
k_93,15,74,68,100,91,19,53,6,77,70,36,69,58,94,92,47,34,22,96,74,95,22,27,88,52,33,82,49,82,83,84,77,52,23,70,45,99,33,95,6,71,93,99,77,85
k_94,98,64,86,37,64,13,4,35,97,85,45,12,68,50,56,32,16,18,5,62,82,47,66,10,95,57,4,92,15,14,32,2,24,7,30,60,45,35,3,40,30,13,75,12,99
k_95,42,32,19,9,81,5,18,54,65,90,47,3,21,52,15,14,17,71,21,60,24,63,69,55,25,68,21,6,83,50,18,86,31,32,54,9,48,85,33,7,40,28,72,26,46
k_96,98,83,81,11,15,9,85,17,9,36,86,36,62,74,99,48,11,55,33,97,51,35,40,88,11,85,9,86,1,90,91,15,92,88,30,28,85,32,57,4,66,21,39,24,28
k_97,85,70,64,5,52,97,38,76,25,31,68,37,7,48,2,24,2,48,73,50,22,26,33,48,85,29,58,72,10,11,52,60,70,31,22,50,52,20,37,84,4,37,70,57,72
k_98,46,27,96,12,20,41,37,77,96,59,64,58,74,96,33,8,90,98,5,32,4,44,85,29,10,11,7,80,96,23,95,96,37,10,79,39,86,87,89,4,27,48,79,64,65
k_99,49,26,35,57,89,2,37,68,59,24,32,45,34,80,28,1,46,96,63,57,31,17,77,34,27,24,68,17,86,15,20,36,17,11,68,84,64,7,8,34,47,8,100,16,57
