commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_6,e_7,e_8,e_9
k_25,87,94,12,20,75,42,73,42,89,41,9,3,35,93,49,63,50,35,26,12,50,29,28,89,24,21,13,33,81,86,89,23,40,51,93,43,64,64,53,57,43,42,47,82,40,32,16,94,78,6,42,43,57,2,23
k_26,40,22,27,88,99,96,63,65,1,8,42,26,69,2,63,8,38,63,70,65,27,56,56,80,7,12,55,96,30,19,60,99,59,64,61,8,8,52,86,67,90,56,93,37,39,30,44,61,93,46,11,48,53,26,73
k_27,65,71,87,69,29,84,12,27,52,22,95,30,56,14,44,67,2,12,16,98,45,82,36,80,66,56,99,55,60,96,48,68,82,51,52,10,46,8,63,47,25,31,40,99,9,58,1,91,85,44,85,30,66,91,90
k_28,16,49,5,67,60,66,98,98,34,80,24,5,71,84,77,17,72,60,22,2,24,35,79,71,24,89,79,9,35,65,73,22,1,91,36,31,94,65,11,21,16,82,37,87,34,52,93,43,49,1,40,63,47,88,69
k_29,51,84,83,31,55,87,13,4,42,27,47,73,94,11,91,27,92,5,52,43,18,5,45,78,29,20,71,81,90,33,75,23,42,96,29,60,70,73,5,97,97,10,80,4,99,2,69,100,77,42,74,30,22,63,87
k_30,63,9,54,28,74,10,35,27,51,48,59,25,25,89,68,13,59,69,24,76,81,47,3,63,91,18,48,58,21,61,15,26,93,74,6,76,61,95,61,39,85,19,100,22,36,99,67,79,33,56,47,10,51,95,80
k_31,100,99,85,22,16,72,75,58,31,17,65,21,29,90,77,84,58,16,6,85,71,12,44,19,53,45,82,100,56,11,3,46,22,75,68,99,33,2,62,55,32,28,30,35,58,5,7,71,50,41,69,73,92,97,88
k_32,38,48,14,90,73,58,2,71,66,65,22,83,9,76,77,68,13,31,94,60,40,46,44,72,82,44,51,24,35,84,68,35,5,52,88,44,97,63,10,21,3,69,28,65,78,18,24,99,60,70,31,83,39,10,16
k_33,18,92,37,17,63,41,19,46,71,89,84,33,5,51,1,8,8,64,14,19,54,17,94,50,4,23,31,84,85,68,52,15,16,77,75,65,29,28,56,12,67,93,83,44,87,67,100,88,16,23,69,23,47,84,100
k_34,71,67,5,76,44,3,10,35,31,63,50,64,74,43,60,16,39,68,32,21,94,25,5,28,36,10,14,70,55,48,99,36,90,72,9,91,28,11,21,7,54,64,34,99,58,45,6,47,13,35,6,62,85,28,37
k_35,23,99,62,92,27,48,79,12,85,13,89,68,56,13,39,99,15,83,55,84,64,51,2,82,11,98,93,1,42,14,61,21,62,51,83,99,16,55,46,41,35,55,5,54,86,82,46,77,95,13,17,36,60,18,3
k_36,4,61,29,82,96,43,82,20,79,7,44,61,7,99,55,88,4,97,56,48,87,13,76,38,27,16,77,31,4,48,91,94,75,83,69,61,33,49,33,39,14,12,19,2,64,18,73,71,79,53,91,46,88,67,95
k_37,31,7,32,15,99,69,26,8,23,70,49,64,85,86,93,38,31,53,68,16,7,100,69,29,49,30,11,13,82,73,25,82,69,59,17,3,74,68,81,92,94,71,5,17,54,67,57,4,28,43,87,62,55,18,67
k_38,95,47,6,20,1,19,40,45,93,3,88,29,92,52,81,70,86,82,28,63,28,53,29,89,27,38,93,34,89,63,23,26,70,90,81,77,44,86,17,53,46,26,17,95,41,14,40,8,20,48,71,89,79,9,63
k_39,33,21,16,55,96,4,61,70,92,72,40,45,41,48,50,12,53,49,18,76,85,86,3,73,13,71,63,16,6,53,93,86,17,70,35,48,20,55,85,25,45,57,23,69,70,57,48,52,61,94,15,1,66,63,25
k_40,10,3,18,23,52,48,70,20,26,61,73,58,55,76,100,59,93,39,97,39,70,48,1,28,79,38,36,41,11,64,14,50,23,13,67,97,54,26,16,68,81,91,81,97,60,52,58,95,91,51,74,98,7,80,9
k_41,56,43,96,28,88,29,39,48,85,31,99,29,46,24,16,50,61,66,62,63,90,49,88,36,81,76,25,42,8,55,100,72,7,63,63,3,56,46,66,73,19,87,84,85,97,6,100,23,61,16,21,52,76,49,100
k_42,53,78,73,88,29,25,56,46,63,54,82,67,22,6,12,89,74,15,14,82,76,53,86,100,44,13,94,27,57,43,62,27,17,5,13,29,91,52,49,41,78,89,98,94,8,22,55,71,7,79,14,44,38,96,79
k_43,86,53,31,23,72,55,88,71,58,14,69,9,33,23,19,3,26,90,81,84,30,69,96,39,24,86,5,75,77,54,13,82,93,33,82,97,29,39,76,99,31,73,69,23,38,27,64,35,33,19,36,58,69,42,56
k_44,99,1,21,2,4,48,38,82,5,35,48,82,82,33,95,86,34,13,91,33,30,36,10,56,87,40,87,37,16,11,18,63,75,10,53,52,52,10,92,77,89,65,17,21,15,44,57,22,45,6,73,59,69,41,11
k_45,73,64,21,53,4,73,79,80,81,66,13,90,13,8,7,91,28,79,31,23,60,57,97,76,47,80,26,38,64,99,87,48,12,90,78,86,25,85,8,11,46,36,35,14,14,25,36,14,48,61,93,37,12,91,34
k_46,91,88,15,27,6,85,59,36,38,36,86,17,83,20,96,25,51,32,41,79,82,47,89,68,48,62,8,84,47,18,58,87,100,42,90,29,70,89,92,95,86,26,69,11,8,87,47,44,80,4,23,63,17,75,91
k_47,74,85,95,46,4,32,65,11,50,15,78,91,37,31,10,26,3,12,83,59,6,4,61,68,78,87,38,22,88,58,5,77,23,14,92,43,20,51,90,43,60,17,18,76,22,71,66,22,99,35,44,6,44,90,24
k_48,11,9,19,84,67,72,1,40,84,31,3,96,82,66,58,71,23,75,88,18,14,53,92,46,6,1,74,27,81,57,45,93,49,10,83,48,30,99,28,49,93,13,88,31,90,99,37,2,82,94,30,48,21,72,56
k_49,31,23,80,58,2,45,95,4,59,23,73,21,30,12,13,93,20,15,29,48,8,36,99,78,50,18,40,78,14,2,92,12,25,70,65,13,40,18,16,62,48,87,77,70,83,88,27,18,31,70,4,74,42,6,100
k_50,30,51,11,30,89,33,73,43,39,21,88,44,19,54,33,49,32,22,63,24,51,22,41,86,43,48,2,62,62,72,14,27,73,46,38,85,57,88,92,75,32,18,72,7,84,68,57,44,75,21,23,53,81,92,7
k_51,4,82,61,55,59,100,23,53,9,59,89,95,20,96,20,22,99,69,64,63,43,8,88,6,68,3,8,40,49,25,48,58,99,11,25,4,77,78,50,70,20,44,30,75,54,52,3,36,99,31,89,56,100,72,3
k_52,56,28,95,73,82,34,41,46,7,96,85,41,44,34,72,13,18,41,99,21,68,4,21,88,58,91,86,17,75,34,32,11,88,63,45,94,78,33,19,54,95,49,9,38,23,26,99,65,51,62,69,11,43,55,13
k_53,75,100,45,24,25,85,45,86,94,27,93,13,61,24,54,94,19,77,89,36,20,88,32,36,5,84,87,85,98,40,62,88,32,17,99,54,7,44,98,47,88,32,48,72,82,15,5,23,56,28,63,85,21,92,96
k_54,6,73,42,83,86,7,9,78,9,19,48,55,11,95,26,5,81,15,48,73,98,76,5,54,96,44,55,73,63,45,33,79,22,37,1,9,94,96,66,23,79,79,41,78,39,9,36,61,46,78,56,2,17,25,82
k_55,91,76,87,93,9,56,6,23,12,29,37,75,35,57,87,64,14,96,61,12,10,62,82,82,67,49,50,45,12,31,40,6,30,52,55,5,1,78,85,32,85,93,9,71,64,93,76,30,45,17,46,41,90,98,12
k_56,6,38,31,25,68,87,59,4,37,95,68,51,56,45,40,22,51,15,92,5,55,53,53,80,3,71,44,14,33,32,89,82,92,85,99,7,28,23,87,36,16,96,89,7,86,76,90,42,52,86,91,44,89,27,82
k_57,8,20,53,91,91,71,77,72,23,24,48,44,61,1,53,53,67,57,76,14,80,41,84,37,14,17,25,57,6,59,51,37,96,33,19,62,17,46,15,18,88,90,34,75,12,2,100,26,9,31,42,29,87,93,14
k_58,11,11,20,40,4,20,59,97,18,8,49,93,81,57,10,23,41,48,82,75,27,90,45,91,10,88,43,24,29,37,41,8,27,1,51,85,93,50,94,91,40,77,19,48,53,51,21,33,10,20,80,11,49,55,73
k_59,59,91,5,14,41,61,10,100,70,90,87,69,68,90,84,82,29,96,35,48,41,1,83,43,24,53,10,60,54,78,75,6,1,24,98,86,49,14,59,24,24,2,99,80,23,68,5,12,13,17,36,65,91,44,17
k_60,34,72,48,1,37,45,20,61,66,94,36,43,91,38,90,9,4,95,73,16,27,24,85,6,71,62,97,15,40,47,59,73,82,56,89,10,77,84,31,94,24,58,12,44,72,49,28,81,60,29,49,25,16,44,84
k_61,50,39,42,35,4,7,64,79,63,64,65,92,88,50,86,96,98,93,11,34,88,65,60,10,91,8,26,43,86,73,81,97,16,68,22,83,94,82,8,83,32,71,19,32,64,1,51,23,39,34,44,59,43,96,14
k_62,59,24,74,39,1,33,32,8,85,66,23,28,39,21,77,38,1,76,91,23,21,45,18,81,70,81,87,27,32,18,78,4,94,50,72,84,44,94,93,28,76,71,82,18,7,59,19,100,69,73,74,65,96,42,13
k_63,94,19,87,34,65,38,72,10,34,42,91,53,100,62,70,25,70,93,13,57,22,96,2,37,30,79,69,96,14,100,86,74,85,61,61,81,4,10,100,32,49,29,19,46,61,68,64,68,29,2,96,21,10,81,74
k_64,100,4,88,14,51,50,1,86,44,54,41,24,31,95,5,77,70,94,28,96,44,70,86,56,37,18,27,57,36,42,82,94,32,51,58,19,69,52,65,13,79,22,17,28,65,40,4,14,26,62,86,35,79,4,45
k_65,65,16,10,76,5,8,39,17,18,31,10,90,54,96,62,53,52,89,89,59,8,62,88,43,16,30,67,32,76,47,89,41,4,82,45,31,53,59,26,83,75,27,31,14,7,40,40,87,91,95,34,97,11,14,30
k_66,95,61,9,75,97,81,58,47,17,63,56,81,99,4,84,35,4,72,99,94,58,65,42,64,42,13,1,40,98,83,45,29,81,21,45,42,62,28,38,99,67,52,14,10,53,61,97,26,84,83,54,19,75,10,78
k_67,30,23,21,81,18,95,95,18,89,47,83,22,57,14,64,54,47,75,60,11,10,100,8,15,92,93,33,78,75,59,46,37,12,49,85,92,60,59,77,97,9,15,93,100,18,47,94,90,23,3,3,58,64,43,11
k_68,71,6,61,58,8,71,80,97,75,94,12,71,81,24,88,27,55,58,1,22,78,33,4,69,9,79,20,27,22,18,27,97,13,66,73,37,40,22,66,4,8,13,58,24,26,73,64,79,5,27,57,22,51,28,25
k_69,89,28,34,73,59,48,36,80,12,34,23,97,79,69,68,75,15,64,19,99,13,29,79,6,27,20,50,77,11,28,82,75,65,92,79,6,72,16,2,16,20,12,70,18,56,68,60,70,52,98,86,51,80,72,81
k_70,62,13,4,77,96,55,44,14,30,35,54,15,48,90,35,23,82,10,11,27,33,37,59,44,60,57,69,18,40,58,7,87,60,83,60,72,42,43,57,53,22,25,89,31,58,10,60,99,42,98,46,78,54,58,4
k_71,32,58,8,57,78,83,15,20,54,82,8,33,21,7,23,65,71,31,56,11,98,40,31,50,85,37,89,94,91,22,12,42,99,69,26,74,16,57,41,58,85,6,59,85,19,21,39,22,29,12,49,57,61,30,70
k_72,86,49,33,3,96,43,23,70,91,74,14,87,15,73,28,34,16,6,85,64,59,28,21,64,70,38,66,82,52,65,29,17,14,76,87,87,17,98,70,56,28,66,65,31,84,96,97,49,84,99,73,3,11,38,35
k_73,92,19,10,58,57,86,83,19,13,92,75,69,37,22,21,54,48,88,10,34,22,48,92,48,42,40,69,49,43,65,53,8,58,1,6,11,22,98,33,69,75,71,11,39,69,48,71,98,52,26,25,33,58,86,61
k_74,93,36,64,54,37,68,95,99,84,19,44,5,27,2,59,21,49,85,69,88,85,40,90,71,52,82,97,74,84,79,2,5,15,69,18,12,50,56,94,10,71,85,56,1,92,28,46,56,14,36,1,56,6,26,93
k_75,39,10,25,66,51,30,16,48,38,29,92,69,24,83,1,96,17,56,53,39,77,58,16,38,23,24,1,11,7,55,50,39,28,55,79,29,36,18,32,23,65,8,43,23,90,26,100,50,10,28,85,82,86,78,70
k_76,65,37,8,84,98,32,54,11,47,41,1,76,57,10,65,76,70,89,10,93,25,22,46,38,46,36,62,91,21,67,98,24,61,52,35,13,3,39,55,86,16,84,43,93,22,40,38,91,1,47,43,89,81,42,41
k_77,49,93,17,77,34,65,58,96,30,82,18,55,68,58,99,8,48,31,64,42,40,6,48,91,93,21,70,100,44,31,54,43,49,100,89,30,6,34,93,54,83,96,42,60,31,66,71,68,27,76,35,27,21,63,43
k_78,86,14,99,77,99,15,55,31,100,13,23,42,28,6,58,22,45,68,3,12,21,12,7,96,85,55,99,60,53,53,99,70,19,32,36,20,53,45,3,55,4,18,47,48,76,29,21,4,29,78,59,8,92,29,67
k_79,11,90,55,15,30,62,67,64,49,68,16,96,86,54,64,100,80,12,5,90,28,73,35,48,65,70,24,3,100,1,50,6,21,73,70,6,90,37,85,66,13,50,57,46,7,39,67,65,64,43,75,62,65,52,60
k_80,45,45,43,69,31,88,77,75,35,25,38,58,90,8,59,96,17,89,56,63,50,60,94,48,71,32,43,57,15,47,7,46,38,54,90,70,19,99,2,15,98,33,72,42,87,15,55,2,61,43,27,15,6,11,11
k_81,3,9,81,34,71,63,22,1,84,25,6,78,93,81,20,56,86,96,59,18,82,22,85,82,13,10,97,44,8,21,41,22,84,74,62,42,77,26,59,9,50,40,81,84,60,83,40,76,66,45,22,37,86,29,65
k_82,24,16,43,41,67,5,52,16,27,23,90,36,92,28,26,98,37,61,22,75,61,49,25,96,12,8,4,96,71,30,80,88,27,72,76,63,1,51,44,6,97,63,83,62,84,78,76,64,23,16,96,94,94,25,71
k_83,58,73,63,60,85,99,2,23,1,96,77,87,4,24,10,53,35,37,48,10,63,4,41,25,54,19,92,6,83,33,44,84,44,79,20,83,73,78,91,86,68,38,21,33,86,26,73,75,17,57,32,8,92,25,66
k_84,5,84,15,90,32,60,11,47,77,24,25,35,70,55,58,72,14,19,10,34,88,46,44,19,98,51,40,29,10,5,55,27,74,1,34,47,94,77,74,19,4,98,56,65,50,44,8,49,73,80,61,44,1,79,67
k_85,81,36,32,30,11,32,51,13,74,14,16,64,30,41,56,47,29,8,39,94,24,20,99,11,16,36,30,38,8,89,52,90,60,72,14,23,83,72,10,18,74,54,21,44,24,85,19,78,93,77,47,61,74,16,7
k_86,80,88,54,22,27,66,3,27,76,57,1,88,76,28,49,78,84,65,72,39,31,95,54,75,81,59,35,18,73,8,81,97,11,16,39,77,8,36,56,76,91,16,55,65,79,97,68,38,69,7,78,3,47,37,11
k_87,21,94,43,95,71,44,32,17,32,92,68,4,54,63,73,84,33,61,33,40,33,78,70,42,63,84,20,58,1,44,15,15,21,42,93,47,61,47,46,76,27,44,25,85,67,98,21,34,68,97,32,53,88,8,87
k_88,30,2,81,2,87,56,93,81,93,52,32,73,98,7,20,62,64,31,93,89,32,33,94,85,30,19,8,60,60,64,59,63,5,96,53,74,66,30,75,77,77,42,11,44,36,4,43,10,44,13,49,99,25,31,82
k_89,35,7,2,41,57,17,77,54,43,94,58,79,67,32,63,100,1,91,54,89,47,60,66,16,99,8,97,48,65,77,71,25,91,17,99,16,73,5,31,18,3,88,58,20,53,54,13,99,98,56,30,68,90,18,9
k_90,93,5,3,94,86,85,89,41,84,58,37,99,71,62,1,80,16,100,91,63,50,53,100,76,11,53,52,52,35,6,20,45,13,26,57,85,43,33,29,54,73,78,89,90,30,58,53,68,18,2,87,41,39,17,62
k_91,93,70,6,34,27,31,100,83,23,86,84,78,97,55,24,71,99,58,94,85,48,62,7,8,67,63,13,50,17,32,32,89,62,7,67,85,72,44,21,24,39,55,27,24,95,21,21,44,97,84,25,91,34,82,79
k_92,66,79,28,41,47,12,30,44,17,19,50,56,61,54,30,38,75,89,66,5,11,100,12,97,59,51,31,85,58,93,58,21,78,65,100,98,10,61,40,57,52,43,23,39,8,44,81,56,74,52,54,19,74,97,42
k_93,55,93,10,75,73,83,75,39,6,19,19,65,91,52,52,81,63,72,81,22,42,93,67,21,35,38,39,74,53,69,54,82,6,5,61,67,86,66,36,43,38,50,21,36,8,39,19,71,99,38,36,28,18,49,41
k_94,84,94,16,3,2,46,39,31,74,7,12,70,11,32,93,90,80,1,34,100,86,60,82,95,46,32,59,12,13,97,74,79,44,61,87,7,12,97,51,90,38,70,2,4,76,53,98,56,6,65,45,89,8,86,59
k_95,4,59,71,90,63,91,8,77,46,61,5,73,1,4,30,86,28,10,77,18,38,4,6,70,22,16,6,40,68,70,4,19,59,89,97,16,87,6,72,67,40,35,61,23,19,1,6,25,34,29,46,38,27,45,96
k_96,84,22,98,90,12,77,10,49,53,80,98,73,74,99,47,48,98,71,71,84,63,8,67,46,86,10,96,65,3,27,99,61,65,24,75,42,30,18,50,57,66,69,45,14,93,16,46,77,53,30,72,30,87,11,51
k_97,50,66,4,86,90,85,46,20,40,30,42,43,3,16,43,40,21,61,29,13,5,68,25,49,3,100,59,43,77,80,99,63,75,58,37,72,43,99,54,47,55,41,90,32,55,83,44,19,27,94,95,37,78,7,16
k_98,2,33,70,80,51,38,93,54,17,68,1,2,33,6,17,25,47,1,17,12,33,81,68,5,16,16,63,89,5,74,92,18,98,66,70,65,91,75,48,86,81,90,56,21,85,41,19,71,63,35,67,17,77,97,35
k_99,1,86,67,45,87,24,68,41,57,5,43,86,35,14,28,71,62,19,13,3,4,22,7,3,43,1,71,80,95,86,33,60,77,33,54,39,2,18,1,48,18,23,12,20,80,31,33,39,64,35,100,12,2,48,75
