commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_7,e_8,e_9
k_31,99,75,85,65,99,95,71,99,61,68,58,26,94,96,62,37,100,93,19,1,75,13,8,12,73,85,23,4,69,76,98,34,67,32,31,18,34,48,44,56,35,34,56,14,21,17,60,2,64,38,90,85,39,25,75,58,30,54,100,31
k_32,95,98,72,10,57,36,11,40,47,79,65,20,93,29,14,72,90,43,17,60,86,61,95,4,61,77,70,94,1,18,31,67,54,1,17,78,80,40,20,55,41,77,96,57,9,33,45,72,71,63,68,96,12,14,72,90,100,5,14,22
k_33,68,3,49,1,86,99,99,83,68,61,86,72,64,40,79,28,15,100,4,19,75,70,64,26,8,52,51,13,69,58,56,28,44,78,37,65,38,81,96,39,100,42,26,91,65,4,50,31,72,70,97,12,64,78,77,83,99,77,37,66
k_34,57,80,53,100,38,55,90,56,15,27,21,7,88,21,15,35,73,89,40,65,70,16,16,29,18,80,35,49,40,18,64,12,6,16,79,6,62,83,21,74,31,82,60,23,90,16,44,69,12,79,75,89,90,95,64,12,31,38,22,22
k_35,70,1,93,56,42,42,30,48,51,39,45,18,39,69,40,20,27,20,46,34,55,51,6,45,8,80,39,77,2,29,15,89,3,32,98,39,3,58,93,30,55,71,53,77,79,29,92,28,26,39,3,39,51,50,20,49,71,9,56,38
k_36,69,48,52,88,100,51,50,62,83,70,47,3,98,36,6,18,58,57,26,68,78,49,62,93,52,44,100,77,63,78,10,8,76,65,56,84,55,94,66,76,93,24,49,63,73,18,81,10,35,50,27,38,51,37,86,2,94,53,60,12
k_37,78,9,42,49,50,38,26,11,99,57,79,77,93,98,16,36,65,46,89,52,84,50,73,80,90,44,99,33,96,50,73,98,98,13,42,97,26,77,2,91,99,68,93,58,20,68,98,98,86,28,95,27,52,13,75,41,89,90,8,1
k_38,12,35,31,39,87,29,5,54,37,10,5,37,75,5,2,14,5,38,91,86,94,85,88,2,36,1,88,76,59,53,67,1,97,42,97,62,97,11,30,35,47,8,26,44,58,15,90,25,78,73,5,10,61,79,59,54,96,48,47,14
k_39,87,60,41,45,13,84,35,1,100,5,98,97,32,14,40,98,52,45,25,36,3,47,30,10,69,79,52,73,56,31,63,44,15,14,39,49,17,75,73,36,82,3,90,9,72,58,86,81,9,53,67,89,14,75,79,14,89,62,34,94
k_40,49,18,71,16,13,71,40,45,49,6,40,41,49,81,71,80,31,41,61,30,69,24,66,98,85,56,3,33,21,32,100,98,62,80,77,99,97,43,51,61,79,11,16,3,22,4,41,18,1,96,62,28,60,46,83,64,50,6,78,72
k_41,49,53,1,20,44,89,97,38,47,50,42,19,69,44,22,63,62,6,86,7,10,55,23,46,19,3,35,38,35,66,24,81,73,3,75,65,37,11,6,69,52,16,37,98,30,57,7,55,5,17,97,59,76,2,97,50,83,51,87,33
k_42,84,42,96,99,4,77,6,87,22,91,68,44,98,72,46,50,72,9,86,90,91,97,51,18,34,37,51,10,37,54,47,100,39,72,3,58,69,44,21,99,9,23,16,70,32,29,30,30,83,24,19,6,42,85,14,51,46,17,80,31
k_43,55,95,87,73,63,98,81,19,56,84,38,35,41,72,82,8,33,51,38,55,71,66,84,86,10,35,99,73,53,1,76,82,32,35,63,80,37,14,64,36,69,76,60,19,26,62,42,55,82,45,38,72,14,83,1,38,39,33,68,45
k_44,4,89,10,85,25,27,43,20,76,93,91,76,91,66,28,62,50,90,5,29,7,41,25,8,61,18,12,54,51,54,73,48,41,45,33,46,88,50,78,53,100,27,89,19,100,60,41,39,7,74,53,42,19,89,86,61,29,64,49,82
k_45,54,53,60,87,65,15,89,22,66,90,39,71,66,85,71,70,18,52,60,30,55,65,1,47,85,6,78,91,32,51,39,68,40,86,4,30,19,35,95,43,69,34,6,90,74,70,99,88,55,91,31,53,84,35,16,15,10,71,56,34
k_46,46,60,25,27,54,24,86,28,69,9,16,24,4,87,5,56,55,27,9,40,40,50,92,9,25,92,60,58,71,97,92,67,66,55,28,20,53,59,98,96,22,67,74,98,40,62,17,56,83,67,10,24,59,5,98,82,28,29,72,21
k_47,26,98,97,29,99,78,42,61,97,87,78,77,76,84,92,55,92,8,2,58,12,65,60,22,77,90,76,73,77,24,85,77,68,43,67,20,69,12,34,77,38,3,52,37,32,17,99,73,84,74,73,24,99,73,20,96,8,1,86,73
k_48,24,67,58,12,19,44,94,43,3,57,27,76,65,65,35,33,59,93,36,72,13,100,47,17,57,5,41,20,58,35,63,63,78,99,39,27,69,50,21,77,60,12,77,71,62,10,100,72,28,90,5,45,86,76,91,82,17,61,54,100
k_49,64,17,83,24,83,36,78,51,55,57,89,38,54,36,41,69,96,4,6,37,41,27,42,26,7,62,3,39,35,75,18,73,81,40,48,79,33,8,46,7,29,76,28,15,36,73,41,66,51,1,27,82,12,8,41,24,6,10,56,38
k_50,93,32,4,27,93,11,58,22,82,100,42,22,77,10,46,98,49,18,62,13,13,75,75,44,27,53,21,62,40,66,17,40,8,3,77,89,78,42,55,2,19,86,44,35,27,86,37,31,53,28,99,100,86,14,81,90,80,98,1,47
k_51,18,14,4,56,47,78,93,78,11,8,92,61,71,87,10,18,21,9,16,21,28,74,91,17,25,2,59,65,11,83,87,93,1,6,34,20,22,46,34,37,58,84,34,32,15,52,93,34,59,51,44,57,58,2,64,48,8,2,63,28
k_52,2,15,53,39,54,18,33,40,52,21,52,79,26,97,31,27,92,29,39,48,65,53,43,11,22,1,37,58,27,62,1,26,31,72,75,43,34,89,45,28,6,72,34,42,60,67,78,37,20,83,44,53,47,35,77,70,62,71,32,59
k_53,81,92,49,92,39,80,90,14,97,96,69,63,50,73,91,4,15,31,56,100,63,37,27,14,74,32,70,81,78,83,8,49,97,54,37,85,58,25,31,31,84,32,37,97,16,20,78,98,29,66,40,14,63,22,73,98,39,92,9,77
k_54,15,61,72,44,68,37,3,63,69,27,54,56,91,70,73,9,28,57,46,82,41,11,19,27,17,82,9,83,36,57,21,72,13,91,75,96,41,65,34,88,31,100,36,33,77,86,20,19,69,31,17,71,64,76,35,47,47,96,18,78
k_55,15,92,12,12,83,24,96,87,22,60,6,51,71,53,84,49,54,50,84,60,29,29,52,63,96,21,34,70,63,86,25,7,72,89,14,1,81,20,57,39,31,90,26,84,8,69,31,17,25,42,16,27,19,29,75,92,95,89,95,7
k_56,43,58,11,27,10,26,45,34,56,12,71,85,86,78,47,39,4,81,79,2,7,92,78,60,87,22,37,36,88,87,88,1,2,77,37,82,92,9,57,63,33,35,11,15,72,52,49,94,37,25,10,85,54,76,22,91,91,29,24,7
k_57,18,78,44,21,100,93,78,20,11,23,54,47,81,32,47,14,86,19,19,8,86,19,58,33,24,33,91,40,75,58,20,9,14,59,68,67,89,65,13,74,71,62,82,56,24,1,29,52,22,92,85,29,86,78,68,58,14,95,95,43
k_58,52,65,78,66,12,80,27,79,74,54,3,56,74,69,49,42,45,85,52,84,10,7,44,54,75,24,33,74,46,58,50,83,72,79,26,63,34,7,50,55,14,21,7,94,33,43,18,39,35,92,92,61,76,34,16,15,72,28,6,24
k_59,67,27,100,48,1,61,53,43,3,58,44,12,86,97,96,86,35,15,83,15,57,33,2,66,3,59,20,64,66,20,41,81,8,37,26,11,46,73,14,4,4,100,61,95,40,70,39,52,53,75,86,79,26,98,78,64,9,10,19,1
k_60,7,31,16,31,53,32,43,9,27,94,48,88,99,12,1,49,6,21,84,91,87,43,88,80,92,5,23,95,13,37,42,56,54,89,98,93,82,32,85,44,39,28,58,49,96,93,44,44,31,38,83,93,33,44,52,60,16,83,10,5
k_61,92,92,57,75,64,90,46,72,61,7,60,66,81,42,96,33,40,12,22,20,16,44,84,62,100,6,76,28,51,95,19,75,3,12,90,26,26,86,53,8,46,32,35,58,12,50,3,63,88,99,77,43,24,44,13,60,68,56,26,15
k_62,18,4,17,19,3,51,13,99,94,44,56,29,48,32,67,55,32,53,20,98,73,52,46,75,11,61,27,71,89,22,73,87,66,15,63,29,32,25,39,23,98,5,98,39,33,61,50,36,17,72,49,88,41,56,15,46,51,48,61,11
k_63,13,18,95,35,65,35,51,11,26,16,42,64,100,88,16,24,43,10,36,33,58,45,17,27,62,5,43,14,6,71,10,94,53,51,74,28,56,5,13,75,72,64,35,82,99,51,73,89,48,23,36,46,16,45,88,44,1,97,11,75
k_64,98,35,82,96,76,36,79,35,57,27,90,40,37,91,49,26,52,63,62,98,29,39,64,37,81,38,25,77,34,51,65,33,66,44,67,41,46,22,33,41,32,78,92,5,95,55,44,51,72,64,36,68,38,69,70,92,89,37,33,27
k_65,100,66,83,61,54,18,12,65,35,25,81,76,42,98,11,34,30,66,83,67,53,26,20,43,74,91,43,89,87,60,29,1,52,37,63,63,26,19,76,26,19,19,41,63,41,21,55,90,19,73,37,54,7,34,7,10,12,12,76,32
k_66,45,65,30,94,68,64,3,39,26,7,49,5,28,56,73,78,74,45,43,75,99,24,18,93,27,92,53,6,40,70,52,89,72,51,61,25,57,56,72,9,47,31,96,29,88,19,97,19,75,88,83,52,93,25,81,65,65,67,42,43
k_67,44,58,68,45,16,2,77,87,94,28,58,31,17,52,35,58,75,33,25,80,55,12,63,75,8,67,24,61,92,32,88,25,25,59,53,31,52,32,85,46,51,69,84,39,39,10,58,19,70,45,64,22,2,18,40,44,99,28,99,100
k_68,52,96,94,92,16,57,68,53,55,12,53,6,34,85,67,90,12,39,43,25,20,15,57,22,15,26,27,2,50,92,7,72,43,36,68,16,72,9,96,84,39,12,60,41,41,79,28,60,79,46,39,39,45,7,98,51,100,96,73,46
k_69,13,19,17,34,46,95,37,99,59,49,32,30,84,90,17,91,15,75,18,65,61,20,11,13,80,68,77,91,61,91,42,1,4,99,60,94,60,85,23,19,14,20,20,77,33,50,70,6,42,64,57,81,94,4,12,47,93,85,21,41
k_70,36,48,15,28,85,49,4,61,52,7,35,44,11,47,86,11,47,60,49,21,69,42,37,59,52,2,30,90,46,20,19,53,98,26,12,67,70,99,90,59,18,67,55,12,50,72,17,85,90,22,73,73,10,71,61,41,7,44,25,14
k_71,40,44,15,39,8,51,2,73,62,9,56,42,26,47,20,69,19,51,79,83,87,43,86,15,17,17,20,93,93,46,97,30,21,59,13,96,85,47,68,9,34,65,71,27,20,1,67,6,60,79,82,96,10,12,22,33,34,85,83,11
k_72,80,89,100,93,15,55,59,32,40,29,38,64,39,34,36,16,61,3,86,39,32,46,22,78,74,9,79,53,6,13,7,35,47,77,90,74,92,11,33,13,60,55,8,52,75,26,96,38,49,7,72,30,77,100,55,71,68,55,73,44
k_73,64,8,80,23,45,26,28,69,12,1,42,11,88,5,63,36,82,98,19,77,12,20,9,22,51,29,37,49,17,41,59,38,68,10,68,48,28,28,96,57,79,74,84,35,26,7,23,72,57,16,85,31,71,63,91,26,83,40,85,3
k_74,57,53,34,100,80,34,91,44,89,93,97,58,14,74,47,93,84,13,45,61,63,81,71,89,57,50,67,18,49,36,53,29,8,7,89,28,86,24,21,55,77,32,64,72,26,62,78,98,36,13,4,20,24,59,8,94,45,95,10,59
k_75,51,7,84,31,89,50,50,69,64,70,81,75,50,43,78,28,40,8,97,10,97,37,95,75,66,14,30,42,37,63,84,24,35,98,54,14,66,8,84,78,8,39,99,19,17,89,67,64,75,13,85,76,7,37,82,47,33,31,18,65
k_76,52,16,89,16,35,41,56,69,67,73,68,84,12,68,35,45,61,20,27,69,74,18,94,32,70,44,88,70,18,49,42,36,25,42,25,74,54,87,64,65,24,19,62,20,43,90,52,38,11,44,69,36,68,13,29,70,88,7,4,15
k_77,98,59,41,9,28,13,9,13,4,78,70,33,47,30,18,75,61,82,76,60,72,77,13,26,31,17,96,6,44,30,33,65,47,96,66,52,2,63,52,13,52,54,91,67,92,21,79,40,55,47,83,67,53,91,40,21,74,27,71,28
k_78,76,55,78,39,83,84,56,96,56,82,9,33,40,55,7,35,59,62,55,12,74,22,99,22,7,15,16,58,87,95,10,97,3,44,35,85,61,70,73,19,38,22,93,64,83,28,81,58,92,4,10,7,58,10,68,88,65,4,45,11
k_79,31,84,14,35,82,27,75,42,45,36,77,87,41,63,4,64,56,34,49,58,37,42,88,42,5,26,54,3,30,92,45,92,45,85,62,57,2,1,62,22,81,17,38,20,60,51,75,92,58,54,25,8,88,66,4,53,5,53,45,71
k_80,46,67,91,85,19,35,74,69,35,89,54,33,92,43,46,99,84,48,84,85,18,1,78,73,93,87,67,88,62,95,12,66,86,6,75,74,87,8,98,64,11,29,90,60,59,70,66,65,93,82,73,3,59,89,19,24,69,92,26,53
k_81,31,83,92,84,56,9,18,64,19,60,47,54,15,48,32,64,15,27,3,66,40,28,41,86,35,2,85,21,82,97,66,74,52,88,77,27,65,66,15,65,17,100,33,59,15,55,66,24,93,93,91,92,24,21,6,93,86,54,88,13
k_82,13,82,85,40,30,50,56,72,84,66,46,21,52,66,18,29,54,59,51,41,38,25,14,1,34,58,24,59,89,64,54,100,24,9,24,74,17,66,34,41,66,98,8,45,32,53,77,94,85,37,18,57,69,64,23,36,37,86,60,67
k_83,44,20,6,63,85,52,57,39,60,62,57,45,81,30,10,44,66,58,11,35,95,65,1,69,68,6,61,77,34,32,50,30,19,22,58,38,88,92,28,46,45,17,94,24,15,19,60,35,16,89,68,81,11,89,55,16,53,48,15,48
k_84,30,87,21,25,3,61,93,29,98,13,22,31,97,22,22,5,11,59,100,25,46,39,50,11,47,43,91,30,79,36,3,6,44,87,18,58,63,96,64,34,100,32,70,58,7,38,35,15,64,65,70,31,86,100,47,54,73,15,75,99
k_85,38,9,85,69,21,17,32,14,38,99,72,27,34,66,12,1,51,8,77,21,8,50,23,41,2,40,6,46,38,54,36,23,98,92,99,65,18,43,5,5,51,60,8,8,95,72,89,74,38,65,42,91,83,54,97,6,86,79,38,26
k_86,74,59,64,44,99,60,77,34,85,85,94,38,91,93,5,53,77,82,95,40,58,14,5,74,91,52,23,29,46,50,1,99,99,56,68,100,50,53,30,30,7,47,19,30,29,45,66,12,5,68,35,71,67,23,41,31,95,93,75,53
k_87,20,15,12,81,56,74,8,13,41,62,23,92,41,16,22,31,29,37,89,54,78,98,89,73,91,62,72,49,2,2,2,33,10,86,53,91,91,27,43,76,37,24,83,96,7,62,25,15,62,5,80,55,8,85,41,41,30,62,37,26
k_88,99,77,57,25,40,17,79,82,97,10,61,21,97,46,92,71,39,64,34,78,23,31,54,94,75,66,7,47,52,15,70,71,1,97,37,92,50,47,12,48,6,60,82,1,39,90,99,42,66,9,24,58,8,33,78,76,79,49,74,87
k_89,59,91,52,10,50,43,2,36,95,9,100,65,8,66,45,48,77,43,78,2,82,20,45,83,75,39,14,84,90,5,42,30,85,95,1,27,94,77,2,13,9,67,39,3,81,8,45,54,15,63,39,37,89,75,78,62,58,100,3,81
k_90,17,92,7,94,24,37,72,85,15,16,44,67,92,70,34,1,66,72,44,98,12,23,18,13,68,23,54,81,31,31,26,6,64,88,40,56,33,49,67,87,16,85,65,78,36,17,36,68,18,24,41,51,59,76,42,28,83,76,69,97
k_91,24,70,22,93,77,98,31,31,41,51,71,65,58,88,69,71,79,58,9,21,50,8,72,14,39,65,72,81,11,61,20,30,1,79,5,87,7,36,44,87,21,20,71,81,18,49,29,93,6,38,85,79,30,51,33,3,38,40,2,66
k_92,20,97,62,79,44,64,64,48,5,89,64,68,91,92,39,16,71,15,27,82,4,52,79,76,88,8,72,27,100,84,65,62,24,71,42,52,87,3,82,35,63,100,2,11,55,63,94,17,49,63,51,65,47,15,58,21,20,40,64,94
k_93,60,72,22,24,59,65,82,67,61,10,70,28,46,73,64,83,9,90,39,88,23,10,62,81,83,68,41,28,59,78,97,79,74,99,91,89,19,75,65,23,43,4,81,88,49,42,67,65,13,77,73,46,16,86,21,74,59,17,39,42
k_94,44,49,86,31,92,48,18,80,19,77,30,33,73,24,34,96,43,39,85,39,59,7,11,13,34,74,17,2,22,28,68,88,24,12,56,83,76,12,59,33,41,96,11,86,55,67,85,67,50,71,73,60,54,57,53,33,91,50,33,75
k_95,3,17,71,91,96,92,73,99,96,69,52,96,49,65,23,90,24,23,58,54,13,32,65,43,42,40,4,1,37,11,66,88,42,89,38,25,59,92,84,79,31,86,90,40,94,8,97,38,56,51,20,84,27,72,78,46,87,58,58,32
k_96,17,81,21,99,74,91,11,58,77,83,73,24,48,19,71,87,72,87,69,51,25,67,79,98,35,74,97,14,41,94,88,60,16,80,46,23,6,2,29,40,35,40,10,21,28,43,18,2,43,23,28,38,71,77,9,34,4,96,88,71
k_97,36,44,85,44,62,38,17,52,15,87,31,44,43,3,55,98,90,71,96,97,41,27,80,3,9,100,91,1,5,65,13,12,96,72,20,1,14,15,39,28,73,18,23,8,84,97,3,66,18,67,72,44,19,32,74,31,16,99,82,60
k_98,39,94,78,24,13,90,40,11,26,47,47,3,15,17,20,55,55,22,61,97,67,64,8,41,20,22,21,17,91,48,39,8,3,5,35,60,48,22,8,83,51,65,3,47,70,29,70,29,18,2,1,52,1,44,59,9,41,76,88,2
k_99,67,39,8,9,87,54,24,72,63,28,1,78,21,35,53,72,97,93,66,39,97,4,95,58,42,72,80,2,83,91,96,30,49,31,31,25,76,39,89,91,93,48,55,38,63,39,12,9,49,68,55,47,89,94,97,14,93,46,30,6
