commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_8,e_9
k_14,91,20,36,88,97,80,8,77,74,73,83,100,96,58,61,90,68,71,7,99,58,31,40,5,5,39,54,41,56,74,12,100,61,73,68,10,51,12,99,6,41,73,37,98,44,54,37,41,71,22,89,21,94,88,11,88,72,38,93,32,44,24,83,24,71,45,26,71,52,25,13,33,99,82,26
k_15,75,49,8,78,2,83,93,87,8,36,43,85,56,96,55,51,66,2,96,57,89,100,65,81,11,66,11,72,80,83,30,99,23,59,67,30,85,37,84,3,82,32,62,76,66,86,75,3,87,4,98,42,57,17,77,27,78,58,25,78,33,69,60,49,13,86,28,40,99,40,83,49,8,66,57
k_16,39,98,24,43,29,67,76,48,55,89,2,64,47,39,34,78,2,90,74,5,51,80,87,42,48,84,42,14,53,10,2,68,49,55,50,42,89,94,6,95,80,64,72,39,43,28,33,79,10,91,69,65,64,32,82,18,2,93,11,66,49,49,37,77,82,56,3,25,60,93,28,29,85,23,85
k_17,16,14,78,8,59,96,82,80,31,24,48,89,2,94,7,76,62,81,58,25,2,84,50,11,9,45,71,68,64,24,67,46,51,76,44,35,16,63,58,25,76,20,72,1,28,74,37,76,26,15,42,30,81,21,41,88,16,35,20,20,3,56,10,77,18,83,48,21,43,28,49,84,74,95,14
k_18,38,59,96,86,80,94,66,44,31,49,47,19,75,13,46,52,14,94,94,22,74,77,73,57,88,9,84,30,74,12,27,86,35,38,18,79,91,76,66,27,49,50,30,33,32,44,58,85,17,55,27,30,63,82,42,7,43,68,34,23,73,29,49,78,24,43,78,26,1,76,49,34,21,68,42
k_19,2,16,80,19,75,30,35,50,39,81,40,19,27,56,26,13,47,75,92,63,42,13,36,69,15,31,100,58,90,34,13,34,73,49,96,6,87,28,79,46,64,87,43,26,92,52,73,55,98,72,21,50,89,89,5,97,68,58,5,65,80,69,41,27,2,71,44,44,66,65,34,56,9,69,54
k_20,87,77,65,30,6,39,81,46,67,76,19,79,53,89,51,75,91,79,98,68,59,51,22,96,83,43,23,61,100,78,62,35,99,85,55,76,1,28,45,22,12,1,97,49,51,37,59,88,64,22,78,61,36,93,80,86,10,37,33,21,46,31,21,57,5,52,61,39,10,87,54,9,42,94,82
k_21,61,16,74,17,98,23,21,86,97,68,51,38,100,34,49,67,43,29,40,55,37,24,2,14,55,85,26,31,92,5,82,39,87,47,78,78,29,60,12,73,51,28,5,60,65,51,56,53,37,72,93,58,22,53,57,1,17,29,41,75,52,69,22,30,72,4,50,19,92,4,6,81,99,95,23
k_22,31,82,69,81,66,41,10,32,62,15,74,7,29,47,55,48,82,32,67,50,10,73,75,70,37,35,44,53,97,5,69,53,83,25,43,11,46,30,14,95,3,52,91,36,52,89,44,81,36,42,99,1,74,57,70,20,26,79,25,72,90,97,76,32,2,33,62,45,21,6,60,31,14,79,50
k_23,94,59,42,6,32,46,45,62,15,66,46,84,57,98,31,41,84,76,62,44,20,16,78,15,53,34,22,69,88,76,33,14,11,15,95,44,84,97,27,61,31,84,81,90,50,10,49,2,44,26,80,19,44,82,100,86,79,68,74,84,30,4,36,55,36,21,91,34,74,13,92,82,61,65,91
k_24,100,39,57,57,76,68,91,17,73,46,15,40,6,34,44,57,72,38,14,73,25,97,8,9,72,44,82,74,65,17,7,70,86,63,38,73,75,8,39,15,15,85,41,55,28,66,33,1,77,9,8,84,18,42,87,66,89,98,78,43,53,31,11,76,33,74,57,44,54,18,63,91,46,32,27
k_25,26,87,16,79,31,14,83,45,74,66,97,87,62,1,12,49,4,87,38,4,11,8,32,58,23,44,92,80,80,22,23,55,63,36,40,21,31,77,83,76,34,88,44,19,96,26,41,76,32,19,92,84,97,88,67,80,44,80,84,75,3,54,62,24,42,38,42,69,54,26,15,8,97,100,59
k_26,8,80,66,90,76,97,80,38,18,3,92,55,23,35,58,94,40,8,52,30,46,60,64,29,48,85,28,8,96,29,99,100,81,56,51,60,11,9,43,32,64,92,34,74,18,29,90,69,87,94,63,98,80,88,14,60,94,13,66,16,6,85,76,16,92,45,26,97,86,57,68,12,3,85,54
k_27,96,62,34,53,32,69,66,10,1,53,96,67,23,38,73,97,55,67,61,70,90,17,95,21,41,7,91,65,11,94,40,51,27,78,77,28,44,3,85,88,91,11,89,95,45,57,99,80,6,92,1,84,94,43,17,45,32,48,52,28,74,28,58,1,13,55,97,15,23,36,75,47,27,95,96
k_28,42,38,29,28,1,50,87,2,87,11,34,66,66,54,29,75,61,67,83,64,58,71,78,36,46,37,40,77,49,10,5,93,39,90,47,15,32,40,83,41,30,59,88,31,19,79,11,41,21,1,30,11,83,50,10,11,19,32,22,1,43,59,34,86,30,83,53,57,42,82,37,1,40,26,8
k_29,62,88,70,61,93,98,35,28,26,86,81,63,39,61,82,8,35,76,68,99,49,16,57,62,4,90,8,18,54,9,79,98,41,96,44,35,2,9,71,39,33,66,63,79,60,83,32,89,76,94,87,34,75,25,100,47,80,85,71,90,66,78,12,94,89,100,98,59,29,64,12,29,20,71,33
k_30,37,42,47,49,93,14,87,67,94,85,75,36,81,36,56,51,66,92,21,79,54,3,59,11,18,52,2,9,87,93,42,58,21,47,45,29,64,38,67,1,77,40,78,54,20,45,44,8,66,4,65,82,8,38,5,99,17,60,52,42,38,2,84,18,99,15,74,33,89,12,24,42,43,82,23
k_31,60,86,74,78,52,53,32,15,44,5,63,39,7,64,52,92,81,53,12,7,52,90,63,42,93,53,58,93,94,22,29,4,57,44,16,81,11,74,41,11,29,72,33,91,84,79,67,32,38,30,96,16,24,30,19,85,46,43,65,61,60,51,53,30,57,94,31,64,41,31,65,42,16,98,4
k_32,8,36,81,59,74,35,80,73,56,33,26,52,34,48,40,51,41,54,93,83,19,57,25,65,21,2,1,27,2,78,80,5,38,86,72,37,32,20,35,73,94,31,28,42,93,81,8,20,37,65,40,48,89,79,76,17,49,28,67,98,32,93,76,52,62,86,93,92,57,42,56,85,35,93,5
k_33,86,66,93,46,30,28,24,99,100,74,21,54,98,82,56,67,88,86,52,96,31,85,98,45,2,1,19,70,78,71,74,18,67,85,65,71,82,12,81,95,52,42,33,77,65,60,65,21,11,86,87,49,2,61,6,39,56,23,99,83,12,45,43,13,80,39,58,88,68,22,4,71,13,6,17
k_34,2,38,68,97,96,78,82,9,17,12,85,48,98,68,6,28,17,94,11,45,35,78,13,85,22,23,40,59,9,42,69,65,63,70,41,29,74,96,42,10,65,38,98,61,11,24,22,35,40,56,40,39,97,64,5,90,15,91,86,46,37,97,16,68,95,21,85,41,42,96,6,94,18,10,42
k_35,34,7,36,71,21,90,8,74,37,4,53,40,85,94,52,39,76,76,76,95,7,33,34,17,31,71,45,8,89,91,42,83,6,24,19,63,45,57,20,77,83,55,18,43,84,21,96,80,19,22,73,9,72,71,18,3,59,56,88,1,99,40,43,66,9,85,30,23,85,15,1,10,29,56,27
k_36,8,34,94,46,51,76,68,21,29,80,6,77,27,13,73,85,1,10,89,11,39,1,56,83,56,62,51,9,46,43,59,45,58,15,88,61,98,49,6,87,96,84,51,23,72,92,7,25,18,39,45,7,57,91,83,19,67,23,46,63,87,1,73,24,5,18,27,76,40,21,40,14,12,39,13
k_37,50,64,95,53,8,19,63,3,47,28,12,24,60,68,86,54,14,62,59,31,41,75,88,6,42,33,57,39,14,7,85,15,28,68,2,37,13,63,44,89,50,1,56,40,36,78,75,40,62,68,88,10,60,85,2,4,61,29,98,24,42,2,27,40,85,46,83,5,78,36,66,12,34,36,64
k_38,81,15,57,89,94,21,41,35,28,32,71,98,78,2,71,22,42,3,82,99,48,24,33,66,31,48,27,26,70,39,14,51,85,42,57,60,52,18,31,92,96,22,66,61,11,28,6,88,5,56,68,19,91,32,52,21,64,21,70,6,81,10,30,15,94,38,65,8,82,12,89,8,4,98,31
k_39,86,11,63,21,13,7,58,63,78,17,76,35,84,80,74,29,4,79,48,59,2,9,39,69,93,44,11,12,18,50,75,24,15,17,47,55,89,85,49,21,32,11,92,94,78,15,53,1,50,42,20,79,58,1,44,23,3,44,97,29,83,57,51,23,68,72,26,15,8,88,1,2,61,96,4
k_40,26,37,5,66,58,91,91,43,71,80,81,93,75,73,19,3,51,65,96,17,3,9,77,84,68,98,70,38,37,33,14,100,56,51,9,69,6,93,47,60,63,2,52,82,49,68,24,87,25,29,43,85,100,50,95,73,47,59,88,56,96,23,76,42,87,78,90,80,37,16,32,87,17,58,46
k_41,96,5,62,14,68,29,13,19,24,96,36,40,36,34,73,95,16,98,80,95,93,82,80,22,75,29,48,19,60,60,64,47,4,30,23,24,60,96,62,95,15,99,16,34,96,93,61,56,59,80,9,18,48,10,68,49,42,32,36,41,79,26,80,38,34,55,42,86,10,89,12,20,72,71,54
k_42,26,81,66,26,20,64,23,91,92,81,64,69,9,4,93,75,75,2,19,28,98,31,36,61,86,32,22,100,19,14,46,48,68,87,5,9,79,61,33,52,27,73,1,46,69,77,13,41,73,75,32,8,58,73,35,31,72,63,58,28,71,34,96,11,2,49,47,77,39,19,22,47,31,60,50
k_43,58,26,67,70,59,35,47,3,36,13,49,66,88,99,4,36,97,69,76,86,34,98,86,96,39,55,26,54,96,65,1,58,73,58,98,28,98,47,11,23,91,61,100,32,75,74,23,82,11,75,5,80,61,35,25,29,9,26,7,88,80,5,80,26,92,21,47,23,21,89,83,60,13,57,75
k_44,27,37,33,59,4,11,23,12,37,27,82,20,74,94,27,29,30,29,20,20,5,72,85,49,47,74,82,61,4,58,62,32,71,31,39,82,57,91,48,84,74,11,67,14,49,1,84,70,69,12,32,94,22,39,73,7,83,15,45,20,27,84,41,23,68,1,44,55,5,37,78,63,51,62,36
k_45,54,96,38,45,61,23,13,49,66,43,89,91,77,29,58,5,62,10,86,97,29,22,50,21,74,7,8,60,68,84,11,38,15,90,61,35,34,6,16,22,100,19,61,84,88,30,30,68,36,66,77,25,59,4,71,85,3,74,53,56,69,48,42,11,9,41,58,89,18,95,21,36,66,72,74
k_46,3,15,23,25,28,5,21,53,95,42,36,39,20,92,22,82,57,63,94,55,71,47,6,6,30,69,96,54,92,6,76,62,87,20,92,15,9,4,98,28,73,59,26,45,37,89,5,5,27,79,22,58,39,99,40,86,80,51,82,12,88,21,8,29,7,69,7,50,89,68,30,34,8,9,30
k_47,70,75,74,7,15,39,59,77,83,57,87,73,53,14,43,48,31,57,54,13,58,52,24,95,62,93,74,37,75,73,69,79,74,28,32,57,40,56,25,45,65,54,81,52,68,44,79,60,19,58,67,59,64,77,21,15,63,53,93,99,99,34,65,98,91,75,89,33,54,26,17,1,77,43,62
k_48,48,32,73,1,44,81,66,72,99,44,52,43,38,43,16,24,96,49,50,49,55,59,20,84,94,85,90,51,68,2,28,39,64,53,16,51,11,14,59,42,94,39,56,42,24,68,56,86,100,24,9,5,45,43,51,15,59,72,32,65,83,41,14,6,68,45,19,14,51,17,21,96,75,98,86
k_49,63,8,6,3,17,68,88,84,18,1,81,58,63,12,91,15,45,14,5,42,73,1,90,70,45,19,59,11,50,79,4,5,59,89,10,22,65,57,28,14,44,77,15,72,70,95,93,94,47,28,88,90,19,21,92,94,85,13,39,70,25,58,74,59,85,60,95,36,62,12,26,62,29,63,24
k_50,2,56,45,50,10,82,72,54,6,93,20,81,64,94,15,61,35,100,82,99,62,45,42,29,42,77,53,7,9,75,11,47,7,8,49,70,35,92,1,90,45,80,8,80,47,47,14,17,85,33,65,11,52,1,12,60,17,37,82,46,97,5,5,92,22,15,72,87,1,50,41,13,91,67,41
k_51,62,6,43,45,60,42,84,97,2,27,69,83,44,28,66,12,52,25,19,100,55,11,57,50,54,31,28,25,23,23,46,100,27,47,44,78,34,35,9,77,56,67,48,61,53,9,99,58,68,77,12,74,95,94,58,51,88,11,47,82,10,94,37,46,29,8,65,35,17,46,76,4,10,42,17
k_52,48,52,17,52,60,60,55,30,60,75,91,94,18,43,57,85,48,77,60,1,32,28,53,16,23,65,70,65,97,65,1,22,27,61,24,99,29,52,11,64,61,42,82,86,57,26,34,95,84,52,87,78,83,49,4,78,6,79,10,94,65,20,32,96,41,39,24,9,5,36,85,5,77,39,36
k_53,28,99,2,28,70,41,50,66,35,88,28,3,53,43,93,88,10,97,56,91,95,96,44,3,93,31,18,20,2,66,36,53,79,74,75,40,3,90,75,61,16,86,99,30,56,83,76,46,10,86,73,90,48,47,1,12,100,64,13,41,46,64,7,52,53,13,66,69,92,61,94,64,92,58,99
k_54,30,67,23,51,92,62,81,15,14,17,83,14,26,82,42,30,68,35,12,56,45,26,29,94,59,96,79,27,38,4,30,71,55,69,46,42,78,64,35,90,20,26,23,96,44,33,59,69,48,76,17,23,8,81,32,36,60,78,62,16,54,14,45,59,38,73,68,7,61,53,18,91,53,31,16
k_55,27,66,55,42,40,85,7,21,98,52,35,63,21,38,50,72,12,56,28,9,41,3,84,61,87,29,28,20,89,39,73,96,92,39,24,73,62,4,32,51,86,62,16,11,80,27,18,17,5,70,73,43,64,78,68,70,18,80,2,28,39,97,3,34,4,18,25,92,49,36,63,16,6,2,43
k_56,43,58,76,45,30,47,16,16,22,16,97,21,47,15,70,25,18,13,82,48,31,77,57,37,81,33,78,35,12,30,88,60,84,70,26,37,57,90,76,67,30,21,39,6,65,5,38,23,60,20,23,32,67,82,45,71,8,69,84,73,38,45,78,51,80,30,4,39,63,15,59,68,36,88,56
k_57,26,53,52,2,16,59,20,54,97,80,85,98,100,96,23,13,31,22,26,63,22,56,60,77,21,5,52,77,1,64,52,29,45,71,95,63,48,41,54,6,63,37,55,61,63,82,82,92,20,11,8,93,96,75,38,1,87,47,5,19,28,55,48,57,49,91,2,20,58,87,94,98,50,98,63
k_58,74,76,98,59,23,87,41,34,35,94,50,41,77,1,30,29,39,28,75,86,7,82,67,4,83,60,1,23,16,14,89,100,58,38,98,38,65,46,48,28,41,48,73,37,92,23,60,41,25,12,72,94,49,98,99,44,73,83,8,17,81,9,43,81,58,89,36,21,67,17,59,96,32,61,45
k_59,91,80,91,4,21,24,23,42,94,57,54,68,10,47,29,26,53,50,56,85,41,24,23,73,40,32,89,29,6,75,50,67,39,16,50,8,73,94,10,13,22,97,22,55,99,20,82,53,87,32,85,90,27,85,79,10,22,19,20,7,100,67,58,71,55,5,45,90,49,90,96,49,99,4,1
k_60,37,50,71,67,9,88,11,52,49,48,11,79,52,62,73,86,9,77,46,87,90,45,21,35,50,81,51,66,9,84,41,14,33,95,68,46,32,80,11,79,63,22,90,44,42,53,1,40,97,38,37,88,56,11,3,2,31,28,49,46,89,20,50,46,50,2,2,38,53,77,23,49,10,4,49
k_61,1,25,41,88,47,22,38,96,66,21,74,69,80,91,67,62,12,96,74,61,48,44,10,79,30,66,61,72,71,45,3,4,66,90,86,80,25,2,17,52,59,59,40,73,9,91,58,34,83,99,78,93,9,3,14,75,86,53,85,20,37,11,82,38,73,23,54,49,34,81,17,89,96,77,82
k_62,85,53,91,13,13,70,2,37,94,7,64,96,99,30,85,92,84,82,37,76,70,73,20,7,36,75,23,56,6,84,86,87,2,23,49,89,63,48,28,80,61,37,96,49,63,62,7,72,8,95,28,24,75,75,89,37,34,5,17,82,24,18,58,51,66,16,68,63,87,92,37,19,21,92,5
k_63,9,17,58,76,14,85,8,44,33,46,55,71,99,18,17,77,7,98,55,37,19,6,21,25,100,25,8,58,50,96,8,60,40,93,70,23,39,19,47,98,61,31,33,15,24,51,61,12,2,8,68,74,18,23,73,99,74,26,13,51,73,85,24,34,68,82,72,94,95,89,6,64,85,24,66
k_64,92,82,18,79,51,94,28,49,62,52,32,54,7,67,39,3,11,38,35,67,77,85,80,86,32,38,53,18,11,13,78,11,28,44,92,8,24,3,96,12,65,48,46,72,9,48,38,88,3,33,59,61,51,29,1,67,6,86,4,60,2,92,61,86,9,73,90,83,57,13,9,23,7,64,51
k_65,82,27,9,98,3,33,1,46,54,81,58,97,55,91,4,63,36,48,89,21,57,43,14,52,71,26,8,100,67,70,63,31,55,43,84,5,6,85,66,36,71,93,3,14,35,94,64,96,74,25,84,76,1,94,15,81,21,26,62,98,16,31,45,19,11,18,26,40,81,8,77,50,9,88,4
k_66,61,73,83,26,52,9,86,11,38,2,2,50,97,49,79,40,18,2,83,36,47,44,89,78,73,88,79,90,25,76,77,80,95,53,36,71,70,6,71,32,41,77,24,58,37,99,84,76,2,8,31,98,45,81,27,31,50,63,70,85,10,86,11,63,68,88,31,5,80,58,70,72,5,24,100
k_67,88,85,53,31,66,48,96,4,47,3,6,14,25,76,15,71,22,32,70,16,34,68,38,15,64,1,77,65,7,47,31,44,5,87,75,9,13,2,1,86,76,60,99,90,61,84,57,18,37,32,22,30,41,88,68,84,44,75,33,78,49,95,46,39,83,6,33,99,51,90,96,59,47,39,37
k_68,96,28,100,11,94,71,33,78,71,60,77,61,11,41,64,60,66,62,71,37,11,56,36,68,41,61,70,22,92,7,26,56,94,29,1,61,33,77,96,15,46,85,64,28,10,78,23,23,34,70,24,10,4,94,21,69,47,86,60,63,61,61,23,84,92,83,20,16,75,87,53,1,1,93,51
k_69,33,31,4,25,12,56,52,26,7,99,44,98,84,73,53,79,85,41,93,2,90,1,55,67,62,37,87,66,98,95,50,9,72,44,41,31,79,10,65,75,89,29,24,66,29,30,3,77,2,87,89,55,40,38,98,3,34,53,11,43,56,73,27,55,14,76,34,59,38,33,4,71,96,45,40
k_70,63,87,83,19,70,14,82,34,20,66,23,73,8,14,76,45,98,48,55,76,95,7,8,90,85,91,77,13,41,66,19,93,44,64,89,44,24,76,82,58,54,90,95,54,53,1,45,82,1,50,79,38,88,18,24,48,8,58,17,54,46,26,77,5,74,2,13,99,91,52,2,74,67,82,40
k_71,91,59,1,74,71,52,15,21,29,32,25,2,69,80,42,5,79,11,72,14,79,6,37,87,39,79,89,29,97,88,87,5,14,49,7,82,53,68,1,69,94,27,18,63,74,89,48,6,64,4,4,35,79,49,64,77,21,98,26,76,26,14,96,15,35,97,77,84,2,26,89,29,86,50,27
k_72,4,38,59,20,74,36,77,50,3,36,37,27,74,34,81,58,61,38,88,37,98,62,7,69,91,87,81,76,95,52,42,40,28,61,53,37,57,97,89,96,33,55,73,38,61,41,25,91,64,71,76,80,9,45,50,38,23,88,53,3,58,45,12,38,85,38,11,29,39,75,28,3,14,19,30
k_73,60,38,52,29,25,7,90,82,14,92,94,57,100,90,71,4,78,93,59,22,51,86,55,79,57,21,19,32,95,29,31,23,45,9,53,72,79,32,38,96,59,50,56,40,37,4,9,40,7,21,4,64,65,11,24,71,38,60,1,96,72,59,54,89,77,40,35,78,11,12,98,94,81,60,84
k_74,41,58,87,40,27,86,14,73,93,48,66,25,23,49,7,7,75,17,95,62,10,8,5,51,15,73,88,4,61,71,60,47,12,93,95,66,17,91,87,18,53,93,65,3,35,10,38,58,31,26,39,34,90,53,8,50,9,22,19,7,75,91,33,98,57,29,2,72,75,6,70,68,32,12,83
k_75,92,10,29,13,30,3,30,67,44,97,36,61,29,96,59,22,46,76,75,99,10,17,65,100,30,68,12,10,48,70,36,2,72,83,89,20,76,96,47,46,50,85,46,30,43,95,100,98,27,50,50,67,78,18,12,41,73,84,9,62,50,82,28,95,33,59,36,55,55,41,85,72,82,34,36
k_76,50,43,29,13,68,31,94,14,50,84,39,17,19,43,90,33,70,17,29,17,56,97,3,16,5,7,93,60,64,39,89,70,38,67,49,59,25,100,69,55,79,85,86,11,10,33,86,48,39,94,40,41,64,33,97,50,41,23,76,54,58,12,5,85,64,61,17,79,83,85,45,23,90,97,38
k_77,49,64,18,93,39,60,18,18,94,24,98,42,12,36,46,60,13,59,88,36,59,49,47,94,59,72,1,100,73,21,88,91,79,70,99,6,86,16,54,98,83,3,19,41,42,96,12,44,73,94,63,41,13,96,30,88,15,88,88,22,41,62,48,45,2,63,86,87,65,41,70,74,78,83,59
k_78,36,35,83,58,70,62,29,10,85,100,15,79,82,11,31,22,70,84,92,91,70,57,84,62,63,1,31,80,54,70,66,67,82,20,20,8,10,45,68,14,65,32,87,10,1,3,65,64,59,28,92,9,98,81,22,64,73,46,11,16,20,88,5,23,43,21,58,37,83,44,19,27,62,71,94
k_79,58,70,68,67,48,46,40,63,31,47,55,45,68,60,58,82,74,1,73,99,82,34,11,99,99,84,8,27,68,28,100,96,49,12,10,26,23,23,33,67,41,56,83,55,77,35,58,99,100,61,2,30,7,7,95,47,36,83,33,13,23,8,77,1,71,4,21,26,40,62,37,74,13,63,4
k_80,90,7,91,70,73,54,29,48,5,36,16,89,28,15,82,67,83,3,23,74,16,87,86,12,40,64,26,62,10,66,95,54,95,3,82,61,82,31,72,14,78,14,75,33,90,18,77,65,32,50,25,46,24,47,100,2,89,8,89,85,20,77,6,33,68,29,16,6,3,18,8,67,52,8,100
k_81,17,18,60,23,52,27,6,14,86,33,60,84,11,93,68,32,93,90,27,94,71,70,93,50,99,60,18,10,64,44,77,97,28,27,21,92,98,71,20,17,35,85,72,30,100,42,27,21,87,98,76,72,55,99,89,22,7,94,12,50,48,49,51,75,85,16,46,23,97,35,53,60,99,87,61
k_82,25,62,48,86,46,9,66,31,86,15,32,70,68,24,77,77,92,54,72,35,85,34,54,71,33,73,43,91,51,54,70,69,30,94,60,74,76,37,82,11,35,69,4,2,60,28,1,23,14,17,53,67,42,63,76,26,81,40,46,65,95,16,78,84,68,13,83,85,59,25,36,69,65,17,37
k_83,70,55,62,17,94,91,90,21,86,28,6,9,82,73,23,30,16,13,77,71,48,10,99,82,93,24,66,74,45,77,70,2,7,67,53,20,81,10,79,54,74,23,4,30,66,16,1,91,81,75,62,57,93,68,55,84,90,36,2,3,54,48,69,23,93,52,14,8,33,53,14,7,45,94,3
k_84,69,87,22,2,24,5,67,77,81,34,9,47,84,36,84,31,23,43,66,6,45,29,57,65,68,89,15,32,54,52,100,93,76,73,11,40,94,55,16,2,74,98,57,96,57,2,39,88,88,10,85,2,61,64,71,76,3,79,1,100,78,23,95,9,27,72,64,97,30,61,25,88,57,92,19
k_85,43,7,96,35,49,66,47,37,2,39,48,28,64,19,3,22,8,94,87,1,6,63,69,78,63,78,11,85,38,49,94,75,83,43,77,38,72,58,64,78,39,57,24,13,98,11,29,6,62,60,5,89,92,6,37,45,71,10,98,71,46,57,62,3,9,83,88,15,16,72,56,89,34,12,34
