commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9
k_13,8,58,29,100,76,30,56,10,76,55,53,4,32,54,68,5,55,74,86,93,73,50,20,57,32,92,44,50,99,25,33,48,12,99,73,67,46,86,13,48,49,58,2,15,33,33,99,97,87,51
k_14,91,22,70,48,13,90,63,1,57,42,15,74,78,23,37,85,28,11,13,26,54,2,19,12,76,16,15,72,38,83,26,82,86,91,55,64,100,100,76,50,36,73,23,4,62,80,46,21,72,97
k_15,6,33,89,66,17,87,82,58,85,97,59,82,7,5,66,40,19,59,43,45,5,10,18,49,27,90,84,2,73,3,58,13,75,14,33,77,73,94,71,92,45,28,59,8,84,2,82,49,82,35
k_16,18,16,74,64,67,46,12,68,90,30,34,55,88,20,76,88,42,78,8,37,67,97,89,85,66,55,26,44,11,74,69,38,33,6,12,96,90,5,4,78,1,50,15,65,49,18,50,93,2,38
k_17,25,6,14,4,49,13,72,19,32,3,27,87,70,60,91,37,60,51,19,100,82,5,38,17,70,5,1,82,24,16,63,40,89,69,10,59,91,93,74,36,30,13,31,80,84,33,8,50,54,79
k_18,13,13,24,58,59,22,17,11,56,52,98,64,53,80,22,18,82,46,67,16,84,26,29,55,40,17,35,91,1,25,92,22,35,81,44,84,56,22,11,88,10,34,9,76,67,38,82,93,79,59
k_19,31,73,54,60,35,39,68,11,52,18,58,14,63,92,32,12,86,83,69,88,9,31,80,22,42,13,40,18,73,100,99,41,63,30,14,84,73,40,16,97,21,79,31,56,91,75,41,90,57,96
k_20,27,55,96,100,77,60,94,85,85,80,96,63,22,19,22,54,7,64,39,14,27,95,83,25,21,5,31,93,29,98,12,43,86,31,36,81,32,82,45,68,62,73,8,89,2,57,96,12,39,47
k_21,11,11,7,15,2,97,2,43,58,62,25,75,31,48,95,63,55,27,30,93,29,1,37,76,52,92,50,96,55,16,69,98,92,36,82,91,48,69,66,79,18,25,57,52,63,100,11,2,10,49
k_22,75,65,60,51,44,49,80,51,49,45,36,18,48,37,18,100,19,74,64,8,24,29,42,55,11,65,72,94,59,94,67,2,43,62,90,87,36,10,37,98,75,32,31,19,14,57,63,22,41,50
k_23,70,1,48,8,78,23,7,38,52,82,72,25,60,46,85,57,47,9,20,12,19,70,100,19,91,4,88,42,24,5,30,4,59,78,9,17,83,17,57,55,13,12,30,19,25,25,36,59,8,67
k_24,5,99,81,83,67,97,10,9,91,31,28,86,9,70,9,2,24,5,27,94,2,73,7,48,27,49,71,34,81,69,57,87,97,94,46,29,65,89,22,74,83,12,6,14,41,17,64,28,94,36
k_25,52,37,91,56,16,88,50,71,17,85,100,65,96,31,63,22,4,76,97,55,4,53,58,86,4,46,77,75,70,30,60,53,46,10,4,41,53,34,99,34,1,73,50,18,97,3,75,19,92,45
k_26,18,33,81,99,67,23,59,1,95,18,93,51,86,51,62,30,13,61,77,27,23,97,46,85,91,74,48,87,83,3,65,12,30,57,11,91,21,80,10,32,91,81,63,3,97,65,77,79,25,8
k_27,95,75,13,6,75,72,36,90,49,61,37,81,59,87,60,69,35,62,59,80,69,84,62,82,22,22,97,16,44,30,36,26,19,4,94,5,33,39,55,29,71,25,46,94,11,86,60,74,4,3
k_28,3,57,6,29,21,38,14,36,97,60,79,79,36,62,28,2,30,31,81,13,7,38,51,39,78,1,23,1,75,90,10,63,87,6,52,59,18,60,17,80,14,53,42,73,90,30,5,98,69,17
k_29,27,85,49,46,60,86,9,78,13,10,98,24,76,98,46,65,53,13,31,87,15,3,74,38,95,69,80,46,74,2,13,2,92,24,1,74,33,87,42,70,7,89,54,57,92,88,22,40,29,93
k_30,73,69,87,91,61,20,64,33,50,98,7,90,84,16,54,82,17,44,50,44,32,87,69,54,8,17,41,98,31,15,41,15,16,28,37,26,37,6,77,3,86,8,70,12,3,92,15,7,44,24
k_31,31,78,97,20,16,100,12,100,77,93,51,97,91,88,38,40,4,41,90,31,9,40,44,19,4,75,38,10,26,36,80,72,27,5,50,37,84,9,82,86,6,26,40,40,15,93,36,55,36,93
k_32,60,37,80,84,37,69,88,85,66,8,1,99,98,82,26,22,87,14,8,71,99,28,32,94,26,23,97,79,49,52,36,18,69,1,80,19,18,56,65,22,78,56,83,66,11,30,98,75,70,88
k_33,18,68,15,70,83,53,79,97,81,72,62,43,27,35,79,21,52,42,50,25,56,99,12,34,95,16,36,75,10,6,83,34,12,87,22,88,69,23,72,96,55,59,49,100,47,57,83,79,86,17
k_34,61,69,50,51,51,82,58,8,36,62,6,52,80,16,54,43,63,37,3,20,87,57,25,75,10,50,91,19,84,62,24,13,80,94,54,63,34,8,75,100,39,50,38,20,98,41,30,76,100,97
k_35,17,68,13,35,4,87,45,17,38,23,27,9,25,55,84,3,60,2,46,40,19,53,83,49,25,52,79,24,16,49,1,12,94,23,36,71,90,58,52,18,68,24,79,66,41,60,20,33,45,9
k_36,83,20,73,68,22,19,45,93,85,36,60,42,35,1,86,33,29,4,53,78,63,68,68,49,45,81,74,94,68,80,78,41,96,44,2,27,2,69,49,46,29,42,25,93,86,26,7,88,47,15
k_37,45,16,98,6,2,83,81,37,46,85,17,68,38,53,96,25,33,84,96,75,95,88,2,6,58,30,40,77,9,60,4,100,10,56,35,92,36,85,55,28,5,59,55,57,45,38,46,3,72,45
k_38,1,12,56,72,99,14,42,6,18,65,42,10,38,94,42,68,9,10,66,92,93,61,17,2,58,67,42,15,32,13,93,11,99,19,10,50,22,63,83,51,53,45,81,45,67,56,82,79,54,75
k_39,9,60,47,58,89,96,81,18,100,57,47,79,1,75,86,70,95,2,53,46,3,17,42,72,28,17,19,57,2,68,62,29,4,39,80,2,53,53,33,19,92,79,7,53,86,94,31,53,59,30
k_40,20,32,56,87,53,17,100,18,87,73,61,63,22,77,46,60,10,25,45,91,56,50,32,35,53,48,73,31,49,61,59,36,35,86,60,9,65,41,48,67,58,32,26,87,36,20,73,53,30,27
k_41,34,30,89,24,90,59,90,82,12,1,89,40,69,23,87,8,28,96,87,61,53,71,57,18,53,55,43,54,3,39,88,51,55,49,48,59,41,60,93,95,8,1,85,74,80,42,27,72,35,50
k_42,52,10,28,62,75,25,40,11,95,94,80,46,50,16,62,34,56,39,9,95,38,23,55,91,18,12,52,41,43,86,2,66,88,98,7,95,49,13,24,99,40,17,50,70,23,47,100,11,15,68
k_43,21,66,86,2,85,89,27,28,65,37,95,51,21,58,78,88,78,52,58,82,33,88,55,22,57,99,78,73,67,82,55,80,81,84,1,73,18,83,35,26,30,89,85,33,74,23,76,93,68,76
k_44,53,50,14,85,50,57,49,21,82,73,71,39,87,5,80,53,26,16,14,63,48,67,51,53,11,56,80,11,43,80,64,67,70,93,17,35,5,44,54,60,59,34,69,19,15,76,35,54,50,1
k_45,19,20,61,43,78,52,75,9,18,83,71,23,24,45,83,95,77,74,81,15,13,41,82,47,17,52,26,92,68,25,59,55,27,89,9,44,36,93,74,38,56,22,48,91,27,73,79,93,79,41
k_46,11,53,36,36,34,59,25,19,35,44,22,43,48,6,25,69,16,38,56,18,51,82,99,53,50,64,28,72,66,68,92,62,13,21,68,33,87,32,18,11,79,71,63,13,79,100,18,86,60,88
k_47,94,46,86,27,27,17,59,9,66,88,8,70,96,3,72,57,11,99,13,29,12,27,24,81,59,10,54,66,33,52,89,41,53,34,55,63,51,70,81,53,90,21,75,11,55,11,19,82,51,99
k_48,18,99,27,2,85,30,84,37,62,9,52,83,86,2,5,85,90,47,74,91,83,35,36,56,56,15,8,60,33,8,88,15,66,52,33,45,5,67,100,59,73,62,8,36,100,95,90,17,68,13
k_49,45,72,47,12,39,36,92,44,87,49,59,20,46,99,4,27,65,2,71,73,4,44,77,9,23,67,77,6,100,42,10,60,11,36,42,32,58,4,61,58,79,43,56,54,42,99,46,30,17,47
k_50,25,41,70,84,69,16,11,19,32,84,35,98,38,97,58,52,64,86,99,44,19,7,94,15,69,3,10,93,50,53,83,2,90,62,12,77,32,6,97,45,15,14,71,17,92,49,37,58,26,78
k_51,84,7,67,84,98,95,100,98,52,47,7,96,38,99,49,32,65,52,85,97,71,97,28,60,31,64,66,3,74,75,21,64,57,67,93,32,51,3,37,7,4,79,47,27,35,92,56,55,19,15
k_52,34,41,27,87,52,19,57,3,28,72,67,72,44,22,57,60,5,36,96,19,20,56,99,59,29,17,32,66,62,90,19,83,75,21,83,39,11,78,77,14,2,52,34,87,83,79,97,93,33,21
k_53,91,3,20,37,39,72,75,75,79,77,17,43,81,19,43,96,11,5,59,70,49,82,7,62,68,24,4,84,23,25,5,89,21,20,19,100,76,75,13,52,22,4,69,92,3,50,32,26,29,27
k_54,42,52,28,40,16,40,33,20,34,79,73,69,89,39,62,43,42,36,27,37,13,32,97,64,76,51,81,66,36,65,37,51,24,6,50,40,18,40,98,47,67,71,38,73,72,93,7,85,10,68
k_55,6,48,60,83,64,41,99,33,83,16,27,23,61,94,80,73,82,85,76,45,24,13,17,84,57,24,40,98,65,26,94,56,44,84,29,68,35,15,53,72,32,20,76,34,29,12,83,68,72,1
k_56,11,36,37,95,17,79,6,65,31,79,16,45,70,75,3,22,88,16,61,51,82,74,46,14,58,32,100,72,2,4,8,75,86,15,76,1,68,67,35,51,23,63,89,74,5,99,18,1,84,28
k_57,65,35,32,79,95,84,54,39,2,61,28,69,20,86,50,62,95,37,33,9,47,94,62,76,38,97,49,34,50,7,11,85,69,13,32,53,71,69,52,73,88,74,36,22,1,66,18,68,52,23
k_58,48,89,32,7,78,64,68,17,57,57,3,65,72,28,75,15,15,93,44,76,90,85,51,67,60,46,43,83,1,49,16,3,78,27,81,75,45,78,95,89,35,73,48,29,21,7,47,24,37,64
k_59,16,70,71,13,82,20,17,70,16,8,73,12,33,88,54,100,18,29,96,59,34,49,60,69,30,81,80,3,22,100,59,62,69,13,79,68,52,54,15,53,72,1,29,34,96,22,7,66,50,55
k_60,97,91,64,47,74,61,64,9,71,59,95,40,33,22,80,80,10,94,85,15,65,74,53,53,42,58,66,41,3,79,19,9,99,100,79,98,6,59,53,71,96,100,89,96,18,76,16,26,5,29
k_61,85,95,8,42,11,72,42,39,61,49,35,56,33,73,28,96,78,99,20,7,85,23,6,86,4,67,4,89,17,28,22,91,80,60,96,96,3,4,64,96,73,75,88,60,45,47,7,31,34,12
k_62,54,62,36,59,53,73,82,63,69,59,11,2,10,37,80,81,25,20,97,19,80,57,64,62,42,85,57,89,91,97,59,52,72,68,35,87,69,55,36,51,50,47,67,54,97,50,14,9,17,49
k_63,80,43,72,13,50,85,51,93,34,68,98,61,41,63,14,57,99,37,72,44,68,55,64,42,99,95,4,94,7,75,45,16,91,82,92,70,90,61,70,39,44,4,2,63,93,52,2,89,73,25
k_64,44,84,44,40,94,30,65,4,21,36,37,6,36,38,58,63,22,42,39,48,12,45,18,1,99,85,51,4,31,98,69,57,33,44,53,29,38,72,90,62,94,84,46,2,14,68,86,89,80,1
k_65,98,95,5,4,70,36,90,35,17,37,42,9,99,78,39,95,50,36,46,14,77,84,61,64,82,3,66,60,73,82,50,41,87,55,17,35,91,40,88,23,40,46,18,49,10,86,10,13,59,47
k_66,34,62,31,95,7,87,14,98,40,75,10,81,75,31,79,74,48,54,65,7,99,37,28,45,76,9,5,24,13,21,37,87,44,24,82,32,65,77,14,20,6,81,12,72,47,100,50,56,20,55
k_67,3,20,44,62,97,80,29,85,21,56,39,47,26,81,24,88,43,37,9,25,3,14,68,19,56,98,95,33,88,69,30,9,32,61,34,53,1,29,20,95,86,42,59,66,59,64,43,14,25,76
k_68,15,90,85,54,18,18,85,3,95,4,60,42,74,37,84,88,5,28,39,69,5,30,26,100,39,13,95,55,91,65,47,55,89,71,66,16,6,22,76,92,37,7,6,82,35,11,62,51,13,35
k_69,61,71,44,100,22,31,95,84,77,84,66,9,70,54,11,4,100,29,11,94,22,22,13,61,78,2,43,89,33,18,91,38,10,98,7,81,96,14,95,4,41,46,33,30,59,28,60,58,81,49
k_70,71,60,22,29,70,5,2,29,18,82,97,29,65,84,8,62,6,11,46,71,54,84,99,45,41,83,34,2,7,5,63,45,31,13,41,87,99,99,40,12,27,78,41,52,56,94,21,58,39,50
k_71,4,21,2,53,77,73,98,6,50,63,69,88,70,1,44,8,25,85,99,45,81,3,18,100,39,82,14,18,86,36,24,1,58,76,90,37,90,25,89,17,93,59,19,26,65,7,82,67,60,60
k_72,6,91,54,34,31,7,31,100,89,46,49,87,76,22,67,50,47,96,75,13,73,14,88,76,23,28,11,46,85,6,51,24,18,100,88,75,87,61,56,65,41,16,30,21,20,54,98,97,19,15
k_73,10,42,7,4,64,16,57,68,63,63,38,12,76,22,3,32,8,81,100,25,34,44,86,4,97,39,75,1,17,11,57,79,36,63,43,43,96,87,83,99,10,39,74,12,26,10,47,16,40,92
k_74,22,96,22,50,86,15,90,71,8,83,31,39,84,19,66,50,5,61,49,25,94,90,20,20,90,40,15,15,87,81,65,97,46,19,21,71,50,57,50,62,63,16,94,82,33,61,59,22,86,20
k_75,62,93,7,95,48,68,85,6,85,31,31,6,63,4,52,23,4,90,66,20,27,89,83,7,13,30,35,99,29,70,16,42,31,69,81,34,16,72,87,77,39,35,76,47,62,83,9,17,9,11
k_76,19,47,24,83,39,65,89,37,51,27,69,50,29,87,87,58,68,4,17,37,63,90,61,53,69,77,17,94,34,18,9,81,40,79,75,69,8,35,82,92,82,38,69,32,54,42,26,49,77,82
k_77,16,8,74,15,1,89,20,78,57,67,13,9,43,41,83,80,76,11,36,1,22,11,74,29,13,19,13,87,24,70,17,71,93,32,28,100,61,68,23,11,75,60,96,26,91,24,79,1,41,51
k_78,35,34,36,11,60,5,90,22,40,42,79,67,45,35,19,2,35,18,97,56,67,68,62,7,88,22,48,17,47,38,57,93,22,21,13,6,18,37,89,69,83,100,10,22,66,22,68,59,87,16
k_79,40,37,58,72,99,21,86,87,18,19,7,66,55,51,16,53,79,41,36,91,3,69,13,86,81,42,91,40,19,31,87,29,86,3,38,12,18,52,3,75,5,55,52,97,75,90,92,41,95,36
k_80,97,25,9,63,1,60,73,86,86,98,91,87,94,8,27,46,25,90,46,46,76,91,75,37,42,8,77,88,5,44,25,4,99,38,96,57,70,59,84,69,93,64,56,70,22,98,9,97,99,45
k_81,2,100,46,70,52,17,14,40,77,98,81,2,59,75,17,91,25,30,98,36,97,24,55,35,72,21,58,62,15,49,39,39,30,4,72,39,25,28,40,100,77,8,98,28,32,51,45,86,90,12
k_82,93,76,2,23,80,19,78,39,14,25,95,56,58,42,36,35,74,92,77,88,48,93,86,61,22,85,20,28,9,86,16,15,28,9,78,15,100,62,54,6,100,76,32,40,45,49,29,52,52,44
k_83,60,43,30,26,3,52,10,18,74,97,56,86,53,38,56,16,86,92,30,21,61,81,75,39,41,53,98,82,79,34,21,3,19,8,26,51,1,2,7,89,64,65,4,93,66,91,84,50,14,93
k_84,58,56,18,60,13,32,41,51,77,61,35,41,8,12,56,66,16,95,25,77,6,59,6,98,73,25,19,21,90,74,48,86,89,49,6,65,72,46,30,65,3,54,2,73,82,78,86,76,11,91
k_85,6,65,86,7,56,25,51,58,90,40,41,88,84,30,26,17,69,12,72,28,75,54,21,60,4,85,58,71,6,68,99,84,38,33,60,38,42,41,10,10,7,52,95,93,58,17,60,8,96,93
k_86,28,72,32,71,83,60,35,57,80,37,95,21,11,54,91,5,59,88,94,59,22,95,52,42,18,17,10,92,42,11,59,86,13,1,17,73,42,47,10,27,64,80,17,59,82,100,83,9,40,28
k_87,1,100,68,97,43,30,70,67,17,88,37,62,51,42,88,95,92,34,28,18,86,40,99,38,56,5,6,36,73,10,20,24,15,75,34,31,33,62,40,54,99,45,54,16,67,68,1,59,76,17
k_88,90,30,27,55,27,63,56,36,30,61,13,99,25,72,95,23,99,68,1,38,63,56,57,20,60,90,47,70,57,68,86,92,5,16,93,51,40,67,18,37,50,46,29,93,50,74,70,95,40,66
k_89,68,18,75,40,24,62,68,36,86,53,63,18,54,87,9,71,9,69,84,50,48,100,2,72,89,89,99,21,19,14,85,17,37,23,45,66,84,95,23,22,74,58,80,91,1,99,62,34,68,98
k_90,3,63,17,51,17,63,83,11,47,92,47,33,64,60,4,49,6,38,40,41,6,7,92,64,73,64,15,78,55,48,73,49,34,63,8,99,90,58,98,78,32,31,25,68,2,46,17,33,30,70
k_91,63,77,33,43,21,86,28,3,34,14,97,48,51,53,66,68,50,46,43,85,96,65,12,21,42,51,44,12,71,56,1,12,91,28,41,68,25,51,20,11,99,90,78,8,64,30,46,80,54,3
k_92,80,90,35,74,1,25,36,48,35,61,54,6,73,12,46,65,39,90,58,40,16,16,27,17,66,69,90,63,32,95,58,96,23,56,47,38,23,84,6,85,68,7,53,86,52,23,36,30,49,56
k_93,31,71,17,30,80,49,69,18,20,100,6,94,84,46,40,18,70,39,84,61,3,77,51,45,28,21,45,4,49,96,93,92,99,57,25,6,1,59,32,56,71,23,48,53,57,21,82,13,29,16
k_94,33,40,9,54,33,98,5,39,11,40,68,91,4,57,55,15,13,12,18,53,34,94,60,97,45,43,26,42,68,42,99,98,66,20,6,22,84,62,48,26,74,35,51,7,13,2,24,92,5,28
k_95,89,14,92,17,90,12,62,63,71,42,100,58,25,24,46,41,97,82,9,59,98,97,66,8,51,6,3,84,81,47,25,67,13,77,71,92,60,32,34,39,66,49,66,67,38,42,34,37,11,10
k_96,84,54,37,89,91,89,8,38,48,38,92,34,48,70,15,35,88,47,80,50,15,78,95,82,77,96,28,1,33,73,87,58,40,45,18,37,2,23,85,79,60,43,77,4,8,22,38,10,92,41
k_97,77,17,88,13,2,51,83,1,8,65,57,1,95,48,61,32,36,3,98,4,64,100,63,2,48,16,20,61,23,64,98,23,45,85,63,16,55,46,26,47,28,44,64,98,64,20,63,96,53,87
k_98,89,34,16,100,87,87,99,74,18,56,99,26,29,89,45,94,35,62,64,3,80,94,79,17,38,5,11,36,6,55,79,85,26,13,12,61,10,46,4,67,39,28,24,45,28,14,87,79,78,11
k_99,74,20,49,58,60,10,48,98,60,84,15,69,44,64,40,69,44,7,3,83,64,74,42,53,91,58,33,69,29,84,28,99,93,29,94,34,35,28,92,64,72,30,30,70,78,14,85,1,75,94
