commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_7,e_8,e_9
k_28,15,49,17,83,13,55,62,53,35,79,17,36,23,47,6,55,84,43,62,23,100,16,1,99,52,61,8,59,43,24,37,56,84,96,11,26,45,22,74,30,73,93,92,47,85,46,21,46,34,35,12,61,32,84,83,93,23,16,99,98,75,12,6,55,71
k_29,90,5,55,10,95,61,75,48,57,7,48,74,51,44,59,12,52,21,7,44,58,42,34,22,41,46,42,37,9,13,13,6,43,74,40,32,30,56,32,98,9,21,35,41,19,57,81,34,70,90,6,66,85,51,9,13,93,83,73,8,22,66,43,90,62
k_30,23,48,9,22,97,78,42,38,35,49,46,24,8,66,81,98,49,84,59,41,55,22,12,55,73,58,40,19,51,90,74,81,18,72,53,61,52,50,44,95,83,33,97,21,88,88,89,75,30,52,27,34,25,72,23,96,57,28,26,80,90,28,100,16,41
k_31,1,48,17,81,30,81,26,97,36,96,78,14,90,71,89,58,30,36,23,77,97,80,56,96,53,8,17,67,3,45,53,51,41,91,21,54,11,70,59,88,8,20,24,47,85,1,97,50,18,13,12,35,15,60,12,59,4,54,12,30,48,70,26,10,100
k_32,16,93,3,50,3,46,44,92,92,33,10,44,65,30,21,28,17,46,66,30,7,51,25,3,94,53,66,40,9,70,43,4,88,18,78,46,3,58,12,11,5,11,99,95,42,85,91,52,56,91,49,33,20,38,20,26,92,55,56,29,20,51,70,21,57
k_33,97,54,6,47,8,89,12,49,45,62,38,35,39,100,14,81,54,18,2,63,61,27,47,48,100,55,26,24,38,8,4,26,39,52,22,79,70,13,27,6,16,9,5,65,31,51,69,70,50,31,58,62,51,6,72,58,100,47,80,10,96,27,55,37,29
k_34,70,79,13,22,22,31,52,51,23,100,75,21,93,39,52,70,82,87,70,74,8,98,32,19,91,10,4,37,83,25,93,99,40,70,28,46,34,80,14,57,26,91,36,100,6,72,27,62,37,25,40,9,15,94,15,80,84,25,89,73,34,45,86,56,19
k_35,36,7,30,76,19,10,96,59,34,25,30,49,18,55,36,57,12,53,10,3,12,26,41,94,3,21,68,75,42,27,19,69,94,13,26,53,38,89,84,69,81,87,82,55,68,44,24,64,46,19,28,41,28,32,52,33,35,90,25,35,16,3,2,31,78
k_36,43,2,85,49,17,12,54,14,62,75,39,41,25,62,94,43,26,60,74,15,17,57,87,46,64,29,8,96,31,59,50,33,77,24,97,91,50,94,15,72,8,7,61,73,11,78,41,25,63,2,9,92,79,48,94,8,83,59,28,94,20,96,31,60,93
k_37,27,25,32,9,25,77,97,16,28,43,91,4,4,63,5,49,10,82,7,13,99,8,93,42,38,98,9,82,43,85,11,46,86,61,92,16,78,13,41,78,3,14,35,36,68,43,51,36,85,72,2,18,76,99,90,13,64,59,99,52,57,62,39,94,53
k_38,76,51,49,79,26,40,51,16,2,33,52,10,63,17,21,95,87,45,14,65,34,74,17,18,52,71,37,10,57,5,73,79,52,34,91,87,78,88,86,10,32,32,23,53,8,30,84,63,57,91,74,40,18,47,38,6,84,18,6,28,68,100,20,65,29
k_39,69,92,4,97,10,8,46,54,59,41,20,98,40,68,49,10,43,24,4,33,77,84,48,10,89,82,10,52,85,90,72,56,100,99,26,74,52,63,41,45,29,94,51,58,68,40,38,62,91,9,88,27,12,86,78,60,83,94,16,53,21,15,58,59,5
k_40,17,45,67,39,26,79,41,98,43,58,93,22,64,98,77,74,57,1,99,100,38,74,84,94,52,93,77,98,37,71,18,30,51,25,8,5,32,47,40,71,16,48,13,13,92,28,68,26,53,92,49,13,8,40,75,37,95,49,72,24,14,25,58,43,12
k_41,51,20,75,42,68,44,19,56,43,22,29,99,80,76,87,63,46,87,19,2,70,9,12,42,19,32,31,86,5,63,32,93,77,15,54,54,4,57,34,97,69,33,7,71,63,5,83,75,19,35,73,98,51,59,24,23,75,89,57,87,89,33,5,16,50
k_42,82,83,69,63,50,72,47,30,37,89,80,10,98,99,89,6,20,29,79,56,28,25,9,88,30,57,88,91,58,46,57,33,19,40,70,84,15,99,8,75,36,6,82,20,24,33,78,12,45,93,31,46,12,71,60,71,48,23,91,43,32,100,79,43,79
k_43,77,12,62,19,83,23,19,98,35,31,6,26,22,7,46,15,18,18,74,76,46,23,17,2,80,18,49,11,60,38,56,47,41,51,55,14,78,42,54,59,43,14,77,48,37,74,65,17,42,95,78,48,72,28,87,5,18,15,21,51,57,86,52,26,39
k_44,2,65,64,34,8,51,89,87,24,49,93,99,1,82,5,37,91,96,93,98,1,25,1,13,48,95,62,62,20,38,92,26,62,71,14,65,5,87,30,66,29,6,87,67,14,96,52,85,49,52,96,70,48,87,100,16,32,67,33,61,88,68,93,96,84
k_45,63,77,77,5,62,64,70,73,22,98,78,29,69,66,42,74,67,38,42,88,93,10,41,94,33,38,52,37,36,8,94,62,57,65,96,42,42,16,58,20,74,88,50,28,77,26,23,15,57,79,81,43,73,63,79,61,31,16,44,33,44,94,12,60,56
k_46,70,77,78,82,78,92,11,41,39,1,85,2,60,57,99,25,99,33,59,80,87,32,73,69,66,81,63,76,23,5,83,11,60,14,68,98,58,5,4,88,52,71,21,72,99,53,52,33,91,54,27,79,3,67,54,85,30,5,14,58,56,14,29,54,50
k_47,14,1,38,17,8,97,35,69,24,97,66,59,30,17,35,57,27,45,45,43,14,84,24,66,39,20,52,24,89,6,97,92,54,96,35,5,70,61,54,47,35,44,61,65,97,48,88,96,21,77,60,20,40,32,49,36,34,68,38,42,47,89,73,60,53
k_48,93,52,14,55,30,3,31,12,12,69,37,53,77,79,36,56,35,95,38,3,100,83,2,53,57,78,62,89,37,30,46,70,55,20,84,5,40,38,71,21,65,73,30,17,20,51,23,45,51,11,85,15,37,90,50,38,55,80,91,62,21,94,66,42,4
k_49,69,84,24,77,32,77,34,69,41,11,2,31,89,7,73,84,55,73,7,26,30,74,94,9,57,49,59,8,71,32,69,68,8,55,91,32,20,86,31,11,85,85,10,23,77,6,36,73,21,26,48,27,34,56,10,47,3,54,34,44,85,61,87,22,26
k_50,78,66,60,60,19,1,97,72,11,86,48,26,18,53,16,65,18,28,70,96,29,81,54,31,9,18,27,96,26,97,66,75,87,72,70,89,65,6,71,18,95,34,22,28,26,100,37,69,79,47,26,17,68,69,91,94,27,37,95,94,62,46,80,37,71
k_51,17,27,76,25,69,98,11,36,27,1,80,10,30,90,81,40,60,2,54,98,92,80,81,77,24,37,79,51,19,46,10,82,20,43,23,64,81,61,72,92,10,55,4,66,34,21,89,99,65,68,45,74,35,25,56,16,2,6,27,40,6,21,89,8,65
k_52,48,31,94,95,74,42,39,24,71,46,30,93,30,87,55,26,81,12,1,25,92,30,11,6,79,97,58,75,50,8,9,77,91,51,70,75,78,78,54,60,22,95,51,7,82,25,48,65,60,23,65,2,89,7,66,29,33,82,24,57,46,32,93,71,8
k_53,15,78,97,62,47,69,100,53,3,94,59,54,93,61,65,57,80,69,33,64,87,48,90,79,26,96,60,24,88,57,83,23,62,76,85,63,10,95,94,54,38,65,100,4,50,26,37,77,59,61,40,94,66,17,79,59,27,59,83,76,50,63,100,87,63
k_54,51,60,47,10,23,81,51,6,24,26,10,42,77,28,45,98,15,52,42,71,90,55,6,7,10,63,85,31,47,88,77,6,51,81,68,4,15,93,47,40,99,99,95,78,46,14,71,72,29,33,34,91,22,28,98,82,14,69,61,85,83,1,97,11,12
k_55,23,72,34,44,23,60,54,43,8,5,51,63,98,11,87,66,22,72,36,22,100,97,5,39,32,48,95,7,62,55,28,100,55,63,47,78,96,3,34,62,78,61,16,94,48,34,2,100,35,45,11,46,12,72,1,24,60,19,32,65,52,52,96,16,2
k_56,68,61,92,32,91,57,37,16,42,70,56,49,21,18,85,88,22,11,3,35,25,71,25,42,68,95,56,4,45,26,14,39,97,92,74,46,57,63,84,51,94,11,43,36,69,59,58,40,2,50,20,70,70,7,63,81,33,78,21,6,37,2,65,73,45
k_57,2,53,58,79,70,42,64,93,67,43,45,89,16,73,59,63,7,61,77,38,31,32,99,85,52,8,3,4,47,41,6,89,51,38,8,27,39,75,55,72,14,72,3,58,72,73,13,45,56,29,5,58,63,25,61,39,8,6,26,32,60,67,94,29,47
k_58,62,53,3,29,82,23,67,19,59,63,85,23,35,62,28,38,53,73,39,22,90,42,13,96,97,2,80,80,62,73,15,36,20,96,24,98,75,95,74,37,60,13,87,12,59,47,86,41,90,68,37,73,6,68,6,89,61,60,58,79,80,91,73,62,92
k_59,80,37,47,53,91,21,61,58,57,15,68,69,25,95,55,29,40,1,83,11,2,35,55,48,79,62,34,24,4,79,48,61,1,78,7,14,19,72,73,98,82,11,38,26,21,77,49,99,56,2,58,59,58,58,54,98,21,93,87,16,100,2,40,57,47
k_60,36,20,22,84,29,55,62,45,51,56,27,93,60,62,41,23,65,35,27,71,66,5,7,33,37,51,85,56,20,43,62,65,88,63,7,57,63,63,75,57,65,79,76,21,79,50,12,65,49,73,74,32,25,4,79,16,98,75,76,15,20,92,99,58,11
k_61,62,17,53,30,66,96,1,44,32,92,18,49,40,93,50,22,74,39,81,56,82,51,52,84,92,99,41,41,24,41,17,80,97,65,94,87,97,34,67,77,52,79,90,89,47,3,11,7,20,89,46,33,82,46,58,99,24,23,96,18,16,44,85,1,85
k_62,77,17,78,64,94,45,23,12,39,29,45,41,17,51,23,43,67,75,53,32,14,75,20,84,38,77,7,2,38,59,75,63,23,81,66,13,5,82,77,20,18,44,43,95,76,20,19,81,88,95,92,13,31,35,74,51,42,52,63,43,1,64,69,2,67
k_63,97,51,48,73,48,5,73,54,29,7,40,5,63,47,96,24,22,22,17,43,50,3,75,65,30,86,8,56,6,34,19,44,55,30,90,51,49,30,48,62,20,70,82,70,80,90,57,24,14,88,59,42,68,33,86,31,78,32,92,66,24,43,96,89,62
k_64,43,23,60,27,65,31,15,23,80,60,58,57,29,84,96,45,10,49,40,73,6,42,12,59,74,6,42,41,69,43,82,17,94,66,74,94,52,69,7,28,42,69,44,3,30,6,79,53,82,10,19,79,99,56,40,70,93,54,72,3,68,79,26,63,81
k_65,46,58,23,75,67,12,79,98,29,94,93,33,11,92,3,52,34,71,71,75,98,22,1,89,16,24,3,20,94,4,26,72,32,56,13,3,17,18,62,83,100,88,37,77,86,47,24,9,78,65,89,21,44,95,15,55,35,77,33,40,85,70,79,5,8
k_66,83,41,10,58,32,69,30,52,30,14,25,62,51,82,63,98,20,98,74,44,82,23,48,65,68,82,88,38,26,87,37,22,17,70,51,45,81,37,96,82,90,97,8,1,93,59,71,27,11,63,32,27,19,50,2,84,76,82,59,62,86,93,81,4,46
k_67,43,99,92,80,54,73,93,22,3,7,67,41,13,51,17,56,76,22,17,27,4,13,32,12,41,70,99,96,43,27,36,81,71,12,36,17,34,94,87,3,44,12,60,79,64,42,25,31,48,50,70,45,88,70,99,11,2,19,100,45,95,99,61,27,96
k_68,9,86,77,15,16,83,11,75,10,9,59,5,59,4,41,97,5,94,57,50,96,10,30,12,30,99,37,73,89,65,79,76,4,41,66,24,68,31,32,72,30,73,57,51,97,50,88,65,95,32,82,77,9,4,2,83,78,95,89,7,14,91,10,12,20
k_69,5,82,75,29,8,40,60,49,10,87,60,31,40,41,29,84,1,100,25,71,8,47,79,99,94,96,75,70,62,81,5,70,87,37,42,7,7,1,28,74,29,40,69,85,82,60,19,12,34,68,83,49,85,60,44,28,17,92,95,60,75,57,63,4,38
k_70,84,61,51,19,75,83,97,52,41,27,88,34,45,83,62,99,71,12,54,33,55,3,93,75,45,22,78,35,75,100,76,12,70,46,44,42,25,7,85,40,31,7,1,10,15,25,74,78,85,1,42,89,22,89,31,60,10,84,34,72,33,31,51,85,7
k_71,51,31,32,92,87,83,71,89,65,41,5,37,65,87,90,16,22,25,83,3,40,15,32,35,53,78,79,79,47,49,9,39,60,47,79,27,97,36,23,30,38,44,35,49,55,34,91,100,54,53,79,61,85,67,30,79,93,89,45,17,30,88,84,100,81
k_72,10,68,7,36,99,23,15,17,82,25,16,69,95,30,85,75,59,67,41,100,55,56,35,24,22,45,87,11,23,6,97,85,32,9,92,71,86,67,36,72,28,15,74,88,69,75,74,38,24,41,48,25,89,68,98,17,92,79,44,88,13,74,27,9,14
k_73,89,19,11,24,95,14,84,39,100,87,66,61,13,77,2,53,73,52,61,65,71,68,82,11,42,95,52,15,64,82,53,92,6,98,68,32,92,32,59,35,94,27,16,60,70,38,17,41,19,82,30,92,79,7,11,16,88,41,91,13,48,86,82,9,99
k_74,61,100,59,67,47,22,77,91,74,20,17,28,70,80,53,92,33,75,83,79,97,63,49,18,70,59,2,31,14,85,38,3,71,3,96,15,30,61,47,23,38,36,86,46,30,59,38,65,55,42,22,66,19,95,71,64,53,63,72,13,31,8,53,75,16
k_75,38,8,98,83,61,52,67,67,65,63,65,35,5,38,12,39,28,18,56,93,68,48,76,1,79,32,66,43,22,10,45,34,40,48,74,35,19,12,47,36,95,89,98,64,59,43,46,95,64,74,85,59,78,74,53,55,98,56,65,94,22,57,61,16,33
k_76,62,86,60,23,78,17,39,94,36,41,19,77,8,56,11,8,76,54,63,6,14,31,35,67,97,79,65,41,59,57,77,88,1,55,99,37,63,70,98,93,79,4,90,82,93,36,57,18,77,68,38,65,48,41,5,50,66,50,4,59,11,4,86,67,91
k_77,65,56,81,19,14,75,64,19,43,35,37,15,32,23,47,32,6,57,95,58,87,85,18,84,53,8,49,32,55,58,72,46,87,15,27,21,3,18,77,94,82,7,97,30,37,66,29,60,37,91,68,36,51,2,38,78,12,27,9,5,3,46,42,36,12
k_78,12,47,37,97,2,87,4,4,57,65,38,92,77,85,44,36,40,66,85,35,54,68,11,75,48,83,70,32,61,36,83,11,17,37,7,16,93,65,54,71,53,23,95,98,34,64,93,39,74,60,64,53,56,85,6,14,10,80,59,98,33,13,46,100,78
k_79,37,96,97,45,93,95,51,80,2,72,26,62,56,98,60,22,56,91,23,81,74,42,49,20,86,70,78,71,48,52,55,22,16,40,67,82,13,29,54,8,21,43,59,29,51,8,20,47,80,1,33,17,53,2,13,45,30,97,11,94,27,75,98,24,91
k_80,7,63,19,16,76,68,80,4,42,6,81,61,81,55,84,19,65,78,79,83,13,74,15,74,21,77,74,12,51,94,21,78,93,36,94,24,25,91,75,23,17,66,86,69,4,19,62,72,30,59,56,19,94,26,26,64,8,63,28,97,33,4,44,12,31
k_81,54,22,71,50,45,1,50,59,74,74,41,58,5,60,52,28,61,79,93,13,52,4,17,78,29,78,7,6,45,3,46,12,43,1,50,64,18,24,12,31,86,40,37,8,76,59,84,70,37,67,45,58,96,79,87,83,12,1,47,60,27,61,63,43,10
k_82,42,11,85,36,20,55,74,87,56,34,40,49,23,41,35,53,71,10,33,55,34,38,5,45,61,24,94,49,59,73,97,100,22,80,63,4,86,50,6,68,7,36,34,60,43,74,44,7,17,86,43,22,63,73,41,79,87,10,29,71,58,2,94,38,44
k_83,62,13,91,89,47,80,68,66,68,29,18,90,73,23,54,77,70,45,54,25,94,97,59,50,45,68,48,85,60,6,64,67,38,22,13,81,5,78,35,48,96,10,82,88,72,30,30,88,64,100,52,49,83,42,27,3,9,67,63,56,71,31,19,36,35
k_84,21,6,56,14,68,6,75,65,56,19,64,68,60,56,27,29,76,30,78,80,17,18,31,2,2,17,95,100,82,97,81,74,32,28,35,38,92,2,49,85,37,38,2,28,33,81,41,57,75,97,47,23,90,43,27,95,96,44,10,12,52,20,80,72,80
k_85,66,28,2,67,38,29,65,79,60,82,91,85,19,79,17,35,1,38,65,56,54,58,73,34,17,22,58,18,77,10,69,100,13,26,23,41,82,13,93,23,50,50,96,6,70,62,5,32,40,25,89,19,55,65,40,19,67,96,7,89,63,13,74,66,69
k_86,75,3,85,62,49,79,60,27,99,38,43,60,86,71,50,1,84,16,75,51,35,54,95,20,34,45,82,44,78,1,27,54,8,46,60,8,7,48,59,62,95,14,96,10,34,28,72,74,56,11,64,51,2,7,15,86,18,29,35,83,4,70,54,51,75
k_87,2,71,80,46,87,64,67,3,45,38,77,27,3,81,13,52,87,10,23,69,68,23,17,46,7,50,8,18,15,77,78,83,75,84,92,85,27,19,50,7,61,67,35,93,75,23,12,12,37,92,71,41,82,13,17,63,59,18,74,52,22,89,6,25,23
k_88,28,30,80,95,70,34,74,88,94,25,20,33,37,19,63,85,74,43,38,46,65,66,67,41,80,11,92,39,72,68,34,91,64,56,52,51,97,36,100,63,62,51,10,7,93,85,69,47,65,28,38,13,12,36,1,16,86,9,37,14,38,13,55,37,50
k_89,37,40,94,30,30,29,94,42,57,2,65,1,11,36,67,36,23,69,30,37,84,96,69,36,6,92,42,31,46,88,49,41,5,28,61,38,10,64,44,75,85,44,70,10,76,4,42,77,34,76,73,3,37,47,98,55,48,3,58,93,73,6,42,53,97
k_90,15,45,97,11,35,14,49,89,79,97,57,36,29,48,98,87,69,85,28,52,34,24,15,94,92,6,48,39,36,80,37,72,49,43,28,49,24,70,13,64,40,69,15,65,28,46,92,84,45,99,7,99,75,9,48,48,38,69,36,37,24,94,61,60,31
k_91,20,20,91,20,32,75,27,53,4,94,25,37,98,32,1,59,8,48,20,95,47,70,12,72,95,33,59,93,39,21,12,44,14,75,66,8,59,12,82,58,24,9,97,27,47,84,45,95,68,94,17,95,70,68,20,74,60,68,9,68,86,82,84,14,28
k_92,44,19,95,89,53,12,73,59,25,5,14,52,45,24,15,43,50,21,84,11,88,51,13,59,35,7,33,9,97,11,45,54,3,49,1,12,88,61,66,24,13,74,3,99,58,83,26,100,39,13,72,65,61,24,29,42,58,91,65,66,78,6,87,15,100
k_93,29,13,82,17,79,30,57,63,86,56,73,50,46,82,2,68,28,34,12,51,50,1,100,66,15,63,45,94,71,78,58,24,81,16,30,30,92,58,59,33,99,3,38,58,51,14,64,27,49,81,55,64,43,32,21,67,40,23,95,84,70,13,55,82,40
k_94,14,85,63,3,49,54,80,96,20,92,47,93,100,87,86,69,99,38,22,17,31,59,79,14,90,14,6,33,79,28,73,63,10,24,3,70,52,58,8,57,19,26,100,11,13,48,72,13,61,19,50,53,3,77,32,45,89,26,25,32,26,39,55,6,94
k_95,69,13,86,29,28,86,4,49,21,15,62,22,44,98,20,78,98,67,32,38,46,56,60,31,8,90,22,63,84,10,81,96,89,64,25,3,28,96,2,68,33,7,36,5,12,86,41,98,78,100,35,76,74,59,4,53,45,25,95,80,66,26,15,15,55
k_96,95,69,6,62,60,48,69,69,98,28,15,76,57,93,23,54,84,98,14,92,96,89,42,45,73,43,63,8,55,8,72,90,36,53,75,97,100,85,37,27,5,96,46,55,80,64,73,84,48,85,16,54,75,18,31,76,22,1,81,3,92,63,84,7,45
k_97,48,41,31,61,94,98,36,36,38,44,50,55,87,52,60,80,23,10,61,16,77,51,82,5,7,39,37,2,75,60,47,3,67,73,23,22,32,34,13,79,35,65,46,96,5,82,92,47,62,19,85,13,4,47,15,19,45,87,13,39,91,100,12,22,93
k_98,91,47,56,64,46,95,69,30,65,69,81,85,36,38,48,93,48,4,64,32,49,63,19,41,17,57,12,94,53,30,96,29,10,96,57,81,72,25,22,63,60,42,90,37,34,28,35,36,82,84,53,34,9,81,63,62,79,33,58,84,72,97,28,81,68
k_99,84,48,64,54,35,85,58,21,38,46,46,49,89,42,59,98,21,2,63,83,63,98,90,97,43,89,72,99,62,26,16,43,96,44,88,99,60,15,36,33,61,5,35,7,96,75,11,60,28,35,4,67,6,87,90,100,92,30,72,55,4,16,34,92,33
