commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_7,e_8,e_9
k_14,32,25,25,100,89,60,71,4,35,99,75,37,80,26,54,10,7,27,30,64,31,88,17,87,11,84,2,64,92,89,7,98,92,15,69,12,26,75,38,43,5,67,83,9,32,76,92,54,42,37,93,99,93,89,99,71,62,55,15,15
k_15,71,43,48,51,35,34,73,32,36,79,43,52,57,6,3,100,25,37,64,95,56,62,41,55,76,85,80,39,3,86,29,15,50,97,57,22,45,27,71,70,1,68,9,88,51,90,76,41,27,62,42,36,43,39,100,79,96,62,48,74
k_16,40,37,1,87,100,61,65,14,98,44,3,20,63,70,3,19,37,72,78,35,22,71,100,56,94,19,8,41,48,67,44,35,13,43,19,91,33,65,46,21,94,39,97,15,6,4,8,79,20,58,42,85,20,53,41,10,55,53,84,96
k_17,94,41,87,50,64,27,55,6,49,50,56,19,55,38,20,86,74,46,98,15,84,28,27,35,94,24,63,89,56,4,59,44,95,89,28,11,43,68,66,38,51,97,46,40,89,41,30,90,29,83,10,23,32,95,16,83,14,24,17,28
k_18,27,15,50,50,29,64,89,13,53,26,28,93,87,20,1,56,56,19,24,58,25,54,94,85,66,92,34,49,48,50,83,63,19,36,86,57,61,52,52,30,82,53,56,85,6,33,44,98,18,20,79,16,26,59,4,65,24,47,32,99
k_19,85,52,24,14,35,64,35,9,55,43,7,99,1,16,17,84,23,89,81,61,41,81,71,9,13,1,68,26,66,39,18,21,95,100,34,68,76,11,34,6,57,74,95,10,10,52,62,8,33,88,41,95,37,44,20,34,20,61,100,18
k_20,45,36,12,2,27,28,100,91,77,10,74,27,14,19,7,12,91,58,67,15,42,47,20,98,15,33,39,27,52,34,47,51,5,31,60,90,97,85,47,80,45,4,49,49,68,71,43,22,54,57,88,71,22,6,30,89,99,56,45,78
k_21,62,89,18,33,26,97,26,89,49,50,62,90,56,48,100,54,78,37,92,63,84,86,57,30,30,86,50,44,66,1,29,72,9,67,50,66,44,65,64,38,40,23,87,62,53,99,30,22,43,31,63,30,14,34,49,89,5,22,36,82
k_22,77,59,91,40,58,28,1,100,51,61,58,86,27,40,90,32,49,15,31,27,19,67,47,53,48,76,50,14,35,92,90,23,42,7,70,86,89,56,38,58,41,54,38,50,37,64,28,92,89,30,7,70,79,49,85,83,66,83,1,90
k_23,66,2,24,72,97,28,99,57,96,77,5,65,97,36,36,46,29,42,3,40,42,95,54,29,87,69,53,31,86,98,47,45,77,36,59,15,79,49,84,87,95,57,46,79,3,23,98,66,36,65,92,90,4,75,11,61,81,30,43,93
k_24,39,25,82,21,34,69,67,1,11,41,43,57,31,30,18,39,100,67,90,2,28,76,59,44,75,81,74,59,59,72,43,64,75,52,81,83,80,80,62,13,74,85,48,56,52,56,77,33,34,19,6,16,81,21,89,55,12,11,12,17
k_25,81,87,76,83,46,74,5,32,55,70,30,57,31,58,46,50,29,28,53,53,77,74,13,85,16,36,31,48,52,17,23,27,76,77,98,66,76,30,47,61,13,88,77,4,99,25,28,9,74,99,8,93,66,13,45,80,55,68,98,37
k_26,60,46,44,20,23,5,20,14,100,17,56,41,25,99,56,9,5,99,10,37,82,83,79,83,44,24,38,73,61,36,100,98,94,35,47,31,11,30,8,62,55,45,51,39,100,97,96,69,69,29,21,96,98,50,41,32,22,21,85,91
k_27,13,52,48,53,47,37,43,80,67,20,40,92,32,46,95,58,44,66,40,18,41,83,92,11,55,44,36,65,21,10,38,66,64,80,83,14,13,98,14,36,50,81,89,40,71,99,86,85,4,13,57,77,91,48,24,69,98,31,32,22
k_28,47,79,20,34,90,89,61,9,15,82,31,32,21,98,42,63,94,57,82,19,62,6,20,70,82,92,13,92,31,65,9,75,42,17,95,8,8,12,74,35,76,57,41,33,59,4,38,58,31,1,69,6,84,57,9,37,25,6,22,38
k_29,39,80,35,75,51,19,20,45,44,86,73,12,18,96,24,60,59,17,4,73,54,100,98,23,27,98,5,47,80,20,13,56,9,28,39,30,91,81,42,18,31,21,15,53,4,31,61,26,56,64,31,91,14,57,48,80,78,74,46,77
k_30,34,64,59,4,13,86,34,66,14,30,57,70,41,51,45,7,17,66,1,51,7,35,64,20,40,49,76,58,36,52,18,20,100,52,55,63,66,61,66,79,36,66,48,10,27,30,39,4,75,71,70,81,30,15,3,17,5,33,72,47
k_31,78,84,72,88,73,50,68,33,77,8,95,21,65,71,86,38,23,12,57,49,90,37,34,59,49,10,78,64,12,34,99,73,32,30,52,91,51,53,33,66,16,73,53,76,92,81,14,39,89,12,70,32,91,46,29,86,85,30,82,23
k_32,6,86,31,7,61,49,31,16,16,100,81,66,75,56,33,66,97,30,41,1,87,100,87,6,88,83,13,41,37,84,31,42,18,37,65,21,89,95,82,58,37,47,1,29,43,68,76,57,24,28,99,31,58,2,74,39,72,26,20,17
k_33,12,68,91,48,20,63,55,1,64,38,61,81,68,29,72,99,27,67,57,86,5,92,50,64,89,95,36,50,24,49,14,89,8,17,19,85,98,88,87,16,3,57,46,87,27,68,38,82,72,11,20,4,48,41,49,48,16,57,71,44
k_34,16,45,74,94,33,29,100,41,15,98,80,83,92,60,87,84,69,1,53,21,17,86,78,56,67,66,3,9,59,85,50,66,16,43,54,61,14,44,3,8,95,48,47,99,88,77,63,48,62,5,14,20,12,5,89,96,40,84,82,14
k_35,38,7,42,41,62,30,11,47,46,35,34,8,56,20,33,44,52,68,37,40,72,22,30,88,66,8,94,4,27,10,21,24,15,41,33,11,60,88,83,6,48,11,46,33,81,12,48,36,98,10,16,77,17,67,47,22,80,65,45,87
k_36,51,49,42,47,15,49,41,92,3,86,43,76,22,69,73,85,89,26,27,74,73,6,70,90,62,54,96,89,33,27,21,75,50,59,80,5,16,10,89,37,99,80,13,71,47,58,21,23,7,7,80,82,18,56,89,31,99,29,46,56
k_37,71,94,24,64,71,19,41,46,56,79,44,31,72,62,45,35,89,25,90,18,28,88,66,66,50,39,90,7,16,95,99,92,78,62,18,81,12,82,46,69,31,84,21,63,83,8,92,24,87,47,82,16,46,83,99,49,37,29,48,25
k_38,14,64,76,49,81,45,98,16,69,83,12,88,32,90,55,26,31,11,44,10,54,58,46,71,85,61,33,100,75,68,20,20,13,30,20,78,65,51,59,99,99,41,26,6,49,77,29,45,86,60,41,93,48,10,7,24,23,79,16,72
k_39,52,23,3,40,14,13,51,12,28,16,80,7,10,49,65,54,18,78,83,10,38,41,95,80,55,16,38,40,87,29,44,95,60,3,90,34,35,68,69,20,18,13,91,16,77,36,14,62,24,23,69,85,2,36,78,7,37,28,46,94
k_40,83,3,32,34,78,35,47,47,52,33,72,97,98,28,89,1,92,60,45,61,62,79,17,1,52,72,36,78,80,20,100,33,45,76,34,47,50,68,77,75,17,43,83,22,55,41,59,60,1,85,53,95,87,44,22,18,10,20,80,76
k_41,30,31,30,59,94,61,30,60,86,27,24,50,45,48,81,34,61,76,52,95,31,44,84,80,90,89,6,33,34,4,12,7,20,59,23,28,47,40,74,12,4,21,41,50,66,90,88,97,13,87,40,30,100,72,9,37,83,97,73,42
k_42,39,71,32,86,72,18,63,83,63,18,12,58,51,84,3,85,11,90,54,94,90,98,88,83,77,58,28,7,16,48,40,61,46,64,68,57,14,63,83,22,92,96,43,39,2,2,45,66,89,28,88,26,77,44,98,91,68,1,10,29
k_43,80,54,25,7,8,16,14,39,40,97,72,41,97,35,68,4,51,45,23,36,61,12,17,40,44,36,30,64,77,37,24,35,41,25,47,64,3,65,96,92,9,76,84,66,53,39,16,69,3,8,60,81,93,79,78,69,55,87,99,22
k_44,66,37,41,85,6,83,18,100,39,72,27,54,3,33,32,58,23,65,92,41,8,40,39,22,59,58,28,41,46,68,53,18,95,40,56,36,8,12,70,62,49,95,11,97,95,14,16,63,12,97,90,93,91,55,79,23,33,84,48,20
k_45,24,90,8,76,89,7,14,31,34,67,88,84,26,41,39,95,57,99,81,79,85,2,3,56,28,65,28,6,13,94,46,26,11,89,18,56,28,15,59,60,2,16,19,27,84,75,52,90,14,30,88,85,43,73,13,17,64,68,53,97
k_46,22,23,4,29,100,91,53,52,18,40,56,100,67,24,46,63,69,91,94,48,76,55,24,64,87,43,8,36,99,45,97,66,19,33,9,37,59,35,79,100,98,26,63,23,72,48,82,25,15,67,100,32,65,23,5,3,85,97,93,100
k_47,74,23,36,100,74,63,7,81,10,46,14,38,25,37,26,38,25,24,6,97,42,41,78,64,94,67,54,6,8,4,5,46,33,48,20,17,6,76,69,37,73,29,59,83,4,27,57,92,62,96,59,38,67,96,53,35,39,98,79,87
k_48,46,5,77,9,18,59,83,51,19,45,100,88,16,97,79,55,20,11,3,58,51,37,59,62,17,71,13,11,45,7,26,67,13,13,6,48,72,30,19,6,87,82,17,47,9,1,28,94,65,39,52,64,9,17,24,39,25,89,86,17
k_49,99,64,19,67,88,78,8,93,65,94,24,93,94,10,8,41,38,100,60,86,63,32,68,15,17,3,31,7,64,18,69,47,32,72,11,93,45,64,81,83,69,22,36,56,64,68,16,91,59,51,45,22,45,42,88,7,49,3,33,68
k_50,76,51,29,50,17,100,27,38,25,85,80,81,83,99,8,71,9,76,64,1,6,14,100,27,68,83,96,55,94,91,68,85,37,39,25,45,2,98,49,2,56,72,27,39,66,80,19,14,56,16,85,7,37,89,25,85,91,79,56,91
k_51,18,30,80,33,25,15,32,54,35,3,10,59,10,31,13,26,94,70,77,83,21,75,8,83,22,70,96,23,30,3,100,55,44,63,37,69,82,52,73,60,4,79,98,66,1,84,22,9,15,3,77,71,7,69,20,71,48,66,58,95
k_52,75,63,71,81,5,46,65,57,76,38,95,58,70,68,28,86,66,92,46,90,48,18,36,56,51,40,94,1,96,65,69,15,99,85,96,24,69,26,83,1,37,93,80,28,16,84,46,80,76,93,70,15,69,29,97,69,38,92,79,5
k_53,28,81,67,61,72,46,34,68,28,81,86,74,42,76,12,4,6,36,37,99,17,1,1,27,94,67,85,84,49,43,20,20,12,69,26,89,60,77,37,66,35,47,12,72,87,29,40,96,23,14,74,73,39,2,19,19,64,39,8,97
k_54,60,10,45,1,31,13,71,72,75,12,19,54,94,92,89,34,83,36,87,69,94,51,22,100,41,60,82,83,39,19,73,95,52,67,24,39,91,7,23,48,46,100,43,37,42,72,71,5,19,27,35,78,67,66,22,72,69,40,84,82
k_55,7,6,17,52,55,41,13,60,36,29,11,33,70,26,86,66,95,92,38,50,44,53,2,61,40,59,34,3,28,96,8,87,95,95,17,57,12,49,70,17,7,94,37,50,9,45,48,55,40,79,47,75,24,95,59,43,21,49,75,59
k_56,50,10,19,53,21,92,44,57,74,100,100,17,41,99,86,85,81,8,18,74,49,12,31,1,89,82,32,11,77,69,61,93,4,30,88,32,43,54,25,94,47,87,30,33,5,86,55,6,21,83,90,69,74,50,56,52,46,80,19,86
k_57,63,11,61,17,63,85,24,22,24,70,16,95,45,3,33,59,98,81,83,17,4,46,27,22,63,50,12,45,66,92,79,60,64,50,91,88,19,56,35,5,8,19,1,7,80,83,71,51,14,38,81,30,78,10,93,39,29,19,4,48
k_58,84,23,9,41,100,74,31,61,34,23,30,71,61,51,10,63,57,48,91,45,99,8,28,36,97,90,36,83,70,13,97,51,33,11,14,35,10,39,35,13,12,50,99,53,97,73,84,56,7,67,47,65,52,36,46,51,39,23,6,3
k_59,82,18,1,82,93,31,69,40,11,66,52,3,95,5,1,29,89,2,50,16,46,8,6,4,76,35,3,47,30,74,98,88,6,19,26,36,59,43,32,98,57,90,68,48,94,75,72,64,29,18,77,88,72,71,93,92,43,6,63,28
k_60,92,35,4,2,66,45,94,28,63,85,58,52,83,7,81,86,67,29,88,82,42,42,62,32,35,83,88,38,60,79,75,46,34,25,18,74,47,63,17,95,14,51,95,65,100,89,36,77,51,99,47,89,78,66,69,90,33,25,1,89
k_61,44,29,38,68,83,25,21,34,52,47,6,83,68,13,1,80,18,1,14,93,23,24,99,49,18,8,49,45,40,30,41,33,46,29,8,32,42,69,8,26,88,85,34,23,37,45,96,47,67,39,1,39,45,15,49,34,90,95,54,8
k_62,14,29,61,89,75,4,49,97,49,42,11,2,92,1,42,87,71,59,87,87,16,2,54,8,59,71,47,95,44,2,5,89,54,11,74,48,90,8,78,6,89,67,48,22,23,27,48,9,18,67,27,48,100,51,60,1,53,2,23,44
k_63,90,77,76,42,46,47,4,67,41,98,29,14,5,44,66,87,11,33,31,19,25,25,1,83,36,58,97,5,99,77,50,14,27,42,40,69,74,30,90,58,26,95,47,79,60,68,53,22,70,7,62,22,68,14,34,21,57,92,44,17
k_64,27,51,15,100,23,65,13,47,7,19,55,98,69,50,69,46,93,92,23,47,89,82,100,98,70,99,91,76,48,7,63,39,94,27,39,15,13,33,3,52,83,77,29,18,82,58,59,94,95,20,38,91,30,34,9,55,85,100,82,86
k_65,93,96,9,60,79,11,22,31,5,11,31,72,70,1,61,3,4,90,43,2,73,61,96,77,86,19,15,38,40,40,38,65,39,63,83,7,66,7,34,41,25,58,33,15,47,64,58,12,45,26,45,75,33,65,84,71,97,87,81,59
k_66,85,94,41,85,41,57,31,58,71,56,57,11,25,68,38,63,10,36,35,77,6,32,34,93,77,54,35,65,2,8,65,100,23,27,96,50,87,10,82,46,36,83,73,59,16,78,70,10,79,49,85,88,56,40,67,83,53,13,87,79
k_67,84,44,35,65,62,1,93,57,22,87,56,82,49,12,94,9,95,30,82,92,32,86,48,42,96,96,55,11,66,96,35,40,37,63,99,96,3,52,79,9,61,97,31,63,22,5,95,65,12,6,45,48,62,77,46,82,87,91,97,66
k_68,45,27,72,52,89,87,46,88,48,58,6,61,79,54,89,50,48,62,20,82,18,74,28,9,15,75,87,15,84,46,84,31,22,29,55,53,25,13,84,91,6,9,66,69,66,83,72,67,24,62,14,50,35,93,15,7,76,62,7,12
k_69,13,58,87,49,62,59,50,100,83,42,75,8,30,6,41,86,95,98,53,43,7,16,17,88,32,69,30,61,50,84,68,59,27,76,79,87,6,12,31,70,62,98,39,46,10,56,1,85,38,34,41,53,90,75,100,77,76,92,45,86
k_70,2,2,69,37,6,86,39,86,80,17,99,42,53,19,62,71,54,13,60,40,33,36,94,22,16,5,84,66,76,74,87,13,17,46,29,96,41,41,42,86,31,8,37,99,84,97,17,11,36,94,6,83,41,54,84,29,15,89,58,10
k_71,40,22,36,51,59,45,48,70,64,27,70,10,92,98,3,91,28,60,92,16,32,93,17,99,2,8,59,76,26,44,19,77,26,56,91,99,42,20,64,14,4,69,88,37,92,87,40,89,84,24,71,96,2,44,30,65,20,25,75,47
k_72,33,24,91,60,94,83,71,64,94,40,56,58,28,33,77,13,42,32,99,98,45,55,41,81,32,27,5,95,90,19,13,22,23,65,50,91,79,62,73,83,74,8,78,47,19,21,9,79,78,27,71,65,40,71,81,81,62,57,69,19
k_73,35,51,13,24,74,71,66,34,72,36,18,74,27,17,70,43,13,11,78,73,15,35,89,74,88,32,52,78,10,69,44,92,41,74,66,78,45,63,70,89,5,15,8,27,29,29,85,13,15,49,35,97,4,4,27,13,58,71,7,84
k_74,23,99,14,28,56,47,96,57,93,47,29,59,70,87,40,60,5,5,21,20,32,24,64,95,37,7,7,37,28,92,6,67,36,30,93,99,18,41,27,2,47,84,99,59,44,39,82,95,21,21,22,13,42,45,95,33,44,85,48,87
k_75,16,22,72,81,85,62,10,15,28,39,31,94,5,67,23,11,47,42,16,11,18,84,62,98,69,93,19,98,87,45,85,72,22,62,13,12,85,13,49,92,97,2,35,99,60,92,65,84,15,92,87,97,100,22,70,5,61,13,67,3
k_76,6,58,72,38,11,48,32,39,23,88,60,81,49,65,91,38,2,66,52,35,14,60,81,83,14,57,88,33,99,9,5,87,78,34,99,23,44,26,44,92,39,94,79,27,49,28,82,67,76,47,42,16,38,54,61,51,32,95,74,60
k_77,70,6,60,73,50,51,91,10,76,26,59,68,27,99,60,46,26,42,9,38,36,74,38,36,28,13,99,10,23,73,24,76,64,60,13,29,72,58,4,27,40,54,73,54,57,50,33,49,21,4,46,25,27,8,62,84,99,63,67,32
k_78,2,15,74,62,92,6,22,6,5,77,15,24,44,81,15,55,47,25,16,90,85,53,63,12,95,54,91,89,19,33,12,93,14,83,22,60,28,67,83,51,16,33,92,75,73,7,79,6,27,45,74,10,34,35,71,74,30,26,69,100
k_79,67,97,68,4,40,31,88,21,86,72,41,78,29,22,78,76,74,97,52,86,100,68,54,100,4,73,89,49,23,56,49,60,83,97,26,52,68,56,51,38,97,49,100,99,59,31,79,68,10,73,36,81,18,89,96,64,46,76,55,37
k_80,82,46,53,77,57,78,55,52,35,37,19,77,67,44,65,80,35,91,47,17,28,13,25,69,78,41,33,47,18,36,63,9,71,52,67,12,68,6,34,92,44,44,68,12,92,25,51,15,67,89,50,68,72,67,1,94,35,36,89,34
k_81,19,91,42,70,87,21,41,45,74,94,31,14,59,83,41,57,52,95,45,11,73,32,29,32,63,52,63,7,44,21,12,38,42,53,44,37,43,25,94,42,56,65,92,98,66,82,83,42,90,24,41,46,46,35,80,24,99,66,62,3
k_82,69,1,41,52,89,78,15,49,60,98,75,61,64,91,63,7,66,96,28,80,6,22,52,16,60,85,9,14,39,1,58,7,35,90,73,40,61,87,16,81,37,98,5,10,24,44,25,95,5,47,90,97,5,15,36,58,73,50,23,53
k_83,4,2,21,78,54,38,3,62,67,72,95,61,28,58,48,84,87,1,73,56,75,71,34,97,1,6,46,6,71,59,38,37,11,16,11,29,55,83,7,73,47,49,26,54,88,28,20,91,97,75,45,87,48,97,48,48,94,2,21,37
k_84,41,30,77,60,39,55,58,93,83,55,14,100,29,58,84,26,77,59,99,29,20,11,24,57,23,71,70,36,56,33,95,37,3,59,6,49,13,57,80,92,33,11,74,26,62,20,78,78,30,80,13,10,23,69,99,61,8,74,1,23
k_85,76,39,97,45,17,75,83,48,73,64,55,58,47,76,39,53,6,34,91,13,37,33,36,72,20,23,6,18,78,44,91,52,53,33,57,32,58,78,46,11,93,85,70,17,32,51,97,1,81,48,38,15,55,34,9,73,4,21,34,19
k_86,65,45,37,21,77,46,89,75,66,60,21,58,61,97,90,39,76,88,10,45,39,2,49,7,97,5,4,85,28,32,20,69,99,34,43,53,53,73,75,93,24,80,62,23,51,57,50,86,30,2,44,88,12,17,73,87,61,37,11,50
k_87,51,73,26,66,60,9,43,26,57,93,4,50,25,64,22,28,65,67,81,8,13,11,61,68,48,67,30,69,79,27,41,65,79,71,17,93,2,30,1,85,10,99,80,96,10,91,71,77,84,20,16,10,8,38,34,81,48,12,82,88
k_88,54,27,43,80,76,19,29,83,30,81,49,52,35,35,40,63,61,10,92,67,70,30,28,38,43,16,8,34,79,54,77,90,55,72,62,86,30,27,76,78,68,8,88,1,53,15,52,48,58,18,16,80,28,77,56,34,45,88,96,89
k_89,29,50,97,85,21,74,68,91,84,1,79,72,50,93,83,74,50,21,50,39,50,10,23,41,33,52,26,56,46,45,20,16,28,68,76,75,21,45,91,74,16,92,40,72,46,21,23,63,65,94,32,29,99,67,87,61,67,53,96,33
k_90,33,16,2,69,100,16,63,30,33,10,27,14,9,51,90,21,72,17,37,2,81,68,30,62,34,60,93,95,58,26,18,63,80,60,50,64,33,94,19,36,17,30,31,30,88,1,14,68,35,6,81,25,45,80,1,30,70,42,43,60
k_91,54,88,75,24,20,31,99,46,46,97,12,54,18,53,98,20,81,59,23,25,18,1,10,96,32,7,51,62,44,38,2,69,18,71,10,8,42,63,90,25,9,8,80,62,30,55,8,52,87,70,59,70,36,45,14,16,48,12,96,83
k_92,74,19,21,20,32,50,98,86,97,25,30,99,16,38,5,60,59,88,35,3,52,39,58,63,77,55,22,4,81,76,86,88,61,77,91,6,81,4,20,47,11,45,93,23,11,32,89,11,16,4,46,84,29,25,47,98,32,8,34,33
k_93,38,82,82,67,84,14,84,56,45,41,47,14,63,44,40,20,94,100,44,61,94,31,11,43,28,35,27,21,77,30,92,66,9,58,90,57,54,47,32,8,14,87,80,66,25,46,17,7,92,26,83,46,68,80,68,14,41,93,88,15
k_94,47,77,96,41,19,46,61,24,33,91,99,48,91,33,56,68,25,18,12,76,89,52,13,92,57,33,95,32,82,8,71,51,97,80,67,51,39,59,57,97,52,67,57,60,70,33,13,4,60,31,32,28,41,28,24,71,44,83,6,100
k_95,93,57,86,71,91,71,86,42,90,35,24,18,41,39,2,12,15,68,69,47,24,36,7,67,41,62,79,61,66,88,95,4,36,95,19,3,9,25,1,57,62,8,100,16,49,45,11,39,35,23,22,5,14,84,67,2,15,24,39,86
k_96,69,2,86,38,74,77,18,78,23,56,72,51,24,20,92,59,91,100,17,46,76,41,92,78,48,2,80,80,11,48,42,33,37,37,94,63,91,36,32,68,67,87,77,37,77,98,71,10,95,65,44,42,86,51,77,70,98,42,99,81
k_97,56,94,82,11,8,19,15,53,12,53,57,24,35,6,57,63,55,42,99,2,49,80,71,11,15,70,74,38,8,86,3,43,29,58,26,50,11,48,10,48,73,52,94,3,95,6,48,92,85,31,19,46,71,94,29,59,74,69,48,45
k_98,15,50,70,81,72,37,57,98,40,89,27,61,56,7,92,40,72,39,51,83,22,2,97,42,72,22,7,57,49,69,49,92,11,77,10,61,31,43,61,58,61,69,52,1,21,77,48,55,23,9,38,41,20,50,24,43,7,53,7,90
k_99,17,12,86,79,70,18,14,21,40,73,76,31,13,53,99,60,60,34,83,87,90,85,33,37,63,62,44,36,14,90,7,32,43,36,23,5,72,40,100,90,94,12,51,42,40,47,52,56,58,81,89,78,5,20,84,72,4,79,13,15
