commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_7,e_8,e_9
k_19,93,9,87,62,12,55,83,65,55,46,98,45,90,63,30,93,2,13,82,29,66,74,40,48,72,58,69,3,7,15,82,26,79,51,81,69,28,76,91,89,96,99,40,42,54,46,90,13,6,14,25,84,73,2,6,8,69,4,16,88,87,71,89,33,79
k_20,73,34,17,97,83,23,42,98,53,7,78,60,19,23,75,7,52,48,32,18,71,43,9,94,15,26,57,45,11,33,15,86,56,23,11,56,41,9,2,32,43,96,9,49,93,12,68,54,59,27,83,95,94,45,70,90,54,53,21,30,6,69,64,98,38
k_21,5,24,37,77,9,46,30,87,90,17,8,59,73,48,90,61,57,14,29,69,18,13,48,91,73,59,98,76,97,90,71,14,51,45,57,17,24,41,95,82,10,86,25,86,45,94,55,35,46,64,55,35,48,60,90,53,87,52,57,59,76,82,73,62,81
k_22,78,10,88,90,38,42,10,14,1,72,54,4,16,58,24,60,26,99,19,18,25,71,38,7,87,77,42,14,47,5,62,52,2,10,34,16,53,65,21,55,44,64,93,87,12,4,2,78,100,5,79,88,59,95,40,58,43,18,59,34,65,72,74,94,7
k_23,90,24,37,11,74,79,95,44,23,71,64,98,74,16,33,43,67,64,3,97,66,45,39,35,2,92,67,91,30,30,2,63,55,26,58,73,65,84,3,29,15,69,97,37,86,85,19,32,87,45,83,47,15,35,5,12,7,67,61,25,62,59,4,82,41
k_24,30,92,32,22,79,95,82,85,84,49,82,21,43,68,57,44,9,38,2,19,62,2,57,27,14,28,90,42,55,26,4,99,49,18,82,87,27,33,92,58,21,71,63,23,35,89,53,67,82,39,13,92,93,60,42,10,10,90,48,57,1,81,86,32,47
k_25,74,60,69,88,75,11,89,24,72,55,3,82,8,59,9,12,29,43,81,30,10,43,49,50,86,36,89,47,25,36,14,73,62,35,17,38,29,51,67,70,44,14,12,83,18,96,38,66,47,24,4,18,50,80,78,35,64,1,16,21,49,97,56,40,34
k_26,69,14,37,61,49,28,56,3,67,33,66,79,88,28,38,99,95,63,19,79,70,59,46,84,42,90,76,20,75,55,36,84,94,96,47,85,57,45,51,76,28,23,59,70,83,94,32,43,85,97,2,1,5,1,75,58,4,27,88,52,88,75,62,38,7
k_27,59,94,42,36,94,53,100,98,28,21,77,67,27,29,18,99,73,32,31,8,14,42,4,82,40,98,68,9,11,87,83,96,43,18,58,2,2,41,71,3,66,20,8,76,84,80,70,40,89,78,85,24,82,17,10,92,70,98,12,69,49,52,76,77,60
k_28,50,91,91,13,1,16,24,70,23,9,54,1,81,91,73,36,11,52,14,61,84,27,97,96,7,10,44,59,54,53,4,97,82,13,92,15,68,44,96,98,30,87,45,31,61,67,18,60,63,2,86,88,6,52,40,15,28,70,22,74,32,6,22,2,80
k_29,54,5,29,85,74,89,99,21,38,69,6,62,54,17,81,32,18,58,13,2,53,14,66,63,47,1,10,52,18,30,86,22,12,25,75,30,43,38,43,94,89,40,59,96,17,92,89,95,67,32,66,72,18,86,23,14,64,60,60,60,23,12,71,18,10
k_30,78,60,72,26,85,45,50,9,44,45,98,83,54,92,78,77,86,3,16,93,99,90,51,78,84,72,4,74,33,36,72,11,98,88,45,83,27,12,69,69,100,1,65,25,64,66,14,85,19,59,19,37,84,5,85,28,89,39,31,37,36,44,73,82,46
k_31,22,36,79,52,42,80,25,22,39,13,87,90,15,42,39,77,94,2,36,67,41,98,49,26,92,29,83,24,24,73,86,85,42,2,11,88,48,48,35,50,22,87,23,7,53,25,88,35,53,30,3,72,21,59,26,96,13,37,19,88,3,16,19,4,4
k_32,57,57,57,10,1,34,100,29,36,6,53,20,10,1,97,72,93,48,25,89,86,26,82,68,63,23,13,13,97,92,52,96,6,28,99,1,38,43,64,11,4,44,61,48,39,95,30,82,29,48,7,3,19,32,83,73,65,53,21,77,37,54,52,1,17
k_33,70,52,61,87,78,48,54,75,90,62,17,40,12,85,43,24,68,21,16,33,57,19,87,25,26,55,58,100,41,52,98,69,5,86,47,5,12,36,33,98,81,70,57,20,82,96,1,34,76,77,44,51,60,18,21,35,2,82,35,15,74,85,59,17,14
k_34,98,70,91,99,27,14,81,4,78,16,99,67,61,44,92,67,86,3,29,9,11,78,76,63,61,70,42,57,24,58,29,19,40,63,82,2,4,13,83,48,82,17,24,84,4,95,40,98,27,43,61,91,80,34,19,5,21,2,86,58,73,55,44,1,81
k_35,51,86,2,54,52,91,56,37,93,69,2,37,100,9,80,59,56,75,33,38,30,14,15,82,47,43,31,40,88,89,64,30,41,69,61,28,43,84,87,77,52,53,20,5,22,76,87,77,83,24,80,20,88,28,78,96,23,27,84,48,71,96,64,43,29
k_36,6,88,100,96,47,18,18,46,42,61,26,94,22,88,7,75,59,61,23,44,13,2,58,47,68,67,100,91,39,82,51,67,82,2,18,91,13,100,19,44,38,74,9,91,33,13,71,66,97,77,67,14,22,9,54,97,59,28,68,34,74,24,27,84,10
k_37,81,13,61,15,75,87,36,12,64,15,95,81,11,2,98,3,19,74,35,11,46,62,69,100,66,14,48,66,10,100,23,51,24,34,45,100,34,30,81,83,79,38,55,89,19,28,41,3,8,65,27,84,10,25,14,56,34,95,2,52,39,30,58,48,57
k_38,5,63,5,59,81,8,42,70,1,33,68,24,44,26,7,72,14,13,89,45,59,25,9,33,17,72,34,50,74,5,15,88,41,94,39,34,39,53,87,63,23,26,16,43,95,56,88,63,1,84,9,47,32,45,61,75,5,59,58,36,65,66,6,91,17
k_39,80,55,1,83,37,86,73,99,86,62,38,40,9,89,43,58,73,33,76,67,46,59,37,6,98,49,83,95,39,17,60,45,73,94,72,55,23,4,60,16,61,71,24,11,99,79,27,7,24,87,34,72,4,50,85,31,65,79,80,60,97,75,29,41,81
k_40,9,36,25,13,26,9,10,100,1,82,12,37,25,16,6,23,41,22,2,14,16,25,39,53,40,85,35,82,52,91,39,72,36,42,52,28,73,100,48,94,54,32,63,97,27,11,35,16,93,74,66,25,35,50,39,70,65,36,82,32,75,26,5,44,25
k_41,2,9,84,79,4,28,90,73,47,50,99,8,6,36,15,60,92,43,25,50,70,45,9,12,94,19,38,34,10,27,85,78,90,68,29,45,6,39,55,14,36,70,22,69,42,73,30,21,96,75,31,82,71,19,54,44,67,96,11,94,60,70,87,55,94
k_42,52,2,62,22,14,62,82,85,16,10,63,1,33,74,6,64,97,29,38,53,24,13,46,89,99,85,3,56,2,90,63,81,43,35,68,74,15,84,82,78,64,57,41,85,99,9,74,58,70,13,43,54,17,95,61,100,25,7,60,16,99,69,51,15,27
k_43,99,78,11,27,45,21,97,59,33,40,46,38,42,48,1,16,67,50,30,87,30,27,32,70,54,87,75,44,35,94,28,17,75,32,96,13,52,55,4,44,71,91,93,75,32,46,97,13,8,47,82,33,96,59,9,93,72,72,10,8,93,48,23,51,41
k_44,57,76,61,25,91,81,39,34,17,73,27,20,14,16,72,94,59,54,48,27,21,57,33,92,4,59,12,95,75,64,74,60,83,87,41,79,21,60,69,28,55,10,44,45,63,66,30,40,83,40,6,51,98,89,53,34,9,25,3,15,61,80,86,15,27
k_45,69,46,74,61,56,56,10,93,62,67,4,47,7,66,50,80,26,4,80,37,41,58,92,100,62,67,37,21,50,5,89,5,18,25,96,11,74,10,48,65,38,28,20,1,47,16,71,45,67,34,1,23,59,99,10,15,91,36,85,80,63,17,28,21,60
k_46,87,16,63,78,7,97,27,62,14,16,11,19,77,43,50,35,52,13,89,74,36,61,51,55,25,38,71,41,44,20,74,71,42,99,25,47,72,52,41,39,52,56,67,10,15,17,35,97,68,25,48,83,28,95,14,48,94,35,19,91,99,24,58,53,9
k_47,2,82,79,66,100,10,67,9,60,83,17,17,40,66,59,73,8,33,1,95,79,48,80,56,71,47,24,21,38,29,22,23,5,78,86,85,29,55,8,3,98,96,12,32,29,13,58,7,62,39,44,65,61,1,60,15,19,40,90,8,40,89,98,85,2
k_48,6,17,41,70,38,98,86,93,42,48,90,60,29,13,70,65,20,16,62,40,72,41,50,64,11,96,55,99,60,57,25,52,100,89,38,73,52,97,75,98,37,2,3,68,98,24,22,87,6,79,39,71,82,4,49,41,43,73,2,99,44,99,68,39,42
k_49,91,36,58,82,13,70,28,66,10,34,35,33,18,1,13,11,21,74,53,12,66,16,9,41,68,93,53,82,5,23,67,57,83,26,83,71,53,53,21,76,8,89,82,38,26,17,26,29,12,40,19,72,60,59,63,98,6,88,45,8,44,57,24,94,40
k_50,35,48,3,6,26,8,42,33,64,58,23,84,8,36,52,35,9,49,18,53,88,98,48,13,45,1,74,11,37,28,64,36,79,32,69,20,25,31,24,46,20,43,16,54,76,95,49,79,94,36,18,88,77,94,53,56,96,54,3,65,64,1,46,88,24
k_51,33,67,41,97,43,97,99,87,5,8,96,36,65,63,31,41,2,31,48,13,48,67,2,76,33,42,72,11,66,61,86,1,87,91,72,73,25,91,78,63,55,25,43,93,89,2,55,57,65,80,93,26,58,1,91,77,70,7,66,70,90,40,60,26,68
k_52,90,63,7,34,11,42,33,60,18,41,90,52,92,98,83,45,22,64,22,89,18,76,64,81,37,14,21,45,37,10,70,88,19,40,72,80,75,33,53,17,91,70,55,70,93,4,76,90,38,70,78,55,10,59,64,67,92,91,41,16,16,94,99,68,75
k_53,42,22,32,100,51,89,5,85,42,52,82,14,5,45,43,41,6,35,50,61,55,64,81,78,25,58,29,31,12,37,27,6,40,88,73,83,66,89,99,53,16,27,4,77,32,11,78,19,15,79,28,58,19,83,5,52,97,6,92,82,78,67,44,56,96
k_54,5,31,98,94,75,76,72,89,47,62,79,51,78,74,17,33,46,68,16,28,60,5,55,18,89,32,56,76,60,84,34,35,64,3,51,8,80,45,100,56,82,91,81,57,54,66,55,52,81,85,41,87,46,29,19,7,30,14,97,62,78,99,67,55,31
k_55,50,68,65,2,17,94,87,52,85,41,12,96,53,32,90,71,100,16,22,62,61,67,53,40,55,62,98,57,45,89,54,9,1,70,87,90,3,58,17,59,88,48,55,86,81,10,17,15,4,69,61,38,70,71,30,83,7,82,38,22,72,18,39,9,71
k_56,10,44,74,87,28,43,58,67,94,38,39,75,67,32,85,52,12,55,50,33,79,47,39,84,60,77,29,4,84,45,93,39,2,40,35,72,14,64,69,73,57,23,83,87,62,78,16,94,45,23,26,85,2,64,57,85,86,79,100,46,83,70,13,63,60
k_57,43,70,63,18,8,96,17,53,58,34,23,84,68,6,26,2,51,86,24,14,85,25,12,2,39,29,95,92,46,11,83,29,66,30,83,85,19,92,38,57,56,7,67,75,15,31,85,82,98,79,61,9,6,99,96,55,39,61,18,100,2,88,5,50,57
k_58,25,4,96,13,86,33,72,87,3,67,83,81,37,59,34,28,66,56,69,97,70,99,41,50,19,12,36,92,85,97,77,49,98,69,16,52,79,87,1,69,4,15,49,28,4,38,3,73,17,54,9,83,84,53,96,26,5,64,84,77,93,100,3,51,20
k_59,28,66,77,54,37,42,97,43,46,82,76,3,56,51,29,27,45,38,92,77,65,40,12,24,63,86,12,98,25,58,67,62,42,24,69,11,91,1,53,17,70,72,73,57,60,99,91,41,8,66,73,79,21,10,31,98,19,61,35,30,96,57,4,82,20
k_60,60,95,62,10,67,40,23,56,78,50,67,76,67,63,38,83,82,17,13,22,42,74,8,40,76,48,25,31,11,42,73,12,100,71,63,92,18,55,55,90,73,73,15,83,22,89,54,77,90,40,13,93,15,96,57,22,83,65,92,56,42,28,4,67,19
k_61,24,36,32,9,75,15,4,57,60,97,62,18,96,32,26,29,88,89,11,26,61,80,87,90,79,2,26,8,50,18,17,88,64,41,98,97,79,58,48,75,21,6,22,59,91,8,69,99,85,73,52,20,9,16,98,16,44,40,76,2,28,77,58,30,37
k_62,32,61,32,85,34,12,25,74,9,9,42,97,100,67,36,26,8,39,33,19,89,25,63,7,98,26,27,38,83,8,94,37,55,87,92,10,52,22,40,68,65,23,69,19,11,26,52,33,28,56,11,28,65,11,13,56,40,55,5,94,28,35,85,82,71
k_63,57,71,86,57,84,1,23,49,97,8,72,87,74,65,40,46,78,7,68,89,95,38,88,81,71,22,5,1,31,76,10,92,94,69,65,6,22,6,44,33,87,57,56,16,15,24,2,88,33,77,16,34,23,55,23,49,36,5,46,17,49,77,9,78,72
k_64,56,22,90,88,20,99,66,4,54,18,36,96,40,73,5,34,12,50,66,33,41,61,59,93,93,53,76,77,67,60,75,66,24,34,94,12,94,63,22,58,3,7,5,61,3,29,42,19,20,59,20,58,88,92,89,58,7,20,9,52,80,78,49,78,23
k_65,29,13,84,87,80,74,9,27,42,94,39,86,37,74,9,64,71,24,70,84,60,65,1,75,83,4,24,43,32,65,55,64,42,87,88,86,71,10,41,5,100,66,59,83,96,96,36,65,4,13,6,35,18,74,40,65,32,27,35,1,62,48,53,44,52
k_66,77,81,20,84,3,5,38,42,70,3,48,56,34,14,70,41,18,12,60,90,85,5,96,72,21,67,96,6,42,91,64,79,5,6,26,17,72,9,55,44,39,81,29,88,11,53,91,71,93,74,24,29,34,66,47,60,40,91,49,67,44,80,44,99,35
k_67,47,54,91,69,47,13,86,20,53,73,13,57,1,16,15,83,9,90,11,99,17,72,16,30,29,15,79,12,57,54,65,61,100,5,25,25,7,84,28,94,95,20,13,42,100,30,89,54,6,85,12,7,96,9,68,27,45,87,36,55,3,93,67,89,79
k_68,1,46,9,87,58,93,15,98,13,23,46,76,32,60,1,100,96,15,100,93,15,83,21,96,2,75,56,39,78,45,88,44,56,96,76,57,76,47,48,11,25,42,8,89,25,16,17,35,9,91,24,61,94,90,79,11,45,72,100,81,25,39,36,20,72
k_69,46,4,87,94,20,10,8,64,32,6,28,93,58,50,67,85,3,25,57,13,93,69,45,15,39,35,45,94,87,33,41,15,98,25,59,2,1,24,41,33,29,23,38,69,50,21,59,19,8,20,81,67,19,21,28,31,57,32,19,51,79,18,19,28,23
k_70,41,27,7,84,54,37,7,19,72,88,70,54,53,94,88,27,68,99,81,95,17,67,78,98,6,76,77,61,64,76,8,82,4,78,85,24,13,77,38,98,38,2,57,19,87,9,77,95,93,17,80,99,41,96,88,42,8,46,49,94,39,94,43,9,88
k_71,93,90,65,82,53,29,97,72,21,68,35,44,28,62,8,17,86,79,63,87,6,53,69,56,1,39,16,40,29,71,43,62,57,39,24,72,45,50,66,100,98,24,8,96,64,32,34,6,48,24,47,8,86,8,63,22,91,6,40,96,4,14,68,17,95
k_72,47,65,56,74,71,84,97,6,25,55,43,35,66,30,76,61,90,46,18,61,80,15,52,34,14,38,52,99,17,31,28,42,29,84,46,36,50,89,7,23,82,6,73,87,28,21,51,63,62,76,69,81,14,10,54,1,14,15,46,38,66,79,36,12,88
k_73,19,10,94,55,14,47,100,63,65,49,55,3,72,91,22,45,88,76,21,59,14,71,60,52,16,29,25,68,38,19,29,84,56,100,99,41,77,37,47,94,50,22,79,30,86,87,32,67,21,1,23,80,78,48,84,39,6,91,83,23,75,31,37,78,5
k_74,18,55,35,24,56,86,60,16,22,10,30,40,46,58,28,52,79,33,25,15,18,15,2,86,45,32,60,85,100,70,59,94,17,23,45,75,79,65,38,10,68,6,56,15,65,84,26,62,18,81,59,13,28,98,17,39,72,29,49,27,93,45,85,43,8
k_75,1,82,78,8,14,28,21,19,68,48,41,16,55,94,14,47,97,89,68,50,85,59,38,10,88,76,5,100,66,31,100,37,97,28,21,31,28,17,17,85,40,47,41,2,98,37,58,69,4,31,53,3,71,40,54,25,92,35,30,41,91,29,30,8,65
k_76,40,27,72,15,65,33,98,81,88,76,84,91,9,69,84,68,37,43,62,55,10,36,17,9,17,13,81,85,96,74,95,58,93,48,63,97,66,82,93,12,64,39,87,55,46,60,93,11,74,74,16,50,72,78,34,55,30,16,35,97,59,38,75,33,3
k_77,71,15,44,74,16,71,85,77,72,34,43,64,64,53,23,54,55,15,70,46,59,17,15,4,92,19,45,78,35,82,54,79,56,8,100,59,49,68,81,69,91,62,35,82,73,82,59,78,35,89,15,32,46,24,48,17,36,50,72,51,15,86,26,27,88
k_78,56,42,45,65,42,38,77,76,94,65,43,60,19,45,11,84,22,22,51,80,78,2,88,76,44,49,100,48,2,32,57,65,42,30,91,81,71,81,10,23,33,22,11,61,99,3,88,13,96,10,15,99,38,4,44,63,44,4,66,73,18,46,67,53,17
k_79,81,14,62,36,83,33,57,18,5,56,58,50,18,76,59,55,35,66,91,4,48,39,64,78,75,38,73,12,16,41,42,56,67,3,85,8,8,26,6,74,50,3,4,40,36,7,42,55,12,15,9,23,10,54,10,20,36,91,56,93,51,19,6,44,26
k_80,26,90,70,90,68,88,83,63,22,90,92,31,36,38,15,60,98,80,81,99,76,66,44,17,51,56,56,55,37,49,76,48,48,19,56,44,21,72,56,38,1,22,38,73,34,40,85,91,59,67,40,48,93,84,62,54,40,87,72,51,60,79,74,92,33
k_81,53,38,30,45,47,3,63,48,67,47,92,8,78,86,78,56,28,10,40,65,24,17,89,18,99,92,30,36,23,67,20,38,44,47,96,18,33,4,17,2,7,56,50,51,24,23,19,46,34,73,24,47,78,7,40,33,54,56,23,59,59,1,60,4,39
k_82,50,35,27,27,21,52,69,35,13,24,74,67,51,80,54,27,68,90,72,88,71,75,81,36,4,11,62,78,87,67,14,7,94,82,41,84,70,60,98,41,13,41,12,21,47,71,60,88,25,94,1,61,54,98,83,52,38,64,70,76,16,51,36,80,7
k_83,61,67,25,1,47,93,40,83,46,74,5,84,61,18,27,36,10,54,30,19,45,78,52,47,22,6,29,28,43,87,80,27,79,33,87,71,62,79,53,18,22,79,99,68,26,70,79,57,43,100,77,8,72,45,58,69,32,75,34,56,36,40,42,88,57
k_84,26,56,10,83,94,39,1,90,52,7,93,85,61,6,22,78,57,50,11,73,11,29,54,2,88,81,39,40,40,3,33,95,49,19,70,64,75,80,54,88,33,60,78,22,28,82,73,65,51,76,83,16,19,58,67,17,78,2,12,3,19,70,97,32,62
k_85,85,54,83,82,34,20,74,73,97,56,20,11,34,91,4,96,76,19,56,34,82,67,53,76,59,28,75,9,50,73,50,58,79,34,29,67,45,40,6,80,89,58,95,21,77,68,78,87,36,97,86,88,84,67,98,76,97,49,56,23,43,64,64,15,86
k_86,31,17,74,72,57,63,64,90,48,82,31,67,3,54,92,62,65,32,25,64,83,41,28,88,62,61,97,36,15,21,25,62,91,50,30,27,50,32,18,82,8,86,60,46,20,78,14,97,16,17,30,7,63,77,33,92,10,40,79,37,36,100,77,27,66
k_87,1,31,16,1,85,95,40,85,90,77,39,94,69,35,75,58,59,51,64,15,21,50,26,83,93,72,37,73,87,47,70,30,65,84,80,76,22,53,33,44,63,61,67,62,43,44,51,67,32,94,69,51,15,56,39,55,58,46,86,82,92,36,59,13,40
k_88,46,28,58,67,79,9,65,89,98,81,62,59,59,31,60,43,32,99,89,94,62,9,69,77,89,8,80,97,37,82,5,40,73,25,6,81,41,67,44,35,93,64,92,40,50,32,56,84,21,2,4,71,78,75,20,17,61,32,31,68,49,72,71,3,53
k_89,48,53,47,66,67,30,88,84,6,51,99,62,18,18,32,41,7,52,30,23,10,21,11,67,25,81,23,61,80,11,47,48,52,88,31,80,2,63,62,2,53,39,71,47,30,35,48,64,33,8,49,18,76,81,88,86,83,16,42,84,3,98,5,24,15
k_90,63,89,21,57,84,83,89,53,99,74,79,3,27,47,57,65,81,46,59,81,27,24,69,20,67,79,42,31,8,27,31,22,16,41,57,43,16,40,6,39,38,36,87,46,99,6,54,89,65,63,73,29,39,78,79,87,16,46,53,46,23,50,95,13,1
k_91,9,66,85,8,54,73,36,56,21,35,76,31,18,47,83,92,89,10,18,15,82,64,99,71,81,88,98,82,92,6,58,96,79,90,47,10,72,34,97,15,7,20,85,66,76,86,8,47,13,29,50,84,71,42,50,35,67,87,5,7,10,18,70,24,93
k_92,81,12,37,42,19,35,97,83,13,68,75,100,61,52,50,3,35,20,30,34,76,99,64,66,94,52,28,22,40,59,81,47,7,99,70,8,44,30,88,94,19,94,51,36,67,15,36,92,29,92,86,95,77,26,25,5,54,29,18,28,51,24,2,28,96
k_93,28,85,39,38,55,95,99,72,20,15,58,83,60,74,11,8,87,84,18,66,12,6,37,56,25,78,92,21,57,89,53,73,23,98,65,11,3,17,53,44,41,36,85,84,21,6,7,77,53,26,83,53,2,78,51,67,26,61,36,63,89,83,44,94,59
k_94,38,59,20,7,78,65,24,8,55,63,75,60,26,63,1,13,98,34,40,38,63,17,76,100,18,74,75,47,3,12,44,87,34,7,72,34,46,5,36,37,37,73,38,21,19,15,96,12,64,21,68,31,58,28,21,58,3,15,52,84,28,77,78,77,94
k_95,85,82,83,36,97,65,100,47,96,98,11,58,91,54,85,48,41,95,43,54,60,3,4,84,44,80,37,52,35,22,83,19,12,30,78,63,15,89,87,24,57,60,44,32,70,85,84,10,16,96,28,15,26,42,88,54,58,91,27,56,90,92,67,39,84
k_96,38,22,20,31,61,45,45,56,34,11,44,54,69,98,74,44,25,49,51,63,55,22,25,42,61,70,77,90,66,63,70,53,31,23,58,72,53,68,27,62,76,46,37,5,56,30,24,39,40,76,38,14,74,92,96,78,92,50,74,44,37,90,63,93,71
k_97,94,99,58,2,44,9,73,29,37,53,39,69,16,21,44,26,61,47,7,41,84,61,5,65,35,8,72,25,15,88,10,55,14,96,31,21,99,65,100,69,60,32,22,4,64,94,51,15,5,83,42,76,11,40,48,54,27,22,56,54,20,7,76,60,12
k_98,22,54,70,61,94,53,35,86,45,80,13,77,40,7,51,36,99,57,81,71,55,16,97,2,53,91,11,39,57,36,73,2,96,69,72,34,5,58,59,28,33,77,25,40,82,50,70,49,39,60,88,24,43,17,66,39,65,38,41,81,13,19,14,82,66
k_99,93,11,69,59,37,65,19,86,71,65,32,91,20,4,72,59,18,28,23,24,9,9,62,21,50,53,89,90,43,75,23,77,4,87,15,44,15,68,37,3,30,87,16,88,7,23,4,85,46,100,11,33,63,32,64,80,47,100,46,98,27,43,79,98,66
