commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9
k_21,95,72,78,17,96,92,23,99,27,66,56,51,64,17,29,68,29,27,3,70,61,69,17,23,29,71,6,35,82,16,48,69,2,70,50,9,82,31,80,7,78,18,33,90,96,93,86,51,79,13
k_22,11,13,56,41,47,11,57,15,55,8,34,71,93,48,41,36,23,99,24,54,17,79,81,78,73,24,48,26,12,58,20,59,54,78,4,83,37,97,19,37,23,78,77,32,30,96,26,27,55,55
k_23,92,7,10,21,57,9,19,95,56,44,41,50,54,35,3,86,12,1,1,61,2,52,39,53,70,59,32,90,51,41,12,16,42,9,40,86,63,49,25,53,76,10,47,56,15,52,33,14,19,49
k_24,89,49,12,84,22,83,32,6,56,6,72,95,93,35,83,73,51,21,9,42,4,83,5,38,14,58,77,34,31,7,6,91,90,33,44,37,60,64,54,80,51,77,12,45,88,40,7,66,43,33
k_25,72,37,43,1,34,41,90,3,35,36,25,32,57,46,61,72,64,19,2,44,11,77,97,87,38,99,75,44,65,44,85,9,99,62,86,93,78,9,97,22,59,72,47,25,65,63,54,19,64,83
k_26,94,82,58,33,20,72,38,23,93,79,65,51,81,80,1,87,38,60,98,70,70,27,80,94,72,24,51,97,57,12,17,69,94,70,60,15,78,50,57,83,17,84,28,83,68,20,91,93,85,54
k_27,60,84,3,43,90,30,29,65,95,95,99,52,55,90,76,59,43,55,95,24,34,12,84,29,76,41,10,72,62,27,60,81,12,28,56,81,20,91,24,56,54,69,37,23,44,67,78,16,87,41
k_28,78,6,5,11,26,66,79,50,71,33,69,50,83,1,60,43,89,23,69,68,95,21,72,46,86,29,91,98,63,56,43,19,42,36,89,31,88,100,10,35,28,94,57,41,97,71,54,13,9,23
k_29,32,87,9,88,79,56,78,74,13,54,12,100,46,66,87,46,7,90,28,53,3,53,79,14,42,93,48,39,6,45,72,29,79,32,19,72,55,58,60,15,58,18,15,95,28,81,70,10,78,26
k_30,49,10,27,72,99,64,80,27,25,87,76,12,93,22,96,80,84,91,39,96,8,76,5,73,78,48,62,75,87,56,48,15,95,44,36,62,25,78,13,20,13,52,1,91,40,43,61,9,17,51
k_31,82,64,1,9,89,57,49,44,45,14,12,38,52,73,11,85,52,69,82,97,20,25,82,65,25,11,4,91,62,53,27,27,94,97,58,33,24,20,54,88,46,76,68,53,69,83,36,92,33,48
k_32,35,94,94,60,79,78,4,93,56,13,32,10,15,42,57,48,26,17,86,66,67,46,43,56,35,51,1,95,61,86,49,97,21,14,41,83,74,100,79,65,12,100,90,98,45,1,23,8,32,45
k_33,59,34,12,39,29,15,34,25,73,74,47,18,70,92,41,63,37,16,34,38,86,43,28,23,41,28,59,47,68,26,92,32,18,95,15,16,67,23,52,81,96,77,28,19,13,58,32,67,59,1
k_34,82,84,67,56,93,99,54,41,4,52,88,35,3,34,25,61,50,15,43,77,19,36,98,21,57,82,81,80,94,40,75,59,92,23,16,45,69,37,5,69,48,45,39,32,35,60,35,15,18,48
k_35,86,20,44,20,30,20,17,53,43,99,75,40,9,25,80,7,77,58,91,35,25,47,39,85,64,67,83,92,27,73,94,94,13,24,33,77,82,22,40,22,2,18,35,86,32,41,96,37,56,37
k_36,83,12,65,64,99,7,58,88,80,37,37,30,81,18,13,51,45,40,81,27,58,21,53,7,76,73,1,76,64,65,55,87,100,12,96,34,17,66,77,90,51,100,60,31,23,69,42,58,54,13
k_37,58,87,99,51,45,88,91,95,10,83,90,78,61,6,68,83,82,66,75,41,41,83,52,56,62,53,76,52,38,88,30,64,65,71,27,90,41,82,95,17,98,39,54,89,10,82,37,16,54,56
k_38,28,98,81,78,98,80,83,65,23,97,3,69,84,99,14,70,58,87,67,39,41,48,79,46,80,89,60,71,47,73,87,22,76,81,25,17,36,97,53,45,52,94,91,37,22,12,3,6,45,82
k_39,86,15,80,45,48,51,38,20,58,25,5,26,64,6,8,5,55,30,44,46,33,3,9,3,62,54,95,7,68,45,53,93,84,28,32,9,11,51,48,92,80,83,51,15,42,36,81,65,51,76
k_40,88,51,87,92,32,63,44,96,24,57,53,6,58,63,63,10,39,91,72,69,43,79,61,60,72,12,21,87,41,77,11,80,89,94,18,36,69,34,92,28,63,35,60,85,61,94,95,14,72,78
k_41,30,78,15,16,12,93,9,70,99,13,25,23,71,82,57,37,64,42,59,99,53,27,72,47,71,5,53,66,31,33,46,81,29,45,86,34,34,10,77,29,57,45,17,18,50,42,74,90,45,70
k_42,21,7,81,98,5,90,16,48,72,26,1,9,87,49,25,80,56,65,9,91,42,97,10,16,13,67,84,91,39,53,90,73,44,5,74,90,30,64,3,100,64,75,22,100,34,50,55,59,3,99
k_43,59,92,93,18,45,85,77,37,22,14,97,93,3,72,95,15,11,41,69,71,72,47,8,33,89,6,31,83,21,73,91,42,48,49,40,27,100,56,10,21,56,38,61,60,7,70,15,68,69,58
k_44,89,23,96,4,64,14,61,48,88,10,29,45,92,3,94,83,3,43,99,24,96,85,34,70,12,96,60,10,30,24,46,84,80,44,29,15,74,38,2,73,82,77,85,60,61,72,61,56,55,4
k_45,40,32,83,98,85,20,36,76,68,46,40,92,29,10,32,54,85,38,35,97,35,24,37,83,76,82,73,75,40,5,17,14,46,16,2,1,38,15,32,11,54,98,40,24,51,4,73,48,47,95
k_46,43,56,69,84,100,45,85,24,92,48,68,6,66,87,68,34,9,66,61,91,7,53,33,52,44,40,19,99,55,21,15,61,20,89,78,37,76,22,8,53,45,22,21,86,42,77,5,83,84,37
k_47,25,74,48,95,48,64,8,94,39,38,88,59,75,52,39,9,23,18,30,3,68,87,52,2,78,75,75,100,45,20,42,40,80,31,44,77,79,3,47,97,4,7,1,76,80,85,15,90,31,81
k_48,35,39,31,26,78,37,89,47,87,39,68,12,86,18,77,34,26,8,27,97,11,24,70,13,26,61,6,21,18,18,98,8,3,23,24,50,18,9,86,42,35,38,98,35,60,22,89,69,67,42
k_49,61,72,72,95,49,92,45,78,38,65,80,83,21,49,27,67,15,54,95,63,24,27,14,74,62,8,41,79,86,65,36,31,27,1,49,94,31,29,41,77,55,75,42,30,39,37,13,77,34,85
k_50,67,50,47,70,11,40,57,59,33,73,33,32,100,30,17,18,37,21,56,12,86,70,72,19,35,86,94,92,17,88,93,35,55,48,76,37,86,85,64,61,27,8,95,70,56,52,18,9,71,69
k_51,51,76,76,96,19,70,49,55,27,69,11,37,11,91,86,24,44,36,21,36,56,95,29,43,57,82,64,66,94,36,51,59,45,24,21,94,91,83,91,66,72,74,70,25,80,47,33,60,93,81
k_52,6,99,72,98,35,69,3,6,95,45,89,10,47,86,80,2,32,49,70,22,11,100,97,82,88,14,47,46,72,43,94,22,46,73,85,11,33,73,81,66,18,28,24,35,13,14,26,94,11,4
k_53,39,69,75,7,95,61,22,75,50,75,24,96,18,63,83,79,85,84,70,92,44,37,54,62,65,39,100,66,9,52,96,87,95,47,94,100,86,69,11,58,16,95,16,55,17,64,57,33,29,82
k_54,47,38,8,5,82,48,68,38,3,90,36,10,56,92,19,86,63,44,5,22,98,83,23,22,31,36,79,44,32,17,85,73,2,94,63,43,44,74,42,5,11,64,49,91,64,88,85,55,32,5
k_55,55,6,5,13,84,28,76,22,13,100,33,99,8,8,88,71,57,50,67,98,5,3,71,99,5,2,75,35,44,86,82,2,26,28,68,27,65,15,50,100,34,21,90,28,90,1,4,41,38,51
k_56,70,70,11,76,5,61,78,48,81,48,66,32,31,20,35,58,18,98,49,67,20,78,9,53,60,53,29,9,69,16,42,65,59,14,8,91,8,91,66,91,2,69,21,96,68,32,53,100,11,56
k_57,81,70,31,88,16,77,79,54,44,54,83,57,11,85,12,61,34,44,26,32,4,21,52,72,35,84,74,89,83,94,52,94,24,12,44,78,42,19,54,90,35,86,18,51,53,19,67,57,42,38
k_58,72,49,42,56,20,6,68,79,12,33,87,36,39,44,60,3,43,10,92,84,1,89,8,29,40,28,43,47,27,93,35,95,49,61,48,74,17,10,63,88,72,72,34,37,13,81,24,23,90,49
k_59,7,7,38,43,95,3,22,3,75,21,89,90,77,5,14,35,49,8,57,100,10,11,57,67,98,6,48,55,65,19,62,23,3,60,31,69,92,13,2,57,34,99,89,30,78,81,8,66,64,22
k_60,4,32,100,40,50,28,90,97,23,15,66,53,36,35,99,61,28,56,10,15,62,43,98,62,24,98,52,4,53,54,3,83,15,76,24,71,51,57,19,67,67,36,3,70,49,56,36,51,81,63
k_61,92,7,89,58,94,64,55,64,72,18,3,81,55,25,15,19,14,6,3,80,21,48,72,68,62,17,90,48,89,16,40,25,2,82,77,66,89,98,81,45,30,13,98,47,7,32,96,68,51,34
k_62,59,39,84,75,66,73,71,4,3,1,99,31,92,54,34,18,68,18,49,68,5,49,12,43,28,43,65,87,53,100,26,49,46,51,75,15,15,26,39,15,21,13,28,14,94,81,25,46,36,30
k_63,27,12,79,50,52,69,4,17,44,56,97,71,29,36,57,41,92,65,25,2,50,74,84,75,29,55,13,17,27,96,46,93,73,19,52,81,7,99,23,13,90,82,46,73,68,25,85,58,68,93
k_64,38,84,24,56,58,4,85,46,23,78,53,69,27,9,22,87,49,81,76,70,15,92,75,93,17,61,89,83,57,92,37,100,48,21,24,74,70,92,80,49,49,20,8,24,50,89,49,31,5,34
k_65,32,16,24,41,86,62,70,26,25,15,91,46,34,87,5,4,15,17,20,41,85,82,69,43,63,16,3,24,69,93,47,14,44,91,18,85,9,2,20,45,72,57,79,26,49,71,5,98,49,6
k_66,83,52,61,91,49,98,90,81,49,96,52,32,59,89,54,7,57,61,31,53,30,10,3,26,70,10,53,66,46,78,13,19,98,65,9,13,97,7,46,40,52,48,91,63,5,44,37,68,96,15
k_67,6,36,52,21,42,47,7,10,42,73,39,7,87,96,47,83,75,33,67,62,97,15,34,23,43,53,17,48,18,58,48,54,93,26,46,16,46,91,58,17,76,100,27,1,17,37,1,7,90,95
k_68,90,73,73,47,53,99,76,51,61,78,27,28,15,19,29,71,8,47,9,88,60,66,95,66,45,95,96,21,43,81,9,29,4,93,30,36,39,9,34,69,59,27,79,59,69,17,62,50,7,72
k_69,27,39,99,83,28,20,13,35,32,16,88,72,9,79,4,55,17,40,4,95,85,93,49,25,46,67,78,98,87,34,94,41,90,39,35,60,37,32,2,97,68,54,38,22,70,100,6,52,84,40
k_70,19,46,79,82,99,10,7,22,92,20,76,24,42,93,22,80,1,90,92,36,14,30,35,28,2,49,28,32,5,58,44,74,91,26,67,48,45,25,10,21,7,48,50,55,96,52,94,19,42,10
k_71,48,90,62,68,15,98,21,30,20,33,67,47,89,63,68,8,20,16,43,68,17,67,4,70,28,52,1,93,32,90,90,51,15,20,49,26,37,67,81,5,37,26,3,93,63,12,9,31,13,80
k_72,11,73,67,9,61,2,5,49,59,94,27,33,21,84,84,95,89,14,33,57,89,15,12,99,84,46,52,44,80,69,97,18,40,75,86,62,23,45,60,22,17,16,93,43,10,21,81,78,10,76
k_73,38,55,31,57,8,28,99,68,47,47,97,33,61,99,55,28,22,47,26,66,97,50,93,58,73,4,97,20,2,69,90,43,82,22,80,94,41,50,64,8,7,30,84,83,52,88,35,42,47,39
k_74,43,78,10,75,79,40,51,82,59,83,1,40,9,4,89,65,88,51,36,84,56,19,30,8,42,59,54,39,91,23,46,46,71,25,54,48,95,33,33,38,77,18,3,94,20,78,12,69,95,77
k_75,57,42,18,98,31,28,19,13,57,68,2,88,74,89,22,67,37,67,25,81,36,32,74,33,20,10,28,52,77,39,30,14,65,94,14,28,96,45,45,69,45,97,5,12,61,95,88,87,10,8
k_76,3,82,29,28,13,93,1,98,35,70,22,27,79,63,55,73,39,30,82,27,21,69,20,9,32,51,30,100,67,28,25,66,89,47,81,86,74,54,1,16,46,53,10,61,32,83,67,72,93,50
k_77,46,85,80,33,97,65,35,4,38,51,47,47,92,94,14,66,34,100,36,68,1,84,62,26,40,95,59,81,45,28,23,65,82,9,42,22,63,94,68,95,18,77,95,4,93,18,35,53,69,26
k_78,9,70,51,60,53,33,92,44,73,24,30,63,82,13,28,94,81,100,88,39,22,17,17,20,50,28,16,51,63,40,6,41,51,17,17,9,13,29,98,73,34,6,94,99,15,54,42,53,63,82
k_79,1,78,51,20,79,81,12,28,39,69,49,32,81,68,63,5,37,82,18,2,75,19,64,3,82,11,58,2,12,79,83,35,7,94,56,79,64,74,45,24,54,36,49,99,28,10,56,9,42,49
k_80,57,28,2,33,40,33,67,26,83,34,27,3,37,40,26,1,30,37,53,37,18,44,48,61,89,76,98,31,66,5,28,25,8,3,63,44,52,17,88,82,2,50,4,37,66,16,37,17,68,77
k_81,8,47,10,67,26,92,70,67,78,38,5,52,66,6,50,85,42,72,29,47,43,10,87,12,80,18,73,85,51,84,3,39,4,43,66,7,92,66,55,31,18,54,61,3,41,56,14,9,23,98
k_82,31,85,95,7,10,92,93,38,52,29,83,22,71,90,50,5,91,64,35,86,66,47,37,84,27,46,11,29,1,98,67,100,52,64,44,86,68,31,97,11,25,79,48,62,37,18,26,26,51,39
k_83,33,46,32,65,87,81,20,32,81,94,59,89,87,48,61,35,58,28,35,31,89,96,62,61,68,39,2,6,79,10,61,5,45,35,16,27,42,72,35,16,63,62,41,37,87,55,15,74,33,4
k_84,78,57,38,46,68,34,36,89,33,27,30,95,15,25,92,95,56,60,12,55,60,51,60,29,79,93,4,41,3,13,76,83,5,73,99,18,17,19,43,38,82,84,8,39,59,71,86,46,3,29
k_85,52,66,95,80,81,34,76,43,84,48,92,88,91,25,99,87,10,97,19,75,90,11,70,100,10,4,68,41,37,19,58,15,47,88,71,25,47,50,96,85,27,77,50,75,75,25,80,39,69,69
k_86,3,62,64,49,22,44,61,94,43,59,96,53,66,69,57,17,46,42,54,12,50,92,72,20,86,27,69,60,98,62,62,10,14,23,95,38,71,25,48,61,46,22,27,42,51,53,79,50,21,27
k_87,38,68,25,98,11,77,90,69,80,30,77,80,11,92,61,59,90,47,70,50,77,17,82,15,57,16,39,17,23,55,1,52,5,1,93,68,77,6,12,35,97,74,86,36,54,19,24,19,77,19
k_88,85,31,7,32,10,83,92,39,98,20,85,33,81,45,60,56,55,30,55,78,45,56,45,18,67,46,92,57,68,23,19,74,100,32,26,85,15,29,37,42,87,55,81,48,42,36,26,62,13,1
k_89,31,45,81,15,13,60,88,86,16,40,70,49,59,45,74,100,85,5,14,26,63,70,22,29,86,72,57,44,76,83,37,54,59,45,89,97,80,100,60,29,9,66,43,2,10,28,75,52,59,30
k_90,23,38,16,8,69,94,73,49,27,13,15,6,15,56,81,44,64,35,21,72,87,38,13,8,67,43,86,53,42,28,84,36,25,18,27,99,62,17,63,84,6,9,96,48,91,52,66,85,53,63
k_91,81,40,6,69,58,93,99,9,94,38,66,44,70,35,24,83,40,95,22,80,57,74,99,87,46,81,95,58,53,42,60,73,90,11,70,60,30,98,71,57,51,21,61,98,1,72,31,92,30,59
k_92,85,96,50,7,53,10,21,93,35,26,89,6,5,61,19,5,100,99,4,17,19,89,2,42,57,52,83,23,17,98,61,54,58,8,34,85,79,35,34,89,34,15,89,29,95,15,45,86,83,79
k_93,35,93,100,99,55,62,7,51,92,20,30,25,73,52,86,53,25,35,60,92,15,9,73,6,65,80,41,93,97,75,46,22,75,87,49,17,17,56,33,36,96,34,56,71,67,68,48,2,56,88
k_94,97,75,48,62,10,51,13,90,1,53,49,16,55,14,33,32,7,12,65,94,45,98,87,18,15,42,87,35,59,18,41,19,42,59,51,11,77,83,19,35,61,23,4,30,2,54,39,84,72,71
k_95,98,92,19,34,83,43,80,27,83,87,58,95,56,90,54,89,78,22,36,48,30,54,82,89,80,60,47,89,49,47,98,20,90,78,22,56,77,10,3,98,30,75,93,53,93,92,74,34,71,75
k_96,40,56,97,93,52,100,12,92,6,58,85,29,58,61,5,38,76,40,31,59,33,33,92,12,45,89,31,52,29,22,2,44,89,8,62,88,80,3,38,30,19,100,29,64,36,48,27,75,100,26
k_97,38,83,96,79,72,38,11,45,54,72,63,93,79,54,25,50,94,62,83,32,5,93,88,65,12,16,31,76,35,9,90,86,98,23,84,39,21,40,54,99,98,36,86,80,13,23,48,39,86,21
k_98,57,67,46,4,28,82,15,98,70,29,69,74,27,89,84,11,91,49,31,54,19,56,7,47,3,51,17,47,60,39,3,53,89,78,14,13,57,84,48,53,20,89,48,39,92,50,82,52,68,88
k_99,82,89,64,85,7,49,73,46,63,84,28,24,99,75,11,69,52,94,87,63,55,68,8,6,38,53,20,20,17,88,81,17,99,63,36,57,84,67,94,87,55,96,78,37,70,84,78,13,78,60
