commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_8,e_9
k_64,42,89,69,21,57,5,96,6,50,11,59,17,46,32,24,18,63,26,96,89,48,25,43,12,8,52,72,22,11,19,39,5,45,4,37,95,78,88,61,62,59,55,82,86,11,4,85,87,99,58,77,56,23,39,83,96,90,90,12,53,1,66,59,13,59,89,65,23,90,74
k_65,91,47,95,67,8,1,17,29,49,34,23,49,93,80,34,25,53,14,75,27,60,95,63,65,35,73,51,4,96,90,28,79,92,10,62,3,73,89,90,64,42,5,20,15,67,44,87,6,74,49,18,77,32,21,92,22,20,99,94,82,35,49,3,49,21,97,82,13,36,46
k_66,32,33,63,53,55,97,36,92,55,56,42,26,86,77,24,22,1,48,89,28,49,90,24,55,74,33,63,60,75,9,90,7,30,71,85,36,72,44,100,65,53,3,23,47,44,62,68,48,23,90,98,82,55,86,91,29,70,27,14,29,17,28,24,83,38,84,2,71,96,22
k_67,50,53,30,94,70,57,37,11,39,67,25,51,49,77,89,90,57,10,92,73,90,22,78,80,86,44,22,66,81,40,98,90,32,20,77,40,50,45,65,31,65,66,77,59,85,47,31,18,94,37,37,95,41,15,47,70,13,23,9,66,81,52,86,54,48,70,58,93,77,47
k_68,21,71,16,26,37,70,51,20,6,34,2,57,56,30,64,18,42,99,48,25,95,49,94,28,2,46,88,1,90,35,60,30,20,88,84,39,56,51,53,45,74,27,40,83,96,52,90,29,11,93,97,12,27,93,61,52,75,31,11,48,35,24,78,7,32,3,67,88,40,48
k_69,60,40,100,44,99,65,93,13,7,66,46,40,18,83,51,18,91,31,34,59,46,88,86,6,79,77,4,22,44,43,1,31,33,60,5,97,46,77,15,54,48,87,93,25,62,39,28,16,71,65,92,46,24,34,71,73,84,44,34,38,72,54,76,49,64,87,41,94,50,43
k_70,94,83,85,79,27,77,65,52,41,79,18,59,25,74,31,96,26,92,30,50,49,53,32,98,52,73,66,16,32,100,87,56,17,63,34,5,82,93,70,88,1,87,92,72,15,61,59,86,71,44,57,80,27,81,61,7,81,7,75,27,71,97,77,48,26,16,31,85,59,100
k_71,53,47,94,95,21,89,62,62,46,94,14,16,8,88,61,62,26,9,72,13,56,67,89,84,71,26,56,31,29,5,95,17,8,66,36,66,99,62,83,26,87,66,68,40,80,15,99,92,31,17,100,66,57,30,74,35,78,97,64,46,98,34,65,21,41,71,85,69,58,22
k_72,79,34,31,35,62,3,88,54,60,92,47,47,7,49,81,44,9,22,50,47,91,55,32,17,56,3,89,1,39,16,72,43,3,57,83,49,52,97,14,16,87,77,9,19,29,22,17,43,37,42,46,5,44,56,34,80,32,46,53,90,81,48,16,23,15,78,9,96,37,27
k_73,30,26,9,83,51,69,69,84,14,63,54,53,66,47,8,90,71,41,85,82,69,72,33,53,1,18,33,1,48,94,83,67,38,35,93,49,81,100,93,53,20,75,45,92,48,45,80,15,28,40,85,44,57,66,41,43,54,95,40,87,24,82,97,72,35,13,19,63,33,22
k_74,51,29,58,19,70,26,62,59,63,12,40,91,53,15,53,21,48,42,41,74,90,54,20,81,65,91,81,24,17,27,75,83,22,14,23,18,78,45,23,29,90,19,43,34,42,26,82,77,8,36,40,14,47,60,68,55,31,28,64,97,82,95,71,21,61,51,66,76,55,8
k_75,58,89,26,80,31,76,22,48,2,26,11,93,27,51,51,66,20,76,19,38,23,70,7,17,46,27,63,8,44,64,90,54,79,44,40,55,37,39,28,31,92,62,17,56,69,14,7,22,51,95,99,85,78,89,23,62,83,29,17,42,69,96,89,18,18,60,28,85,60,43
k_76,33,2,85,13,85,84,11,76,68,95,7,47,35,5,77,54,86,19,26,60,87,61,8,67,11,76,89,11,12,44,65,26,62,79,70,30,36,12,82,93,3,88,80,44,84,23,48,3,31,25,25,40,18,17,17,69,96,23,64,2,17,44,36,37,64,50,26,62,81,57
k_77,46,81,14,47,82,45,52,87,11,18,4,56,74,4,78,10,72,36,73,80,49,35,4,28,32,49,62,27,85,15,14,50,99,97,18,90,64,31,8,31,18,98,21,59,65,33,55,92,46,7,92,83,46,75,16,46,5,4,22,11,85,19,55,18,88,32,50,61,11,63
k_78,32,69,79,54,33,46,26,67,59,11,52,84,89,52,10,60,81,9,33,64,12,2,89,45,71,79,66,41,48,65,70,33,30,50,52,2,96,64,12,56,81,11,64,94,87,68,68,64,67,84,59,23,68,21,63,20,88,21,81,10,73,52,14,38,90,95,51,72,79,38
k_79,52,26,75,88,64,91,49,89,88,37,24,76,37,7,23,40,99,40,57,17,18,92,21,34,57,54,59,21,94,87,70,76,31,92,37,66,79,75,10,73,47,48,41,3,27,26,92,79,30,33,87,80,76,25,36,2,75,85,78,63,4,65,99,10,52,28,20,49,26,19
k_80,97,59,16,7,74,12,39,61,93,38,81,90,94,13,20,81,98,36,3,69,77,29,65,71,50,98,37,81,67,35,70,14,99,16,32,57,12,53,26,33,65,97,80,71,62,97,50,64,9,18,35,31,57,2,96,54,58,90,24,51,88,31,38,97,42,49,30,67,34,49
k_81,4,42,37,50,81,27,35,18,46,81,14,19,42,15,9,34,48,35,25,33,89,24,55,71,4,50,17,62,9,43,19,82,17,7,88,32,80,63,43,3,73,40,50,95,13,81,64,91,6,3,95,97,13,21,75,60,21,70,89,73,98,5,22,72,87,61,21,89,43,53
k_82,74,84,14,42,43,90,95,89,46,50,71,4,67,44,25,78,81,74,87,45,50,45,25,85,90,79,88,45,19,43,95,57,71,5,16,26,84,83,96,33,35,13,12,28,37,57,28,5,4,48,89,99,19,85,86,84,73,13,88,12,44,1,39,35,29,82,43,72,7,82
k_83,50,35,47,41,92,2,4,41,8,51,80,58,22,43,15,28,79,10,39,62,54,9,98,16,73,73,81,12,68,7,2,78,70,34,52,2,64,14,80,30,57,65,23,90,79,42,25,17,88,39,31,19,80,100,25,56,5,48,24,49,3,99,78,57,66,59,83,33,96,60
k_84,19,48,73,94,58,93,4,91,88,43,10,45,51,24,75,15,66,95,56,6,1,35,95,19,51,57,28,75,56,6,21,26,97,9,61,59,45,56,72,3,58,1,87,18,53,83,2,65,99,60,64,5,3,5,83,79,80,75,56,50,29,96,77,54,20,52,3,31,27,61
k_85,62,13,23,91,63,50,87,81,49,99,76,90,55,49,35,48,100,11,40,64,47,54,97,14,79,84,45,82,81,52,34,21,70,64,78,87,88,41,15,91,80,30,41,56,36,87,34,81,69,42,51,39,5,52,28,61,1,85,74,76,77,83,76,81,70,54,71,48,84,46
k_86,95,75,25,93,86,43,14,86,63,2,88,55,33,14,24,90,28,90,93,85,62,81,53,87,53,2,62,47,29,19,95,28,94,96,49,96,65,83,57,42,39,12,26,47,1,87,62,93,57,2,22,3,57,4,31,57,83,12,45,3,75,63,15,21,42,80,93,34,26,70
k_87,23,1,45,75,31,38,54,27,87,13,96,14,85,58,12,77,76,65,8,77,31,36,63,95,88,82,1,87,57,49,44,72,63,82,89,54,52,52,19,10,73,11,56,94,29,52,76,70,45,26,97,43,33,67,57,43,93,70,17,81,31,6,33,54,80,69,31,80,38,83
k_88,53,42,81,97,13,12,100,14,40,78,4,88,56,70,48,33,44,69,65,9,71,87,44,20,93,60,60,68,43,80,17,78,75,80,71,97,1,39,46,94,21,99,38,23,58,100,57,96,40,98,69,71,56,26,1,87,38,21,82,50,37,33,95,100,6,90,34,54,91,50
k_89,10,92,96,37,45,5,8,93,59,10,39,17,78,25,71,98,91,31,6,99,12,82,31,99,24,13,97,67,4,93,88,10,19,48,11,28,34,72,92,14,75,4,76,95,25,70,78,64,39,27,91,80,91,22,65,38,30,61,98,18,90,39,52,92,52,90,56,53,75,33
k_90,35,75,31,2,21,89,16,42,23,62,37,57,76,37,52,24,26,64,6,50,42,63,33,97,97,60,76,49,88,97,46,16,50,39,10,90,3,79,30,67,36,82,44,80,66,9,92,60,18,42,72,59,97,88,33,17,34,21,4,46,75,3,44,74,14,68,59,64,82,49
k_91,58,24,52,37,23,98,8,31,49,90,86,2,100,79,12,7,54,85,61,55,92,12,74,1,11,62,44,69,78,56,67,61,27,17,53,61,20,99,98,81,68,61,65,18,64,14,61,28,15,79,7,59,41,53,8,98,50,100,60,62,59,89,83,30,34,74,27,51,55,5
k_92,85,100,44,45,6,19,98,30,76,61,73,89,52,10,69,44,17,14,8,25,33,75,67,58,21,57,69,96,35,52,11,2,69,67,18,50,72,70,52,65,13,27,33,96,99,23,53,90,99,55,73,83,72,67,84,16,93,92,93,96,95,68,51,82,33,3,41,58,61,34
