commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_6,e_7,e_8,e_9
k_29,82,42,39,24,26,28,87,51,47,53,61,68,51,52,87,38,86,28,15,84,99,94,5,27,81,10,74,27,73,6,85,40,35,50,14,71,21,46,80,32,40,3,9,85,95,38,89,49,35,69,99,25,70,59,99
k_30,85,53,89,24,5,94,56,25,12,3,18,14,100,24,30,30,63,44,72,26,63,62,63,23,95,90,76,80,76,51,62,92,67,84,61,100,43,69,14,73,11,17,41,98,34,25,66,57,7,41,89,100,22,64,81
k_31,45,31,80,96,77,47,11,74,39,13,84,13,65,46,70,76,19,78,32,19,66,82,91,80,16,68,59,47,56,60,7,12,18,17,28,31,86,47,29,5,4,86,40,78,34,41,46,2,95,1,17,29,74,94,72
k_32,45,67,50,29,90,53,76,21,70,39,43,80,52,12,31,97,15,99,97,70,49,13,45,77,43,55,73,93,30,40,76,47,84,97,38,52,13,53,89,96,1,3,89,40,19,24,10,48,86,23,87,7,59,91,16
k_33,69,83,27,93,50,52,96,49,62,85,20,4,34,61,60,82,68,99,62,89,38,75,70,10,83,44,67,40,6,95,53,95,75,7,90,89,40,35,79,8,58,14,82,35,80,75,60,37,87,86,66,90,47,38,97
k_34,68,77,90,75,49,51,58,62,85,61,82,86,97,61,75,55,66,86,57,57,94,34,39,92,15,91,54,39,20,62,67,47,32,62,81,70,97,77,86,58,78,60,73,8,40,91,68,4,29,29,89,1,94,41,22
k_35,57,60,22,32,44,97,62,44,75,82,85,8,45,66,28,52,36,77,43,59,41,5,82,89,59,39,30,56,89,75,96,8,1,85,62,62,36,61,67,66,41,46,42,34,71,11,23,26,26,65,12,41,43,39,11
k_36,31,7,8,95,24,70,26,93,57,6,1,69,7,21,100,53,68,39,91,70,57,25,35,29,94,6,76,64,55,98,18,2,1,7,15,82,32,56,75,69,46,67,22,70,92,67,75,35,49,5,71,90,79,2,24
k_37,23,79,85,22,75,42,13,30,72,10,100,85,98,15,64,34,49,57,15,3,62,87,89,27,11,29,45,58,16,62,79,38,99,8,41,79,18,67,25,80,55,89,45,29,70,65,12,64,88,91,89,77,81,70,56
k_38,82,13,30,19,22,80,96,73,31,41,98,4,13,49,31,81,51,69,5,51,7,100,80,17,58,78,12,1,91,37,99,38,37,40,36,78,15,2,55,22,34,7,100,90,24,83,9,58,45,35,20,73,74,21,94
k_39,10,14,75,2,42,96,91,49,71,63,69,90,73,63,6,11,58,48,12,59,80,45,36,51,23,61,51,19,81,26,95,3,63,89,9,69,52,71,28,22,18,62,24,24,2,52,66,97,17,47,65,62,31,55,89
k_40,18,26,1,24,6,43,76,60,53,28,19,65,84,26,66,74,86,72,36,57,55,3,34,11,58,20,89,95,71,23,37,39,36,52,44,7,43,85,34,28,24,70,46,71,81,84,68,44,30,10,81,11,80,87,14
k_41,90,64,89,22,27,15,52,29,82,42,99,19,85,58,45,42,75,87,26,25,87,61,3,20,47,51,99,54,84,8,92,5,33,70,15,81,81,88,50,87,4,81,49,27,8,52,49,50,33,100,73,23,32,96,96
k_42,29,92,17,84,31,12,72,66,99,68,75,31,23,63,17,94,83,65,36,10,42,61,82,51,97,69,23,31,25,14,72,34,11,76,67,61,26,97,61,90,62,5,20,27,46,70,70,12,78,91,79,39,16,2,95
k_43,83,17,14,31,29,3,6,98,60,73,90,26,77,4,8,54,10,53,25,90,27,23,60,91,95,91,48,93,85,77,17,50,27,67,81,73,4,33,91,98,25,99,21,86,88,34,81,99,70,43,33,51,30,11,4
k_44,67,71,24,24,87,41,40,99,35,83,39,8,13,10,43,45,69,86,14,74,16,68,82,1,21,14,54,20,38,59,92,47,13,42,93,30,21,29,48,97,34,47,35,12,39,100,74,35,19,40,54,100,48,99,11
k_45,47,59,48,47,98,15,22,82,43,95,34,54,16,70,8,40,86,42,15,22,78,53,23,57,90,97,42,40,97,12,81,74,24,74,23,54,100,78,93,96,55,78,53,2,9,46,79,34,44,93,98,66,45,93,39
k_46,89,17,75,93,63,45,29,2,62,49,80,29,3,63,9,35,40,50,46,63,71,29,67,20,78,6,67,85,16,87,61,4,70,5,64,22,5,88,64,34,37,78,78,79,21,26,56,94,92,36,19,41,100,97,44
k_47,55,8,15,39,60,26,23,65,90,82,6,95,7,6,9,70,85,88,69,78,72,18,83,97,20,79,88,84,100,83,90,2,42,38,31,43,52,59,13,18,87,91,14,65,97,53,52,79,42,37,71,39,2,80,13
k_48,20,84,23,69,56,66,27,59,80,34,100,26,4,87,92,53,33,26,34,97,2,53,100,79,66,76,22,42,89,49,19,18,78,27,13,7,98,90,69,40,48,100,11,29,75,76,46,87,8,70,45,17,65,79,16
k_49,29,2,49,20,15,2,82,12,97,10,73,87,100,72,14,96,29,22,99,96,31,69,17,24,20,33,40,41,9,99,64,75,11,92,69,100,73,53,69,99,10,19,10,74,29,97,40,5,51,80,51,80,36,76,88
k_50,7,41,46,63,61,36,33,9,77,64,79,43,7,64,77,17,23,89,100,12,59,30,95,47,49,74,89,53,47,2,19,44,100,57,94,11,45,62,16,31,10,89,87,37,86,30,5,99,33,23,91,84,31,5,37
k_51,11,29,4,3,30,100,13,22,75,10,93,54,97,74,91,25,48,71,60,40,34,64,46,64,68,77,1,91,98,92,30,71,59,47,42,41,44,80,82,88,5,80,43,77,3,82,4,95,15,83,76,67,81,87,24
k_52,18,21,57,68,93,46,37,74,44,45,30,46,62,43,60,49,31,20,20,62,37,72,21,76,13,57,90,81,73,25,26,66,86,97,50,18,74,46,77,100,63,58,12,7,100,85,90,49,12,74,20,34,52,43,51
k_53,13,62,92,8,68,57,57,70,87,94,47,75,93,75,94,34,78,75,95,80,36,64,53,84,66,1,49,35,79,87,94,95,95,77,89,25,66,49,13,76,75,30,15,19,17,87,50,38,76,42,15,86,24,42,96
k_54,48,18,11,42,11,52,31,8,87,99,61,9,78,41,53,35,93,23,95,23,99,29,56,98,89,88,11,82,1,9,49,61,69,63,50,20,2,67,42,89,70,47,74,71,100,82,31,83,44,19,47,13,72,78,4
k_55,67,59,61,96,11,75,17,25,28,60,22,29,85,100,32,57,7,96,4,61,14,82,78,72,85,59,83,68,15,16,67,31,15,47,100,70,9,74,47,69,3,95,47,48,46,36,9,72,75,84,27,54,1,58,21
k_56,10,78,53,73,71,20,71,69,41,60,26,49,77,49,32,97,82,71,34,66,58,4,21,50,73,46,27,85,85,21,100,78,18,33,17,18,91,85,12,24,42,42,69,66,87,13,58,12,59,34,33,33,66,31,50
k_57,37,70,66,55,60,62,58,49,31,14,25,14,78,12,11,28,29,67,32,22,85,15,38,90,93,99,57,81,5,20,25,48,37,6,71,6,83,58,86,5,26,5,75,12,62,73,50,31,32,32,58,90,50,45,45
k_58,76,100,11,72,59,56,61,12,90,12,23,98,60,69,98,15,78,32,45,23,13,71,35,67,4,34,100,95,79,8,34,35,86,38,66,77,49,79,64,96,29,48,95,34,41,73,5,30,74,54,91,8,21,80,36
k_59,34,100,44,23,21,29,17,99,20,56,10,56,38,72,25,30,50,81,98,29,49,86,15,8,47,80,43,50,8,9,92,93,32,24,32,96,18,30,43,16,93,76,9,6,56,34,45,1,33,93,100,9,54,70,19
k_60,31,60,83,66,99,38,2,93,64,85,40,14,70,6,47,77,74,71,60,2,39,23,36,64,19,4,52,43,90,23,26,79,74,32,29,60,24,37,79,32,38,28,77,4,26,59,65,43,99,56,15,40,23,63,55
k_61,32,78,53,75,23,7,87,43,27,18,4,47,58,49,64,56,3,50,37,43,65,89,30,49,45,19,77,14,55,16,22,85,19,20,9,27,22,80,21,9,22,87,81,92,57,17,93,6,59,29,5,90,66,6,94
k_62,2,63,78,4,100,14,20,44,40,23,92,100,52,50,12,17,67,39,54,78,22,82,27,32,32,44,6,68,79,37,98,42,19,32,38,8,70,42,49,90,95,59,61,22,99,16,8,32,6,31,17,31,66,69,60
k_63,41,78,77,29,3,84,25,63,90,72,3,16,80,57,90,15,71,44,72,8,76,87,79,58,15,12,99,33,96,52,53,21,15,17,68,17,47,40,36,80,24,61,81,97,1,71,98,44,47,58,33,44,39,23,88
k_64,12,91,28,21,5,1,52,46,43,58,54,5,8,76,62,41,21,80,28,63,33,93,89,1,59,21,69,39,46,48,63,31,34,68,24,14,47,85,67,81,45,8,80,16,23,11,71,13,65,66,54,32,88,21,69
k_65,39,44,54,18,49,10,31,79,3,91,37,90,9,93,17,35,52,4,81,64,8,8,20,72,23,42,23,80,6,51,72,61,13,10,46,92,96,26,92,66,76,84,68,48,10,81,49,20,56,8,54,68,56,96,1
k_66,46,69,35,72,43,75,84,43,29,59,98,6,37,37,26,9,35,30,53,91,80,61,18,84,34,19,10,62,36,100,43,82,74,24,45,9,56,8,25,61,69,28,44,45,76,62,32,58,19,32,25,44,13,57,4
k_67,88,49,33,11,69,77,69,64,80,91,44,24,17,63,93,39,47,24,75,85,8,38,12,1,45,82,46,36,67,47,90,78,6,46,18,30,41,3,75,40,91,32,50,98,94,1,21,40,61,66,91,96,33,100,14
k_68,38,10,70,87,97,51,76,21,66,23,1,83,43,87,98,10,51,65,81,26,83,36,95,10,39,65,42,70,82,77,43,31,90,19,92,44,48,10,45,27,16,18,17,92,41,23,39,71,54,46,68,96,82,1,21
k_69,27,50,91,85,35,32,57,40,89,79,28,4,6,7,62,73,52,21,41,37,100,55,86,22,19,19,34,94,66,83,47,18,91,77,86,25,6,39,8,67,18,11,9,4,85,43,77,40,40,6,84,52,62,70,22
k_70,66,20,46,47,90,31,79,36,85,8,22,33,87,65,71,53,8,12,3,94,99,40,99,61,87,90,2,48,39,20,77,62,85,50,31,58,96,76,97,28,36,77,9,21,64,80,44,40,43,60,34,26,99,88,88
k_71,69,56,78,69,56,75,97,41,73,37,66,82,38,75,25,83,74,67,15,70,58,12,66,37,45,87,28,37,67,45,68,50,12,94,9,62,70,30,58,18,64,11,12,58,6,45,87,24,43,6,4,26,24,44,75
k_72,77,46,30,46,54,15,18,65,98,16,56,83,15,24,47,74,81,92,70,3,49,9,25,5,59,70,58,45,97,69,15,30,46,29,25,8,88,50,81,25,31,30,29,9,41,27,7,29,31,49,7,22,63,56,17
k_73,44,22,70,26,88,11,70,94,70,94,11,85,99,3,50,84,43,97,84,41,6,77,91,63,1,79,46,46,34,79,52,23,3,97,65,50,27,35,2,38,63,79,70,40,25,5,15,46,95,99,12,30,63,16,82
k_74,49,21,30,77,92,70,9,21,77,78,50,11,18,84,52,69,34,9,25,51,19,52,35,51,19,4,3,43,23,86,24,16,99,12,39,89,50,23,58,1,81,68,69,2,15,92,2,61,6,6,2,50,73,62,34
k_75,53,54,19,88,12,48,32,3,78,28,54,90,38,62,9,68,4,41,5,57,14,76,52,41,88,91,35,79,35,97,97,25,41,12,86,59,15,66,39,36,20,6,80,65,68,75,65,4,91,24,78,61,39,35,41
k_76,13,19,74,47,30,93,82,9,55,19,57,25,92,75,72,85,30,79,89,5,100,100,80,15,51,40,99,68,81,25,43,37,30,56,45,100,76,97,26,83,7,14,61,2,73,37,65,51,4,3,100,9,77,59,96
k_77,47,98,15,47,56,12,36,70,97,18,54,23,73,47,79,21,32,24,43,50,3,18,95,73,36,46,65,3,61,47,96,98,12,9,24,67,96,88,96,23,64,60,16,39,1,81,51,29,31,91,82,99,43,83,80
k_78,14,35,33,81,34,54,65,26,52,59,68,70,30,3,20,54,76,71,91,35,43,35,96,6,12,78,4,37,17,56,91,22,77,31,70,39,43,31,83,59,84,86,49,94,97,56,43,77,50,12,47,70,91,47,29
k_79,5,93,31,7,18,59,60,22,89,44,34,35,54,93,13,22,25,70,51,58,77,52,11,60,98,49,74,57,80,6,12,64,54,44,50,48,92,9,46,20,76,49,90,40,43,84,1,35,5,75,69,76,36,76,71
k_80,39,60,92,63,75,84,76,91,2,82,59,62,45,23,47,67,98,68,50,74,20,19,36,79,22,85,58,80,98,100,14,17,27,65,91,2,82,75,36,18,42,94,10,45,97,23,100,72,8,21,21,73,72,20,11
k_81,50,37,62,47,90,90,33,90,26,93,23,22,26,54,94,81,82,32,12,26,59,40,57,5,67,29,86,13,33,20,9,43,31,21,23,60,92,63,41,57,6,52,43,94,90,45,52,47,27,2,17,22,27,85,35
k_82,50,42,4,89,39,29,24,81,45,31,87,13,52,92,30,97,17,38,37,44,43,58,67,24,4,58,85,28,63,19,50,56,76,21,12,71,18,46,35,68,28,47,68,70,14,80,81,79,78,32,61,54,6,68,76
k_83,8,53,48,53,63,52,80,37,32,44,71,10,48,96,98,31,1,91,65,94,42,25,60,67,74,77,35,56,51,99,1,28,36,64,21,5,89,60,78,93,28,73,68,80,30,4,25,89,37,56,2,82,39,97,63
k_84,27,23,82,83,35,49,90,79,79,89,80,15,62,78,12,85,57,24,65,28,30,56,77,62,90,16,55,73,3,25,42,19,25,44,42,61,10,89,99,68,82,57,70,50,53,75,20,98,80,71,96,33,75,8,14
k_85,45,33,36,54,89,46,19,97,59,58,12,18,14,86,86,77,79,13,56,19,69,47,7,58,12,15,24,54,93,11,61,19,1,37,70,11,28,3,99,15,14,23,75,10,30,44,15,26,47,93,25,82,6,1,29
k_86,55,27,37,38,7,64,19,90,25,29,74,56,88,17,56,53,91,94,2,79,7,13,87,27,51,26,26,39,50,35,58,94,7,57,10,89,100,62,40,96,57,53,36,40,79,66,31,67,81,96,76,39,55,7,61
k_87,25,91,10,99,7,89,16,33,28,93,14,38,10,9,24,46,41,76,9,95,98,13,79,97,39,14,29,63,74,90,91,74,68,35,33,81,10,77,72,54,5,45,79,10,58,8,51,39,8,27,93,74,30,75,13
k_88,63,57,40,58,38,28,79,80,10,20,23,13,53,64,93,73,94,15,8,48,81,64,21,1,97,36,61,31,91,28,32,19,11,41,2,88,12,5,49,64,76,94,12,41,33,41,2,5,66,72,3,56,41,75,12
k_89,57,59,85,90,88,30,51,36,93,83,13,31,88,31,24,88,41,55,51,77,88,7,81,88,78,44,32,7,64,78,31,83,53,98,48,40,27,85,10,30,16,33,58,99,11,1,61,78,65,88,53,22,68,12,89
k_90,81,34,62,6,96,57,66,3,71,17,9,33,23,91,53,38,85,81,5,6,40,56,86,9,15,2,18,76,48,77,76,49,32,55,63,42,29,37,71,33,87,52,98,53,85,58,69,12,22,43,72,53,64,62,91
k_91,53,88,17,50,11,43,36,44,94,39,72,5,13,38,41,27,92,96,2,59,48,20,54,13,68,83,3,55,93,40,63,33,100,59,11,93,11,68,77,15,17,11,50,30,8,100,74,45,23,17,82,5,59,43,26
k_92,29,12,28,41,64,16,73,41,21,56,16,15,88,73,89,28,33,56,20,54,72,29,8,79,52,57,67,87,73,44,51,91,7,79,7,20,19,100,36,100,40,69,21,14,18,13,11,97,20,51,48,36,5,29,29
k_93,8,36,73,12,33,77,10,32,22,91,59,25,22,28,56,69,23,83,9,66,20,87,14,36,68,41,66,86,70,73,97,72,1,52,3,2,78,6,99,23,53,39,85,1,85,14,81,49,96,55,70,77,92,46,93
k_94,40,49,8,90,73,18,6,18,65,82,83,69,63,86,56,27,79,92,92,13,88,1,79,97,49,7,69,51,53,58,6,51,63,14,73,89,3,43,90,82,9,38,19,75,11,59,61,12,49,37,18,4,40,14,70
k_95,95,12,44,24,16,17,28,31,30,93,58,90,55,25,9,52,47,10,77,36,5,61,39,59,25,24,52,38,14,52,91,42,40,71,93,66,53,2,48,10,30,24,100,33,77,23,42,68,87,9,13,2,22,24,86
k_96,73,71,45,56,68,35,54,32,72,92,16,20,85,52,13,13,68,11,26,81,43,22,81,56,94,74,26,62,10,8,35,5,30,82,91,31,94,12,5,60,94,11,49,68,32,92,87,28,14,92,82,42,19,4,58
k_97,38,21,24,57,37,96,69,12,96,92,29,90,64,59,99,48,19,9,38,98,68,11,99,37,61,18,97,16,71,57,37,90,90,78,45,15,31,28,49,71,35,29,81,87,32,53,26,90,50,26,66,45,77,99,26
k_98,76,82,29,29,82,78,67,82,27,35,89,95,91,94,15,29,52,21,13,63,7,13,13,67,42,16,69,58,63,5,36,30,99,16,86,43,35,51,87,90,82,95,24,29,36,29,25,71,87,52,38,11,15,76,98
k_99,36,79,88,27,30,61,77,6,58,36,80,61,98,79,39,36,94,76,17,41,46,54,100,76,59,82,58,9,76,87,55,96,62,31,30,55,20,16,71,77,98,18,68,34,49,65,57,70,53,7,90,71,41,41,76
