commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94
k_10,61,64,1,56,94,54,41,70,20,73,76,92,61,79,74,25,39,20,84,74,84,65,86,65,73,69,68,60,2,41,2,47,36,51,12,83,42,58,26,88,46,26,42,65,47,80,98,33,63,36,58,88,14,53,36,50,22,19,65,21,16,43,15,53,50,22,93,37,68,59,31,54,82,49,61,3,95,51,94,31,34,95,36,91,36,90,9,86,75,23,2,68,54,22,59
k_11,48,53,48,58,58,42,69,4,4,47,24,90,12,74,22,79,85,20,58,22,35,30,75,74,10,76,80,27,30,86,92,19,51,19,12,7,29,97,42,91,90,40,91,38,76,14,6,78,37,49,38,72,35,86,47,32,32,41,8,86,96,13,61,55,46,8,59,100,56,65,48,12,100,51,32,70,83,32,58,26,80,39,2,66,70,2,79,14,100,47,9,41,45,12,47
k_12,18,55,26,74,3,96,42,1,99,94,79,49,11,9,4,49,96,86,56,40,25,75,14,70,23,65,81,20,24,74,80,95,5,11,41,24,83,51,1,33,26,56,11,48,61,87,51,88,75,38,43,39,26,25,63,30,33,12,90,36,78,94,27,52,40,45,23,14,11,37,7,62,14,12,87,12,67,86,71,1,65,60,77,79,18,3,2,13,97,43,46,32,46,74,6
k_13,30,70,4,33,82,24,58,44,96,81,46,21,17,89,73,41,79,19,26,94,90,76,33,32,12,75,49,64,96,23,89,72,53,58,12,87,32,26,51,55,8,89,74,73,47,30,36,89,64,84,87,23,68,73,47,45,3,39,24,87,18,82,19,49,15,58,83,12,14,74,28,53,1,24,60,88,43,10,4,84,51,3,29,61,97,86,71,96,16,5,28,64,19,16,86
k_14,75,35,42,97,23,43,77,99,45,12,28,62,47,36,69,67,29,53,39,33,79,60,50,97,14,34,2,81,23,89,97,26,28,87,45,97,2,15,76,44,43,86,7,41,81,62,13,27,47,71,33,60,40,39,72,39,19,37,47,81,73,70,97,31,77,56,40,96,42,76,15,94,22,77,77,81,77,69,66,70,68,29,85,27,100,60,89,58,46,72,36,78,29,40,100
k_15,96,61,47,100,34,6,75,100,81,23,74,68,33,51,85,4,49,24,14,92,68,45,96,98,71,45,23,52,41,37,12,98,91,26,25,11,77,72,99,37,24,47,21,71,30,5,94,82,46,19,73,78,49,60,23,71,100,84,19,25,92,63,7,27,76,14,37,34,22,88,93,85,30,68,75,99,68,35,94,9,50,35,70,29,98,53,50,8,12,78,88,54,87,50,23
k_16,100,11,89,79,22,49,14,85,51,78,51,60,51,70,26,49,19,35,38,50,23,17,1,45,51,2,18,5,12,16,72,71,33,48,48,47,56,45,13,47,82,6,83,67,97,61,9,97,12,79,66,51,80,30,32,51,53,68,58,10,16,90,78,31,67,42,75,60,100,53,16,2,44,51,69,22,48,86,97,7,63,88,55,78,79,50,47,97,38,21,88,77,90,12,85
k_17,77,47,99,33,90,88,9,77,20,81,9,26,75,40,98,59,94,30,65,19,71,88,81,6,2,35,40,8,42,56,95,50,56,98,60,17,57,61,64,92,24,91,27,46,32,67,16,68,40,5,57,31,33,14,89,29,17,18,37,91,46,69,2,42,94,63,3,40,15,94,99,34,20,7,51,65,10,59,47,30,89,15,48,98,5,36,35,32,24,14,90,69,49,49,46
k_18,85,90,48,2,59,48,41,11,89,89,20,71,6,55,10,98,91,95,50,49,95,87,47,60,29,88,21,13,74,44,45,26,86,36,15,70,72,98,13,1,42,74,63,71,26,63,64,45,45,96,8,87,19,30,12,59,37,5,84,48,66,70,28,88,6,35,73,27,75,34,82,80,80,16,72,58,7,61,78,85,91,1,14,16,72,2,69,29,39,90,96,34,11,89,29
k_19,56,10,76,83,65,49,12,8,53,12,86,73,31,84,94,47,53,79,44,88,85,63,22,44,73,15,75,69,73,36,9,91,5,74,68,21,52,48,96,18,71,32,47,30,13,88,56,18,78,33,75,81,78,69,16,82,99,10,100,10,79,88,45,49,56,37,27,66,50,29,17,15,97,13,77,68,97,65,44,71,86,63,15,40,53,7,62,8,34,76,14,32,43,7,13
k_20,49,7,40,83,72,68,83,6,31,60,92,5,3,5,58,16,36,60,79,12,29,61,25,72,12,74,11,50,59,66,99,90,22,46,92,56,74,69,14,22,40,15,24,90,86,40,23,87,34,94,23,36,89,77,83,74,19,25,70,66,14,35,83,19,9,86,12,26,30,98,65,55,1,20,64,94,26,78,61,18,15,31,12,71,6,9,70,74,51,81,81,73,68,17,20
k_21,62,19,9,51,51,30,53,61,39,6,18,7,55,100,65,19,66,12,61,34,77,77,53,49,18,58,30,35,82,46,89,20,99,96,7,60,61,18,67,13,2,46,54,56,44,77,66,19,23,18,78,88,22,75,100,12,23,33,93,35,43,61,6,94,18,74,29,36,94,58,15,1,84,48,22,76,61,13,62,91,93,18,47,67,27,82,99,84,85,2,5,100,2,68,79
k_22,82,92,37,84,6,49,85,46,54,40,28,67,4,59,1,59,91,28,50,76,84,81,72,14,75,16,40,8,36,87,18,10,45,70,71,62,94,93,11,80,78,16,28,25,11,6,61,78,66,22,19,75,67,77,42,89,83,1,30,88,51,78,69,64,27,30,29,16,78,93,28,40,20,12,86,92,20,97,60,59,81,97,45,17,71,2,89,93,99,53,59,22,84,68,17
k_23,1,72,47,52,44,30,10,26,28,49,75,97,9,42,38,67,98,41,35,1,65,17,86,59,22,78,36,30,72,51,60,81,75,48,6,90,82,20,79,42,83,76,10,82,27,4,82,37,10,43,54,90,96,20,39,71,16,98,33,54,9,19,12,85,62,17,54,58,61,69,6,1,20,73,59,73,78,39,95,56,7,100,74,95,79,64,77,72,66,89,82,41,65,76,56
k_24,60,19,41,18,5,10,50,53,64,71,86,14,1,61,53,69,44,6,85,21,22,21,25,69,56,53,98,45,4,69,59,85,51,12,5,92,7,28,34,89,43,17,91,22,74,71,53,74,13,98,11,70,64,95,26,6,53,2,78,64,35,92,12,24,64,26,18,40,80,60,83,61,30,86,57,81,30,90,20,44,43,74,6,41,80,10,94,80,43,53,50,95,51,30,37
k_25,37,60,1,93,93,41,5,70,94,79,97,35,58,61,68,73,31,84,1,57,69,71,35,74,90,82,84,52,74,94,8,1,1,3,42,55,30,14,26,65,5,44,38,85,28,33,7,72,22,37,64,48,49,48,82,20,95,34,9,95,8,5,71,84,32,87,25,42,96,5,70,89,5,65,42,44,61,64,8,70,59,20,77,82,19,30,59,58,83,10,37,17,12,66,51
k_26,21,4,34,20,65,41,23,85,60,26,54,26,70,97,68,66,71,66,98,54,65,18,48,10,69,6,60,5,50,68,86,19,26,50,47,42,93,59,61,52,52,33,27,72,38,88,26,85,91,8,68,53,75,98,43,39,39,77,17,8,92,42,12,46,15,9,26,48,74,40,59,54,77,96,44,74,18,11,76,27,50,86,71,93,40,57,83,32,36,87,46,98,94,40,53
k_27,23,78,21,74,31,60,34,16,23,82,54,29,71,90,72,7,92,57,19,64,37,91,33,36,91,89,79,59,46,63,42,59,32,72,93,10,90,13,41,70,78,54,2,94,49,42,94,58,5,45,25,77,88,94,92,80,62,60,100,87,99,87,41,5,34,31,84,85,1,87,66,14,94,70,99,52,64,79,69,46,61,28,5,20,32,15,30,86,16,46,70,85,77,69,32
k_28,62,43,34,6,31,49,62,93,96,76,91,38,54,17,5,61,20,20,3,22,11,70,34,46,76,82,73,52,72,91,91,43,74,13,73,50,84,1,5,82,84,80,19,57,21,5,25,28,18,62,73,20,32,99,85,95,26,75,83,52,26,21,41,27,79,14,56,99,2,5,10,66,44,14,60,78,54,29,77,65,14,93,38,65,30,32,39,90,11,36,63,27,66,21,3
k_29,77,42,93,59,41,45,93,88,18,48,88,36,82,17,43,61,77,1,15,16,96,82,20,12,80,68,76,81,49,54,54,43,81,69,2,40,60,18,31,67,24,27,90,25,20,9,3,51,48,83,38,39,27,84,17,14,57,40,49,37,94,25,40,19,38,30,17,42,42,31,94,48,53,13,9,81,70,40,33,79,6,7,24,28,82,51,97,2,6,25,68,25,76,80,51
k_30,32,62,69,69,79,17,50,60,68,35,80,11,34,37,87,46,92,58,34,96,44,27,22,73,6,66,99,11,14,98,12,19,3,73,75,14,61,23,44,53,80,56,79,42,29,83,36,32,43,91,35,7,10,40,94,46,76,66,73,66,69,21,47,52,29,71,64,91,96,14,37,49,88,88,42,55,98,67,84,40,29,63,38,46,95,14,29,29,33,30,41,36,100,64,40
k_31,35,59,97,41,33,84,89,97,93,53,85,86,37,25,20,62,28,64,4,2,77,59,92,30,35,56,55,90,89,86,12,37,21,61,66,99,94,28,29,18,50,92,52,66,46,26,59,73,13,92,29,8,37,56,15,57,45,18,70,85,83,58,45,43,15,31,78,95,28,61,56,78,50,22,97,65,4,90,20,3,19,79,5,26,19,76,57,72,7,9,40,22,54,89,32
k_32,82,45,75,39,68,92,15,1,97,93,100,25,50,80,14,69,34,24,95,69,15,80,66,45,73,10,1,33,44,70,97,57,31,39,79,94,68,11,68,35,9,89,95,46,58,48,94,25,74,69,34,41,82,94,8,91,27,95,84,30,17,79,83,44,86,1,72,32,21,58,50,10,28,11,15,42,12,10,63,83,35,67,96,12,47,38,42,94,62,94,49,17,27,23,71
k_33,39,15,85,78,88,74,82,12,3,20,37,81,52,25,15,34,56,42,15,18,86,89,15,23,89,39,1,73,75,68,50,20,5,73,23,64,24,58,74,100,9,50,100,22,26,87,10,40,94,35,1,80,50,9,50,92,83,14,93,80,18,48,91,79,36,88,2,46,54,31,21,40,21,6,98,43,92,42,61,79,42,100,25,91,89,23,31,26,18,54,59,79,68,3,55
k_34,2,47,41,35,56,80,14,44,65,56,92,87,42,85,25,87,88,36,74,92,2,25,32,35,2,92,28,86,75,52,87,16,37,1,65,42,98,7,66,21,100,5,94,79,2,77,11,91,23,30,88,11,5,73,97,82,25,55,57,77,76,24,7,80,59,54,78,16,63,67,96,70,74,30,41,81,29,1,56,60,40,44,28,48,55,91,75,33,7,57,60,36,78,70,41
k_35,45,31,48,17,51,36,86,92,6,62,56,50,71,99,94,39,88,21,36,88,75,72,50,9,18,58,29,72,45,25,81,3,53,85,76,36,68,25,26,32,97,34,88,45,65,2,61,88,97,55,79,11,41,96,64,94,9,1,19,94,55,55,25,56,2,9,40,97,10,96,73,45,56,26,22,23,84,58,90,93,5,18,74,28,82,23,88,12,47,12,76,8,51,17,14
k_36,43,72,82,40,65,42,84,83,32,66,8,75,22,56,36,71,73,90,5,44,88,54,82,32,38,14,29,12,44,12,67,9,85,54,89,3,68,50,51,28,2,56,24,4,72,21,21,24,63,59,55,47,99,14,22,55,56,7,40,73,5,9,28,57,56,93,30,89,55,70,36,11,36,33,93,91,91,79,46,50,14,77,95,88,50,57,12,24,39,72,89,14,47,1,29
k_37,9,81,49,30,87,81,35,79,16,50,14,14,50,83,78,52,51,21,1,77,77,76,22,93,26,85,39,34,57,69,65,86,86,52,99,2,53,18,61,74,88,77,83,92,47,3,56,14,88,68,78,60,69,99,91,67,45,26,10,76,16,98,86,6,25,48,29,78,13,95,26,82,81,83,100,61,79,83,87,38,14,94,56,9,72,29,41,48,68,29,69,8,76,19,51
k_38,47,2,21,52,32,59,86,32,33,53,5,72,34,24,63,89,70,40,35,57,87,81,70,34,8,77,23,60,6,76,69,5,15,13,76,32,51,35,37,81,52,21,10,8,92,20,33,15,59,31,90,70,45,5,59,21,50,61,67,72,53,55,76,82,11,70,72,74,6,34,47,28,79,62,68,83,99,46,23,44,90,19,98,74,9,42,3,98,96,55,29,39,35,34,47
k_39,88,77,29,61,63,86,13,55,18,46,9,61,47,41,29,85,83,31,48,69,99,61,12,12,79,89,92,69,17,31,28,10,70,60,42,43,95,88,14,78,75,84,3,20,33,29,22,9,68,41,64,8,50,55,94,13,16,78,15,80,55,89,16,43,15,4,93,100,76,54,45,63,49,95,82,19,26,64,1,95,3,55,21,16,35,32,43,22,24,16,81,66,36,28,57
k_40,57,41,20,92,10,17,71,42,97,70,79,54,26,31,54,23,26,83,89,5,46,35,43,88,79,40,18,79,40,61,86,38,18,86,92,87,9,9,8,18,90,79,90,27,58,82,41,98,58,41,8,23,84,16,37,51,31,42,59,11,19,29,56,29,59,11,83,76,89,70,89,80,31,52,82,98,38,14,2,34,16,14,10,49,100,86,57,25,58,70,33,97,12,37,92
k_41,66,54,74,74,87,5,86,18,35,34,19,27,80,50,13,57,42,68,97,43,43,27,3,3,84,77,91,18,99,53,97,30,11,95,71,74,61,47,23,38,30,25,71,29,15,4,84,54,97,94,80,75,90,63,16,77,86,50,67,72,85,49,45,48,23,91,88,98,99,38,55,84,19,71,19,48,17,20,29,58,21,75,54,49,32,99,39,64,51,35,41,46,99,87,24
k_42,66,59,67,3,27,23,78,44,41,95,97,75,5,35,36,6,55,97,30,77,2,2,37,85,97,33,6,46,48,44,70,6,53,55,84,82,17,14,77,71,38,35,97,1,100,7,4,70,21,8,41,87,65,51,16,22,59,94,65,93,98,10,33,72,91,100,53,65,5,28,58,71,72,58,48,97,10,6,72,32,43,42,85,79,20,70,32,92,57,49,78,79,92,99,79
k_43,18,91,98,56,20,97,62,53,63,32,38,16,56,9,95,53,8,8,19,24,66,96,2,86,73,41,33,52,76,4,90,91,43,74,77,24,80,26,82,29,61,92,55,73,54,49,92,52,77,17,91,28,95,3,79,46,64,30,18,61,82,10,52,78,94,70,79,29,90,94,96,74,1,22,82,20,21,79,68,32,14,10,86,62,3,79,98,29,68,71,32,4,39,57,91
k_44,90,89,48,93,95,31,90,51,18,45,97,11,95,51,52,79,59,73,17,66,14,33,91,74,26,81,79,45,58,10,4,58,71,43,25,78,78,37,43,61,72,7,23,97,93,91,28,78,52,85,94,62,55,9,27,77,75,48,12,49,1,31,45,39,71,51,24,65,80,7,22,20,10,70,1,39,76,87,5,24,32,79,99,58,32,86,46,96,94,29,3,55,14,84,38
k_45,44,29,49,73,48,59,53,39,87,5,78,89,29,53,23,64,66,49,32,75,29,47,80,91,28,80,74,86,1,23,98,20,16,57,8,58,29,80,51,95,6,84,33,79,14,5,33,13,7,41,57,29,91,10,66,22,22,48,67,1,56,59,48,98,64,46,98,4,68,53,70,14,8,33,28,43,33,21,38,3,76,3,87,94,34,60,67,6,55,60,52,17,1,22,46
k_46,35,76,66,19,56,40,71,88,39,70,24,65,35,30,17,46,94,44,87,48,28,53,81,2,19,98,68,56,97,93,39,26,76,93,26,94,73,85,71,86,72,30,25,9,60,93,49,73,40,14,2,52,94,76,70,16,84,4,44,42,2,11,42,100,6,10,72,72,79,41,69,99,34,18,89,59,51,31,33,11,32,69,80,21,36,14,1,8,45,78,36,53,3,11,41
k_47,37,39,63,32,13,83,64,62,75,94,85,48,41,38,8,85,14,3,80,83,11,87,3,83,99,5,33,21,34,49,100,51,63,40,27,82,39,95,78,18,99,18,36,63,69,51,89,36,9,42,35,35,51,96,91,16,11,75,21,61,75,7,1,30,93,55,23,23,81,25,76,62,1,54,42,32,1,87,75,84,55,51,73,28,75,1,93,73,47,52,60,76,43,20,74
k_48,20,67,15,38,93,13,74,75,35,64,15,68,49,87,56,59,29,77,7,39,82,1,26,55,7,93,58,69,42,48,14,34,67,13,34,69,15,56,35,50,61,4,28,48,64,13,89,98,70,32,82,99,32,9,14,28,8,32,83,15,39,99,50,44,15,42,89,95,73,71,64,66,7,81,96,12,35,25,21,7,89,97,3,93,93,12,92,44,61,99,84,3,61,9,42
k_49,5,9,45,36,38,38,77,5,34,94,97,54,96,5,5,4,93,33,82,15,64,74,45,24,25,72,41,62,14,97,68,42,22,49,56,2,34,22,95,58,31,42,74,43,64,65,32,73,82,27,87,2,9,12,55,64,37,37,4,87,29,52,27,100,5,76,34,38,47,84,57,70,36,30,54,33,37,74,57,69,19,27,29,10,75,74,54,98,49,28,34,49,19,95,18
k_50,83,57,17,71,80,69,65,73,61,78,17,3,44,28,84,10,99,49,2,58,24,17,85,35,86,39,47,48,69,42,59,7,48,15,76,46,99,71,15,83,6,21,100,60,88,88,65,35,35,32,19,4,48,14,30,55,62,20,18,6,37,9,64,53,86,62,76,84,17,11,53,94,6,73,45,61,45,18,66,70,98,63,78,67,14,9,29,61,73,26,10,100,89,34,9
k_51,31,2,67,31,15,60,87,11,90,17,8,89,69,17,81,6,29,86,45,65,51,91,95,5,28,50,69,1,1,50,14,78,26,29,82,27,44,28,1,42,91,96,85,12,98,89,22,68,20,10,14,100,96,44,65,71,30,40,43,88,46,13,31,7,8,74,60,40,41,38,63,36,32,44,65,21,42,18,82,16,68,16,17,37,100,44,59,81,94,94,85,76,14,57,83
k_52,25,76,92,91,38,35,22,52,11,10,72,45,86,68,67,7,75,84,96,37,66,39,73,75,6,24,64,21,16,20,57,9,84,84,71,84,36,66,96,24,35,73,88,9,2,88,78,50,89,39,49,5,5,81,63,99,9,6,35,74,46,47,92,36,48,91,8,37,26,50,24,54,63,31,29,25,37,97,70,9,57,91,63,40,96,78,54,12,32,87,22,96,72,43,55
k_53,70,15,4,50,28,88,71,46,93,61,70,24,95,60,79,42,88,22,5,31,9,7,28,55,30,7,75,72,13,56,45,40,70,10,85,72,36,63,20,72,76,94,56,89,20,14,98,10,52,36,85,99,70,75,13,41,13,26,15,25,56,14,66,50,79,61,43,38,76,63,36,94,100,55,78,42,78,59,96,32,87,92,41,32,80,82,97,78,35,17,32,97,20,98,82
k_54,73,52,74,10,77,73,11,91,77,74,36,88,58,58,22,43,96,77,48,90,84,7,89,30,49,5,92,44,87,59,93,31,20,14,61,10,42,73,96,1,54,70,84,51,99,23,39,89,16,81,38,29,52,9,51,67,4,4,39,84,92,66,59,44,28,13,97,88,70,41,44,26,25,22,6,55,74,40,94,46,17,72,46,42,76,7,90,17,68,70,6,21,48,55,84
k_55,30,87,77,30,8,59,14,48,83,43,6,24,69,83,75,96,94,13,35,16,9,91,12,23,26,49,41,45,9,93,10,6,60,37,89,25,33,31,63,6,99,13,86,10,87,36,96,18,43,91,66,80,31,59,15,33,25,71,41,36,36,43,13,39,41,83,66,17,97,31,65,28,22,62,27,91,63,45,83,38,89,51,11,86,73,49,85,87,73,28,85,36,11,30,91
k_56,49,99,14,80,82,84,82,24,67,88,86,29,2,1,23,76,38,70,76,34,62,50,54,77,65,58,40,21,96,64,47,94,96,48,55,76,39,22,86,81,99,36,50,98,34,38,57,85,56,24,64,13,24,67,59,13,32,13,25,97,86,65,85,36,94,6,44,52,14,54,23,22,58,24,29,92,17,51,91,84,52,74,51,48,87,82,33,40,72,42,38,21,4,57,100
k_57,30,45,73,59,41,5,34,93,38,23,1,20,44,41,47,34,60,94,93,83,20,23,59,78,14,54,13,22,17,7,99,100,31,66,26,44,53,95,49,9,94,33,75,92,74,81,11,8,84,21,24,16,52,73,1,81,64,39,30,88,21,81,27,72,2,91,56,54,81,72,51,61,55,36,60,19,42,17,80,77,85,48,13,70,36,19,8,35,30,52,6,19,50,81,72
k_58,78,4,47,74,47,17,52,86,9,95,82,13,13,4,53,42,35,78,30,50,56,43,38,90,35,5,41,55,78,26,99,44,10,1,56,76,67,69,80,74,67,84,30,21,56,41,33,60,73,83,29,2,15,70,67,25,5,4,4,71,59,83,76,69,34,62,29,14,65,46,49,86,75,33,62,75,68,3,39,59,88,55,51,89,62,42,61,26,12,63,71,77,98,66,44
k_59,7,95,86,27,24,67,41,70,3,43,62,57,36,53,42,60,16,84,51,21,92,4,84,23,88,57,100,6,91,75,77,83,23,95,6,61,46,94,48,42,71,15,26,15,40,57,7,41,70,65,13,63,56,98,25,55,4,15,43,64,60,44,52,36,48,15,60,83,56,40,68,2,26,40,40,68,50,52,29,39,97,25,39,16,63,72,86,83,37,27,4,11,35,16,41
k_60,51,59,59,71,6,58,91,62,94,85,70,53,98,66,100,29,21,41,8,37,40,42,84,84,6,80,54,76,80,99,48,67,95,9,76,70,54,38,37,50,70,74,74,47,96,94,95,8,21,1,28,5,40,99,26,20,99,98,42,64,31,42,88,63,6,85,58,40,47,38,19,78,60,58,78,16,13,25,22,76,37,48,13,55,90,18,61,32,84,29,70,25,57,89,63
k_61,85,3,70,2,84,68,93,90,33,53,32,22,59,14,51,14,38,41,11,57,69,35,36,68,93,63,18,85,20,38,57,70,30,49,94,55,78,42,58,91,2,76,59,93,24,84,76,18,49,100,5,44,20,29,75,77,80,79,88,7,21,8,60,5,13,1,13,62,50,27,88,44,42,42,32,87,65,5,58,4,87,92,84,97,94,2,84,40,40,2,43,93,4,25,92
k_62,37,53,74,26,99,28,18,99,39,14,96,78,34,17,61,69,14,33,22,80,28,8,8,14,62,99,24,30,80,92,73,26,2,95,13,51,91,28,35,11,7,14,22,47,82,60,44,20,86,13,28,80,50,7,8,24,4,40,88,32,26,88,97,39,71,14,40,73,62,15,95,93,13,58,52,11,31,55,32,20,12,55,44,11,80,81,59,3,81,29,52,66,24,62,23
k_63,93,67,76,2,95,21,12,67,43,89,83,88,36,97,99,60,67,89,85,3,49,15,4,25,36,68,17,88,55,31,63,56,74,73,20,98,20,100,1,64,43,99,97,68,50,98,50,4,64,47,53,53,83,38,33,76,16,72,50,8,66,8,63,14,64,65,76,4,6,9,24,39,49,72,15,82,41,56,75,80,3,24,31,48,66,45,44,87,84,91,26,19,46,39,71
k_64,40,5,75,23,21,66,62,31,81,62,64,82,29,64,57,96,13,92,70,57,63,88,15,69,26,3,99,78,68,40,73,77,30,69,9,28,40,82,14,66,16,31,23,29,89,69,11,13,97,79,45,95,47,53,15,71,56,13,84,15,31,46,19,98,56,44,17,25,76,23,18,66,65,80,11,48,12,91,27,58,13,23,37,44,4,69,47,8,9,55,79,69,52,96,21
k_65,61,88,25,88,7,69,85,71,91,62,12,25,17,78,42,1,9,37,34,83,71,35,13,52,55,10,1,72,44,42,1,35,37,63,86,37,71,65,93,20,25,2,66,76,28,92,79,70,94,58,52,51,42,45,26,97,73,46,18,56,14,37,3,72,90,73,34,47,53,45,4,86,87,55,3,54,96,14,45,35,65,58,15,41,25,11,25,52,12,37,26,25,44,93,11
k_66,47,95,27,42,50,18,28,30,94,39,53,83,96,36,92,86,97,55,30,55,94,74,67,27,86,78,61,45,77,59,100,89,49,22,87,96,29,89,52,23,67,96,84,51,28,26,54,35,91,7,78,94,57,96,3,44,69,80,59,77,37,32,10,7,46,44,34,98,55,57,98,50,92,43,81,74,61,83,58,38,69,53,45,78,5,24,88,66,99,82,60,85,30,31,37
k_67,82,98,40,27,11,100,3,91,70,36,28,15,67,9,58,80,48,95,3,25,31,3,11,30,51,10,71,38,70,63,80,9,15,68,23,5,18,97,19,28,20,23,18,90,56,100,44,68,70,26,77,60,72,80,80,61,89,94,24,28,71,68,33,18,52,99,52,50,68,92,61,82,69,16,91,78,92,58,75,28,44,49,81,62,77,66,6,70,51,44,57,83,10,28,18
