commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_5,e_6,e_7,e_8,e_9
k_17,44,35,97,73,91,37,27,58,25,73,67,21,75,34,18,10,91,20,24,86,26,26,88,90,26,31,87,80,1,91,27,75,70,58,88,71,36,31,68,38,62,81,58,62,31
k_18,61,42,30,35,91,68,22,55,70,63,34,82,88,8,35,72,23,76,25,40,81,23,98,38,25,53,9,35,43,69,94,33,45,55,30,2,32,55,48,45,8,10,13,88,6
k_19,28,37,64,69,8,66,81,33,55,78,99,89,99,8,72,90,6,39,66,15,26,23,89,74,43,26,94,21,55,80,86,66,90,44,73,9,11,95,88,39,81,83,91,10,83
k_20,67,31,24,1,74,79,65,99,17,97,78,88,39,11,21,90,45,24,74,85,93,38,44,85,40,82,64,2,6,36,23,59,85,77,12,89,63,51,64,67,18,90,92,37,12
k_21,46,84,73,31,88,31,36,20,71,58,55,19,53,31,97,28,77,88,90,93,78,41,6,29,53,58,19,54,41,16,68,37,73,77,4,24,53,45,70,11,65,59,56,4,72
k_22,14,75,12,31,42,71,35,12,23,48,100,46,5,88,43,60,91,95,77,99,88,44,8,85,76,95,32,9,82,40,63,21,21,25,24,44,97,83,23,82,28,69,23,17,40
k_23,76,52,72,68,34,72,45,45,52,93,96,78,90,94,71,69,25,3,95,73,12,12,43,16,33,38,81,52,77,71,29,44,86,50,100,95,38,81,81,51,10,89,7,61,60
k_24,94,22,70,29,94,71,39,52,55,19,18,19,73,25,41,51,85,73,29,1,71,81,48,45,86,90,36,19,38,46,90,84,4,81,38,65,1,37,40,96,13,10,30,18,51
k_25,86,36,8,68,72,21,78,4,18,56,7,53,21,87,56,20,88,89,99,28,50,41,11,21,12,82,3,53,60,31,21,37,88,76,28,3,8,63,24,97,70,30,31,10,26
k_26,60,97,4,23,10,49,27,85,64,48,76,1,69,95,59,97,22,23,95,13,100,55,66,25,48,69,63,93,60,88,80,32,9,15,16,3,13,89,85,18,21,19,8,75,84
k_27,35,57,45,34,37,11,69,33,14,46,22,65,1,30,70,34,62,30,23,11,10,54,87,96,89,78,60,59,23,79,42,27,77,14,1,7,70,54,17,31,72,82,17,48,40
k_28,6,100,79,63,97,24,85,20,93,45,24,46,87,92,30,69,67,32,14,15,57,29,13,92,54,15,82,30,42,43,66,1,90,17,86,40,11,23,74,92,59,16,7,76,30
k_29,21,89,99,3,32,89,82,22,78,23,36,73,78,35,35,24,97,23,63,47,57,1,90,61,58,100,48,44,93,21,32,95,23,91,96,84,54,95,41,72,8,45,15,50,60
k_30,95,81,40,70,64,22,10,54,38,84,95,2,36,59,91,83,89,93,15,87,64,47,69,26,78,60,61,33,72,28,29,8,19,54,64,65,39,52,20,58,92,95,100,92,31
k_31,66,6,29,61,45,81,36,53,60,4,44,54,8,85,49,67,11,57,25,36,40,32,73,32,31,83,49,94,71,86,39,48,98,97,7,19,7,20,52,29,34,90,45,96,11
k_32,92,80,51,92,50,80,21,84,2,65,92,20,4,23,55,55,17,8,82,72,93,26,21,49,92,52,43,51,88,84,72,14,3,100,14,71,26,63,21,45,67,19,37,41,72
k_33,99,100,76,79,37,57,100,71,54,98,65,44,59,54,100,17,89,99,88,11,95,54,3,100,97,77,51,64,11,11,82,41,78,81,85,57,62,95,95,72,47,42,2,65,36
k_34,34,66,37,1,24,17,14,34,79,4,84,78,71,20,6,9,33,5,8,82,75,15,16,94,7,72,29,79,86,73,96,7,69,64,99,86,53,13,65,70,96,32,12,7,72
k_35,7,11,20,96,17,20,17,90,76,97,10,28,36,55,64,75,58,12,45,96,4,44,52,81,96,64,64,57,89,21,6,20,35,70,22,59,16,76,85,95,55,4,42,26,92
k_36,84,79,38,33,18,6,65,39,100,32,85,54,93,53,90,5,76,94,64,2,40,65,73,5,96,69,24,94,90,58,28,48,27,15,68,72,3,95,84,99,46,7,55,8,52
k_37,69,52,83,98,89,83,53,52,67,44,94,84,34,68,79,44,78,43,40,49,25,81,65,90,81,52,18,48,8,24,69,68,64,34,24,81,98,42,40,80,68,47,83,42,13
k_38,90,91,52,60,96,28,11,51,2,55,60,45,24,3,31,7,43,54,20,24,89,67,21,20,66,39,98,91,60,90,14,18,98,50,93,67,17,73,90,68,73,8,87,54,58
k_39,34,62,81,73,54,71,39,27,67,79,17,96,89,95,46,58,19,86,27,96,15,91,79,34,1,21,77,1,94,43,49,99,77,27,50,14,41,81,33,84,20,4,46,85,75
k_40,78,5,14,66,9,53,47,87,8,3,67,14,86,91,63,72,92,81,45,34,74,88,66,34,78,4,10,60,55,16,99,81,50,70,52,64,99,25,67,16,39,74,23,52,15
k_41,26,88,56,45,91,69,75,75,55,26,16,19,54,20,30,74,26,22,88,22,29,18,52,43,55,45,58,8,93,34,54,41,93,68,83,86,95,21,19,68,72,63,91,24,5
k_42,87,61,3,98,50,58,12,79,7,33,19,71,26,8,27,1,74,11,19,2,94,90,79,37,11,93,47,98,77,29,28,2,72,65,34,100,99,48,94,10,70,16,59,7,36
k_43,90,47,6,94,47,78,100,97,24,40,8,35,90,58,48,26,66,86,7,21,42,62,5,91,68,88,90,54,89,18,11,3,80,18,66,77,17,4,55,100,73,91,56,9,23
k_44,92,39,37,46,55,49,69,66,31,54,45,21,78,43,51,16,17,12,58,86,11,28,23,60,32,83,59,25,73,91,36,45,8,84,67,85,85,11,87,74,16,39,10,86,10
k_45,39,48,7,60,5,55,77,47,84,6,4,13,16,7,58,97,54,88,86,4,21,56,36,72,83,16,88,66,44,38,93,34,13,8,71,63,88,93,49,8,18,43,29,77,62
k_46,2,71,51,66,80,65,52,37,12,73,39,19,23,67,2,19,54,3,29,66,66,76,86,53,71,53,47,7,96,69,19,11,90,78,68,91,50,40,60,1,74,42,87,19,16
k_47,39,90,51,68,59,25,89,33,25,4,1,2,41,30,74,10,53,77,64,85,21,51,55,65,23,88,20,75,63,14,47,72,33,13,71,31,89,100,4,44,91,70,85,19,44
k_48,66,76,70,38,8,51,17,27,31,2,84,36,99,16,25,56,79,15,56,30,38,95,33,60,58,56,82,6,16,43,48,99,100,35,82,16,91,49,25,44,22,28,59,100,93
k_49,72,63,73,64,56,18,25,10,76,33,86,62,19,35,44,16,92,81,4,43,83,76,78,95,15,7,34,47,44,23,65,40,21,40,5,66,12,38,55,29,33,44,25,42,8
k_50,12,83,99,90,61,93,56,98,87,65,3,65,81,64,41,81,19,15,13,57,34,5,39,62,40,74,40,69,92,30,4,80,35,77,69,65,11,46,36,41,3,78,39,59,9
k_51,100,45,65,12,66,58,81,18,26,10,96,80,7,40,78,27,65,68,27,8,9,44,67,13,35,90,63,4,56,12,17,63,59,20,68,22,21,49,36,25,88,47,24,25,47
k_52,54,48,64,96,22,60,51,53,94,45,81,31,23,66,34,74,76,21,39,54,100,38,29,12,29,57,71,32,58,80,33,56,10,4,46,15,41,25,99,36,72,78,35,82,57
k_53,5,56,76,31,23,25,15,4,31,15,90,76,93,89,33,25,73,60,11,62,24,9,38,93,1,73,63,22,8,68,56,44,20,75,57,78,54,99,99,1,74,22,32,37,36
k_54,100,26,66,26,65,58,55,22,57,53,42,1,45,91,41,62,2,17,82,8,74,27,24,7,25,29,26,82,10,57,79,46,98,60,75,73,51,57,80,42,32,95,38,19,58
k_55,20,96,88,36,6,84,75,23,26,71,87,41,83,27,89,51,59,64,15,43,32,79,41,9,64,53,74,100,29,78,40,47,20,64,6,3,42,11,7,46,78,15,7,82,2
k_56,55,78,94,91,47,71,73,61,23,69,52,30,35,91,83,50,97,83,60,77,67,17,42,53,88,30,38,38,66,13,86,62,8,7,69,39,77,79,85,36,95,56,26,91,22
k_57,16,61,96,46,15,13,12,12,97,89,15,39,98,22,3,67,27,40,23,51,61,10,44,64,94,71,64,36,17,67,3,40,17,75,82,89,67,100,57,20,82,71,84,43,3
k_58,54,52,8,17,69,3,30,48,49,29,50,61,66,2,43,64,4,37,23,39,76,18,61,4,65,12,85,40,87,17,38,69,86,36,18,82,76,56,98,62,96,22,70,59,20
k_59,55,12,40,24,5,35,56,92,95,48,41,33,85,20,45,32,46,36,53,23,100,60,74,7,93,99,37,21,32,58,53,81,32,36,50,73,16,45,55,21,71,66,61,23,71
k_60,68,2,57,57,33,1,67,56,68,58,8,69,21,19,20,92,21,18,39,34,83,54,43,99,63,35,71,9,47,78,14,98,23,50,44,46,100,58,66,52,56,60,64,74,41
k_61,72,46,36,52,61,12,45,42,37,18,25,15,66,61,86,69,75,43,36,27,64,94,60,43,83,38,52,60,41,13,50,85,39,14,50,49,11,50,17,28,79,81,34,53,82
k_62,34,72,18,13,33,26,50,51,81,13,47,14,49,68,100,14,83,9,82,49,64,22,52,28,22,6,35,58,92,37,73,29,85,71,4,29,21,26,9,23,75,49,95,80,92
k_63,98,4,57,23,29,96,71,99,82,78,14,30,91,96,54,74,41,65,13,77,2,98,82,45,29,59,15,18,6,8,6,21,71,14,28,96,93,67,67,7,35,15,63,86,66
k_64,22,25,64,38,82,99,63,70,35,7,60,79,12,46,74,79,2,21,34,35,26,78,30,91,68,87,7,63,96,86,8,35,68,84,87,52,19,91,11,75,14,38,16,69,76
k_65,17,15,70,20,51,40,27,63,74,58,28,72,94,53,49,55,83,52,100,48,53,22,79,75,19,21,50,3,69,90,1,36,33,21,81,7,57,19,100,27,34,44,14,58,48
k_66,28,27,46,70,12,68,58,8,15,35,42,85,4,95,60,18,34,75,44,78,27,53,98,34,4,4,65,57,63,78,61,49,63,70,68,29,15,23,51,64,70,46,39,55,19
k_67,46,85,44,60,46,95,95,33,89,67,29,89,30,69,40,63,59,35,33,85,15,12,97,25,33,65,33,97,97,92,46,42,53,55,87,15,62,67,99,48,92,92,11,39,62
k_68,65,99,34,35,81,61,60,2,47,33,94,4,15,83,78,51,83,85,73,4,69,66,84,6,77,1,100,86,90,8,84,51,68,98,34,41,83,59,32,72,53,53,98,73,72
k_69,25,79,2,60,62,46,72,76,1,66,57,84,31,38,6,77,11,31,61,63,25,90,57,74,88,70,79,34,29,69,81,61,57,39,39,37,76,17,29,87,54,60,70,48,23
k_70,43,68,51,76,1,57,83,73,58,8,7,24,6,30,99,32,28,49,97,62,89,56,74,42,73,57,34,8,41,72,41,22,90,80,7,11,44,42,56,54,18,21,28,65,11
k_71,49,89,6,16,56,87,19,5,10,39,48,17,13,29,18,21,89,36,92,10,72,45,36,50,65,3,28,80,57,52,11,5,69,71,22,23,64,99,65,26,45,42,30,44,44
k_72,26,79,22,90,48,4,44,54,44,96,31,68,63,66,55,77,41,42,51,11,48,68,29,41,13,8,94,67,75,56,27,47,74,77,50,63,23,67,19,27,38,63,95,74,71
k_73,62,17,42,66,51,86,53,29,32,10,72,87,57,15,57,96,44,83,47,55,38,84,22,24,71,36,4,57,83,50,53,54,94,65,68,60,53,96,95,9,40,80,78,79,1
k_74,69,20,2,49,39,40,86,61,25,7,35,53,41,83,85,51,97,12,96,21,93,36,1,26,86,5,9,68,98,98,65,9,50,16,70,72,71,55,68,48,51,35,8,80,51
k_75,1,63,28,6,64,9,28,46,79,20,85,20,71,27,7,89,99,43,56,58,15,26,37,38,73,74,1,58,3,76,8,41,77,5,53,24,97,59,4,41,96,2,78,69,90
k_76,100,19,61,12,72,61,93,28,87,88,45,38,9,1,64,47,16,7,100,75,15,12,97,73,12,17,77,39,22,11,46,6,96,57,24,18,87,61,43,55,73,32,42,80,97
k_77,94,23,65,21,39,50,21,93,21,75,21,77,47,29,52,34,80,4,3,51,7,45,22,35,83,70,29,57,8,26,68,16,96,71,17,62,84,15,11,16,53,72,32,58,73
k_78,22,4,81,93,69,91,55,60,25,81,57,95,22,70,25,1,52,98,72,77,58,18,95,77,100,2,94,96,94,26,83,21,55,1,3,79,61,12,65,57,44,89,76,65,34
k_79,86,48,36,48,69,23,88,77,17,65,54,33,7,45,51,67,85,72,60,92,22,3,1,76,99,32,94,4,21,46,53,17,71,64,100,16,81,12,96,33,54,29,52,42,37
k_80,62,40,54,20,25,51,89,33,23,32,12,76,85,29,33,76,59,71,53,52,5,52,30,41,68,45,64,87,18,58,95,62,43,19,92,63,50,28,63,35,63,62,86,79,8
k_81,16,71,17,19,83,17,52,41,38,67,100,41,46,41,53,100,22,83,17,36,3,7,16,33,36,83,100,76,28,87,4,80,48,35,55,72,54,72,3,13,9,58,100,26,84
k_82,92,35,17,28,83,86,31,2,47,18,44,70,17,50,86,39,14,75,60,48,52,24,27,65,55,100,9,19,43,40,91,91,82,8,71,93,5,38,30,95,10,55,91,86,20
k_83,98,38,32,68,22,71,59,4,29,47,39,11,90,76,10,70,23,15,85,11,20,1,66,99,96,46,95,14,29,28,91,31,62,51,69,21,33,100,68,5,59,48,18,93,57
k_84,92,95,21,87,58,44,38,55,52,8,20,61,90,66,58,24,2,14,23,56,51,7,45,29,77,15,67,87,64,13,2,45,73,24,15,35,78,4,69,2,54,36,47,35,6
k_85,25,87,93,55,11,23,75,60,21,100,47,64,88,30,50,87,68,41,97,40,94,97,39,15,62,61,89,35,73,29,71,63,63,11,31,55,3,36,96,46,82,71,25,90,35
k_86,25,42,48,20,70,48,30,47,28,42,7,85,41,97,78,58,95,77,93,41,13,38,99,19,83,94,10,11,54,27,58,84,42,4,74,74,94,13,68,84,100,5,81,26,72
k_87,5,81,19,87,84,18,67,68,88,87,29,22,23,7,9,72,56,98,68,73,20,15,6,46,28,19,98,63,1,31,16,31,50,92,50,73,87,67,65,61,47,16,42,38,1
k_88,60,100,13,74,95,66,15,32,43,17,61,62,21,11,32,30,39,39,6,68,50,39,62,60,24,91,64,71,66,61,73,92,90,43,4,75,23,55,68,7,28,25,68,8,21
k_89,75,56,75,22,22,15,11,23,60,1,49,41,80,39,77,36,55,6,87,67,72,71,52,64,93,63,28,36,53,55,46,12,100,29,66,32,73,28,72,84,44,60,19,61,98
k_90,39,48,19,31,60,72,85,79,100,85,35,98,4,46,61,45,46,75,71,92,91,88,65,23,56,9,92,93,88,98,27,60,10,42,21,86,4,54,8,63,7,58,84,5,88
k_91,32,44,77,32,53,54,11,9,68,3,27,8,32,3,91,18,81,60,72,14,10,61,56,71,89,83,36,95,36,2,28,25,70,95,67,40,95,40,74,65,52,26,76,69,74
k_92,17,44,85,22,46,68,93,5,4,46,42,26,86,99,42,84,43,96,80,1,61,26,34,89,66,20,58,70,76,6,15,50,46,17,79,34,81,99,12,62,40,43,4,27,20
k_93,54,66,15,52,1,35,8,64,92,91,14,9,87,9,37,95,98,20,61,11,75,80,48,93,100,81,11,49,65,54,64,32,56,19,27,74,80,13,36,32,68,73,77,100,98
k_94,44,73,88,21,96,44,30,95,19,67,27,26,100,4,40,43,43,8,56,19,51,62,16,82,79,89,8,99,49,25,32,27,1,21,69,18,70,97,46,22,18,66,31,32,86
k_95,2,39,82,90,97,71,35,40,78,44,28,59,5,14,79,92,31,33,92,86,14,34,94,23,34,79,94,29,22,21,56,61,85,45,71,49,72,82,96,47,57,47,37,45,70
k_96,60,31,32,82,31,86,18,38,94,96,70,54,11,83,79,34,66,32,53,98,15,54,71,44,46,64,58,33,64,64,38,41,27,28,33,20,15,78,86,31,25,48,3,50,41
k_97,53,23,72,2,12,23,37,28,70,93,78,87,80,94,87,87,74,44,85,77,96,53,90,92,87,51,35,22,31,79,11,58,16,68,91,13,47,97,49,9,46,42,34,65,67
k_98,96,12,90,84,94,77,10,31,66,67,61,84,70,90,2,56,47,73,21,56,72,6,41,80,58,53,89,50,51,13,99,45,90,11,30,40,49,34,52,21,95,12,46,67,30
k_99,2,28,88,5,62,60,42,83,10,98,81,92,5,76,64,33,33,36,53,38,50,80,42,20,48,96,31,30,29,79,30,88,94,19,74,43,97,38,65,32,28,16,40,60,20
