commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94
k_14,17,33,29,31,64,4,53,39,81,85,40,69,19,63,94,21,48,46,33,75,40,77,11,78,62,45,85,48,76,10,35,21,100,55,15,78,69,92,48,71,41,90,73,1,58,90,54,7,66,36,96,6,64,79,8,98,37,62,32,65,16,2,24,93,20,57,49,76,21,72,58,15,75,76,31,33,94,47,43,85,2,80,55,74,44,2,9,91,41,6,41,18,7,27,84
k_15,71,81,11,15,71,43,2,7,91,61,97,3,60,18,21,60,5,38,88,1,18,71,69,21,97,71,27,3,86,40,17,33,46,56,81,83,34,27,6,7,2,76,93,33,51,30,71,100,13,67,45,86,20,75,47,42,1,100,25,71,15,82,12,15,15,20,2,17,43,5,3,4,17,27,15,27,40,16,86,86,70,69,90,75,34,7,36,59,25,48,8,38,92,23,69
k_16,95,26,18,93,3,7,20,78,23,13,100,89,78,20,63,49,45,69,95,13,24,86,47,55,34,38,44,98,57,31,29,100,45,43,51,3,6,87,51,30,36,78,76,79,17,91,72,84,89,27,17,35,94,68,96,99,47,55,31,36,20,90,50,34,60,12,92,21,76,29,66,87,41,22,26,34,38,4,12,3,53,87,20,75,24,72,96,64,81,85,78,58,31,45,14
k_17,17,38,25,63,63,80,85,18,95,61,21,17,23,99,75,19,93,95,5,33,75,5,87,58,9,60,22,70,31,38,83,50,63,32,85,79,67,75,43,74,47,50,93,99,24,73,50,74,45,66,21,34,40,49,7,39,43,72,13,11,64,71,11,50,48,25,40,56,43,8,28,48,14,23,4,16,44,55,35,68,49,38,86,56,50,92,17,12,30,7,26,90,52,64,65
k_18,12,58,21,67,41,81,20,82,68,43,87,87,23,86,96,43,35,92,53,18,68,25,51,47,39,70,63,32,50,79,100,6,54,47,24,94,2,66,90,45,81,14,48,95,45,85,99,53,63,30,66,94,55,88,38,82,61,99,32,91,11,14,93,17,99,69,61,78,30,30,92,7,5,22,6,72,6,92,87,11,63,40,92,95,28,31,45,82,78,36,21,31,82,96,47
k_19,3,39,51,88,10,52,38,64,3,7,76,20,62,19,31,31,88,11,72,36,31,74,1,65,27,25,71,27,66,33,17,57,22,26,72,45,10,41,71,1,7,45,88,15,30,54,75,51,64,91,82,52,16,54,16,69,78,9,55,70,24,98,51,58,58,5,70,82,37,100,34,44,65,29,98,31,19,68,85,66,31,74,30,28,66,44,5,2,18,23,22,34,93,61,68
k_20,34,81,21,65,45,6,61,72,33,64,22,57,100,33,23,2,33,51,74,89,27,50,72,98,92,2,50,7,26,2,19,78,21,4,35,20,43,55,69,29,78,25,61,21,22,62,29,81,93,5,64,29,15,68,36,74,43,95,83,39,84,98,10,36,24,42,22,60,45,48,47,65,15,67,48,91,17,32,61,55,79,84,9,51,48,79,43,83,61,15,25,43,36,2,59
k_21,84,94,7,57,4,1,15,22,16,41,10,83,80,69,87,20,53,58,48,89,76,37,34,76,52,78,57,39,18,74,43,47,31,10,92,20,80,4,26,76,56,91,18,47,18,16,71,39,21,75,21,93,9,50,46,80,84,28,63,92,95,82,94,59,16,57,18,52,97,46,86,38,8,76,84,62,55,4,70,74,89,6,19,15,16,59,72,19,80,73,4,34,61,4,92
k_22,79,6,17,29,61,29,5,28,25,94,36,43,45,88,43,24,29,46,95,69,2,25,86,54,28,92,6,10,10,2,92,14,16,66,26,81,59,33,48,94,16,75,48,66,90,27,85,13,45,7,27,37,97,69,78,74,43,19,48,47,80,61,59,64,57,28,67,60,17,24,93,84,42,79,26,9,99,62,4,50,36,6,50,16,67,73,55,41,90,65,4,87,72,11,40
k_23,39,24,77,56,81,46,72,96,12,42,97,36,47,46,69,81,39,43,49,58,10,15,4,87,12,1,35,63,8,73,56,40,57,49,77,15,82,38,100,84,56,26,20,60,29,29,88,95,52,79,22,12,18,97,19,4,74,55,83,84,9,7,84,75,72,57,46,55,73,16,38,32,57,67,69,28,24,97,25,83,63,53,65,38,90,48,2,46,85,80,69,56,36,22,61
k_24,95,2,17,67,65,94,52,67,74,88,25,28,60,77,96,16,49,22,5,77,25,62,63,1,4,63,43,68,70,58,12,66,68,42,15,92,92,7,17,20,27,52,6,44,79,24,80,4,75,20,62,78,63,9,21,24,1,7,8,14,27,73,56,99,83,19,14,21,21,68,51,27,76,16,17,39,45,29,99,67,26,35,40,45,26,12,44,90,12,79,78,15,60,1,38
k_25,37,77,65,12,77,76,76,6,100,26,11,82,69,59,37,68,1,20,44,55,37,76,78,40,26,93,53,55,72,49,37,24,33,57,95,48,14,29,27,95,95,16,97,83,80,92,21,71,64,5,32,76,41,63,61,77,1,10,90,91,90,95,63,69,20,74,93,94,81,67,53,2,43,89,99,20,27,43,6,85,9,94,74,99,17,74,3,48,88,73,28,3,63,28,11
k_26,67,69,53,33,77,23,73,47,72,70,5,49,73,57,57,87,95,92,79,64,69,38,98,21,94,48,61,58,22,51,88,47,69,30,58,76,67,94,59,94,65,44,67,54,10,86,80,49,18,61,70,89,13,48,90,78,7,75,47,27,59,71,73,62,14,73,17,47,34,24,97,34,82,82,93,55,82,20,4,32,77,68,10,85,14,1,65,89,65,72,85,7,73,69,75
k_27,46,5,4,39,35,64,75,46,82,90,93,19,49,58,19,9,23,65,16,86,68,41,46,81,73,30,26,50,3,97,34,55,71,74,100,76,14,29,6,51,72,55,90,34,42,69,35,50,61,18,80,14,62,43,68,12,77,15,49,19,33,59,19,45,49,7,31,3,36,46,60,89,100,14,61,86,85,85,77,3,69,6,73,28,95,54,72,71,50,21,29,20,62,30,59
k_28,25,100,4,4,36,44,72,82,22,59,31,47,6,75,60,87,39,95,54,38,98,91,83,20,93,100,83,51,48,57,48,81,89,83,51,79,65,64,88,85,86,89,93,37,92,34,44,4,77,90,29,45,98,82,67,63,53,11,8,58,100,63,35,61,8,78,42,30,45,19,60,56,32,34,4,29,42,78,92,13,91,71,43,16,54,62,90,50,13,25,80,89,77,39,69
k_29,97,46,99,17,87,96,84,54,83,64,30,48,25,13,45,96,24,41,67,21,18,23,72,27,48,91,73,83,83,66,79,35,23,19,89,38,60,66,97,68,36,49,64,22,25,27,17,93,14,65,47,77,51,42,50,61,21,58,3,25,41,79,96,97,36,81,66,65,3,78,3,18,15,38,97,78,78,5,36,63,86,4,44,24,29,42,10,13,46,19,39,49,99,70,24
k_30,31,37,73,80,35,16,5,96,65,12,95,63,91,30,30,81,93,90,75,12,2,40,86,44,67,8,46,53,38,32,52,59,74,19,4,25,7,94,47,93,16,10,85,5,33,93,23,85,30,10,31,52,77,26,43,24,47,91,12,76,78,42,87,11,84,28,22,86,74,55,45,69,35,40,60,45,71,17,10,35,44,90,82,91,15,82,11,95,25,95,6,67,97,78,69
k_31,47,14,33,74,84,25,87,98,57,44,39,61,85,90,86,58,60,1,70,66,81,29,16,72,18,3,61,96,36,97,57,9,64,58,72,92,92,14,1,56,6,24,74,98,32,73,99,26,17,26,56,77,14,49,34,94,8,17,11,63,75,98,59,73,38,31,65,69,89,24,86,30,11,41,96,41,91,56,59,36,63,82,87,71,72,53,92,11,40,64,83,5,24,3,55
k_32,32,8,22,49,16,96,46,73,9,79,19,6,21,66,53,23,27,33,27,7,31,5,15,65,43,22,54,30,27,33,29,76,7,82,25,64,91,49,28,83,14,85,54,6,26,62,32,60,59,99,49,92,63,45,3,66,95,49,24,66,57,62,16,42,77,28,18,46,37,83,85,99,53,46,53,8,98,84,33,40,8,11,16,99,13,11,47,98,82,68,90,13,93,73,16
k_33,37,50,22,26,35,89,53,88,37,97,96,59,3,75,79,54,13,20,94,9,88,91,21,94,20,90,90,95,58,29,7,51,20,33,44,42,11,55,80,71,34,12,54,52,84,22,80,16,28,21,13,19,44,96,50,61,79,84,15,62,61,75,42,57,99,55,96,21,14,17,91,53,81,50,7,69,24,13,76,84,36,49,47,75,56,91,30,33,62,80,4,90,88,38,39
k_34,43,69,1,19,47,8,63,47,86,25,37,59,42,39,65,13,15,87,79,42,67,33,32,77,49,2,67,60,85,47,64,89,98,67,21,72,17,83,58,28,14,80,6,3,32,30,98,11,13,32,42,65,28,90,7,3,13,59,98,35,42,72,63,27,83,66,9,4,37,45,26,42,58,50,25,57,98,5,43,39,88,2,88,14,91,91,49,23,42,39,67,92,71,2,23
k_35,74,35,58,54,45,77,23,16,13,79,13,16,9,87,11,73,67,14,89,99,10,34,80,43,91,52,95,10,90,39,43,24,43,52,17,40,85,76,72,46,86,73,85,81,16,56,76,66,4,66,75,52,63,3,32,25,75,9,37,100,34,24,62,43,85,82,32,41,56,32,63,68,60,87,87,41,81,97,87,86,76,96,37,33,87,60,2,95,75,47,19,5,83,7,56
k_36,58,35,22,2,79,15,30,62,16,50,100,14,49,38,47,57,47,42,6,69,22,83,4,65,47,53,67,1,16,14,72,11,84,14,98,2,7,95,48,77,11,5,12,86,62,34,15,50,1,39,82,86,29,87,34,78,55,49,58,46,36,28,44,46,33,33,33,41,6,44,88,78,62,27,14,40,25,5,12,2,66,99,30,54,21,51,95,89,91,99,64,91,71,80,13
k_37,57,75,6,52,72,59,60,74,37,14,83,61,54,42,62,2,83,68,34,8,95,78,98,55,85,46,76,42,93,94,44,36,96,21,8,21,1,69,97,78,89,72,52,92,90,8,30,43,99,14,67,13,90,31,41,29,92,8,100,65,4,11,52,72,86,83,66,78,4,97,53,41,73,81,53,50,36,32,80,20,50,33,61,28,18,98,28,17,77,43,59,45,85,98,97
k_38,51,83,10,6,12,73,68,75,48,66,5,25,65,78,33,91,58,41,87,100,100,94,30,96,42,58,65,78,60,57,15,99,68,3,12,71,65,17,87,1,48,47,65,10,65,83,49,13,80,47,92,99,13,46,65,81,14,87,94,47,7,87,88,71,22,3,21,18,62,86,77,67,26,60,73,61,53,9,99,24,61,80,14,21,60,56,31,74,37,76,66,73,69,45,63
k_39,3,71,67,92,27,21,77,11,14,83,54,19,91,87,22,39,64,67,62,64,47,60,30,52,99,34,60,63,88,61,42,44,61,85,57,46,23,94,90,8,51,86,62,29,61,56,90,35,27,18,69,78,82,42,92,77,73,82,71,80,11,71,44,38,93,31,70,47,45,57,31,34,13,52,22,84,21,97,82,91,39,88,88,40,85,4,28,78,24,91,45,80,95,34,58
k_40,14,46,93,70,100,86,64,40,43,56,29,23,66,81,28,64,43,13,43,37,84,81,33,22,7,76,32,80,16,8,74,34,58,32,34,92,25,69,12,34,47,39,33,4,41,44,2,43,43,79,65,33,67,61,93,52,72,16,4,46,52,72,43,10,74,96,63,10,84,61,14,42,84,49,27,3,11,73,82,51,65,4,80,79,69,33,54,90,76,68,96,88,76,8,43
k_41,55,26,41,35,71,57,45,12,83,84,37,61,61,54,63,70,70,40,67,99,36,85,2,7,50,72,52,34,91,44,21,44,37,76,52,40,59,2,95,11,57,41,10,27,75,45,75,98,82,19,3,80,83,10,34,38,79,98,39,78,14,9,52,43,61,22,36,8,66,42,79,88,90,76,18,75,16,2,83,99,94,80,42,56,16,13,95,55,55,24,27,59,4,70,38
k_42,80,71,2,25,20,35,60,45,17,15,36,75,22,94,24,97,77,82,25,39,84,15,68,67,43,93,3,14,92,24,28,20,7,88,38,29,34,21,9,57,72,92,98,45,28,25,48,88,12,32,2,75,21,70,33,53,25,82,90,80,77,58,48,21,51,77,26,10,97,23,33,70,28,63,91,27,15,94,10,25,29,63,91,64,38,14,46,80,76,57,49,14,8,29,17
k_43,38,8,18,70,45,76,79,5,64,96,43,53,69,72,60,42,30,98,86,37,23,86,86,69,24,79,42,13,82,60,95,18,49,66,83,60,28,32,15,43,30,33,13,98,50,13,2,26,42,92,49,92,23,74,87,100,37,71,96,11,33,91,32,37,68,30,92,50,94,91,21,10,34,57,24,71,98,31,65,95,83,62,70,55,72,52,54,12,78,97,67,95,21,15,79
k_44,80,1,64,91,8,34,78,54,100,12,61,44,17,83,26,19,88,71,49,17,41,25,43,66,47,79,30,41,6,45,62,62,86,91,8,17,92,20,18,2,7,69,68,34,93,85,46,94,10,84,47,74,48,59,9,5,58,69,80,18,9,19,41,100,17,53,82,50,13,32,2,66,85,71,37,91,69,30,40,61,23,24,92,76,46,11,52,53,93,53,65,48,84,18,42
k_45,6,36,34,55,29,66,77,8,59,50,50,94,58,45,26,29,76,72,21,90,42,26,36,41,1,72,45,20,73,24,68,43,25,96,25,89,20,30,42,45,29,76,100,39,25,61,49,13,89,27,93,11,65,54,33,4,61,3,95,16,32,82,15,7,32,29,85,96,66,69,33,62,13,12,83,98,74,22,86,19,8,40,14,10,63,27,44,46,27,16,64,18,31,87,50
k_46,47,76,43,10,10,46,51,56,87,25,65,82,50,29,87,100,68,46,91,2,10,87,24,12,13,89,41,53,77,56,34,90,4,51,4,61,92,63,46,96,8,100,88,84,37,69,18,75,57,27,53,54,94,41,25,18,62,8,78,69,43,32,34,30,75,96,81,47,51,16,53,7,85,89,41,44,81,30,92,74,40,26,1,44,53,37,38,97,64,99,49,94,48,6,1
k_47,7,5,22,64,65,53,8,61,65,58,2,71,20,25,9,99,39,26,58,46,10,6,42,30,42,18,51,70,93,61,22,2,88,83,58,16,31,22,61,34,87,63,86,44,15,37,20,45,8,86,46,5,18,99,63,86,64,72,13,36,57,57,86,26,22,36,3,82,20,29,66,50,74,65,77,51,68,61,8,13,7,28,14,33,57,55,78,10,81,100,33,23,78,90,84
k_48,74,58,88,63,41,25,15,71,28,92,39,48,73,75,91,11,32,54,46,51,16,73,22,91,77,24,73,4,72,67,95,13,15,15,76,97,4,72,3,5,60,72,76,2,17,8,27,2,75,63,94,6,91,32,80,93,44,92,22,88,32,49,88,62,12,14,7,40,48,99,5,74,36,88,39,78,63,21,42,26,96,26,2,11,84,19,42,75,94,56,100,75,62,37,13
k_49,63,67,70,16,97,34,74,39,24,80,47,32,46,64,50,52,40,61,82,81,55,82,46,31,97,50,27,12,18,16,93,94,91,34,49,90,74,39,74,27,38,54,85,81,75,28,86,92,1,57,84,74,45,93,55,12,44,27,73,94,51,67,15,8,12,5,21,91,1,82,58,76,99,30,84,29,42,91,24,28,5,15,23,43,100,13,34,16,82,19,57,90,3,19,6
k_50,17,40,30,80,45,14,26,92,75,33,65,93,75,6,3,61,73,3,33,5,22,3,83,79,14,21,42,58,20,50,72,10,58,11,11,62,27,50,50,49,85,2,14,81,84,11,93,90,97,17,9,31,100,2,71,5,44,11,42,95,87,19,83,16,46,22,91,76,82,49,75,77,88,59,32,80,19,53,50,81,43,26,1,6,58,54,17,48,10,56,40,27,27,18,93
k_51,83,57,89,64,36,65,48,72,93,55,84,20,93,8,17,23,43,96,98,43,11,76,65,19,68,18,1,99,38,83,21,82,60,10,14,75,94,81,33,58,14,22,32,35,55,84,14,97,44,81,44,52,69,7,49,95,7,47,12,77,70,31,52,25,24,44,79,14,91,16,99,84,64,76,84,23,55,27,86,7,51,22,8,16,66,13,40,4,15,34,29,81,75,73,97
k_52,31,87,49,31,45,91,67,75,82,49,12,27,87,23,14,87,14,98,26,55,77,9,11,1,81,53,65,26,73,74,39,24,93,75,79,52,51,19,17,55,95,19,100,73,2,24,38,34,13,2,36,69,51,2,93,66,14,15,57,49,86,37,46,78,6,10,73,71,9,3,61,84,48,39,43,56,68,15,18,80,10,6,15,2,75,21,95,94,88,82,48,42,38,60,46
k_53,74,82,70,47,1,9,54,10,13,50,82,51,93,47,88,73,72,15,83,45,12,3,64,44,9,84,18,2,22,92,35,9,28,52,8,93,28,17,22,57,36,12,99,94,49,24,85,15,2,75,42,48,9,66,55,27,74,90,96,6,14,94,45,39,65,12,34,34,2,43,26,40,28,65,52,17,8,94,6,2,7,76,36,94,59,46,9,11,51,8,99,51,23,96,95
k_54,91,100,67,79,33,58,80,87,40,53,94,89,46,39,94,11,20,7,31,48,35,52,23,67,39,3,94,40,30,2,52,21,83,81,29,8,27,42,32,31,57,33,55,94,67,35,73,31,52,84,98,16,21,72,25,2,94,87,31,65,82,42,79,40,53,72,47,31,67,86,99,29,48,40,60,78,43,8,43,99,41,48,23,81,55,45,22,99,36,86,66,97,70,91,2
k_55,48,61,2,42,4,87,16,31,54,86,86,95,17,20,55,8,4,23,67,17,17,13,6,39,1,8,36,84,78,82,62,95,15,65,33,8,7,50,67,75,68,79,9,15,77,79,56,20,20,56,55,85,34,30,52,24,76,55,3,46,87,74,100,4,19,68,6,1,1,11,90,49,24,94,19,4,57,64,52,33,4,62,59,79,58,61,20,51,52,13,52,53,98,57,62
k_56,64,1,56,3,88,71,33,10,7,6,28,16,82,51,71,48,17,65,43,39,33,85,72,34,39,61,70,100,60,2,88,37,49,82,77,14,13,32,7,34,60,28,76,97,5,69,90,80,3,7,5,73,18,81,72,17,75,82,72,35,57,20,21,37,91,34,22,84,95,75,10,88,31,35,57,15,94,76,55,33,14,80,17,46,3,15,25,54,77,21,7,54,65,28,45
k_57,3,6,90,31,68,70,59,80,4,58,5,17,49,74,43,2,84,33,83,74,88,13,11,93,56,26,77,54,41,3,1,81,5,40,65,76,68,73,31,49,22,73,4,30,2,2,15,50,37,46,87,62,92,54,83,76,86,4,70,3,2,51,30,87,15,95,38,7,59,3,90,92,52,5,90,78,77,18,56,50,14,8,71,70,62,23,7,98,75,21,12,55,14,65,27
k_58,3,78,3,95,92,52,65,39,54,14,52,58,35,94,28,24,42,27,79,80,96,91,82,14,79,19,78,68,21,27,48,32,4,78,56,81,48,20,96,34,57,72,45,6,48,77,91,25,29,44,43,3,73,15,48,60,12,19,34,24,35,70,99,41,26,93,48,12,54,58,56,45,38,100,39,54,88,27,98,76,9,80,96,52,7,40,93,46,47,64,29,46,69,21,73
k_59,37,37,32,67,54,28,22,7,91,5,35,76,24,88,88,87,7,24,33,68,20,6,91,25,78,13,40,29,51,79,91,20,42,68,39,35,92,4,10,73,32,95,35,8,2,32,59,44,14,77,43,52,65,75,68,26,45,91,48,46,32,82,60,55,75,77,58,81,32,90,40,22,21,22,75,13,90,24,27,42,81,75,61,31,63,48,56,51,81,4,1,64,71,88,78
k_60,95,86,37,12,98,95,54,96,15,100,59,54,48,63,3,86,57,47,99,100,47,35,85,27,41,83,74,67,70,45,60,10,51,30,72,8,57,16,86,88,77,83,79,90,14,17,67,23,89,60,32,16,1,19,18,8,4,8,7,91,12,17,10,54,50,77,12,60,76,56,71,98,56,70,42,8,51,55,53,99,36,33,29,61,43,12,41,83,74,48,26,100,19,33,91
k_61,6,2,48,88,66,9,49,39,57,88,60,51,57,41,81,41,15,75,96,97,47,80,28,4,56,69,47,47,55,42,83,88,6,94,18,10,57,60,21,59,36,75,58,54,21,53,69,46,23,90,55,78,11,8,21,27,34,10,30,95,53,7,65,8,85,32,89,72,63,90,21,19,18,49,64,69,48,99,88,56,96,79,4,23,71,85,96,51,74,38,76,57,30,85,14
k_62,89,21,76,48,66,83,72,33,26,4,30,26,14,89,46,59,99,35,52,5,45,76,54,18,15,86,4,32,3,78,5,69,8,95,69,91,57,46,38,18,93,55,26,18,46,97,81,66,18,16,70,44,72,38,46,4,20,49,36,11,60,7,78,49,62,1,38,93,52,73,31,50,11,73,44,14,14,12,14,43,83,54,29,78,11,86,4,33,88,93,66,20,74,25,98
k_63,17,16,45,72,16,82,24,81,71,50,84,50,84,49,26,32,73,92,51,18,64,80,61,17,33,42,64,37,77,94,71,93,31,48,14,100,41,80,44,60,39,82,9,39,82,17,34,4,28,50,24,12,60,67,10,98,98,20,4,8,71,20,70,89,55,58,100,24,96,60,93,53,46,80,42,47,86,25,48,27,41,62,44,99,28,23,26,48,17,49,81,61,40,24,17
k_64,34,21,17,53,50,63,89,63,97,93,54,90,72,64,9,37,30,35,12,30,65,40,66,40,33,50,15,82,30,56,84,22,14,64,66,94,79,75,90,91,97,37,99,79,17,60,69,92,53,15,1,95,95,40,57,18,37,41,89,61,40,11,96,60,68,59,23,15,65,64,83,38,21,75,79,53,27,10,29,76,82,63,49,72,82,9,8,90,54,79,6,59,39,39,8
k_65,39,25,1,15,75,47,71,76,28,40,20,53,53,40,60,54,44,46,15,15,14,62,74,82,65,72,90,31,34,43,15,86,80,47,89,47,36,22,9,25,82,74,87,22,33,26,96,14,4,22,3,62,54,5,2,100,24,18,15,49,23,16,94,73,81,87,82,30,50,43,12,18,8,83,58,20,77,20,7,29,13,30,4,51,81,64,60,7,34,79,99,32,100,21,60
k_66,2,36,70,32,65,87,87,28,76,29,9,91,47,68,25,24,67,13,10,8,83,36,40,37,43,42,19,45,73,81,63,50,24,20,73,5,42,79,73,100,27,95,47,27,45,90,22,81,87,47,49,31,65,50,67,77,88,20,100,69,81,8,42,2,40,9,28,10,32,1,75,19,95,3,84,8,88,85,99,54,86,3,2,11,90,37,3,80,79,37,21,96,82,90,99
k_67,12,3,11,36,37,43,65,10,31,68,95,56,7,55,44,8,86,16,60,91,81,92,17,95,3,19,58,14,21,77,45,84,97,31,20,44,64,75,46,78,69,58,66,65,27,31,82,39,9,22,94,37,50,32,89,41,28,7,5,6,24,28,8,10,38,85,88,95,22,76,6,95,75,68,16,5,67,75,16,77,41,32,81,26,35,54,67,6,1,53,31,83,54,92,35
