commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_6,e_7,e_8,e_9
k_18,64,93,83,53,14,98,17,46,68,29,42,12,89,63,65,30,1,42,22,57,66,7,77,98,22,33,72,65,39,28,51,86,75,10,70,100,51,5,41,35,68,83,65,49,52,58,20,41,28,45,41,45,67,83,32
k_19,64,31,5,10,70,10,94,6,20,40,52,26,81,88,96,77,59,25,94,43,95,82,16,33,25,36,57,68,94,69,80,63,59,16,5,53,75,33,74,69,92,27,8,25,76,36,17,8,17,77,40,73,84,35,74
k_20,37,93,33,29,31,7,12,35,39,51,37,54,25,97,18,25,27,87,51,79,7,55,17,97,89,81,14,52,61,33,61,4,83,46,80,5,30,100,82,78,90,20,54,34,31,49,65,87,1,60,11,32,31,50,6
k_21,75,85,46,3,86,47,42,17,53,22,32,64,73,82,78,100,58,85,24,46,53,3,55,70,23,36,90,71,85,5,33,22,91,37,14,91,29,55,36,56,68,99,9,91,25,6,90,4,57,9,1,91,87,84,51
k_22,2,29,83,42,60,67,76,37,56,41,24,52,50,22,9,50,84,68,3,49,46,41,87,24,60,42,98,61,35,48,7,66,21,81,87,11,38,72,22,4,53,3,9,49,13,42,6,49,8,5,24,75,27,69,80
k_23,20,94,39,66,24,12,3,68,11,84,26,1,46,15,57,69,98,52,72,95,17,54,81,37,41,44,44,89,17,76,39,54,66,49,13,32,35,80,52,25,82,29,62,28,81,51,18,35,91,77,31,3,87,38,63
k_24,77,18,35,4,40,40,19,79,13,6,13,71,61,37,32,11,51,34,80,17,69,31,58,34,81,27,94,41,74,25,47,53,23,26,6,62,42,53,92,90,51,62,15,75,28,2,60,25,48,53,29,36,82,73,57
k_25,50,86,31,49,32,25,98,63,34,83,18,24,25,33,63,53,62,69,84,67,78,10,5,94,51,85,26,2,58,79,65,61,35,34,70,77,46,55,20,47,60,82,79,94,44,12,62,72,3,25,69,24,29,65,89
k_26,47,30,45,39,69,2,17,36,58,19,36,43,75,13,49,32,94,56,8,46,98,85,72,80,16,55,98,80,52,35,25,64,56,21,45,59,37,34,13,15,94,71,71,48,84,2,12,34,3,12,85,87,21,44,51
k_27,14,53,8,48,64,63,48,20,68,44,32,89,87,18,27,9,65,26,86,58,87,10,18,17,61,7,72,12,30,3,13,27,59,68,29,97,95,3,21,24,42,12,33,95,58,34,65,6,83,5,26,57,14,17,87
k_28,85,67,35,36,9,88,74,75,43,63,78,98,41,26,69,40,75,56,25,69,76,4,69,54,25,98,75,8,64,91,29,23,4,48,92,10,5,58,56,71,35,34,79,72,94,84,71,3,32,3,57,87,63,43,94
k_29,38,20,29,57,61,24,93,12,69,51,40,68,37,2,52,52,4,71,47,88,8,91,5,75,54,68,78,77,51,92,8,6,35,34,72,15,60,48,4,90,13,48,3,23,15,12,15,93,89,50,7,30,13,53,64
k_30,97,19,56,2,63,7,95,35,44,87,28,9,68,61,69,45,61,64,1,15,20,29,78,72,58,56,72,91,28,17,44,82,54,88,68,38,91,97,80,8,18,63,27,43,38,23,45,38,95,12,76,16,58,41,54
k_31,56,14,74,80,2,64,66,37,49,79,6,22,25,27,45,94,36,4,45,78,57,80,61,37,84,55,1,42,75,97,31,42,27,80,23,67,40,52,79,35,93,5,23,25,76,13,54,82,60,69,64,13,65,20,40
k_32,10,6,44,74,59,44,64,64,74,10,68,75,75,84,41,8,100,77,6,83,56,30,37,37,1,37,25,91,50,2,47,8,73,44,12,65,36,87,8,86,49,33,7,30,53,29,8,30,35,90,28,62,24,95,93
k_33,15,71,81,38,32,4,96,95,64,62,35,64,38,87,15,64,80,5,79,81,41,38,22,44,23,43,36,94,65,37,73,86,45,57,68,65,96,53,53,57,21,22,80,10,19,49,33,34,41,70,40,24,97,25,58
k_34,71,69,61,67,100,4,7,65,25,57,89,56,90,84,85,1,88,56,86,92,11,61,27,88,100,13,55,73,7,39,48,61,56,59,52,2,90,36,43,54,95,91,11,52,88,15,73,93,72,36,57,36,42,63,99
k_35,87,92,71,3,87,37,15,62,61,78,45,67,36,31,55,66,24,10,42,26,81,86,37,14,50,60,63,71,73,19,93,12,27,38,72,38,73,82,77,7,71,71,43,93,100,23,3,70,80,31,38,62,47,5,43
k_36,38,90,10,48,89,33,63,74,77,82,65,58,83,60,27,20,57,18,49,56,30,34,55,16,13,2,66,56,38,85,84,35,52,95,65,15,2,36,51,46,91,33,32,38,93,38,58,5,36,100,86,75,59,70,55
k_37,13,41,14,74,24,42,32,60,89,1,87,99,68,77,59,57,70,24,93,42,88,48,99,47,93,74,83,47,70,59,48,89,77,90,89,67,6,19,13,3,72,60,54,20,52,60,43,12,32,25,13,87,68,98,29
k_38,53,43,75,20,86,67,94,23,7,42,1,31,14,84,15,88,84,46,48,84,34,96,96,27,45,14,78,4,43,4,17,7,49,4,2,18,37,92,33,2,28,52,19,19,84,21,61,43,50,56,3,31,32,73,59
k_39,68,23,49,31,32,28,15,14,68,98,19,1,92,62,13,67,43,21,18,28,77,98,82,73,28,17,9,37,33,17,2,88,42,6,78,48,49,5,85,90,49,2,15,87,28,72,2,85,83,14,84,82,78,30,16
k_40,40,25,4,52,10,81,5,23,28,32,75,53,13,59,63,25,11,94,54,59,12,84,73,1,25,27,99,49,70,23,74,57,18,73,9,9,96,91,28,58,18,87,21,97,93,9,55,95,76,66,34,35,61,7,71
k_41,69,44,24,74,95,5,100,43,96,70,66,97,72,61,53,49,64,21,67,99,73,23,76,50,16,19,24,11,47,54,12,73,19,27,62,16,55,29,15,19,6,97,90,32,87,13,27,24,29,85,22,18,62,29,4
k_42,93,60,14,20,5,8,43,34,38,30,95,46,19,27,33,65,79,73,79,74,88,36,40,39,78,92,16,56,51,100,30,72,41,6,48,92,41,66,25,34,54,21,65,18,1,91,34,49,86,7,17,34,20,4,66
k_43,63,4,65,16,46,49,26,96,18,72,46,92,98,98,13,96,3,25,54,11,39,74,38,37,8,85,39,30,28,6,22,26,9,71,9,31,89,16,91,69,40,14,34,49,52,15,38,28,2,14,67,3,34,18,77
k_44,10,21,33,7,92,38,61,3,1,20,13,61,90,85,75,64,49,93,14,11,34,36,48,60,75,21,1,87,38,5,59,72,34,73,32,12,67,31,81,20,51,28,60,72,12,20,75,79,20,14,37,100,51,18,38
k_45,36,61,34,29,81,100,88,88,68,80,30,45,84,78,83,58,8,66,93,4,58,61,94,69,40,22,49,88,87,13,60,3,69,81,68,83,50,8,70,69,82,45,76,31,52,49,86,63,18,11,36,58,77,4,28
k_46,14,89,28,16,82,53,98,65,3,90,5,50,34,6,6,45,94,91,63,38,15,17,79,41,15,70,6,99,64,79,8,76,5,71,48,26,57,67,64,35,29,4,63,79,80,61,3,10,36,42,93,1,81,96,74
k_47,33,5,69,96,99,2,64,69,72,50,18,88,42,4,64,64,37,32,53,37,54,65,20,99,69,45,47,59,84,94,30,60,81,37,85,99,27,14,99,75,54,12,13,16,74,90,72,10,51,79,88,17,97,4,59
k_48,66,44,21,22,6,56,61,29,24,17,10,48,67,19,39,3,74,76,47,55,26,26,96,3,69,15,73,99,55,65,25,74,71,3,58,96,3,12,32,38,65,85,68,5,71,31,44,56,74,21,54,45,37,28,53
k_49,26,29,15,87,92,14,98,57,83,67,62,14,56,49,35,87,19,75,92,59,18,46,73,95,36,84,42,29,62,54,79,3,51,48,19,37,50,46,12,33,38,6,31,26,67,41,44,77,17,7,80,97,65,43,73
k_50,8,97,66,28,51,47,89,79,34,56,94,73,30,25,26,59,53,14,51,41,92,11,50,11,34,15,13,14,93,31,31,93,30,68,81,16,27,13,34,77,22,13,55,25,70,74,68,65,98,29,99,77,15,88,100
k_51,35,90,24,46,99,35,1,45,38,90,50,84,39,30,72,100,90,23,59,3,11,10,47,47,14,9,17,51,19,100,50,10,49,54,22,69,11,49,68,55,63,87,73,88,11,96,55,65,47,4,32,89,6,15,90
k_52,22,65,19,24,38,72,83,82,48,26,99,48,66,70,93,51,14,12,71,18,78,56,14,93,21,5,22,99,76,29,53,100,77,38,45,26,78,17,8,37,1,61,20,11,4,85,65,2,22,50,64,12,78,17,30
k_53,58,45,98,96,43,42,38,59,11,96,79,99,63,48,74,62,26,13,30,31,9,13,97,75,10,77,68,62,88,43,89,79,63,26,21,16,1,94,56,96,35,35,58,49,23,66,91,50,56,47,34,62,61,78,36
k_54,56,48,92,36,21,98,84,99,50,31,17,44,3,44,70,99,49,37,59,20,10,91,100,61,9,43,52,83,67,89,97,30,74,12,18,67,72,84,94,34,32,48,66,2,46,8,30,39,81,39,16,68,19,40,40
k_55,51,46,86,85,81,87,69,71,91,12,70,90,86,87,37,94,55,98,86,41,45,41,78,68,58,31,50,61,100,9,93,5,49,8,75,36,1,43,99,4,63,12,6,77,12,67,90,98,12,98,64,1,61,97,92
k_56,28,30,83,58,78,56,29,29,94,40,10,31,74,88,52,61,55,76,70,15,20,32,44,38,29,5,48,39,5,55,20,34,85,7,43,29,1,50,32,90,43,47,14,76,59,10,77,32,16,63,100,56,17,9,20
k_57,43,59,39,74,49,91,92,45,90,47,18,26,92,33,67,94,83,50,98,69,73,76,63,72,97,59,25,23,26,52,24,61,31,38,20,99,58,65,81,99,40,41,8,78,40,27,95,46,13,11,68,91,77,56,83
k_58,97,9,69,20,44,88,47,32,17,16,32,14,81,39,9,100,7,94,83,16,3,9,69,53,8,88,49,57,48,64,70,75,100,44,98,93,24,68,43,60,40,7,34,50,77,23,28,30,24,82,80,64,53,50,99
k_59,6,39,90,33,22,56,19,55,36,39,63,24,22,100,15,25,52,16,40,22,50,4,92,13,3,35,30,48,28,80,65,20,71,13,79,41,34,49,35,19,86,100,86,20,25,8,10,21,76,32,30,58,48,20,47
k_60,93,57,95,51,90,96,1,7,31,8,49,54,84,85,27,77,2,68,44,72,12,33,56,63,50,69,91,38,49,68,24,82,24,8,70,25,76,35,5,20,49,16,76,31,69,4,5,63,35,58,46,34,72,14,85
k_61,32,9,63,39,62,66,12,84,56,86,10,9,97,32,56,76,54,60,32,66,16,26,29,42,5,27,30,21,19,98,37,61,22,76,69,7,68,43,27,94,29,38,37,76,44,44,40,53,16,93,58,8,91,65,23
k_62,31,44,64,83,66,28,69,45,8,34,43,35,93,51,61,10,14,39,68,59,10,50,37,81,85,66,38,82,96,50,55,33,52,88,42,1,94,88,15,31,83,77,39,10,20,30,84,8,36,100,80,10,35,3,54
k_63,22,19,98,25,94,64,48,20,10,73,97,96,61,43,40,17,9,24,26,76,11,76,17,26,86,21,67,61,66,38,88,23,67,15,44,20,3,92,96,67,68,35,24,79,68,97,2,30,76,58,54,91,99,60,7
k_64,44,26,47,44,6,58,78,75,88,10,8,76,36,91,95,21,61,23,67,62,98,19,36,27,94,41,60,85,18,80,64,1,52,63,36,30,66,95,26,67,34,80,91,4,19,90,14,97,82,13,6,30,12,20,67
k_65,62,93,73,41,46,46,100,31,85,24,64,65,39,31,99,50,35,28,73,81,51,98,11,48,53,82,45,5,31,70,63,31,3,96,14,100,72,8,81,37,58,16,29,19,2,21,18,15,39,61,24,86,96,73,2
k_66,17,92,100,59,24,85,8,87,29,19,12,52,62,93,20,14,15,60,3,34,8,31,4,73,69,68,67,71,54,82,32,74,4,80,1,63,53,40,16,40,77,56,92,44,6,97,94,39,41,23,42,73,64,40,24
k_67,33,13,98,76,18,9,48,51,44,65,21,56,52,5,61,75,20,41,34,62,16,70,36,42,87,64,21,36,83,71,41,35,74,48,20,49,12,5,72,34,21,72,88,84,17,38,24,79,86,98,91,55,83,66,6
k_68,15,50,9,87,80,91,66,46,77,69,5,17,26,55,67,64,24,72,21,15,90,19,53,93,60,91,40,16,73,9,53,51,24,32,85,79,91,10,34,44,63,24,36,58,77,46,30,80,69,75,50,95,52,32,54
k_69,13,33,71,49,2,32,91,37,66,93,82,15,38,98,70,72,82,85,38,59,17,62,47,18,90,27,8,13,76,62,26,33,99,74,66,35,46,84,43,86,10,53,5,49,55,88,7,96,90,99,20,95,29,83,87
k_70,67,35,61,35,36,44,63,74,91,55,89,31,50,70,66,68,28,8,65,27,84,10,25,39,67,67,82,62,56,44,3,94,68,11,19,69,22,60,35,53,25,37,89,96,41,18,33,29,27,99,16,81,85,56,34
k_71,30,34,55,98,41,79,94,56,97,49,92,84,92,9,83,21,42,60,36,2,32,76,9,64,28,30,80,36,72,41,51,91,25,15,38,65,26,13,45,69,69,21,24,35,68,97,97,67,44,59,15,22,87,16,82
k_72,82,84,41,46,71,82,45,28,57,31,86,31,98,92,65,62,29,27,60,75,49,64,7,53,48,29,59,54,22,51,41,86,81,77,33,15,61,88,72,57,8,50,90,72,13,38,17,45,73,47,41,12,39,32,64
k_73,26,94,35,97,8,69,91,3,27,46,37,26,37,23,74,67,65,6,65,23,83,43,99,40,99,39,65,85,52,56,5,12,83,7,17,9,91,44,12,70,88,9,92,81,21,24,92,83,12,48,75,37,84,71,34
k_74,19,7,39,40,17,56,56,39,83,67,33,10,73,17,55,22,73,31,70,84,71,63,85,64,3,43,43,4,96,54,93,11,14,37,94,86,29,95,11,44,40,11,37,4,30,14,42,41,47,30,19,91,14,29,46
k_75,14,16,69,10,45,39,66,76,28,5,21,56,77,17,47,83,43,98,72,83,85,21,82,16,58,96,9,20,45,56,38,79,91,89,49,82,24,8,30,52,30,53,98,38,28,96,1,2,62,5,62,65,91,86,13
k_76,78,91,95,52,24,44,42,39,12,75,15,29,37,69,5,22,13,64,28,79,50,2,23,88,72,38,48,8,69,15,94,14,95,16,79,17,44,8,21,64,81,31,25,70,26,48,99,49,15,8,89,78,89,22,77
k_77,30,91,70,63,63,32,67,56,98,91,58,11,98,75,84,35,91,40,77,11,44,47,51,38,60,93,47,15,56,3,60,43,91,45,84,77,16,62,81,82,19,92,83,28,89,52,87,67,94,8,86,43,96,72,80
k_78,33,93,33,97,78,11,78,92,33,54,40,93,9,4,20,45,2,26,3,97,46,45,29,23,21,68,36,65,25,21,67,49,41,30,90,22,93,6,67,9,69,44,91,1,56,79,41,63,39,17,1,53,1,71,94
k_79,31,81,16,77,51,1,26,42,62,81,67,92,65,69,20,99,1,64,59,77,22,12,87,2,84,24,39,31,54,72,42,79,54,66,63,69,36,67,47,44,64,84,29,21,29,77,98,57,93,47,39,45,99,38,6
k_80,100,56,94,100,57,10,3,91,69,86,80,23,57,64,43,69,74,49,92,64,29,60,65,66,67,48,81,43,28,9,3,54,43,37,60,90,96,54,4,87,97,32,41,9,48,73,93,49,6,35,97,83,53,50,26
k_81,45,100,97,41,97,43,67,25,98,79,46,96,87,45,55,58,67,7,28,37,41,46,62,33,60,21,93,25,12,80,28,37,15,87,1,56,30,33,31,59,20,61,45,6,71,74,44,42,20,12,3,30,3,80,51
k_82,87,47,88,31,12,100,31,24,38,98,82,13,8,39,16,99,36,45,47,87,81,30,76,31,35,21,83,78,62,13,41,77,34,78,91,59,46,74,54,94,61,1,48,13,98,5,51,37,97,50,84,32,29,33,84
k_83,99,90,58,16,23,56,62,94,21,5,16,38,5,81,70,85,60,12,86,85,85,90,75,45,59,100,79,93,55,8,15,31,96,66,70,96,74,7,94,13,71,81,98,54,62,58,3,61,84,33,61,82,20,95,32
k_84,88,36,89,83,14,40,73,26,84,1,95,87,49,8,53,22,20,4,54,52,82,3,19,83,87,17,22,35,56,98,62,86,60,38,93,19,86,85,53,56,21,68,24,4,79,41,8,40,35,9,68,80,31,15,34
k_85,47,74,82,98,59,22,48,58,6,85,98,31,22,34,23,73,51,94,100,60,98,92,65,63,32,51,65,43,25,57,57,99,14,32,48,83,94,27,77,23,15,22,10,1,67,75,46,50,57,100,42,10,44,70,88
k_86,70,100,79,59,49,20,90,64,97,63,21,96,57,46,30,95,44,91,63,28,75,91,19,11,32,42,48,70,80,72,90,71,13,61,99,1,46,81,4,89,19,71,21,74,35,51,94,35,78,6,70,39,66,78,36
k_87,36,81,35,35,14,73,60,68,89,5,86,92,5,50,74,18,24,33,91,89,14,2,71,3,65,5,56,86,38,56,34,79,37,8,36,88,22,10,80,63,86,8,71,53,73,41,11,78,43,12,13,92,85,8,14
k_88,72,83,71,85,64,54,46,27,46,26,42,93,64,99,37,95,46,22,20,66,71,34,55,83,68,52,94,19,26,54,42,47,40,35,21,13,44,23,76,9,20,60,14,39,76,4,79,98,57,8,84,89,8,7,55
k_89,60,26,18,17,85,91,17,77,25,39,71,97,57,52,47,28,32,33,34,33,48,100,39,4,48,64,99,32,65,44,100,45,46,99,1,99,83,87,63,80,27,65,38,35,51,16,45,4,89,41,2,21,72,97,55
k_90,39,63,56,63,68,14,47,43,70,45,47,2,37,95,60,91,26,9,50,84,67,35,43,42,9,9,79,65,65,96,57,38,7,48,65,48,55,99,88,6,66,95,15,36,51,40,38,22,46,94,16,70,7,17,26
k_91,25,58,100,10,71,24,50,85,45,10,79,92,82,24,62,92,35,75,8,89,72,62,3,85,62,44,90,86,68,11,48,93,60,55,13,53,4,64,24,16,66,8,65,96,89,54,99,24,72,59,92,97,1,90,88
k_92,1,95,75,36,95,8,31,83,78,2,13,92,46,100,31,65,46,55,97,35,35,73,42,77,79,19,57,29,49,41,27,29,36,54,27,48,91,71,55,80,69,18,55,34,59,56,8,43,88,93,94,97,37,91,29
k_93,83,7,20,74,95,10,25,3,23,23,1,57,100,7,18,100,83,59,91,74,57,46,83,14,82,42,12,98,56,13,63,17,77,95,46,67,9,95,19,98,16,98,88,98,64,30,28,88,59,88,67,36,45,23,36
k_94,61,28,19,34,31,47,92,16,69,45,87,88,83,97,5,28,16,13,51,63,71,57,91,37,93,87,84,61,1,66,20,15,18,75,31,74,7,20,52,99,38,76,42,34,26,24,50,65,64,27,59,44,13,88,48
k_95,79,93,92,89,30,25,76,86,38,83,77,73,13,51,30,81,86,30,96,50,79,79,80,88,11,35,78,46,15,93,27,13,25,76,80,58,81,43,32,18,62,29,1,12,5,10,82,91,26,83,70,38,27,11,93
k_96,48,66,91,60,100,22,97,9,75,99,17,62,86,89,2,7,98,37,35,26,94,99,10,24,13,1,77,6,77,40,5,47,2,37,83,4,49,17,31,18,78,95,73,89,92,99,79,72,27,49,94,66,91,45,72
k_97,95,10,38,10,5,15,22,85,19,87,100,93,58,58,25,86,67,3,82,6,3,63,36,9,86,57,88,35,59,22,64,66,77,36,47,21,68,97,26,27,82,62,35,63,31,27,42,36,48,60,93,58,53,83,24
k_98,43,100,8,23,42,33,9,43,31,36,5,75,53,12,88,5,61,5,1,76,100,70,59,32,86,78,25,62,9,6,43,23,89,75,95,35,43,99,87,73,57,6,40,76,92,60,27,74,27,97,9,86,68,17,46
k_99,42,63,54,97,14,49,64,91,79,98,94,16,18,56,9,65,28,49,37,76,62,95,12,89,91,10,75,1,34,52,67,93,60,6,69,21,58,45,72,38,62,36,16,25,21,13,87,68,92,72,63,12,4,27,42
