commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_5,e_6,e_7,e_8,e_9
k_17,89,73,91,58,93,84,79,27,72,43,29,43,37,31,9,15,5,61,50,49,5,52,84,47,57,9,16,60,33,42,39,14,13,97,58,91,84,13,66,50,49,14,28,39,5
k_18,89,50,55,3,25,45,29,94,15,97,61,53,3,73,52,60,61,65,74,97,25,34,54,5,31,13,91,36,97,70,48,82,72,46,72,98,81,60,87,67,100,72,11,71,2
k_19,82,6,15,59,41,90,64,91,77,4,32,19,11,29,30,97,66,58,48,26,43,42,86,43,54,61,19,39,82,26,32,56,15,18,75,36,16,100,50,5,80,24,73,12,29
k_20,42,85,14,12,29,58,4,34,58,85,47,26,74,2,42,8,77,91,28,69,29,52,18,97,74,49,93,77,31,19,46,96,68,87,6,100,50,97,50,4,86,41,97,8,20
k_21,31,41,18,51,34,59,44,31,41,2,96,75,6,57,83,17,66,11,37,29,37,81,31,42,31,74,41,27,36,32,63,22,11,68,33,39,24,30,60,22,97,97,88,69,72
k_22,1,51,100,7,77,42,48,82,60,41,74,65,38,51,83,69,7,24,48,36,55,82,87,36,77,76,64,43,56,81,12,60,50,39,77,22,41,70,100,5,3,91,98,57,61
k_23,73,93,56,53,44,92,59,11,27,45,74,65,84,45,8,49,100,17,66,81,25,91,6,92,75,45,99,42,83,52,54,14,70,42,58,28,11,23,13,11,73,54,94,10,85
k_24,98,64,21,19,67,71,44,29,75,25,72,29,91,65,48,88,22,80,57,76,81,53,40,53,15,5,33,46,92,12,65,63,13,98,20,51,8,36,35,50,83,35,53,18,40
k_25,66,48,100,77,15,87,77,63,53,54,2,92,27,27,40,82,56,8,30,20,24,90,38,71,1,74,65,81,79,81,84,61,24,57,20,37,82,56,1,78,69,85,52,23,5
k_26,9,60,25,35,67,77,77,97,26,44,71,60,94,49,8,62,44,80,93,37,35,45,56,22,2,16,55,61,33,67,94,47,27,62,17,80,57,2,33,11,83,94,5,83,37
k_27,74,70,29,1,20,48,59,9,79,54,38,81,75,17,32,46,19,37,85,74,74,66,92,34,57,45,10,57,63,99,18,69,25,16,60,13,34,31,32,18,22,60,10,98,48
k_28,90,23,58,45,29,35,79,31,77,43,21,69,56,93,6,98,73,38,23,4,85,95,4,35,90,88,51,10,61,5,47,37,42,6,55,97,26,49,91,59,1,79,39,99,92
k_29,72,12,32,61,88,56,46,4,74,92,14,91,22,70,54,70,75,49,47,74,71,18,96,46,90,4,56,94,45,46,66,69,46,72,43,32,58,19,52,75,66,53,26,99,46
k_30,43,50,71,10,97,2,17,47,24,23,62,73,44,10,13,13,76,63,88,42,58,34,24,83,40,14,31,54,58,24,50,81,11,4,94,63,37,78,91,78,68,64,98,99,33
k_31,4,62,76,38,25,44,11,46,48,3,93,32,97,17,69,24,23,78,42,88,82,17,58,73,11,25,77,22,61,60,25,21,11,99,93,71,91,91,99,53,10,28,50,33,82
k_32,38,59,43,61,20,10,57,22,43,21,23,83,64,40,55,30,40,63,95,26,13,23,34,32,58,23,51,51,51,78,79,43,61,63,12,14,33,32,98,83,5,70,72,76,8
k_33,5,75,21,100,59,17,70,45,59,61,39,39,25,90,93,100,23,37,94,35,89,3,2,52,74,63,83,63,5,18,44,63,43,91,97,51,40,32,16,67,13,81,98,77,100
k_34,9,27,50,80,60,25,85,56,13,75,32,68,52,84,75,42,97,2,33,52,87,56,85,78,74,61,90,8,13,14,41,16,62,94,75,18,69,12,49,64,73,20,1,9,50
k_35,68,55,40,87,30,42,78,64,84,64,15,53,53,5,25,1,9,19,1,50,89,62,22,59,20,17,78,71,74,12,92,37,26,20,84,8,51,36,29,83,98,96,16,8,67
k_36,58,37,19,50,96,8,91,17,39,80,79,38,82,97,96,31,41,4,30,27,1,31,23,72,68,99,43,65,33,78,53,54,43,47,68,65,89,32,85,48,52,42,84,16,6
k_37,94,51,79,21,72,73,4,92,67,21,67,52,86,94,74,14,74,73,34,69,3,21,38,88,73,36,75,34,17,47,25,4,64,73,47,89,29,47,25,46,33,5,28,19,98
k_38,33,4,26,74,69,26,15,27,24,79,45,39,19,40,44,8,74,85,66,55,39,12,13,57,89,92,9,6,96,2,8,60,83,73,35,56,55,59,50,66,16,16,46,53,60
k_39,74,1,73,61,64,37,8,36,11,63,13,16,27,10,15,17,21,36,99,84,35,78,60,72,94,73,98,40,42,27,71,8,68,51,82,84,44,21,92,71,29,30,78,68,38
k_40,60,2,95,98,25,93,47,95,42,4,92,12,37,18,28,53,59,80,8,93,86,83,55,100,15,41,10,32,26,6,3,100,39,73,63,52,49,78,22,31,27,61,39,99,31
k_41,60,22,69,28,42,48,7,72,86,66,20,75,19,4,91,74,32,8,82,65,23,5,93,14,71,7,57,67,42,34,85,36,96,8,56,61,13,60,78,99,51,4,78,28,64
k_42,88,50,9,28,99,62,37,99,90,63,24,28,81,82,19,93,44,28,76,83,43,14,22,25,40,91,61,16,33,85,85,25,31,69,23,78,94,60,91,74,70,32,94,14,43
k_43,93,75,91,14,9,57,43,61,69,19,66,40,65,79,54,94,91,2,43,73,65,1,94,53,69,68,18,21,98,71,79,62,1,88,48,46,28,90,80,86,44,91,51,35,29
k_44,21,71,82,88,44,19,89,1,89,76,96,87,1,98,57,6,33,64,20,74,65,29,54,98,56,56,33,15,5,16,31,18,54,89,74,15,41,69,32,43,75,11,78,8,35
k_45,71,60,46,55,7,40,66,35,9,83,50,8,73,39,61,20,35,76,34,2,92,80,26,44,94,48,51,39,85,78,85,55,26,24,71,13,21,76,32,5,35,53,67,20,12
k_46,55,1,98,18,41,45,26,53,21,84,19,83,10,73,98,65,11,12,82,1,66,13,8,54,61,55,41,64,17,19,92,81,29,15,41,38,40,52,94,49,40,93,39,84,94
k_47,97,13,93,80,33,10,80,63,51,94,26,54,18,89,87,54,100,47,77,77,9,58,84,37,60,76,67,20,4,64,86,15,48,73,3,56,31,48,100,36,55,76,27,61,10
k_48,6,25,35,2,13,54,53,13,60,3,15,88,90,76,96,48,43,41,57,77,66,65,47,33,43,7,67,100,31,4,58,73,98,54,12,63,71,93,31,6,81,35,33,34,41
k_49,44,31,32,96,18,29,30,87,71,4,91,2,36,13,20,5,46,8,7,100,5,61,81,6,98,94,54,22,33,41,9,40,23,77,14,23,61,3,89,44,14,79,59,87,2
k_50,11,56,96,89,87,75,24,55,69,93,17,21,12,64,35,71,50,25,10,63,21,21,96,32,25,82,34,10,31,86,85,60,50,79,16,67,94,90,91,73,25,39,4,61,39
k_51,32,32,76,86,31,65,9,25,60,43,27,16,41,44,22,47,81,72,88,94,93,87,90,82,100,68,48,67,37,81,96,59,41,50,25,58,79,29,45,44,51,75,6,22,79
k_52,9,31,23,52,90,38,75,76,12,99,24,16,76,89,50,44,14,27,91,95,73,53,6,65,85,32,83,88,97,30,40,82,76,99,7,78,44,49,74,48,96,45,74,82,2
k_53,94,20,38,61,43,10,89,69,100,81,62,96,50,100,73,84,40,45,32,65,69,69,34,35,19,53,46,7,67,88,99,74,91,34,41,85,39,5,39,23,89,60,37,25,76
k_54,41,3,43,99,62,50,7,10,95,81,89,6,42,79,38,61,39,31,15,43,4,89,72,36,98,35,73,28,81,12,24,76,86,26,6,35,54,1,96,20,91,72,4,24,66
k_55,89,14,45,84,40,71,98,31,48,71,44,44,77,86,86,85,37,48,88,49,43,76,36,57,54,91,14,8,3,73,5,11,68,12,22,60,55,95,53,57,20,23,92,2,61
k_56,73,87,43,18,50,11,26,86,85,83,29,43,12,69,91,56,21,37,40,73,81,96,72,57,59,53,49,60,76,20,58,4,55,5,74,3,88,21,82,29,74,44,18,17,38
k_57,61,52,60,70,69,30,18,96,26,16,95,56,29,72,53,83,52,100,99,18,93,98,43,56,88,56,73,78,79,69,84,89,4,68,28,82,7,60,29,17,8,99,21,87,100
k_58,41,89,9,39,84,94,79,33,45,96,57,41,12,76,76,56,66,92,67,39,13,83,5,42,95,83,8,97,19,100,36,54,64,22,81,91,31,60,24,35,21,71,20,29,35
k_59,86,37,10,75,83,80,5,42,64,46,66,59,63,86,85,65,67,93,19,54,2,55,45,44,3,88,11,14,44,99,92,28,88,11,12,92,23,1,13,27,19,100,8,62,41
k_60,73,48,3,95,25,89,67,93,64,79,96,4,4,33,49,2,99,31,58,10,100,88,23,2,39,14,34,100,49,43,48,27,18,43,23,76,44,38,46,45,80,35,67,72,63
k_61,93,98,77,69,34,20,77,77,32,50,72,20,47,64,60,54,15,24,35,22,68,34,32,52,95,5,73,18,25,12,87,97,61,55,96,35,35,88,65,21,68,67,30,55,77
k_62,71,62,34,53,60,73,74,78,3,95,86,74,51,80,44,98,82,55,86,36,86,5,17,21,68,6,48,99,78,82,26,37,82,51,50,65,93,54,61,12,73,85,58,35,39
k_63,100,55,20,23,8,16,38,98,83,59,5,59,69,77,100,62,4,79,15,93,3,40,54,52,2,30,28,7,60,2,47,34,77,64,44,97,57,27,18,20,56,69,27,92,9
k_64,18,32,52,70,2,86,18,72,75,18,7,37,59,24,83,63,52,79,44,43,42,71,53,70,46,61,2,34,23,79,51,40,1,31,32,85,63,47,18,92,4,64,5,20,67
k_65,42,61,38,62,12,93,83,41,92,96,85,14,6,60,73,74,54,76,73,34,29,22,78,18,49,21,14,69,18,36,13,33,58,55,93,61,24,82,52,40,65,42,76,16,11
k_66,58,54,77,43,2,2,74,89,79,12,100,77,47,31,47,65,91,62,69,94,12,64,92,79,61,77,42,35,90,81,8,14,84,62,38,69,7,86,46,69,40,24,73,24,13
k_67,37,85,86,6,30,60,10,58,57,90,56,48,76,39,21,80,54,20,25,10,29,68,18,64,10,93,88,62,23,69,64,90,86,71,54,65,49,23,40,20,35,28,43,68,4
k_68,22,12,54,100,86,93,42,85,54,99,21,93,83,45,56,83,32,90,18,59,32,87,32,14,68,55,28,93,64,20,51,90,83,34,61,61,52,39,51,83,70,40,20,69,83
k_69,1,63,76,31,21,23,14,92,56,78,50,71,88,44,14,21,20,55,53,6,67,91,84,75,53,44,59,99,44,96,46,85,27,76,16,59,100,47,17,39,22,99,33,91,38
k_70,12,90,45,73,45,93,55,65,51,34,51,83,86,83,92,73,79,19,51,69,72,55,79,17,19,44,83,26,35,18,34,37,31,100,74,71,28,25,66,14,6,97,22,45,60
k_71,71,11,49,51,39,4,86,96,27,31,92,66,78,22,79,32,65,77,66,62,93,20,36,67,73,93,34,29,32,25,9,39,54,25,89,8,19,34,98,91,89,87,76,25,80
k_72,71,91,62,95,62,70,76,44,91,33,65,95,50,45,66,38,59,24,29,30,51,82,53,62,36,51,76,9,86,29,64,87,40,79,80,35,28,15,12,95,83,40,71,90,1
k_73,73,66,88,100,62,35,86,36,19,56,29,2,41,72,23,9,33,62,34,69,61,2,67,57,56,90,15,86,93,10,99,93,86,79,64,6,39,56,31,58,66,43,93,61,84
k_74,94,39,27,97,21,52,69,74,91,79,51,87,6,35,17,62,23,45,42,86,24,61,34,10,36,42,89,93,72,55,63,21,5,98,2,19,46,6,83,12,93,89,2,63,22
k_75,59,4,1,64,78,23,34,31,7,5,95,28,59,9,59,61,39,75,25,64,100,5,70,96,70,91,90,46,85,41,96,82,78,70,69,22,78,22,13,18,19,61,28,24,12
k_76,61,15,13,39,71,41,14,68,95,81,2,40,12,32,82,70,80,73,81,56,39,90,12,32,93,96,32,34,73,88,9,29,94,52,20,51,16,50,74,100,66,39,47,19,75
k_77,15,37,64,13,82,62,4,36,75,14,68,6,78,37,92,46,98,89,14,70,88,56,90,40,28,23,45,71,28,93,42,97,49,2,2,43,29,20,45,97,87,33,46,69,34
k_78,31,19,52,31,43,23,67,54,20,28,49,45,71,10,47,25,40,93,33,12,90,31,13,87,47,4,23,37,48,16,21,65,95,1,22,78,58,50,46,66,26,96,39,79,40
k_79,25,15,41,91,91,97,21,92,50,21,45,21,42,86,79,44,99,15,94,99,89,58,86,44,4,89,53,30,40,24,49,22,87,100,35,17,2,23,98,70,93,8,6,90,56
k_80,30,1,45,69,50,20,53,90,82,45,75,39,65,87,96,11,83,16,58,30,17,22,59,11,54,8,87,62,45,84,69,97,96,12,39,57,60,57,34,24,13,3,91,78,91
k_81,13,31,1,10,2,13,48,35,61,75,99,4,70,75,68,73,86,71,72,30,2,35,21,19,82,6,19,25,8,15,59,16,77,18,60,23,56,84,80,85,2,1,81,17,4
k_82,97,96,81,23,79,52,49,99,82,70,3,36,46,58,7,39,36,68,69,25,71,70,20,24,38,14,40,97,52,84,28,88,86,17,7,41,63,11,54,40,12,89,32,30,6
k_83,77,17,22,51,49,64,100,40,58,60,61,26,53,63,15,13,16,53,6,67,82,79,41,2,96,98,100,44,35,48,17,95,48,82,82,14,31,45,64,84,88,86,29,65,3
k_84,23,58,78,86,46,80,37,43,45,12,29,42,67,25,3,32,57,31,68,4,69,21,6,39,36,99,46,71,58,41,67,15,78,5,15,77,89,33,94,2,87,51,69,48,61
k_85,18,16,92,61,35,99,64,60,82,76,94,11,54,35,57,48,24,74,47,14,58,68,35,100,66,50,71,11,53,39,76,17,87,50,75,31,66,22,37,68,32,95,29,93,14
k_86,18,71,88,55,58,29,66,35,56,38,14,86,98,71,52,50,26,74,99,31,44,20,49,73,13,7,54,9,22,36,15,11,80,68,31,36,66,16,46,78,14,27,57,14,1
k_87,59,65,45,40,1,76,14,43,4,48,62,57,65,95,2,9,50,88,38,46,28,52,36,70,2,70,93,37,97,20,99,41,42,98,78,53,96,61,90,71,59,80,69,49,39
k_88,24,29,67,94,2,42,60,29,46,54,54,2,35,62,79,93,10,60,90,9,93,89,46,85,14,63,33,57,96,48,72,62,29,17,57,66,27,27,76,65,59,78,48,99,10
k_89,37,34,60,6,19,94,45,69,66,60,84,68,86,55,53,10,32,24,11,59,32,40,49,34,38,22,59,34,37,2,60,77,10,28,75,12,55,20,63,93,36,9,83,12,80
k_90,31,2,85,52,15,65,44,18,92,29,14,15,28,56,53,94,70,72,72,22,45,89,35,8,54,98,29,3,99,77,60,21,62,14,62,24,45,50,87,4,56,86,4,52,11
k_91,36,38,10,20,43,8,29,63,89,37,98,70,18,43,5,11,16,37,95,85,20,75,99,77,98,16,75,91,49,24,24,8,55,95,29,29,91,58,21,69,74,100,17,84,48
k_92,18,39,92,65,72,69,17,94,88,53,4,100,54,77,20,99,9,90,94,73,28,95,15,89,21,38,91,47,56,12,93,13,93,75,28,41,2,30,35,5,84,97,1,47,54
k_93,10,36,12,98,14,49,65,60,93,88,23,27,36,84,49,25,77,72,27,56,91,56,13,47,18,17,57,64,32,25,73,64,81,75,50,37,38,86,90,78,36,97,72,15,1
k_94,99,82,33,56,78,67,15,84,79,53,73,10,97,42,2,93,82,20,5,8,18,98,55,41,85,60,63,42,8,44,95,40,10,29,42,35,57,51,89,24,80,99,16,1,94
k_95,31,32,96,7,61,76,20,74,72,78,78,84,13,17,94,84,74,43,17,50,70,93,94,70,22,84,52,100,51,13,30,25,1,36,62,33,52,51,98,90,16,29,60,9,75
k_96,50,23,98,17,84,23,7,4,83,91,22,56,9,43,23,22,35,63,82,94,37,41,24,33,52,57,83,1,63,42,92,15,72,51,51,36,56,76,71,70,96,56,65,78,38
k_97,29,59,97,27,62,27,56,44,22,11,6,23,54,74,16,44,73,66,51,65,25,37,21,29,80,35,89,51,15,58,19,94,53,28,26,85,50,39,1,95,6,15,16,64,79
k_98,83,69,71,21,69,78,55,51,12,90,86,37,57,5,66,28,30,44,63,16,48,10,16,40,48,56,45,69,27,36,34,29,3,82,76,12,1,2,31,7,95,54,76,65,52
k_99,12,82,67,83,72,85,10,100,9,75,15,52,67,75,3,82,54,43,51,69,41,91,26,69,95,3,10,84,28,32,12,72,97,65,24,56,60,86,73,38,18,3,14,95,52
