commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_8,e_9
k_33,70,29,26,56,94,83,50,5,81,51,50,2,17,68,9,66,22,89,31,40,40,57,15,67,20,65,55,36,94,75,39,71,26,66,44,31,22,81,46,84,74,50,15,29,20,75,65,42,91,65,28,69,35,87,83,40,54,18,99,84,60,91,8,61,74,61,29,14,54,77,32,41,57,90,94
k_34,95,67,20,16,36,81,95,8,37,83,12,63,87,43,65,52,99,94,4,30,41,47,31,69,60,17,29,7,50,30,11,21,34,91,26,89,14,39,51,66,59,25,4,66,9,18,34,80,23,79,47,44,5,69,42,95,61,89,61,1,63,27,33,50,24,76,91,95,46,4,75,17,44,19,1
k_35,90,92,77,10,86,32,52,89,33,64,5,57,83,3,19,47,46,80,40,82,29,12,91,79,89,50,20,93,49,88,59,26,44,75,59,75,25,83,6,43,3,42,60,37,33,62,5,45,51,26,14,10,6,26,11,59,45,59,82,56,69,57,10,99,74,51,60,95,53,12,51,43,85,85,26
k_36,8,11,86,37,79,37,53,74,30,58,39,10,97,84,72,75,47,44,2,87,40,52,34,23,35,59,30,10,80,32,24,13,2,8,66,72,8,78,38,58,68,29,5,61,6,50,48,4,31,91,13,85,15,39,81,100,19,26,36,85,10,43,68,35,53,23,10,99,84,31,53,36,99,41,82
k_37,96,99,44,65,17,35,8,41,70,21,47,68,74,31,66,20,34,53,97,78,59,49,32,13,45,77,92,61,57,9,60,9,100,25,57,40,2,3,15,56,59,71,17,18,31,28,15,38,48,81,86,54,12,83,63,75,29,32,48,21,37,62,11,91,59,1,63,98,7,24,99,19,92,17,1
k_38,82,61,88,16,36,40,57,28,19,97,17,82,90,71,49,11,68,47,76,77,67,36,86,51,41,57,100,77,74,76,15,94,33,15,32,18,45,60,85,50,8,65,15,88,30,7,32,91,20,48,14,49,88,100,85,100,3,51,55,31,80,81,84,95,56,68,29,39,89,21,10,4,5,58,92
k_39,69,91,67,62,44,82,1,65,51,55,85,69,44,11,77,17,20,21,24,73,19,24,24,3,88,91,46,13,16,21,17,7,51,97,86,3,76,25,90,50,86,70,56,19,31,48,60,89,35,92,9,35,29,98,10,94,20,44,13,96,3,12,79,42,67,93,93,36,99,12,69,79,23,46,42
k_40,36,78,30,38,45,31,34,75,30,51,94,41,34,68,76,3,31,79,84,91,21,82,37,7,46,5,23,13,1,58,6,60,4,3,71,7,22,86,55,16,72,78,64,29,71,69,91,82,60,63,8,88,93,47,40,4,68,16,4,65,99,80,3,83,47,17,98,76,51,58,63,59,64,85,36
k_41,56,35,4,46,35,87,26,66,6,23,69,91,95,26,50,57,91,25,42,2,17,43,96,90,17,40,86,95,98,70,80,19,86,99,61,100,93,42,30,20,12,39,6,22,80,13,52,14,40,55,53,94,18,78,97,89,49,57,3,40,82,50,92,9,20,92,63,8,16,20,66,7,73,66,100
k_42,25,79,12,90,48,82,24,70,19,36,6,95,85,53,53,5,29,49,4,81,64,24,56,87,5,44,1,29,97,89,44,85,59,75,16,67,8,19,4,19,17,37,9,34,38,68,9,38,45,23,83,75,1,36,39,41,59,66,27,83,40,71,49,3,70,15,83,97,58,27,94,69,87,74,100
k_43,94,78,30,74,16,9,36,56,80,99,15,42,45,85,10,82,81,11,26,85,8,51,63,50,18,47,39,8,52,7,31,47,64,10,56,77,2,95,55,79,3,6,10,3,9,98,89,62,57,45,37,88,11,31,82,100,41,40,55,64,18,97,90,48,33,5,86,96,16,92,90,52,30,29,94
k_44,63,6,56,90,28,67,27,4,58,25,38,55,84,33,16,45,32,96,71,48,47,63,22,88,37,38,72,2,38,88,86,9,77,90,14,43,31,84,93,58,89,4,51,68,10,62,23,30,6,68,64,19,89,68,86,16,17,27,39,64,68,10,79,13,73,11,93,67,36,19,21,17,59,19,37
k_45,32,26,7,24,99,5,70,39,65,84,24,20,94,38,48,66,42,61,87,13,15,41,80,98,14,4,60,13,13,58,75,46,82,19,20,83,19,1,12,35,57,50,70,70,86,51,67,74,19,99,16,71,9,11,13,6,8,48,66,70,59,38,36,67,34,35,48,71,81,44,87,88,52,49,48
k_46,50,98,53,46,30,57,39,18,66,30,89,93,98,42,65,52,51,100,1,91,40,76,38,26,4,98,8,62,7,39,50,40,14,31,25,3,3,92,6,92,68,68,22,65,46,68,65,24,91,5,96,95,35,3,80,41,73,78,57,89,6,20,43,67,71,85,91,61,95,89,84,43,63,75,92
k_47,10,61,67,88,27,64,37,53,19,86,38,32,16,66,19,15,77,23,7,100,73,74,33,95,82,67,98,99,67,73,1,24,92,28,95,56,33,14,44,57,67,50,84,21,62,29,50,44,100,71,61,47,15,98,40,28,91,74,23,61,80,87,42,7,30,14,47,62,35,15,77,13,62,91,75
k_48,44,73,50,3,30,66,55,73,11,9,21,56,21,3,93,22,72,36,81,87,13,60,12,71,54,30,7,55,40,61,22,37,4,9,1,22,71,59,7,49,71,10,77,57,84,53,51,61,56,87,47,76,7,54,22,8,77,84,88,69,4,84,63,76,50,57,86,91,53,54,97,88,22,25,13
k_49,41,39,83,99,74,99,94,50,2,25,82,99,52,8,78,62,76,37,13,99,70,1,7,93,86,21,99,87,1,9,2,95,46,27,73,75,36,98,69,65,39,54,85,41,4,2,10,65,10,72,5,37,86,5,53,66,83,43,39,85,32,60,60,41,85,32,68,9,93,60,31,87,13,28,9
k_50,24,60,90,28,19,39,91,34,49,87,61,45,58,33,14,89,18,31,23,29,71,27,63,54,41,69,5,72,15,36,59,26,11,27,81,69,3,13,17,22,81,83,30,75,50,29,74,58,39,74,18,54,76,74,45,75,41,4,59,45,20,24,74,45,24,40,82,58,8,16,42,11,45,91,77
k_51,28,25,67,27,31,33,45,14,2,24,65,42,71,15,20,64,57,90,36,85,14,99,94,54,81,69,53,7,31,84,64,5,63,36,53,76,41,64,95,55,15,27,54,97,38,90,45,64,60,58,13,64,87,26,22,100,37,31,1,4,49,12,29,12,95,89,88,78,94,95,89,55,92,11,13
k_52,12,44,98,48,79,44,77,67,89,96,25,26,47,29,43,93,66,35,4,87,72,28,42,24,72,78,76,44,32,42,52,90,18,28,93,43,21,93,78,1,33,89,70,44,81,72,56,70,16,80,55,63,70,76,58,62,13,68,61,3,59,92,78,48,16,13,47,30,92,8,71,16,56,87,78
k_53,95,30,98,100,84,57,60,50,35,75,51,71,49,83,88,59,18,62,78,31,76,60,45,76,56,53,73,35,78,94,34,65,19,22,72,70,41,29,72,16,1,93,47,92,19,89,71,89,46,83,18,68,20,3,41,85,86,30,34,90,67,44,89,63,77,75,67,5,49,80,23,100,64,86,53
k_54,17,50,13,32,71,99,39,16,72,31,68,20,73,79,88,87,86,16,13,11,61,96,72,67,83,61,93,51,4,8,74,22,9,47,8,96,76,8,64,17,49,29,41,12,88,92,12,23,78,84,51,88,36,35,14,14,100,93,55,47,43,9,33,24,28,70,41,58,71,18,56,69,76,77,28
k_55,4,85,9,39,68,6,73,1,61,29,83,92,12,47,41,67,53,70,39,75,70,35,9,13,38,84,75,11,20,80,60,39,65,67,94,65,69,41,10,4,79,42,27,48,62,60,31,87,24,59,85,52,24,42,39,15,13,41,18,87,66,43,40,84,35,15,88,43,75,88,97,9,49,100,47
k_56,70,32,88,49,61,28,15,95,67,60,40,36,90,9,55,60,48,71,3,8,20,35,12,91,92,76,71,66,56,36,84,49,20,66,49,23,77,3,21,91,7,39,34,29,61,75,59,16,22,13,32,12,8,91,27,47,63,65,91,74,9,73,1,58,67,59,74,33,74,39,90,13,71,86,94
k_57,52,64,89,94,93,5,93,2,56,19,26,84,43,77,20,99,39,80,6,43,53,94,9,73,49,41,21,31,29,60,71,14,96,56,35,1,37,88,42,73,13,66,21,94,23,44,4,88,30,9,55,72,92,61,84,54,13,59,85,63,36,18,97,2,6,36,51,39,13,97,34,78,39,69,77
k_58,80,78,67,3,100,96,13,84,31,7,69,85,19,21,93,37,70,32,88,30,64,61,22,57,1,22,38,83,50,49,62,51,75,25,28,57,77,53,81,43,83,27,19,32,20,4,99,17,47,83,17,3,25,89,77,73,13,69,9,17,81,87,20,11,9,59,6,9,47,86,27,81,20,88,56
k_59,60,48,83,5,34,88,11,45,63,88,53,30,42,19,15,98,13,78,48,66,19,91,95,74,12,8,58,25,67,20,21,98,9,100,68,62,27,14,74,62,17,61,76,55,77,36,54,86,37,61,2,88,20,91,65,25,9,47,19,97,81,60,47,58,40,20,95,66,61,10,96,5,87,55,58
k_60,30,70,98,79,84,90,20,49,76,97,88,66,87,16,22,65,61,75,26,52,27,50,15,74,59,59,67,1,77,46,13,32,57,22,9,42,85,32,65,10,70,11,40,29,39,52,76,60,45,47,72,89,65,83,82,2,65,39,2,20,68,62,19,33,98,59,69,69,72,57,87,66,87,20,43
k_61,84,70,49,53,19,52,92,9,16,53,39,89,25,46,44,38,44,98,10,4,71,32,44,63,2,43,63,59,42,7,13,47,34,70,72,30,82,47,35,7,59,87,23,60,50,25,66,78,30,80,67,47,17,95,76,1,56,49,31,53,67,58,62,54,98,72,81,65,87,59,22,55,75,89,91
k_62,50,19,60,77,27,46,19,3,7,13,63,22,72,99,40,7,89,4,48,25,4,90,17,1,68,18,93,94,1,60,91,76,66,47,12,91,86,57,10,24,3,70,70,48,86,80,35,12,40,82,57,41,53,69,34,58,79,59,41,68,79,65,68,45,27,19,40,73,37,44,82,49,13,83,31
k_63,25,54,28,11,90,60,1,94,79,55,50,78,35,63,10,82,65,56,12,66,74,7,46,82,71,46,58,87,61,91,10,92,59,45,79,68,6,45,39,30,32,41,51,80,30,96,10,76,12,38,29,94,77,57,88,43,31,95,61,52,67,33,4,81,71,53,73,34,16,58,29,53,95,37,97
k_64,83,20,73,17,83,13,26,74,63,64,20,45,97,18,4,64,58,21,98,39,91,66,47,78,32,14,12,92,33,72,84,99,36,60,16,9,46,65,18,53,37,66,85,62,80,59,40,44,37,79,42,13,80,96,68,61,99,83,49,70,67,60,6,13,82,39,26,13,49,41,83,73,97,37,16
k_65,72,98,47,67,90,1,34,22,78,6,73,30,95,71,29,67,97,70,21,75,16,65,57,54,25,21,5,38,70,99,79,16,59,2,59,23,38,21,14,82,62,26,62,67,82,79,25,59,3,4,14,77,95,52,68,43,16,16,78,88,87,91,87,13,70,59,99,80,82,81,52,15,55,1,28
k_66,29,33,37,25,71,100,65,19,40,100,9,19,89,80,82,14,92,80,56,47,23,39,25,1,32,13,38,49,80,49,27,16,28,68,14,31,97,99,48,72,8,42,35,94,76,85,100,7,87,49,60,6,44,76,58,4,68,86,91,80,94,59,59,26,43,75,9,3,70,65,34,81,82,24,26
k_67,7,60,19,11,63,25,36,75,13,100,23,57,66,90,87,54,52,2,20,22,16,73,33,8,86,79,70,82,15,60,51,26,35,54,57,67,24,48,73,32,49,63,45,26,52,93,92,82,69,49,56,36,55,18,29,47,18,65,35,14,57,66,26,54,7,80,4,80,85,97,41,56,52,97,22
k_68,59,82,77,56,18,96,43,36,98,11,64,93,63,16,15,90,79,87,81,88,59,22,49,76,83,57,96,96,13,100,42,32,44,17,21,1,32,13,5,1,79,41,24,51,71,28,85,90,48,39,60,98,72,88,87,55,61,74,14,37,53,68,89,7,92,41,49,59,50,4,80,63,40,22,57
k_69,42,79,7,70,79,77,36,75,26,38,84,67,21,34,63,76,9,60,56,94,31,37,38,29,31,42,28,10,59,89,24,23,64,22,19,2,91,26,39,70,95,42,10,4,5,4,48,20,42,92,37,32,94,80,79,2,57,42,33,30,1,85,52,22,96,84,90,62,60,48,93,70,43,11,81
k_70,27,89,15,1,59,88,3,57,38,59,36,72,87,25,58,79,94,13,10,27,30,43,92,29,85,67,67,51,89,10,64,49,92,54,73,7,53,66,80,46,33,20,46,14,5,48,87,78,19,68,57,67,18,79,47,76,41,99,4,76,60,40,63,30,87,34,12,7,42,60,38,69,40,90,31
k_71,16,85,15,6,30,40,90,46,14,39,37,6,4,61,2,50,67,14,57,44,88,74,65,70,44,80,92,71,31,99,9,83,47,98,88,31,84,5,28,76,85,35,86,39,9,87,93,93,24,10,54,72,6,33,24,44,74,23,6,31,49,86,56,86,54,44,45,51,21,82,9,37,6,11,19
k_72,61,53,2,22,12,64,83,9,49,96,56,1,98,83,96,96,97,12,45,70,9,8,73,14,38,32,8,79,90,85,28,69,30,61,61,46,95,63,82,74,100,36,58,17,94,62,3,72,71,65,14,78,19,44,94,68,60,72,27,83,70,55,26,1,9,35,42,26,79,8,51,52,37,44,40
k_73,88,87,60,5,83,44,40,38,92,22,4,44,87,5,23,94,100,95,5,20,80,6,6,48,5,80,25,31,33,42,5,16,88,72,82,21,43,67,98,34,70,97,81,11,5,45,73,33,83,73,12,43,48,27,96,6,85,64,1,93,81,32,85,89,48,6,63,1,33,61,100,40,95,77,2
k_74,5,72,62,10,79,9,52,71,88,26,44,68,5,84,29,79,66,12,31,99,68,50,19,13,14,67,58,26,35,80,56,46,94,91,88,93,46,97,55,41,74,49,86,41,5,6,71,11,53,63,91,97,37,34,25,80,5,69,17,99,93,53,1,95,22,51,42,20,4,2,55,67,60,95,85
k_75,86,82,18,57,100,29,59,75,3,96,95,80,31,39,78,26,57,14,87,74,90,89,23,60,85,53,81,95,16,29,5,89,10,82,21,73,22,62,90,52,27,78,88,1,88,54,16,70,6,38,91,91,6,75,77,15,51,47,78,5,42,15,39,44,60,57,64,46,58,98,98,53,32,10,16
k_76,44,71,55,26,96,16,55,73,78,63,28,55,25,44,85,39,14,44,55,6,36,85,7,58,73,67,58,63,54,25,42,38,67,40,17,26,64,9,71,37,60,87,9,70,98,97,86,39,84,3,2,4,16,73,59,39,34,93,31,99,58,60,98,84,1,77,87,93,25,69,12,11,99,16,50
k_77,20,29,36,34,18,55,27,92,22,22,78,69,25,78,82,74,46,5,41,3,70,48,27,13,84,79,27,93,35,47,85,49,80,89,5,74,10,90,27,25,88,52,49,29,7,9,84,36,5,40,44,18,73,84,65,40,88,78,87,89,45,87,10,51,28,38,98,93,52,37,71,52,51,26,5
k_78,15,6,68,67,43,55,61,94,88,33,62,55,86,62,67,70,46,65,92,40,80,25,83,24,23,96,74,65,92,54,41,76,52,75,35,19,90,3,99,96,46,70,25,24,2,14,17,49,77,12,75,71,58,11,52,17,18,39,30,3,97,98,48,33,80,21,19,2,8,3,44,10,91,25,66
k_79,42,55,74,44,38,14,37,75,34,97,2,40,33,18,49,70,8,43,95,47,40,61,74,43,67,18,18,90,26,93,55,95,73,75,21,100,97,79,64,87,26,9,58,75,7,21,97,26,57,12,4,67,50,16,11,51,76,89,47,9,8,17,97,3,52,87,59,29,6,56,14,61,94,72,41
k_80,88,53,1,13,91,22,37,78,1,10,66,6,81,3,15,2,72,44,73,4,45,63,69,22,41,40,21,31,44,52,19,24,90,7,52,97,90,60,82,63,37,23,65,14,42,42,90,69,100,76,79,75,89,71,97,100,67,60,3,94,24,10,86,65,100,42,44,5,61,52,34,60,66,47,15
k_81,40,21,67,52,15,75,86,15,61,86,87,8,45,8,38,27,96,35,73,18,10,71,5,31,50,63,21,74,21,94,9,37,52,51,69,60,62,17,17,27,65,64,7,33,79,85,63,1,45,75,21,91,8,8,28,68,83,49,7,25,48,81,67,85,76,76,75,47,51,13,97,86,50,28,95
k_82,74,82,67,83,11,93,6,9,94,31,17,40,89,65,95,63,76,21,43,7,17,86,25,3,82,85,37,55,13,73,66,27,92,44,100,15,46,52,55,86,87,65,1,81,85,6,11,54,96,48,14,13,14,52,25,44,15,42,63,17,91,56,23,80,35,49,31,58,24,93,83,86,77,43,57
k_83,66,27,39,7,13,12,31,28,90,38,17,78,89,65,38,88,91,2,90,57,52,42,46,26,23,50,21,88,18,2,63,38,16,24,74,58,17,13,60,55,70,80,42,41,49,33,68,99,72,42,8,69,73,50,15,78,9,74,8,97,97,89,56,13,73,11,38,34,46,69,78,4,96,99,37
k_84,75,1,22,30,94,41,19,52,56,83,100,80,45,90,19,86,94,67,83,95,1,79,41,23,61,51,97,8,82,89,38,97,22,97,80,72,97,65,86,33,56,17,28,96,74,14,88,45,40,2,26,88,29,91,21,60,47,31,97,79,49,14,37,34,37,25,13,72,99,71,66,29,19,22,71
k_85,44,26,62,86,63,58,89,16,60,24,58,76,17,18,22,1,75,90,39,95,29,100,59,42,68,49,4,79,63,81,16,45,25,66,78,95,88,41,59,93,12,34,51,40,87,46,39,5,46,32,34,58,55,36,74,76,54,24,17,85,83,2,84,84,92,54,100,3,63,100,83,49,64,34,2
