commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9
k_16,13,49,83,33,54,31,17,83,7,57,99,95,80,25,46,96,99,99,65,86,24,67,14,31,56,2,30,4,89,13,61,76,5,30,27,69,2,22,39,95,56,62,15,66,22,30,60,94,94,32
k_17,79,61,29,84,38,6,36,23,83,88,37,36,38,67,13,92,91,11,100,7,33,24,52,12,52,25,83,81,34,4,88,95,80,34,82,28,55,25,19,33,64,34,76,64,81,47,91,50,14,80
k_18,89,22,70,91,71,22,83,31,20,33,83,19,80,55,36,59,100,63,17,7,55,75,77,80,30,30,97,54,75,79,56,39,63,69,13,5,5,12,27,19,8,27,29,83,46,41,18,58,44,68
k_19,87,83,87,22,92,75,11,7,5,64,65,36,69,66,30,72,89,92,49,77,53,7,47,40,70,54,73,95,78,42,15,17,83,18,25,24,96,13,56,22,11,23,95,96,52,33,40,39,67,1
k_20,91,19,31,29,6,58,73,57,24,33,21,8,16,61,100,83,74,28,91,50,54,50,40,67,17,28,30,84,12,18,66,23,57,33,62,50,52,31,33,100,21,97,3,10,40,57,47,52,74,40
k_21,85,97,3,91,18,100,91,42,69,96,42,11,48,5,35,28,66,61,11,56,30,46,26,8,54,28,50,71,72,42,69,68,59,57,30,45,32,52,5,74,81,48,100,65,19,47,46,67,81,52
k_22,45,13,21,18,79,44,26,86,69,58,85,40,52,7,85,18,66,18,85,44,81,68,39,14,37,89,83,38,66,48,21,18,1,46,67,98,95,78,80,73,44,46,87,35,61,72,78,2,11,7
k_23,7,38,12,79,85,96,85,28,1,52,19,98,62,84,96,96,17,81,43,26,69,4,28,99,22,17,34,95,10,97,54,81,2,75,34,47,57,47,11,38,99,75,54,71,11,32,22,88,85,55
k_24,58,52,94,53,34,73,60,93,3,24,19,97,95,34,75,42,68,21,61,33,47,12,59,73,33,3,45,11,49,3,83,25,70,14,90,87,27,18,22,80,32,19,21,25,24,12,40,17,2,3
k_25,45,56,50,46,13,24,20,41,42,25,61,95,29,66,89,23,7,3,62,11,71,98,62,87,99,69,85,36,2,20,19,85,89,35,9,35,16,94,38,89,94,39,49,42,43,68,21,5,25,94
k_26,12,14,72,92,4,60,50,60,63,72,33,38,6,36,32,82,50,6,16,98,71,83,75,26,10,11,86,29,68,5,35,40,16,19,66,36,93,64,33,52,44,18,34,4,96,21,41,70,17,65
k_27,93,56,52,100,95,26,27,17,68,59,95,10,45,53,96,38,76,84,49,69,77,9,13,47,89,22,7,35,4,69,82,27,3,93,84,85,69,66,29,16,91,10,78,72,25,99,24,50,27,25
k_28,88,13,27,14,18,89,40,22,17,41,40,22,86,75,73,23,39,24,31,20,74,93,14,100,26,41,27,69,37,5,64,54,33,63,87,53,52,80,67,96,93,13,79,33,13,40,22,82,48,41
k_29,72,20,21,35,28,99,74,9,64,76,43,78,42,49,2,23,100,27,99,66,77,73,49,19,68,39,42,22,42,13,10,1,6,56,56,14,70,27,83,16,44,60,42,73,27,55,88,56,49,28
k_30,13,44,62,66,2,33,79,76,38,30,20,17,46,51,79,93,50,40,65,12,25,89,29,15,67,54,78,37,78,14,12,60,92,4,37,29,8,20,89,71,5,17,3,8,55,48,25,30,79,11
k_31,41,86,73,31,33,38,85,84,27,73,5,79,33,32,48,51,73,16,98,60,11,33,78,7,18,3,20,37,73,96,22,92,45,43,75,74,59,68,45,31,76,95,61,30,86,78,100,16,28,86
k_32,11,89,18,48,46,64,55,70,74,99,45,10,51,34,35,28,7,42,90,88,61,20,53,4,10,66,96,54,25,78,81,67,91,99,72,96,98,76,6,78,16,16,17,22,3,98,15,33,99,67
k_33,76,6,54,35,70,83,99,56,50,38,33,8,77,30,19,51,7,52,58,91,35,18,16,50,53,55,97,33,18,53,30,81,27,78,29,43,11,57,68,76,33,73,91,26,34,85,37,29,31,42
k_34,37,56,66,45,80,5,74,87,58,37,48,21,51,20,14,93,70,30,1,87,31,85,2,69,13,84,11,89,31,47,2,77,10,88,35,16,26,19,71,51,84,31,5,3,92,16,3,82,80,57
k_35,13,92,49,70,48,56,25,83,89,8,55,63,35,95,83,16,54,61,75,83,43,39,1,70,74,3,39,94,57,21,23,71,5,40,11,90,78,53,39,79,83,32,99,77,8,36,10,84,63,84
k_36,37,84,16,31,57,30,52,77,81,19,97,31,56,2,70,24,33,15,32,62,72,40,79,40,55,52,20,2,4,57,88,26,51,38,56,70,20,61,76,5,84,18,70,14,31,81,54,90,20,97
k_37,70,61,46,87,61,47,73,50,83,11,25,34,23,83,82,36,3,14,55,27,25,59,5,9,80,69,3,89,54,71,38,34,19,26,33,71,68,82,17,42,2,71,44,76,21,3,48,48,70,58
k_38,30,80,5,79,48,99,72,10,91,3,78,52,38,49,78,17,5,65,43,20,27,95,20,79,13,55,5,39,81,60,51,40,62,60,81,30,99,2,40,11,59,21,86,21,78,15,50,21,93,81
k_39,91,30,100,78,78,92,98,25,87,81,64,14,72,68,79,8,18,73,79,79,7,10,74,39,63,64,83,14,78,78,1,48,96,47,68,22,82,48,24,33,95,91,81,66,39,80,6,8,49,9
k_40,89,12,89,15,68,26,41,37,79,8,95,61,58,57,73,38,72,25,44,66,86,81,81,2,92,70,67,78,35,53,3,19,23,70,18,76,94,92,88,96,4,47,27,27,83,17,91,57,46,71
k_41,24,5,10,30,96,73,27,89,12,56,24,20,47,57,40,8,40,17,88,78,62,67,21,9,89,89,8,82,63,74,34,100,34,23,25,9,20,73,33,1,99,50,100,18,60,84,38,19,55,48
k_42,12,15,77,32,83,63,96,43,87,29,55,98,48,42,5,89,80,71,8,93,88,41,58,21,51,56,66,50,34,10,10,70,23,81,14,41,89,95,96,55,23,38,7,53,6,68,23,68,57,80
k_43,30,54,72,67,92,10,86,39,27,90,1,42,69,10,67,89,63,82,27,28,80,38,75,15,54,25,60,34,43,21,93,32,15,47,30,38,58,34,46,61,27,23,63,79,100,100,60,32,32,76
k_44,26,63,67,70,78,99,10,64,83,83,8,40,10,5,29,31,56,90,37,13,100,65,88,75,95,17,89,72,51,45,59,17,89,85,63,65,15,8,4,92,13,48,81,23,9,51,78,50,59,39
k_45,12,78,47,68,31,78,63,5,32,90,74,87,82,28,45,6,47,31,10,77,31,3,98,72,99,14,58,4,73,97,38,80,75,77,8,45,39,29,72,45,61,55,67,57,66,59,37,58,45,29
k_46,48,12,9,27,93,73,35,59,15,97,63,30,85,87,22,9,23,94,56,11,19,86,15,10,36,88,49,34,52,19,4,83,78,15,77,52,24,66,23,70,81,48,30,68,15,8,35,83,61,2
k_47,69,2,37,83,1,63,33,62,61,19,77,30,35,61,65,26,92,71,91,44,15,7,93,48,92,1,48,55,94,1,78,12,27,17,52,42,23,51,70,46,35,77,46,54,72,75,65,37,13,16
k_48,87,87,75,91,46,3,89,49,40,5,42,81,55,27,34,32,84,25,49,64,86,38,24,71,32,56,99,61,44,55,48,83,5,54,100,19,83,29,94,42,67,46,21,14,51,15,54,22,31,36
k_49,18,63,98,12,58,84,26,42,22,20,95,59,18,77,32,8,98,96,20,73,35,98,66,66,9,73,72,42,91,50,50,66,38,89,96,39,23,89,61,32,61,81,33,45,50,52,27,46,51,89
k_50,81,14,90,18,52,54,74,60,70,64,77,100,94,65,92,85,51,46,54,18,77,35,17,13,16,15,46,83,78,9,61,34,55,84,23,87,99,5,26,23,23,11,35,11,13,51,14,69,29,62
k_51,24,80,16,71,88,23,31,52,12,27,91,55,7,70,46,16,30,3,68,81,7,18,27,26,57,81,27,26,54,30,89,87,59,18,2,79,50,26,25,20,43,76,12,38,63,6,26,49,54,97
k_52,54,12,75,71,69,61,41,46,31,93,40,45,20,42,60,81,5,8,3,93,99,64,89,92,21,11,93,36,97,33,39,10,70,46,84,37,57,66,100,96,72,37,1,19,19,22,15,30,32,25
k_53,50,47,76,55,63,74,71,31,22,31,15,72,40,87,1,38,30,18,15,33,6,77,67,11,11,24,59,73,9,36,59,92,60,27,67,4,54,86,85,43,2,71,38,70,83,7,22,50,88,95
k_54,95,30,1,35,47,26,55,79,28,42,100,83,10,36,87,18,47,67,19,1,24,87,66,26,16,22,15,48,100,92,84,10,60,69,13,79,66,87,71,10,99,63,86,6,47,26,43,40,77,60
k_55,18,87,24,10,28,8,31,88,58,71,23,55,97,54,50,75,34,7,77,47,89,29,19,60,2,15,14,8,61,6,85,17,32,92,6,54,76,51,20,94,99,78,13,19,30,11,19,59,62,95
k_56,91,2,36,69,32,20,38,26,90,80,59,33,75,84,38,33,36,40,58,60,67,5,3,64,45,35,33,80,72,34,67,94,23,43,5,76,94,33,21,87,50,7,15,12,10,49,39,71,21,57
k_57,65,91,40,17,82,16,97,44,80,80,13,97,20,50,24,81,46,46,80,49,33,42,79,54,9,40,32,82,46,3,56,72,4,37,67,43,43,61,20,15,53,51,43,52,24,46,8,89,30,64
k_58,63,31,57,29,94,63,46,3,41,60,84,69,88,74,8,47,24,87,52,26,66,62,89,16,6,71,87,99,90,76,88,27,52,59,11,97,59,43,20,97,40,75,89,46,59,70,68,51,1,29
k_59,44,17,80,2,87,93,31,4,92,38,21,28,34,6,5,60,27,21,19,80,40,65,60,65,29,17,45,2,84,72,32,11,76,2,84,11,7,9,95,18,18,58,95,20,30,4,33,55,34,79
k_60,23,92,68,44,26,44,24,15,79,93,42,50,9,6,52,37,36,87,40,98,83,89,99,53,62,21,27,10,15,53,84,47,70,43,95,76,11,37,5,71,37,11,24,91,50,75,38,73,67,52
k_61,52,91,42,67,32,26,17,90,25,13,79,52,29,43,72,9,9,54,96,4,61,85,37,32,19,8,17,20,27,17,34,45,18,76,75,12,25,89,57,30,91,94,30,29,72,29,15,97,55,81
k_62,75,95,99,38,24,47,85,91,88,26,29,1,53,14,48,36,32,12,53,71,15,58,42,1,2,91,12,57,19,27,22,73,15,32,95,32,58,86,16,34,40,35,55,94,36,54,94,86,8,23
k_63,23,87,40,64,76,85,64,28,2,19,8,9,98,69,10,5,36,67,16,79,56,57,15,59,88,47,63,22,5,81,47,72,57,38,29,89,71,74,11,56,95,35,57,59,68,65,3,65,94,26
k_64,75,8,10,24,85,28,49,38,62,69,43,3,38,68,52,25,100,87,28,2,36,42,100,62,4,69,83,61,100,92,48,45,61,62,30,92,100,90,51,68,21,68,12,52,80,40,3,17,85,43
k_65,69,73,36,69,62,9,38,44,26,93,68,33,44,5,49,78,24,92,26,22,87,19,8,83,6,83,56,45,54,75,92,3,81,21,57,72,66,72,13,13,96,34,53,96,44,97,78,52,15,93
k_66,76,71,55,53,37,3,88,29,92,37,83,23,55,52,64,44,94,94,1,38,45,1,80,4,80,5,19,84,24,100,47,50,90,81,43,94,11,58,32,4,81,72,83,72,34,37,80,93,45,11
k_67,14,23,94,21,52,77,59,66,8,16,74,48,96,6,95,74,22,79,1,91,81,3,76,56,73,66,52,98,56,20,63,60,72,39,77,66,71,21,1,67,16,11,26,35,3,36,4,95,2,87
k_68,35,57,27,87,2,65,26,54,40,5,45,34,13,88,7,72,76,4,20,100,76,14,10,33,33,2,95,59,32,32,59,97,38,85,65,77,74,54,15,83,83,38,50,2,22,86,98,14,97,32
k_69,24,38,22,47,39,54,81,8,9,43,26,20,21,55,91,72,28,91,48,59,23,29,81,5,10,33,11,16,96,22,65,59,2,57,4,77,64,15,2,8,31,59,83,86,7,61,65,59,45,24
k_70,70,17,96,27,34,41,83,38,60,4,89,84,73,36,62,90,18,56,26,55,37,93,49,6,53,33,33,22,53,98,43,71,66,56,38,15,31,20,48,78,42,62,51,49,46,66,69,97,54,58
k_71,42,4,48,66,81,11,59,78,38,17,29,2,43,36,38,8,71,87,50,15,35,26,6,46,73,4,28,57,89,15,93,74,31,97,49,9,78,50,84,21,56,3,50,45,59,2,91,1,22,95
k_72,21,5,100,62,90,32,10,21,61,5,61,65,30,49,73,41,67,4,4,21,28,40,9,32,3,27,9,57,5,81,85,27,7,14,88,66,91,79,48,71,92,3,25,58,37,93,85,76,66,13
k_73,7,2,62,41,26,64,30,15,14,17,30,71,85,16,26,17,21,33,64,86,19,17,30,86,88,99,84,47,19,29,5,27,41,64,73,86,91,22,64,67,80,36,67,5,82,65,73,52,23,87
k_74,70,34,56,30,72,16,98,19,47,95,1,97,61,54,24,91,17,85,95,11,12,62,85,43,62,73,45,82,84,41,24,39,64,10,31,49,98,19,99,87,40,79,84,80,60,27,64,43,3,2
k_75,75,13,2,51,61,29,97,53,55,58,65,64,28,38,95,59,27,15,21,50,57,15,48,66,4,14,61,30,6,96,2,40,63,75,77,84,92,67,87,20,100,5,72,92,60,25,38,8,98,59
k_76,69,10,62,61,30,3,21,63,23,90,85,65,20,92,61,27,6,22,22,69,70,70,48,28,32,86,97,75,90,60,55,35,99,60,69,31,72,11,41,68,3,94,91,80,27,44,61,1,2,28
k_77,42,100,67,9,50,36,73,85,25,97,69,8,25,34,50,92,58,22,94,74,87,18,53,80,31,57,30,4,79,45,92,14,76,38,74,37,67,73,37,2,61,87,32,23,16,33,87,92,5,35
k_78,41,32,78,11,1,61,4,65,44,90,34,22,28,23,49,4,81,12,91,25,68,50,77,69,13,18,98,78,18,20,12,36,84,83,84,26,52,80,50,74,41,43,16,8,8,47,57,26,20,13
k_79,75,3,94,81,29,42,95,25,22,83,49,30,20,75,45,19,44,30,23,86,88,56,45,38,96,43,51,6,53,27,10,62,69,60,74,50,44,7,67,37,92,38,69,14,15,1,50,46,73,32
k_80,18,59,58,11,8,80,51,79,44,76,2,68,83,14,26,25,47,67,8,5,76,62,9,29,46,67,41,61,53,94,91,77,56,6,27,36,64,98,66,5,94,74,52,28,44,67,8,47,39,40
k_81,7,96,77,68,7,5,57,76,71,62,8,97,97,19,66,36,84,79,71,80,80,41,53,40,13,30,32,7,35,79,46,36,54,56,15,3,39,1,27,88,72,29,47,90,72,78,40,4,50,30
k_82,6,12,25,22,50,85,19,30,24,67,46,25,74,96,87,96,71,36,52,5,7,64,1,23,4,71,37,72,21,29,42,2,69,84,10,99,29,82,7,65,32,55,88,84,96,89,68,13,23,37
k_83,97,48,1,92,26,97,97,78,27,81,66,86,48,26,40,73,100,31,52,54,76,97,32,31,55,75,34,98,94,53,68,33,100,40,6,74,80,9,81,54,56,35,15,81,30,51,14,95,70,35
k_84,3,84,59,8,22,23,10,72,22,10,80,46,72,25,41,59,27,14,98,45,13,31,51,54,25,82,57,18,74,60,59,61,59,13,46,19,74,79,15,54,87,100,27,74,16,2,11,88,20,35
k_85,92,12,80,78,80,46,55,18,57,43,64,92,66,3,70,81,78,94,74,82,67,8,95,31,1,89,11,3,59,49,77,59,84,32,10,19,89,64,6,78,44,15,60,81,95,5,58,75,59,20
k_86,87,72,55,94,68,79,33,32,61,82,69,31,48,47,68,75,13,91,57,63,17,78,39,63,30,14,37,81,2,99,24,22,21,53,49,12,63,58,64,85,70,25,6,28,99,30,88,53,41,27
k_87,79,23,56,78,43,67,17,100,45,35,81,80,51,91,62,16,27,78,12,15,41,83,15,59,56,64,13,55,83,82,85,35,35,29,57,26,51,88,44,6,14,32,65,38,73,28,91,47,54,72
k_88,99,32,41,12,3,47,93,30,39,45,85,20,39,11,32,5,88,46,91,30,18,61,89,71,1,100,39,95,38,28,81,95,100,62,17,82,90,3,100,3,65,19,81,89,28,5,37,51,49,20
k_89,57,21,77,52,33,85,23,69,2,78,10,50,31,34,69,80,58,6,95,33,8,49,89,62,34,46,12,60,84,39,87,20,51,8,70,61,97,47,32,5,20,80,1,85,78,38,14,61,57,30
k_90,14,24,47,24,40,43,49,59,96,85,74,41,34,15,87,2,21,32,6,61,48,20,68,32,66,45,70,65,63,59,100,9,23,39,86,43,2,7,59,84,9,52,12,91,53,52,75,61,71,26
k_91,39,86,9,53,69,99,40,82,1,84,82,94,1,89,31,28,24,85,90,72,17,39,19,16,94,90,10,14,82,58,99,65,3,64,30,36,89,43,19,96,64,25,49,11,38,33,42,76,37,7
k_92,7,28,66,32,25,68,34,88,44,71,31,99,16,40,49,46,45,38,13,98,75,36,55,99,9,30,11,3,37,56,41,46,49,3,61,5,73,51,25,91,43,23,18,59,79,56,79,80,31,69
k_93,95,7,69,88,28,17,99,33,75,55,42,2,63,50,34,38,88,54,24,57,67,51,50,32,72,58,52,15,76,96,75,47,98,9,91,3,55,87,26,45,79,47,87,74,11,87,58,62,36,69
k_94,24,91,74,74,7,23,32,41,9,56,58,95,14,74,25,87,30,23,27,72,72,27,33,10,37,30,12,37,92,60,43,25,72,10,66,23,33,3,79,58,80,61,76,68,84,64,31,13,15,85
k_95,81,10,97,73,94,29,14,93,64,64,57,17,83,28,87,60,43,51,49,40,58,94,79,88,5,33,12,40,71,63,61,11,74,4,28,98,28,13,4,68,22,39,10,59,65,89,58,16,12,28
k_96,33,48,21,1,74,66,32,85,33,94,30,59,84,93,62,13,70,1,86,71,80,85,19,53,14,23,63,86,64,50,43,48,80,90,93,81,69,55,18,42,36,46,58,80,75,70,31,59,24,21
k_97,16,64,21,43,75,9,15,89,82,4,79,52,23,17,20,4,83,34,11,37,87,99,85,64,49,71,72,84,3,29,37,23,72,72,94,37,69,88,3,42,50,79,91,57,60,5,55,47,27,30
k_98,46,99,9,55,44,86,56,87,39,39,74,96,98,79,74,37,86,27,30,73,90,35,9,99,67,98,59,87,14,42,96,79,97,19,91,2,68,45,30,37,27,13,88,82,35,20,14,22,2,97
k_99,27,94,70,56,32,73,64,78,60,70,92,68,47,37,91,39,7,5,62,90,99,40,91,16,18,27,96,90,22,95,70,62,67,70,19,35,91,31,23,52,68,42,67,8,57,10,54,46,50,52
