commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_6,e_7,e_8,e_9
k_13,10,28,6,43,66,57,50,46,62,50,9,19,92,72,17,77,51,49,84,99,66,22,1,69,41,26,6,98,62,15,1,8,42,29,17,17,68,61,62,99,87,4,83,83,91,94,15,78,14,36,15,16,49,86,96
k_14,11,47,16,70,31,22,56,26,7,10,33,56,72,4,54,21,59,86,2,89,7,94,92,50,86,5,55,8,10,65,15,78,43,50,60,90,6,94,84,8,22,98,89,63,67,70,18,10,49,78,35,85,79,61,15
k_15,86,96,71,64,100,58,36,16,63,23,11,75,19,31,9,4,78,29,61,75,76,56,49,52,43,8,82,37,79,42,100,55,91,77,56,55,20,84,90,41,74,94,67,28,11,83,56,83,63,72,89,14,34,10,35
k_16,86,51,3,48,77,47,55,45,45,50,93,33,93,31,7,67,86,66,84,95,25,15,91,66,49,67,18,9,89,15,51,85,12,41,5,52,74,51,42,54,98,44,86,6,61,70,40,23,84,13,68,52,91,99,21
k_17,81,5,21,26,100,22,78,98,36,98,80,94,96,65,69,98,29,86,88,8,12,3,100,68,23,47,47,88,13,73,58,77,5,54,58,45,53,91,89,66,53,18,40,88,23,86,39,97,42,66,68,70,61,68,81
k_18,64,65,57,53,27,80,7,68,11,81,14,22,70,91,38,27,67,50,99,46,14,64,12,58,54,37,98,89,73,62,32,54,85,26,14,40,49,45,14,50,78,80,28,32,87,39,72,79,44,8,40,10,91,22,90
k_19,55,23,1,11,81,79,34,7,62,69,82,35,20,37,2,30,1,18,18,71,66,100,6,42,85,47,30,96,7,92,36,27,2,45,10,15,5,60,85,91,59,71,70,58,93,79,40,74,11,90,48,58,41,2,67
k_20,26,56,60,44,4,63,36,69,91,41,15,53,58,7,3,74,46,40,32,52,51,66,44,52,28,1,28,85,29,3,51,32,9,56,91,7,1,4,55,9,37,9,13,65,23,95,58,56,21,100,17,53,91,25,91
k_21,1,76,41,31,50,90,73,10,93,37,28,54,55,36,98,5,45,13,27,73,9,40,61,6,4,39,83,3,22,47,39,8,93,27,76,49,20,10,43,75,75,79,51,29,88,37,15,24,1,90,70,42,48,94,87
k_22,1,57,47,45,62,47,100,48,50,4,13,22,90,9,39,31,7,87,62,82,7,85,22,42,87,37,39,25,33,87,6,35,32,94,51,37,74,95,58,24,35,69,95,44,18,25,83,50,38,81,33,1,35,53,10
k_23,23,94,49,66,61,39,81,77,37,35,68,58,27,73,66,82,59,45,26,34,35,45,78,19,40,77,14,25,78,96,33,85,8,13,89,92,56,94,16,32,21,76,69,22,6,41,18,48,87,35,48,87,70,83,68
k_24,6,96,19,11,13,53,28,3,86,26,62,22,9,92,95,96,40,43,15,71,15,67,88,97,61,10,53,19,14,91,74,5,5,83,27,96,78,20,56,95,55,62,61,40,59,21,40,66,39,33,28,35,55,21,74
k_25,53,30,21,63,2,6,38,58,54,22,50,85,78,48,41,88,70,92,82,76,56,13,6,5,4,26,63,54,1,81,69,72,99,91,30,62,89,56,95,82,47,28,28,34,38,92,38,30,82,1,13,32,13,81,85
k_26,37,22,1,32,84,26,90,65,22,66,66,96,59,17,91,10,81,91,20,49,5,74,49,66,62,66,34,51,56,98,32,1,53,54,73,70,30,62,3,54,8,45,59,28,18,4,12,84,33,30,11,64,38,57,85
k_27,77,96,91,84,17,61,87,18,49,92,78,40,74,97,57,66,61,65,82,71,23,84,69,19,91,73,72,78,38,30,84,46,95,5,38,25,90,13,70,37,88,38,69,33,23,59,92,54,86,43,24,48,59,26,68
k_28,77,78,42,94,50,60,5,63,52,95,55,4,79,41,51,61,23,23,34,76,37,84,21,61,7,75,11,81,67,13,75,14,11,67,48,51,52,19,45,58,46,6,38,69,43,15,12,55,45,31,63,30,79,1,45
k_29,27,76,83,83,19,32,65,13,41,43,51,33,62,13,26,11,75,57,94,31,92,13,89,71,5,92,45,83,36,78,15,6,47,21,16,80,85,53,62,4,12,75,69,72,73,66,99,100,22,27,71,58,12,16,25
k_30,18,94,79,43,91,88,26,4,77,1,9,44,40,16,19,1,85,70,21,75,58,25,68,44,36,1,69,73,71,48,91,74,92,30,42,96,61,14,98,71,55,29,86,54,30,23,4,34,96,8,82,100,43,64,89
k_31,94,100,16,70,38,67,96,83,39,58,14,84,21,87,93,38,71,39,21,7,88,89,32,51,2,5,84,91,33,30,91,13,69,67,62,6,88,80,95,59,70,73,42,76,37,71,65,48,59,7,9,29,82,4,64
k_32,67,64,46,77,64,41,60,70,95,44,66,87,22,57,50,5,55,97,2,63,3,19,39,6,53,28,14,86,16,85,19,44,92,47,34,53,71,32,43,53,26,28,84,80,50,46,90,5,41,82,78,34,65,90,33
k_33,62,33,4,58,17,60,84,58,46,82,53,73,25,42,46,67,75,8,58,1,71,1,97,39,92,44,57,92,8,70,90,38,24,67,93,87,43,23,61,99,1,38,93,95,74,53,31,74,86,69,90,5,60,88,33
k_34,6,35,31,65,35,52,87,44,74,70,77,16,98,26,37,87,71,79,87,60,10,26,28,74,35,86,83,84,32,38,81,23,26,97,75,43,60,41,28,77,53,30,92,10,80,22,44,6,14,28,23,37,50,96,16
k_35,56,28,84,75,17,47,69,75,25,74,69,100,79,80,10,38,28,45,42,47,68,27,96,56,4,17,47,8,54,40,82,17,49,35,66,1,79,98,37,93,26,100,19,8,14,57,22,34,22,61,6,74,43,79,10
k_36,5,72,93,21,82,66,90,90,75,37,6,19,49,62,9,28,43,74,99,44,97,51,88,25,22,76,28,35,35,20,50,26,3,59,53,72,87,97,70,22,85,20,2,61,50,21,71,62,2,76,57,28,63,22,98
k_37,16,7,8,51,32,6,37,39,84,47,67,96,96,39,36,76,99,32,48,4,17,19,37,82,20,50,72,64,84,100,73,31,50,40,15,89,11,75,64,88,23,69,32,47,26,69,73,39,8,88,65,27,57,5,73
k_38,1,81,86,76,48,18,26,65,30,85,72,67,11,90,9,13,79,54,38,69,93,19,21,23,68,56,84,62,54,28,71,29,51,11,95,73,98,4,48,6,57,41,43,31,86,55,49,98,76,45,78,40,49,57,81
k_39,63,3,31,80,9,13,95,43,74,95,9,3,47,49,33,8,13,57,26,90,47,41,49,35,92,41,51,56,37,42,55,14,59,56,36,2,21,95,57,12,56,12,38,4,45,33,80,2,24,62,32,81,4,32,10
k_40,16,6,12,91,64,45,99,76,23,92,54,22,75,63,38,3,32,58,81,98,71,71,14,90,52,90,23,30,83,19,73,40,33,11,78,67,2,54,26,67,17,39,82,14,1,34,19,7,37,85,1,9,17,65,99
k_41,3,46,66,69,24,5,81,88,49,92,62,70,6,34,17,9,100,81,3,19,54,81,5,83,48,87,19,74,62,29,38,8,83,13,13,27,18,20,44,76,32,60,7,59,75,93,21,57,50,77,20,73,74,48,19
k_42,45,81,100,18,12,66,36,27,46,17,67,99,71,66,93,27,58,27,35,60,3,4,23,85,51,40,65,35,63,43,35,89,56,45,95,19,91,3,56,75,89,76,62,60,13,49,8,74,41,1,53,79,61,20,25
k_43,26,60,27,4,10,89,86,10,1,11,23,25,43,3,45,55,62,43,59,40,83,76,99,63,47,46,24,11,62,53,61,33,22,47,14,67,25,57,92,94,90,65,23,69,55,72,31,56,24,84,9,76,17,68,67
k_44,51,74,11,12,30,84,76,76,55,46,37,6,26,10,2,15,30,74,100,48,54,97,70,91,88,57,65,25,74,78,31,22,97,95,48,8,78,69,28,59,57,7,77,43,77,60,31,56,4,41,54,81,99,40,97
k_45,46,82,35,20,94,70,1,36,19,41,27,74,79,51,94,90,4,55,84,41,59,61,53,43,72,12,71,91,26,25,8,36,53,60,60,53,97,77,38,22,76,44,69,34,21,58,12,38,39,10,24,64,49,15,67
k_46,95,1,59,61,19,40,79,85,6,19,11,2,42,68,98,87,71,61,57,72,66,82,38,21,31,79,8,76,46,23,91,78,66,60,51,22,47,70,85,19,21,88,66,93,75,92,90,44,89,42,33,21,34,99,22
k_47,40,54,73,88,27,100,39,57,29,81,97,1,73,77,31,5,50,10,9,81,44,88,1,48,60,37,58,30,33,66,15,16,92,94,56,64,43,22,96,72,9,14,27,62,46,96,48,30,39,65,35,50,53,69,75
k_48,59,65,52,91,33,32,15,78,15,74,96,12,37,57,87,31,15,13,41,50,34,99,9,53,35,15,78,69,82,4,51,50,86,18,28,5,14,64,61,66,30,34,11,83,6,28,92,2,42,16,78,100,51,45,87
k_49,13,24,84,34,79,42,93,88,69,77,16,61,51,74,3,77,73,88,5,96,91,76,87,12,64,26,5,77,96,45,24,69,76,68,73,92,45,56,77,11,86,62,64,39,69,24,70,67,21,87,42,30,80,15,31
k_50,70,74,23,19,51,16,5,86,60,33,1,57,75,47,76,11,34,56,60,100,57,76,100,32,70,38,14,33,16,42,94,98,96,88,45,19,74,65,45,43,13,15,11,86,6,16,37,61,33,6,81,28,72,52,21
k_51,62,68,94,12,52,58,49,83,33,21,38,54,41,65,47,60,7,6,41,97,43,16,10,2,51,61,73,1,61,96,45,82,88,40,83,79,98,4,39,5,14,56,92,41,22,5,8,90,85,46,58,6,23,72,75
k_52,21,89,91,18,89,68,49,35,35,63,69,66,32,85,41,91,52,36,80,45,98,25,69,93,48,45,16,4,95,38,54,84,72,15,86,18,3,79,47,85,67,9,40,60,22,12,87,7,98,19,18,59,27,10,26
k_53,86,29,62,86,30,76,98,1,96,2,34,93,83,92,82,63,21,76,87,24,35,93,56,43,90,89,29,11,61,91,62,93,41,5,92,23,73,24,67,53,67,90,16,17,17,21,6,71,46,2,47,41,98,54,74
k_54,45,44,9,13,91,92,18,61,8,50,32,86,12,58,25,19,26,61,47,77,25,92,74,98,92,66,19,60,59,53,50,60,88,78,53,57,31,26,87,16,52,10,80,37,43,88,77,93,74,11,37,64,97,21,5
k_55,9,100,65,31,85,65,66,92,92,77,80,62,22,32,93,74,68,25,100,2,88,35,14,96,38,39,8,82,27,52,89,19,71,12,24,99,34,100,77,88,73,96,59,38,60,72,76,97,13,57,64,85,56,14,79
k_56,99,30,96,83,17,51,39,68,86,54,58,7,5,52,100,60,12,78,83,74,10,24,51,56,34,22,41,71,5,39,85,47,92,24,91,11,24,3,93,86,26,52,67,25,6,99,91,39,19,52,36,29,13,63,89
k_57,13,33,31,3,28,73,85,100,19,1,69,60,82,52,52,84,84,32,95,60,53,76,86,17,38,40,1,85,48,45,47,87,9,20,81,44,25,11,83,24,54,9,97,83,38,92,21,82,65,43,46,17,16,40,55
k_58,72,25,40,60,51,5,13,82,23,73,14,53,66,41,22,78,100,34,62,23,56,100,77,7,17,91,97,42,62,46,69,75,79,12,50,97,26,76,100,78,83,47,43,94,73,33,85,89,32,23,24,79,13,49,29
k_59,92,85,87,25,60,53,92,4,22,24,37,55,3,86,29,31,60,12,41,29,9,5,29,23,41,97,71,34,75,1,86,56,85,84,69,20,22,99,73,88,69,17,81,88,36,87,90,19,36,69,36,62,11,84,12
k_60,7,24,78,90,45,62,91,35,60,8,6,81,84,85,13,17,10,19,30,94,69,80,13,47,73,37,46,11,9,41,10,61,40,21,92,74,43,94,1,27,76,29,17,59,83,41,81,43,46,85,51,11,9,26,97
k_61,52,92,65,12,91,41,10,11,47,76,51,95,33,93,8,47,43,14,77,8,34,100,61,15,89,76,30,1,21,91,77,57,63,22,87,11,96,35,52,54,99,8,68,63,18,94,88,20,19,98,14,61,48,25,26
k_62,63,67,87,79,22,19,95,2,10,35,91,50,57,98,6,96,16,50,37,80,4,29,32,54,20,12,55,1,55,29,49,14,12,43,20,41,93,40,40,96,96,33,84,94,51,78,57,13,71,98,1,55,33,96,37
k_63,85,28,53,57,92,1,8,23,8,53,13,6,28,46,62,69,69,82,2,16,65,51,72,89,7,68,85,2,76,16,9,12,86,89,5,78,50,22,55,60,52,42,57,48,65,66,96,62,82,9,26,34,62,92,79
k_64,51,14,39,77,17,36,14,70,25,58,74,86,23,26,79,63,97,7,16,90,1,99,27,27,40,73,16,83,27,20,60,58,32,66,52,78,25,32,24,55,47,91,1,77,32,60,8,87,33,24,75,4,76,35,4
k_65,82,49,28,33,79,9,11,79,14,100,11,50,85,10,97,83,84,62,21,52,90,31,62,75,35,12,41,94,9,54,85,16,42,8,23,21,70,92,100,1,23,28,64,23,22,59,8,93,78,1,32,12,88,31,83
k_66,13,26,85,93,9,94,75,59,59,77,59,2,74,69,83,6,81,88,28,16,79,91,76,13,51,71,10,98,41,64,54,86,56,18,60,98,9,28,7,10,1,71,24,59,76,67,98,61,44,81,67,28,57,13,14
k_67,61,66,14,93,62,56,43,39,84,20,58,19,71,60,96,28,68,48,75,35,48,28,98,62,74,17,80,48,21,23,54,9,15,41,76,67,87,40,48,61,76,21,64,75,28,40,46,43,52,49,63,66,96,50,9
k_68,73,7,98,42,75,22,29,55,12,22,6,38,48,77,74,36,84,52,94,16,5,1,80,98,12,54,43,11,45,37,36,30,47,16,58,8,48,68,88,25,31,78,69,41,39,38,87,63,27,14,68,38,62,79,100
k_69,28,84,44,14,98,46,58,5,74,40,60,25,64,23,33,20,64,54,45,33,98,46,45,10,5,50,2,31,22,44,52,46,25,63,63,3,70,36,54,3,32,42,38,100,57,54,38,44,47,97,88,56,28,15,76
k_70,7,33,73,73,17,73,83,97,94,57,72,13,2,84,62,27,99,18,94,27,15,88,44,90,54,53,16,22,70,89,92,27,80,87,54,29,77,49,94,71,45,100,51,66,26,83,74,90,22,11,55,94,79,50,22
k_71,13,81,9,90,4,51,21,27,96,89,54,71,74,51,46,93,12,90,3,46,16,84,57,58,4,18,68,60,25,57,40,31,100,72,52,57,11,76,13,23,62,1,100,35,92,72,91,55,5,35,92,40,91,31,90
k_72,44,23,93,10,10,74,32,41,1,13,99,5,78,80,52,19,20,65,36,15,77,27,79,30,18,79,56,59,44,42,16,34,18,83,69,42,16,29,82,1,41,10,42,82,19,53,64,53,99,12,52,23,34,6,94
k_73,55,53,57,85,60,18,16,81,71,67,24,26,56,19,17,95,19,81,9,21,54,48,12,74,28,92,16,34,56,4,38,28,17,40,58,19,85,91,71,85,81,45,15,25,83,4,62,27,24,23,70,68,11,55,12
k_74,43,85,92,70,6,51,59,96,75,67,61,52,14,42,25,48,6,40,36,31,44,84,15,44,78,73,81,70,35,11,49,66,27,34,66,61,54,54,50,49,56,90,63,34,67,87,63,61,76,69,36,90,59,73,83
k_75,25,29,37,7,17,63,36,84,34,8,42,73,39,92,38,18,52,24,97,34,66,51,84,74,17,20,95,4,79,22,23,71,37,58,98,75,54,34,70,60,37,18,95,3,71,34,74,68,38,94,40,15,62,29,6
k_76,63,19,70,91,84,17,51,66,19,82,87,92,75,94,11,45,63,17,96,67,83,61,21,3,60,7,14,59,38,81,64,18,33,2,82,34,67,76,20,33,28,31,95,51,21,99,87,64,43,76,73,59,95,41,25
k_77,70,37,9,74,34,31,3,11,41,88,98,94,76,9,12,4,55,17,99,79,76,18,19,86,87,79,22,27,23,3,39,12,33,53,28,2,1,29,2,18,77,79,64,79,31,9,10,81,50,84,28,61,7,15,26
k_78,96,90,41,21,11,70,46,90,1,63,60,11,22,60,89,11,73,9,40,4,86,58,3,14,46,50,78,7,96,4,69,29,20,27,93,29,29,23,68,89,13,66,68,100,44,75,85,83,28,71,15,69,28,28,30
k_79,71,1,12,64,75,96,81,61,93,45,57,19,54,87,5,21,31,49,65,65,31,45,30,95,22,29,50,7,12,100,45,92,22,14,3,61,96,87,37,5,23,2,19,2,19,10,64,29,73,85,25,87,74,66,87
k_80,29,54,7,59,13,39,73,67,41,50,43,76,44,75,48,94,94,1,1,60,100,34,2,25,100,3,16,33,14,91,2,99,82,83,62,20,49,19,74,2,7,78,45,53,92,49,35,47,52,83,87,53,76,1,34
k_81,45,59,38,57,84,81,47,5,97,84,50,41,36,49,89,68,43,20,29,20,23,88,31,40,84,85,30,1,46,100,10,54,19,49,88,84,18,44,36,74,8,57,54,59,85,20,70,41,80,83,55,52,46,78,49
k_82,48,41,53,74,97,14,100,32,59,44,8,39,9,9,88,56,49,86,22,94,52,48,8,76,18,97,7,5,84,92,51,79,98,76,56,63,27,46,32,34,66,8,52,37,65,12,30,32,16,18,37,95,73,39,10
k_83,94,9,63,52,36,37,74,53,34,100,56,23,14,9,39,5,66,23,6,52,14,43,42,77,47,41,96,74,68,76,25,47,64,68,90,23,79,96,29,46,55,34,35,78,40,99,82,6,78,85,97,84,30,88,38
k_84,64,90,75,64,51,80,80,81,37,31,66,19,97,16,87,85,12,83,49,92,99,84,34,69,22,13,77,77,58,37,83,94,89,16,89,31,86,27,87,94,55,99,30,97,48,4,87,84,10,34,18,16,12,95,35
k_85,15,78,26,31,27,87,73,12,19,16,44,50,77,39,18,97,67,78,68,85,47,18,88,51,24,62,52,36,82,64,85,90,15,6,89,52,70,10,14,16,85,79,24,41,37,61,65,73,57,93,11,26,52,33,92
k_86,94,51,60,8,19,46,64,20,68,18,12,51,20,16,32,34,78,65,78,40,60,93,21,35,66,28,21,82,95,77,44,38,31,17,32,89,98,3,79,92,32,73,53,28,45,26,40,83,81,16,85,4,87,28,17
k_87,5,98,69,16,21,74,34,37,77,12,52,62,99,50,3,98,94,75,58,6,26,39,53,36,35,73,39,19,53,92,81,54,47,79,28,41,36,57,59,27,66,4,11,74,13,43,100,97,82,81,28,1,93,72,42
k_88,54,60,96,98,41,22,3,27,56,20,38,98,80,18,4,18,14,20,50,69,21,45,85,79,45,37,75,54,20,39,68,37,51,100,33,58,13,37,59,12,84,33,46,51,3,52,50,79,69,7,15,48,42,10,30
k_89,54,23,73,21,46,44,97,83,9,94,1,94,29,86,15,83,69,2,47,6,57,37,98,54,98,40,98,40,65,98,13,32,89,100,100,45,69,89,52,41,68,61,93,30,58,94,50,85,27,24,42,54,48,44,66
k_90,68,66,71,37,64,56,95,11,73,18,11,27,50,7,91,80,9,8,40,72,51,74,2,7,84,43,69,32,92,11,66,82,93,22,46,19,23,34,92,85,70,32,25,38,57,66,74,77,31,12,77,40,26,48,30
k_91,76,22,93,21,19,25,84,39,7,23,3,72,74,59,96,44,39,1,9,74,65,65,34,83,22,72,36,46,36,77,92,62,10,44,46,30,75,14,89,8,94,32,65,100,70,66,61,99,78,61,1,69,39,24,1
k_92,64,10,14,96,69,73,19,87,24,26,43,66,42,44,20,83,76,14,4,10,90,58,73,55,14,97,61,21,20,21,10,96,11,37,68,86,68,38,42,69,70,93,45,88,39,70,1,4,83,44,14,78,62,76,51
k_93,41,45,33,56,26,3,56,21,88,20,68,98,35,52,70,86,49,13,60,91,45,35,52,83,18,8,69,57,16,8,40,24,59,5,93,78,39,57,3,55,88,90,63,38,86,10,65,93,56,48,27,100,35,85,35
k_94,11,69,65,74,93,48,33,24,26,9,92,27,49,85,32,68,80,47,3,38,87,98,10,49,7,91,22,32,49,34,53,68,89,25,78,10,71,56,83,14,71,55,12,51,34,84,47,1,56,63,11,72,46,59,42
k_95,100,30,55,14,29,98,59,50,79,43,61,75,87,60,69,11,39,98,54,19,37,96,27,48,61,73,3,62,74,41,27,10,82,76,27,81,44,67,44,55,57,92,93,24,76,2,11,61,43,35,52,66,79,19,51
k_96,23,21,66,81,8,31,2,49,52,15,55,86,46,24,77,85,3,35,63,42,84,93,35,52,13,17,69,19,82,83,76,61,19,75,13,63,30,22,90,86,45,60,53,12,11,1,67,99,47,67,34,19,30,61,37
k_97,92,69,42,10,13,60,36,31,67,12,47,84,97,29,30,25,14,26,67,32,32,85,84,28,65,65,53,76,87,25,62,10,11,52,58,80,40,64,66,74,78,84,2,44,9,30,78,82,85,61,81,85,24,28,98
k_98,29,48,7,86,7,15,61,76,91,9,12,99,100,49,65,28,98,57,12,9,90,32,66,54,54,2,73,27,56,98,69,62,79,24,55,44,13,8,79,30,22,80,67,24,24,22,12,76,90,82,1,37,33,40,85
k_99,41,35,62,2,82,40,4,7,41,81,44,67,65,26,58,9,17,71,30,23,40,80,51,61,96,55,38,85,5,64,85,93,81,62,93,18,45,68,28,56,65,82,19,11,59,43,42,71,92,7,70,77,66,18,17
