commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9
k_15,22,78,71,35,85,60,16,55,73,49,33,96,8,80,31,5,23,22,94,50,96,24,93,15,62,81,78,40,90,9,76,70,99,4,4,66,87,42,32,13,25,79,95,56,35,63,9,29,44,52
k_16,80,14,64,49,71,95,59,1,59,12,53,7,96,80,68,83,79,8,1,37,57,55,32,12,19,40,11,8,90,18,41,31,22,68,78,64,30,84,42,27,42,82,100,82,22,39,84,55,44,51
k_17,26,88,72,27,34,94,93,87,41,85,52,19,80,15,72,25,21,92,64,92,10,51,27,39,85,49,1,76,12,63,91,93,19,20,98,79,70,7,72,15,20,80,38,52,20,54,32,4,56,70
k_18,21,14,14,31,33,79,43,10,52,75,63,43,50,9,90,83,41,89,44,85,1,90,87,3,31,98,78,11,45,67,90,25,1,42,81,12,11,46,82,32,58,5,52,86,19,72,51,2,44,82
k_19,64,35,33,74,26,30,27,12,79,86,10,26,31,94,20,77,51,37,8,4,11,14,80,54,68,79,16,68,78,47,52,93,8,70,57,6,59,11,33,35,90,96,73,8,10,83,52,34,60,16
k_20,67,65,18,78,47,35,77,15,69,37,18,92,81,86,61,79,74,38,97,84,47,74,5,51,19,8,20,40,7,99,23,97,44,93,94,63,28,48,3,53,6,38,26,2,35,53,9,83,30,99
k_21,88,93,4,100,4,11,100,92,88,14,77,3,37,71,95,99,63,32,49,6,30,4,24,31,5,91,54,20,81,99,77,66,90,32,88,90,96,99,81,78,90,66,96,36,35,86,54,78,39,100
k_22,55,98,41,91,73,71,76,26,61,91,63,96,35,70,37,13,78,64,79,78,31,77,58,43,66,85,7,64,47,68,6,71,22,87,42,38,13,56,38,95,82,86,35,70,7,30,63,91,27,70
k_23,27,57,85,66,50,41,93,62,71,96,71,74,85,97,37,91,52,52,63,79,65,17,43,23,54,90,1,60,23,1,28,86,54,71,82,58,81,67,62,74,50,89,78,3,98,21,52,34,38,62
k_24,75,97,88,11,23,61,44,31,63,33,28,52,88,26,69,93,16,13,18,54,72,37,30,52,83,26,21,81,43,84,6,53,68,72,46,36,4,99,94,21,72,61,54,77,12,92,33,91,54,30
k_25,52,11,11,39,77,10,32,59,96,40,58,71,66,11,2,87,6,90,22,55,40,65,3,8,100,58,24,48,20,72,10,26,1,36,29,45,44,16,96,34,73,3,86,67,64,67,63,10,13,69
k_26,37,79,96,4,65,26,51,71,94,41,67,47,25,12,83,97,37,66,50,88,13,99,16,78,51,92,40,71,88,77,93,92,12,25,46,91,84,7,10,93,85,35,52,77,34,25,40,39,70,35
k_27,72,86,79,65,86,1,75,54,31,65,57,49,86,14,18,99,1,34,31,56,57,45,73,17,18,9,78,31,60,92,14,45,71,13,87,54,61,53,58,75,84,93,86,72,54,6,8,37,83,92
k_28,89,63,76,31,99,53,10,61,69,9,13,49,46,84,35,2,65,25,84,45,46,15,17,52,58,48,86,47,78,16,34,61,61,47,80,64,11,85,42,32,3,52,25,93,77,2,85,48,98,75
k_29,68,57,53,90,12,97,70,99,11,30,50,32,93,71,100,19,11,72,1,33,87,94,41,21,20,17,51,57,98,2,2,13,74,6,19,24,73,75,25,41,12,14,94,12,31,8,5,38,4,34
k_30,43,25,49,56,53,89,91,84,31,74,22,78,65,82,20,59,42,74,13,91,11,12,22,80,88,9,30,95,61,95,40,30,7,2,52,74,3,20,19,62,20,2,17,54,38,79,78,97,50,47
k_31,86,47,51,28,69,12,49,83,57,62,85,89,51,58,29,20,91,49,24,62,89,36,5,46,13,6,99,42,10,95,48,87,39,100,61,40,92,25,59,79,28,4,74,7,77,67,79,69,8,73
k_32,74,47,95,32,67,38,47,92,78,64,97,3,59,2,55,55,66,68,6,19,51,41,4,21,66,35,81,69,89,18,75,96,1,75,47,93,56,59,42,49,73,15,53,63,72,70,31,67,94,82
k_33,81,88,11,12,55,62,70,98,59,71,80,100,89,32,97,34,75,63,89,42,18,95,72,50,83,50,29,32,84,44,61,22,56,9,9,53,36,63,35,36,22,46,90,76,34,80,62,69,9,67
k_34,2,43,3,86,4,15,88,34,56,56,7,42,66,22,100,24,13,93,45,74,52,60,74,18,78,86,96,23,36,56,64,33,22,34,14,25,31,10,78,92,49,36,88,33,70,98,46,16,99,98
k_35,55,9,31,48,79,25,84,37,97,17,73,72,17,27,47,46,8,27,71,43,51,12,90,9,34,88,54,31,45,10,97,52,37,78,40,7,38,63,6,30,58,14,1,11,52,28,50,65,95,15
k_36,83,9,87,78,84,14,63,40,54,15,21,41,49,99,72,56,58,97,25,79,47,53,75,2,13,14,80,48,36,75,96,45,6,27,54,72,19,41,96,91,28,64,22,35,3,55,33,99,88,40
k_37,25,81,26,74,88,53,100,89,98,10,47,86,51,38,5,95,70,22,94,95,87,47,64,81,39,26,17,99,88,54,24,96,37,5,31,77,41,55,64,31,24,17,79,10,66,74,64,41,1,36
k_38,39,60,51,7,55,3,37,1,36,40,59,10,1,35,98,7,88,3,40,21,89,13,3,76,95,65,56,49,56,12,3,81,48,94,60,41,89,45,23,84,72,44,88,34,69,56,4,27,57,3
k_39,38,87,100,3,65,75,10,98,82,15,74,16,74,53,15,22,68,42,69,66,80,98,76,83,24,80,70,83,2,13,90,52,91,42,23,91,34,21,77,2,56,92,5,97,22,6,49,39,23,100
k_40,47,50,75,93,10,20,85,23,76,74,17,87,49,62,15,54,63,39,34,45,97,81,1,72,19,12,46,41,79,91,12,2,42,70,87,93,50,6,23,72,70,5,68,26,90,53,60,16,3,18
k_41,21,21,8,78,28,82,86,19,70,97,44,52,9,31,25,61,94,98,89,64,81,52,79,81,73,28,58,5,83,43,37,11,47,72,13,87,72,89,44,54,95,1,38,9,54,1,39,40,20,71
k_42,99,83,35,72,55,90,89,68,77,89,63,48,1,78,67,92,47,41,25,5,43,29,18,68,74,87,76,81,65,71,49,56,86,55,17,45,100,93,94,100,76,28,61,100,51,62,36,19,92,3
k_43,48,59,56,1,84,73,8,66,63,64,33,60,43,40,46,13,80,31,10,41,88,97,22,91,57,42,34,58,38,48,21,48,67,74,55,38,29,45,36,97,19,82,74,60,4,91,29,80,62,94
k_44,61,67,55,98,69,8,41,46,72,9,16,29,89,9,81,44,23,35,67,62,40,48,59,81,26,44,95,94,24,78,67,4,46,31,66,89,66,13,69,55,40,77,44,90,19,91,56,97,99,95
k_45,45,49,17,79,45,12,65,77,69,20,4,33,97,21,34,98,82,3,52,26,98,59,28,94,81,35,35,82,49,50,73,76,40,64,50,38,41,16,9,55,94,91,33,54,88,79,69,77,74,3
k_46,77,12,52,68,74,34,58,1,56,90,79,24,67,52,17,14,17,11,55,6,8,96,67,60,11,61,12,17,68,42,51,14,1,15,38,96,77,17,87,40,8,69,28,100,77,90,11,44,51,53
k_47,83,68,73,96,80,21,42,6,21,26,40,70,55,50,81,97,99,96,30,45,69,72,10,56,9,61,20,37,42,70,98,28,49,8,25,81,63,43,20,42,17,29,98,25,29,81,84,37,23,88
k_48,16,2,93,22,40,52,49,66,98,15,74,38,69,87,40,25,21,96,13,78,33,64,53,68,19,68,100,88,16,99,28,66,95,31,93,32,75,18,15,75,65,42,65,57,66,100,59,1,78,2
k_49,72,2,60,69,96,21,79,55,66,86,25,1,3,52,38,83,11,89,68,83,23,88,13,57,51,9,41,79,90,40,25,89,48,76,39,79,58,18,50,30,81,39,86,7,27,61,78,94,60,89
k_50,21,78,8,74,38,30,14,86,37,47,80,81,92,3,86,67,96,27,73,89,60,30,87,41,23,51,89,66,99,67,4,86,27,21,33,80,64,4,74,84,33,67,48,1,96,23,24,39,47,14
k_51,25,33,11,98,79,50,20,64,100,30,73,23,91,15,100,64,66,87,6,42,100,33,62,47,90,95,66,43,80,27,100,11,58,22,3,60,44,87,64,96,58,63,27,52,33,34,22,52,90,77
k_52,59,32,11,99,68,93,80,90,49,5,81,51,61,82,61,82,41,100,91,44,48,51,15,68,4,49,1,30,90,7,13,14,64,15,71,43,73,75,37,57,27,98,8,24,84,85,30,19,85,46
k_53,97,14,81,15,2,3,3,90,77,77,81,7,80,91,34,15,18,66,16,54,74,57,94,11,28,71,99,45,8,96,73,45,73,36,38,62,54,7,58,2,14,2,69,28,21,90,34,13,34,25
k_54,39,85,12,22,55,13,81,61,76,34,49,98,13,68,33,50,72,20,86,3,54,93,32,68,47,63,26,25,48,47,55,77,69,46,11,86,90,83,33,98,91,68,63,74,89,96,60,81,14,84
k_55,29,71,24,43,12,25,9,73,59,86,77,50,85,13,76,42,59,41,48,83,97,15,97,97,5,68,83,12,95,52,53,22,6,22,52,91,75,65,94,100,22,49,91,89,59,68,23,64,72,59
k_56,75,16,4,64,2,10,5,54,10,26,95,49,33,4,50,92,76,7,12,10,38,33,34,7,79,23,1,64,50,59,29,100,40,56,39,96,52,49,61,1,12,79,74,55,11,44,39,59,11,28
k_57,57,53,44,81,65,75,12,68,83,53,71,28,17,46,52,82,80,52,67,58,6,23,72,2,56,48,11,20,67,9,27,43,9,12,100,48,10,99,36,2,57,13,55,77,25,12,99,33,95,8
k_58,39,91,30,56,41,2,82,86,45,80,37,52,91,62,26,73,43,20,94,40,63,33,53,2,14,57,100,27,10,25,15,3,96,65,12,92,22,58,59,29,24,74,38,96,34,78,66,65,36,15
k_59,87,38,2,28,34,54,57,28,37,20,44,39,62,10,64,31,86,12,33,56,44,98,68,40,11,38,93,56,84,31,97,16,51,88,49,14,8,21,49,39,16,36,56,97,73,17,51,48,22,36
k_60,23,75,3,38,11,73,21,63,48,80,56,82,2,59,51,36,69,3,90,27,92,59,39,68,26,93,34,3,24,47,14,80,90,71,31,66,86,100,86,54,70,24,3,51,85,66,31,80,66,97
k_61,49,23,73,13,42,72,97,96,51,44,32,98,61,82,41,43,58,90,78,72,26,71,55,89,41,64,78,35,2,53,76,49,25,57,11,92,25,61,45,71,93,62,100,3,33,42,13,4,43,21
k_62,34,35,21,24,87,72,6,83,43,25,49,48,39,13,60,17,96,43,75,21,69,93,26,23,14,65,21,59,29,43,23,93,92,74,26,76,58,19,65,85,89,72,41,67,11,9,44,53,37,52
k_63,51,53,58,67,41,14,68,23,34,6,65,86,15,40,10,96,49,45,17,73,5,36,2,12,62,74,13,89,81,78,7,59,87,99,8,68,87,71,24,40,5,44,18,100,21,69,61,1,72,22
k_64,19,5,92,5,96,27,45,18,88,65,99,52,70,90,78,28,80,91,36,31,61,10,26,83,94,93,37,74,74,48,12,80,89,55,99,32,38,17,25,98,96,84,37,7,65,85,67,19,76,17
k_65,15,46,20,81,67,18,42,50,12,14,50,45,36,75,59,84,77,61,32,70,77,72,74,85,67,34,81,89,81,67,8,35,91,11,47,29,94,35,82,18,38,2,78,59,54,80,74,61,69,90
k_66,41,47,24,16,4,29,60,1,7,52,47,52,50,82,97,83,33,49,93,36,78,56,44,100,43,19,72,41,61,10,60,54,53,17,17,3,3,92,82,63,9,89,50,74,11,39,78,99,66,70
k_67,32,71,29,56,76,54,68,78,19,21,35,40,79,46,73,98,97,62,97,11,9,32,16,9,4,57,84,97,97,50,59,16,86,45,82,9,92,8,35,2,88,72,63,62,41,26,13,79,8,38
k_68,99,53,48,58,10,36,90,24,83,54,38,33,51,13,74,39,95,28,34,54,17,4,34,76,97,38,89,29,78,39,91,94,38,20,8,42,62,85,75,95,97,67,39,7,15,10,16,29,25,8
k_69,26,11,75,98,17,6,73,41,94,20,71,58,42,86,48,8,21,89,14,61,6,79,6,8,52,82,97,66,65,81,36,58,87,86,22,86,55,8,93,98,65,25,16,74,18,1,5,36,87,55
k_70,6,99,42,80,15,74,12,22,18,42,85,15,2,8,9,57,82,92,45,49,57,55,88,53,50,86,9,69,50,39,24,25,96,21,30,28,87,90,62,59,72,13,94,77,81,22,29,85,52,95
k_71,88,40,58,39,44,23,84,65,14,36,93,13,93,30,70,45,91,42,23,92,19,9,38,97,49,8,43,24,37,83,7,53,16,89,94,54,75,70,31,78,5,98,13,76,23,99,28,92,99,63
k_72,42,42,97,47,100,72,95,15,79,26,38,59,47,75,36,34,47,41,41,92,4,83,21,3,27,57,98,5,94,5,14,18,61,47,24,35,67,18,61,20,13,37,8,81,51,1,25,32,38,5
k_73,16,37,87,79,39,63,44,48,70,94,55,44,59,76,97,65,34,78,21,81,53,47,56,56,35,15,56,87,46,48,6,78,71,22,84,9,38,87,26,61,62,98,42,82,11,4,50,47,61,64
k_74,49,32,38,83,23,53,52,33,8,35,99,94,44,30,2,61,88,57,8,2,65,83,85,2,69,36,64,62,96,23,95,57,15,98,50,55,30,12,21,67,44,34,33,8,53,94,72,37,17,15
k_75,6,74,38,50,21,65,59,32,66,79,16,81,18,84,52,62,48,63,50,51,62,73,54,3,52,98,9,42,17,16,84,27,18,95,80,11,67,14,25,80,30,64,85,30,19,33,82,84,28,73
k_76,56,56,49,25,37,83,75,8,74,60,93,64,98,57,93,72,84,56,9,57,75,12,47,99,37,89,98,96,54,82,56,2,50,100,98,20,5,98,96,8,19,56,53,52,23,83,78,90,19,98
k_77,66,10,7,5,100,84,94,40,31,72,76,84,52,92,31,39,4,86,64,45,56,56,95,87,15,8,16,43,96,1,83,88,55,86,74,87,94,50,68,95,32,90,25,74,77,85,29,72,44,20
k_78,69,33,84,88,42,54,43,56,52,81,54,74,31,19,14,36,67,44,40,77,1,7,77,9,14,45,35,7,22,91,75,5,7,14,44,31,95,39,27,83,79,62,95,67,74,92,55,49,99,66
k_79,45,36,22,44,4,10,24,46,35,60,66,60,27,85,15,59,99,22,54,16,1,53,75,98,21,86,49,3,29,45,42,93,26,63,89,62,1,40,76,100,6,40,93,8,25,90,35,15,67,81
k_80,91,50,67,100,24,10,4,70,85,37,73,41,15,59,16,15,49,67,97,89,73,50,28,45,77,68,54,93,72,40,25,52,38,85,48,60,48,39,34,22,1,27,15,6,64,88,83,29,84,51
k_81,82,81,56,61,48,86,49,9,47,55,87,31,62,39,76,37,94,51,63,94,72,23,94,24,37,75,95,38,29,83,26,2,15,92,6,7,51,5,70,71,66,41,33,3,20,100,17,28,62,67
k_82,19,93,62,27,43,7,95,3,79,69,97,7,72,38,17,16,70,51,49,16,54,79,80,41,88,68,19,16,40,34,30,97,46,71,57,94,91,74,39,77,95,89,37,13,98,18,93,15,79,18
k_83,76,97,35,57,3,7,65,61,71,23,80,42,45,15,50,21,26,82,67,91,34,65,20,9,49,74,17,29,87,50,16,51,88,100,81,13,22,59,69,78,97,24,64,74,66,36,85,74,66,34
k_84,51,2,1,42,68,23,92,68,43,23,79,9,22,15,90,49,15,49,99,28,56,36,43,12,57,11,10,93,2,99,85,71,20,44,88,87,1,19,8,52,82,56,65,53,93,78,94,95,87,83
k_85,85,95,99,90,55,100,96,26,91,3,17,15,45,82,29,14,84,68,39,79,35,29,7,74,52,21,64,55,46,21,55,52,28,86,62,34,46,79,68,3,99,2,45,11,42,92,12,14,90,9
k_86,72,96,20,1,14,29,42,81,7,81,53,47,78,45,1,33,56,9,53,39,74,69,60,50,62,28,56,16,94,43,90,11,62,96,81,70,99,54,15,60,34,8,24,51,59,18,3,86,19,36
k_87,98,39,4,23,13,44,75,9,55,54,82,62,71,1,48,99,95,15,74,20,69,45,38,27,54,45,86,7,77,38,58,12,40,81,2,48,100,53,74,18,36,73,54,72,25,5,79,9,73,36
k_88,34,6,58,58,65,45,55,48,42,40,17,68,74,86,86,28,78,3,99,53,8,21,73,83,76,39,60,22,83,99,44,76,2,9,16,64,8,82,91,52,99,35,74,16,85,76,43,51,83,45
k_89,10,23,32,74,96,68,33,77,17,39,76,20,57,81,31,84,40,39,23,91,23,1,72,13,96,23,38,20,91,37,76,88,37,57,25,5,16,93,89,77,86,48,5,82,13,55,49,92,8,51
k_90,82,13,15,23,63,77,43,5,63,34,85,82,48,91,98,96,71,48,61,11,34,96,25,17,1,29,68,91,15,59,61,34,37,58,50,74,62,2,85,85,14,8,88,91,85,55,39,67,2,90
k_91,46,15,30,33,43,69,8,55,22,4,16,76,62,92,79,3,39,99,19,48,11,31,53,46,79,8,29,45,17,10,92,48,4,1,19,84,12,64,82,79,81,98,1,100,30,19,34,75,24,70
k_92,83,21,52,90,97,95,11,28,71,52,93,18,4,92,12,90,28,49,54,23,45,22,32,86,49,20,44,64,18,90,60,44,45,15,8,82,10,41,35,35,16,10,51,13,65,85,68,25,23,76
k_93,61,5,85,80,45,8,57,35,86,1,47,13,67,76,45,24,29,29,33,31,31,20,24,61,35,15,29,84,76,26,71,74,97,66,74,34,7,36,76,88,49,51,96,34,25,37,78,92,31,16
k_94,21,18,67,38,98,18,53,13,63,49,37,90,38,4,87,70,22,8,96,36,36,100,66,4,73,97,7,2,49,86,22,94,21,21,55,18,43,54,88,77,10,42,93,43,82,28,72,38,20,66
k_95,35,39,49,4,50,64,78,70,63,61,91,29,68,98,15,49,90,79,27,43,12,1,24,17,50,37,74,93,44,41,27,75,55,5,100,46,85,34,98,16,66,1,43,79,24,94,30,52,68,13
k_96,76,39,6,72,23,81,92,78,55,9,71,83,23,100,2,47,61,41,22,9,100,94,62,74,43,13,92,33,93,24,26,36,78,42,5,37,3,82,85,25,2,64,82,15,33,69,56,32,82,14
k_97,54,75,72,77,49,58,43,7,60,24,47,90,85,100,65,51,90,28,49,62,17,65,69,46,66,95,73,35,81,80,97,96,43,52,34,52,54,2,65,10,88,37,79,44,75,56,94,94,76,45
k_98,50,69,8,24,59,16,11,73,28,2,72,10,65,42,85,66,47,4,2,43,13,20,4,26,41,79,4,84,55,85,35,98,44,47,1,25,96,72,15,26,91,75,43,17,84,61,97,77,21,37
k_99,1,12,57,90,28,99,83,97,1,38,96,43,36,80,61,29,81,48,93,28,83,72,55,19,12,67,75,71,97,71,100,41,90,23,11,63,57,44,86,57,4,33,72,12,64,94,47,31,77,12
