commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_8,e_9
k_19,87,35,33,7,18,66,27,18,71,99,4,66,26,19,72,98,99,11,10,58,14,68,4,14,77,74,6,43,18,8,28,73,48,62,87,38,53,60,21,75,37,39,95,7,89,99,25,89,93,54,56,82,48,90,87,7,11,97,50,91,43,82,4,80,13,43,12,15,49,17
k_20,99,22,72,31,67,74,18,46,35,24,5,68,83,65,76,9,56,75,45,68,15,38,33,47,100,46,41,16,60,71,61,52,65,100,7,75,6,73,73,66,76,81,71,89,73,3,3,75,33,56,83,25,3,54,75,36,46,13,22,96,63,93,90,4,11,18,66,61,37,55
k_21,34,66,77,37,47,55,91,81,33,58,39,3,47,76,3,73,19,27,18,22,63,81,52,94,58,25,46,99,12,60,24,69,6,33,20,42,91,78,33,82,95,19,44,63,33,20,64,4,7,41,63,92,41,28,65,71,83,30,49,15,28,43,8,33,13,71,13,8,84,64
k_22,3,34,2,23,22,37,81,6,76,53,77,62,35,39,4,11,37,12,45,5,65,41,58,40,32,69,95,14,15,51,88,69,67,83,50,5,70,89,13,36,99,73,87,20,67,79,62,85,48,61,92,2,30,38,32,58,49,2,51,88,99,97,31,22,24,86,96,50,38,52
k_23,7,69,26,81,26,65,53,95,85,66,36,53,36,20,45,47,16,39,23,64,7,96,7,43,2,25,80,73,18,67,25,64,100,58,58,39,29,31,77,81,29,76,31,84,13,62,17,77,20,60,83,85,30,43,26,74,16,79,38,89,81,61,48,64,14,92,27,45,73,71
k_24,85,51,24,77,55,33,97,85,10,79,29,8,49,77,63,79,57,68,89,27,33,24,73,24,32,47,37,74,49,65,12,13,3,54,44,39,64,13,88,88,93,88,20,51,59,63,56,18,46,19,31,24,2,18,13,27,29,62,36,67,56,73,77,86,36,53,32,85,11,69
k_25,93,27,54,68,4,43,100,15,80,51,54,50,24,72,59,66,29,4,35,36,49,97,9,45,66,59,84,81,7,13,35,81,47,96,67,13,47,62,57,61,55,98,7,20,96,96,51,10,54,26,82,25,39,66,61,76,19,69,30,37,54,46,61,42,50,45,45,19,74,53
k_26,44,54,16,71,50,37,23,17,98,21,61,60,98,77,11,5,34,51,80,50,95,26,55,73,80,79,82,90,27,71,4,25,73,58,44,91,51,95,65,88,100,7,16,29,80,6,23,79,78,87,93,44,6,80,94,33,5,37,68,76,87,45,57,94,7,28,5,83,13,7
k_27,73,65,38,37,11,85,72,7,46,27,67,83,75,37,94,9,100,77,59,6,97,11,63,17,92,13,91,10,7,85,11,25,13,56,6,58,86,49,83,85,97,74,21,10,39,2,10,95,83,75,46,49,62,6,90,56,43,43,86,49,25,95,78,53,64,5,16,54,84,63
k_28,81,94,81,76,3,43,38,84,76,82,20,31,86,59,49,99,23,7,29,98,37,79,14,89,87,39,52,29,53,87,14,23,35,26,82,78,59,24,19,83,13,97,25,13,27,90,10,73,36,6,33,32,23,38,29,36,94,86,67,88,8,90,58,34,91,69,30,19,33,50
k_29,80,54,99,39,43,26,79,68,35,89,34,57,5,66,62,71,39,81,18,5,43,81,81,85,32,51,33,59,86,7,99,90,21,48,24,59,50,86,83,74,16,29,47,43,6,11,48,18,49,38,80,49,45,59,41,40,39,49,48,43,19,32,79,48,45,63,91,4,63,73
k_30,28,80,17,49,48,100,42,7,58,1,74,82,93,64,77,17,74,63,63,71,39,6,45,32,64,2,74,88,79,85,47,25,6,59,25,73,51,46,59,81,18,14,26,25,31,81,60,35,89,1,19,59,51,70,5,23,4,96,12,62,56,46,5,24,18,27,69,62,52,40
k_31,2,97,71,25,15,23,58,58,95,90,7,66,20,35,21,9,3,14,38,53,16,61,86,67,41,90,89,94,53,80,50,67,59,12,70,27,32,74,91,49,70,68,98,67,63,12,15,27,33,69,98,24,98,24,13,35,93,57,91,40,69,7,88,33,63,44,1,36,46,87
k_32,67,91,52,95,51,80,34,48,40,73,82,2,26,47,31,32,67,64,16,23,94,20,80,94,20,45,10,96,40,86,23,12,21,90,63,100,40,89,95,78,100,56,43,25,32,16,59,54,19,80,54,6,87,98,28,21,51,2,34,7,25,23,30,83,91,1,4,45,31,17
k_33,52,39,33,7,4,48,49,30,14,89,18,37,18,99,54,45,39,86,84,20,45,88,56,65,9,100,98,29,30,94,91,8,9,8,51,30,83,13,35,9,14,81,100,85,5,77,10,47,26,41,77,20,68,51,67,91,96,40,42,70,79,100,25,79,7,2,30,42,44,91
k_34,97,42,16,95,85,40,31,50,43,52,58,4,75,47,62,56,78,11,48,69,86,15,54,91,34,89,78,73,76,79,63,58,56,93,81,29,17,67,28,9,11,47,18,28,82,19,82,11,93,37,70,99,57,4,52,96,81,88,53,38,88,83,87,96,77,78,80,84,24,30
k_35,75,63,80,4,42,9,87,35,34,1,64,93,6,92,50,55,27,6,45,23,33,55,28,48,45,59,75,37,46,57,60,60,26,49,57,41,92,49,58,98,31,94,51,87,34,17,22,30,97,100,94,38,39,20,23,56,65,96,49,49,52,11,41,42,98,74,61,39,95,31
k_36,88,60,60,65,8,64,33,83,59,10,93,77,98,35,98,24,10,46,15,41,78,3,100,76,22,74,74,17,29,3,28,22,57,53,63,68,64,51,67,97,68,9,14,11,20,45,85,19,11,8,80,78,10,57,53,80,37,88,55,47,82,29,6,31,39,18,29,97,100,76
k_37,63,36,17,9,19,69,86,99,94,80,87,91,9,61,32,93,100,19,45,10,38,33,19,46,24,81,53,9,78,12,48,54,49,96,63,6,49,35,2,95,23,40,7,80,55,20,87,1,1,26,28,52,69,33,84,28,25,45,67,31,50,32,70,69,84,61,9,33,70,78
k_38,46,89,82,5,64,47,6,93,74,41,11,98,14,43,99,92,82,72,58,30,80,55,16,63,25,64,81,62,56,82,40,85,60,52,37,63,8,73,62,73,51,71,18,52,74,64,47,29,18,82,55,25,100,62,58,87,44,80,63,85,50,25,78,45,16,58,91,7,73,86
k_39,55,25,88,74,44,92,96,65,89,70,62,98,35,16,19,46,89,99,66,48,24,90,72,77,50,80,55,76,98,31,63,45,25,88,40,55,43,56,57,2,73,85,100,10,7,66,87,90,70,84,83,1,79,66,75,96,42,59,81,49,58,17,67,19,91,6,24,96,19,35
k_40,9,37,42,8,64,4,19,13,65,31,94,69,28,71,75,60,65,22,95,36,5,88,58,87,41,60,1,78,75,3,45,2,58,64,96,36,3,100,57,39,73,24,72,6,86,97,27,100,31,71,63,46,26,32,20,98,48,74,77,79,47,47,27,8,73,76,37,19,14,30
k_41,84,66,21,26,86,68,16,21,84,100,2,64,30,29,38,55,7,92,61,50,9,41,98,29,23,54,93,97,4,56,5,2,66,27,56,55,86,98,1,69,82,76,23,25,38,74,83,18,57,70,96,75,23,64,40,88,23,72,25,31,69,21,2,19,26,81,37,7,50,48
k_42,73,60,58,97,73,43,45,46,47,79,93,10,49,81,90,4,50,11,70,65,31,13,60,33,56,66,51,32,91,93,72,42,60,67,31,91,32,71,10,34,27,55,98,80,28,57,10,97,26,14,24,1,44,85,1,17,59,78,22,87,100,43,93,87,18,30,88,10,18,43
k_43,55,28,39,12,15,78,72,30,100,36,51,35,72,35,20,60,69,44,75,99,100,70,83,30,72,27,16,92,54,13,89,17,99,18,49,82,73,42,57,69,86,82,99,43,65,67,50,90,81,74,9,60,73,40,32,47,93,85,72,69,59,68,82,46,42,79,29,9,60,90
k_44,83,53,71,1,65,36,76,71,64,66,9,23,9,29,92,81,87,31,20,78,26,57,26,36,9,75,85,75,30,13,45,84,74,26,81,16,74,49,51,29,87,68,37,90,79,44,57,66,75,94,77,60,69,58,97,92,5,5,70,16,74,86,80,100,14,73,86,51,83,35
k_45,10,86,62,75,98,32,28,86,9,57,31,39,61,14,22,5,12,47,44,53,93,73,98,49,98,34,70,49,3,38,77,21,34,34,90,87,22,97,76,23,6,96,11,23,6,48,90,92,9,67,45,92,39,15,42,40,87,62,92,24,68,81,53,85,39,91,20,34,78,30
k_46,22,97,86,24,21,10,42,77,12,81,10,90,84,20,43,85,34,91,62,23,24,45,27,83,93,12,91,50,58,91,25,46,28,35,72,57,19,61,79,8,51,20,12,83,7,31,29,8,75,48,81,5,13,97,15,16,22,72,64,34,63,31,33,16,13,4,6,42,13,39
k_47,1,16,79,41,10,39,58,15,96,12,43,35,32,22,84,43,58,37,56,30,13,49,14,8,53,23,71,18,44,64,60,37,97,82,93,7,63,99,67,85,53,89,21,55,79,21,83,32,60,62,29,93,7,83,57,68,91,90,13,96,17,97,50,37,49,13,31,53,80,6
k_48,40,19,11,47,40,83,92,50,30,78,61,42,35,47,100,47,55,85,12,31,60,36,55,38,50,99,81,16,8,23,85,94,49,94,17,80,89,82,7,10,35,17,75,63,83,29,35,19,65,82,4,58,56,76,40,75,19,53,11,2,66,58,42,67,29,97,76,21,79,70
k_49,32,61,13,95,88,60,30,31,30,18,16,51,68,26,77,63,16,13,75,84,1,25,75,65,24,2,3,1,24,10,28,21,15,18,27,82,2,25,8,11,85,20,27,11,99,35,32,35,4,43,58,90,80,79,46,4,35,63,3,61,54,77,86,96,13,90,91,59,28,97
k_50,13,24,92,79,24,25,46,76,2,86,37,29,5,26,59,9,59,39,71,3,94,23,14,94,57,27,48,36,91,53,70,39,75,2,30,59,80,86,88,50,72,20,14,42,76,84,29,77,16,4,30,83,90,76,47,53,39,10,45,35,59,25,56,33,43,86,71,43,96,17
k_51,100,26,59,20,27,87,49,32,84,44,58,84,97,48,90,44,10,14,74,52,20,91,80,35,36,8,88,62,73,75,30,28,57,90,91,49,33,48,43,17,28,84,39,48,15,88,32,9,14,69,82,55,24,45,11,39,73,71,39,90,26,50,26,50,27,49,40,23,63,54
k_52,23,61,13,17,80,38,65,24,26,61,90,13,52,12,63,65,64,8,85,3,74,14,7,85,44,10,45,58,44,7,52,72,29,39,19,24,62,76,27,97,86,22,3,8,77,66,8,52,97,90,44,93,80,10,39,78,9,1,94,76,77,58,8,39,54,87,56,50,7,58
k_53,63,92,75,62,15,38,25,56,18,66,30,61,93,6,63,6,36,6,63,55,11,21,15,13,87,64,5,90,72,98,72,40,61,15,78,86,89,79,57,43,64,86,44,71,19,16,11,32,93,26,15,61,85,70,88,16,94,31,19,76,65,89,26,19,60,5,70,66,2,9
k_54,32,25,59,59,35,47,14,32,76,5,64,38,73,45,15,18,72,44,51,41,40,72,88,90,87,37,46,28,3,84,19,51,36,14,49,55,74,80,80,50,89,65,29,88,90,99,57,56,63,80,64,50,7,17,45,99,66,15,56,12,95,19,28,52,52,28,11,68,74,61
k_55,30,25,53,9,49,69,13,34,97,31,92,30,18,73,12,76,18,80,30,40,31,1,93,36,46,1,24,68,99,28,10,79,26,81,87,8,8,99,84,23,86,30,39,90,37,47,74,19,52,23,38,33,35,88,80,83,6,27,12,70,65,6,86,19,91,26,99,62,45,5
k_56,93,5,87,24,41,60,41,34,1,90,37,60,95,45,53,90,22,87,89,95,3,100,1,73,61,89,95,3,4,44,22,49,36,38,73,58,82,97,13,91,37,77,74,27,75,88,20,21,16,86,3,22,35,94,81,32,8,3,32,56,37,68,33,44,75,87,84,97,3,88
k_57,66,29,58,12,70,60,6,60,60,5,64,37,96,87,43,80,99,57,93,6,5,46,30,49,63,61,63,87,38,1,58,28,65,36,83,40,76,80,71,10,14,3,45,1,36,88,36,36,50,19,47,41,93,1,73,23,75,29,64,90,37,96,62,9,3,67,18,52,74,81
k_58,28,23,63,2,24,93,86,30,98,76,13,17,98,83,74,24,15,99,76,47,99,26,46,73,1,82,7,31,78,55,9,84,96,37,98,24,42,44,1,85,24,82,1,69,96,21,96,83,40,52,58,71,41,21,84,37,11,24,82,40,72,92,24,11,73,8,33,29,86,56
k_59,80,86,33,17,62,2,74,59,25,7,47,97,75,99,62,43,98,38,45,93,64,22,92,77,25,20,37,53,29,59,6,72,39,17,1,74,78,37,29,15,95,47,86,80,58,11,46,41,87,70,33,21,3,40,35,13,30,77,82,67,17,35,8,80,55,9,17,36,73,93
k_60,51,18,63,17,41,11,100,74,41,86,11,99,47,57,88,83,66,56,34,9,64,99,31,54,42,29,95,38,38,4,73,25,98,70,21,56,48,80,75,45,55,10,36,75,67,97,87,72,81,35,77,18,94,78,58,61,12,14,50,43,19,50,22,20,47,54,31,52,56,35
k_61,22,40,4,98,38,26,66,85,33,73,17,67,83,42,62,45,39,33,11,98,27,32,46,76,62,14,93,6,23,17,85,78,87,71,45,87,66,28,38,96,70,84,36,71,42,68,53,41,47,38,82,88,51,14,16,80,95,24,8,86,62,71,62,41,66,88,54,65,15,56
k_62,17,38,16,45,21,22,16,69,87,83,13,92,59,31,63,45,10,97,25,42,98,54,11,30,38,91,64,70,60,78,99,36,99,6,91,12,95,34,39,67,92,93,59,60,96,91,68,53,52,63,18,87,96,57,51,39,48,4,99,89,97,36,95,9,35,26,19,61,86,66
k_63,89,51,38,50,85,8,66,73,88,36,82,64,34,7,27,2,27,44,100,19,5,81,84,50,52,10,24,95,60,87,54,49,34,73,8,26,44,21,74,46,40,11,32,49,61,4,85,34,37,31,82,95,70,29,79,58,59,82,91,80,69,41,19,80,45,88,100,63,65,9
k_64,82,98,87,9,78,44,78,78,43,15,64,88,24,77,85,79,47,15,89,97,60,98,63,49,14,60,36,42,54,73,76,35,7,70,47,39,37,64,30,36,18,40,13,87,99,90,52,78,89,46,75,20,60,45,33,58,55,71,96,91,67,78,96,48,48,49,99,38,54,77
k_65,66,82,34,56,64,25,26,82,30,21,76,25,84,62,17,69,28,2,19,81,73,43,61,28,73,85,7,96,42,23,51,43,79,11,47,37,34,85,37,86,100,86,71,67,37,6,31,85,37,18,78,23,79,72,80,12,89,66,18,93,18,87,43,62,9,20,32,100,71,59
k_66,19,21,79,54,64,4,92,89,55,14,88,72,54,65,92,62,18,2,58,91,78,42,16,96,37,88,82,16,48,92,77,21,47,57,52,17,79,89,56,11,97,8,98,43,29,79,85,65,5,59,16,98,92,76,18,58,5,66,24,75,55,97,73,14,10,93,100,94,83,97
k_67,97,29,28,52,84,89,81,92,78,31,51,59,84,91,52,3,48,24,6,20,67,57,5,35,73,92,55,2,52,13,43,74,32,75,36,95,63,24,25,65,42,14,10,53,40,3,25,47,3,32,58,93,65,1,23,98,39,66,7,33,93,73,57,25,67,38,55,17,77,30
k_68,23,48,51,78,28,41,33,83,80,44,71,2,22,62,43,49,19,44,81,54,27,59,96,58,54,75,15,15,89,23,64,48,53,50,18,73,51,36,8,59,40,64,61,12,16,8,29,34,91,68,18,27,48,87,16,58,47,46,4,64,88,30,25,56,48,29,46,21,19,27
k_69,94,51,50,70,33,84,80,3,83,31,30,18,86,32,73,27,15,80,91,25,85,89,97,58,83,86,68,29,55,92,8,8,20,73,29,69,54,28,80,15,38,99,44,57,5,4,26,27,14,25,72,83,71,33,33,12,70,15,63,71,46,15,7,13,52,99,7,55,7,48
k_70,69,4,75,92,90,14,39,75,18,75,25,90,82,30,80,36,47,54,75,31,7,25,40,41,47,72,65,58,17,71,81,73,3,17,34,30,8,76,10,85,3,10,61,4,10,89,19,61,1,64,58,66,1,57,42,18,63,42,17,7,2,69,21,79,22,51,99,5,86,2
k_71,39,53,31,33,4,3,22,57,42,2,73,98,70,24,49,75,40,29,54,20,58,97,78,66,33,41,8,44,42,23,11,39,96,39,8,36,85,28,97,42,49,57,41,46,81,56,10,71,96,39,73,95,98,16,31,83,42,79,46,32,97,49,10,27,89,24,86,50,71,34
k_72,15,79,6,18,44,34,11,52,56,39,78,33,38,6,21,99,52,57,13,51,31,60,92,97,9,80,98,28,48,93,68,49,60,29,40,21,41,97,16,6,66,84,39,42,36,85,52,75,61,53,34,47,63,49,46,75,63,28,23,33,47,49,20,57,1,72,19,13,7,66
k_73,59,36,16,99,88,94,79,58,47,52,99,33,96,74,33,76,49,80,77,32,30,67,6,71,56,57,10,60,81,60,18,93,61,82,34,40,68,24,29,13,61,76,73,51,27,75,26,57,11,78,18,89,76,54,96,30,21,30,13,43,26,21,12,24,52,2,40,97,96,37
k_74,9,39,51,63,84,17,84,80,8,22,1,21,38,38,34,34,25,2,65,96,93,86,58,18,24,74,18,79,70,27,41,95,47,65,65,81,78,19,13,37,60,98,16,15,93,44,95,92,74,58,54,27,53,77,41,78,7,68,35,64,17,36,46,73,54,67,37,9,43,12
k_75,77,22,88,65,17,39,90,8,19,86,27,94,34,19,18,51,99,97,49,13,97,12,25,10,80,25,85,33,13,53,81,29,77,7,20,78,77,28,64,65,41,24,23,38,6,17,19,67,89,57,23,100,13,27,68,37,39,97,88,58,57,18,83,33,67,12,100,35,54,60
k_76,80,58,100,31,26,52,5,81,16,85,21,23,70,3,58,72,58,59,6,38,52,100,9,85,71,2,91,76,41,79,85,13,61,62,15,87,62,63,95,77,33,79,83,97,97,96,77,81,52,18,75,11,28,98,59,86,63,86,47,92,71,79,27,64,43,46,30,44,61,61
k_77,32,55,41,44,32,9,46,20,88,25,87,69,69,99,17,19,34,97,60,54,88,83,80,66,1,90,60,94,73,75,40,28,45,18,78,35,88,8,2,23,98,15,9,17,80,87,51,2,84,97,33,94,15,54,92,4,90,37,85,2,13,86,94,96,25,47,51,38,65,30
k_78,87,43,18,89,50,44,49,97,87,62,94,75,30,6,71,45,22,95,31,35,43,45,95,4,30,56,43,52,85,37,96,72,99,76,97,92,52,67,82,35,5,39,51,16,81,86,1,47,48,79,35,94,46,35,74,29,11,20,69,79,13,38,22,43,91,98,16,34,89,37
k_79,79,67,1,51,40,85,91,90,23,73,38,53,53,19,80,40,21,51,69,94,59,54,49,79,51,13,18,97,63,97,70,24,54,90,16,86,55,22,44,2,59,70,33,77,6,19,74,69,70,57,62,26,14,80,4,18,73,38,3,89,81,80,73,61,51,14,56,100,79,76
k_80,14,8,69,10,68,86,83,35,33,42,85,14,50,76,37,73,9,76,20,18,95,79,16,14,80,98,52,82,47,17,70,81,15,43,85,71,81,62,94,6,63,26,100,15,33,5,26,62,79,32,14,98,49,35,75,63,56,11,99,10,28,33,92,40,99,98,58,81,67,69
k_81,29,91,26,20,48,67,67,54,60,47,34,9,64,4,93,34,48,43,5,47,98,99,12,5,53,24,74,24,30,2,98,79,19,86,30,85,38,97,21,16,95,5,38,8,60,18,88,95,92,73,79,60,61,59,32,79,61,11,57,51,62,47,99,89,7,38,61,87,91,92
k_82,94,26,26,78,31,36,17,86,43,69,64,56,94,23,99,15,69,44,96,33,50,45,22,37,75,59,32,42,12,68,15,16,17,42,67,72,2,97,8,76,63,47,15,99,73,75,53,40,92,39,60,36,6,11,56,86,41,78,3,22,100,75,80,57,6,92,13,3,29,37
k_83,59,95,24,92,30,35,50,59,31,33,64,44,59,59,89,36,67,8,24,11,22,38,48,78,97,58,42,63,79,84,85,3,42,19,81,48,28,89,38,65,77,47,65,91,81,36,68,31,23,90,1,26,10,22,59,85,15,78,52,92,75,66,98,90,2,89,25,29,17,61
k_84,40,6,65,30,77,7,55,73,22,85,74,9,27,81,7,99,28,67,15,39,18,30,36,6,7,75,45,64,64,78,51,54,79,91,63,33,46,84,34,30,38,19,90,38,22,95,87,49,10,34,38,50,99,21,60,27,37,89,76,34,57,26,90,36,14,40,86,88,6,44
k_85,75,66,92,57,45,85,36,36,64,69,65,68,25,22,53,53,40,100,7,38,91,42,81,65,50,42,66,12,12,85,98,86,45,24,27,23,80,33,5,7,77,76,67,87,83,34,80,47,12,55,15,63,84,60,56,93,18,83,77,29,25,2,30,31,13,57,74,46,21,30
k_86,59,63,100,50,48,87,11,66,70,63,90,1,9,60,81,98,96,28,12,52,6,22,21,6,65,5,97,37,6,27,65,9,88,6,36,44,28,97,97,7,59,29,27,62,53,100,29,81,83,78,40,95,92,60,7,95,78,52,42,78,9,43,29,79,25,99,61,68,54,49
k_87,41,98,80,56,75,52,73,83,6,12,75,41,99,2,53,98,4,59,83,32,4,87,22,73,31,61,98,10,23,67,70,51,87,62,5,43,97,10,95,36,98,46,31,94,80,73,55,53,68,19,31,92,5,26,82,55,74,32,10,33,19,37,55,53,2,73,63,22,82,68
k_88,98,45,72,53,40,47,73,84,10,28,79,7,30,94,49,85,72,80,20,37,24,40,95,22,84,19,55,78,69,61,27,68,75,75,57,67,38,99,79,2,7,25,51,53,68,1,10,55,34,80,20,87,47,91,49,9,67,13,45,71,66,82,51,16,15,37,9,72,14,31
k_89,93,73,39,29,96,47,8,40,67,21,20,1,71,86,96,81,88,97,57,57,95,82,23,33,20,70,77,99,10,30,7,20,4,73,34,57,96,97,75,96,76,89,66,95,78,32,58,90,99,25,59,56,60,1,71,11,66,21,78,8,14,38,71,5,8,48,53,33,68,43
k_90,6,39,43,49,73,83,86,2,74,49,39,45,28,45,23,97,23,27,5,74,49,60,41,17,32,84,67,96,27,91,1,96,60,92,4,2,95,69,3,99,54,58,24,34,10,5,88,49,4,58,77,42,97,46,54,18,81,79,17,40,44,8,42,5,84,78,95,44,91,8
k_91,9,100,82,3,91,84,27,82,60,64,12,39,11,36,77,76,25,42,8,49,100,21,69,33,16,56,73,1,6,10,20,83,46,51,4,26,67,37,3,42,28,74,60,80,29,51,15,81,40,56,82,97,1,93,18,91,54,48,37,18,30,57,4,6,85,22,32,46,34,13
k_92,12,52,21,80,27,26,37,63,60,49,55,66,95,86,1,31,81,31,42,27,53,36,2,84,69,12,13,79,56,54,47,45,53,34,20,46,48,59,7,80,8,38,8,47,30,11,66,95,72,53,78,49,10,30,61,88,27,30,99,37,61,73,31,83,56,96,24,90,73,22
