commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_7,e_8,e_9
k_10,64,95,4,7,73,85,55,58,78,90,73,56,30,43,57,40,14,77,20,98,38,15,19,58,9,12,13,84,31,47,65,48,6,7,55,54,72,42,95,87,26,20,36,16,68,55,29,82,77,75,3,17,99,85,58,95,52,90,51,96,6,32,17,17,77
k_11,54,68,5,45,12,37,46,26,73,24,31,16,70,48,44,76,62,64,7,72,69,83,28,59,94,16,61,54,5,62,7,81,31,48,1,67,46,98,64,48,20,76,93,36,55,38,72,83,45,67,98,19,72,77,83,27,63,21,75,99,44,76,74,79,71
k_12,85,77,100,72,84,6,22,86,41,98,6,39,55,64,70,32,53,88,13,26,29,93,16,43,23,17,31,52,12,12,34,48,53,75,71,85,50,95,100,38,29,25,45,45,74,68,19,61,59,5,12,63,73,60,18,68,85,58,18,52,6,84,15,68,83
k_13,55,23,27,41,41,16,2,85,23,4,81,76,13,97,20,60,97,48,22,95,24,63,52,48,9,29,26,68,23,33,20,79,40,91,35,27,64,43,1,10,72,4,90,84,45,72,100,4,23,29,34,6,28,68,91,61,89,25,71,60,4,54,41,29,68
k_14,71,5,9,90,14,74,66,77,36,9,3,59,49,17,28,98,33,61,2,55,75,37,45,37,11,5,23,74,39,99,93,82,95,68,39,48,78,89,7,22,50,84,15,75,40,41,75,79,6,58,80,14,68,64,16,87,56,88,44,46,17,14,9,84,77
k_15,16,68,49,16,27,87,20,51,55,31,33,72,68,20,98,78,62,14,92,60,80,74,74,28,54,75,38,4,97,97,64,69,40,71,90,93,84,38,5,14,66,19,41,45,98,97,54,74,42,63,73,42,12,68,10,79,17,25,49,58,97,17,61,35,23
k_16,82,85,18,48,74,90,92,66,58,43,24,72,26,60,5,71,68,1,33,99,64,49,96,75,89,98,26,11,97,65,100,59,22,32,64,44,58,70,57,97,60,88,25,99,36,34,51,15,100,55,92,5,77,75,22,34,66,24,57,12,48,80,51,87,34
k_17,73,85,93,24,56,73,67,15,83,84,66,4,70,83,31,67,20,84,30,52,26,63,35,86,53,32,48,52,25,52,63,73,8,61,83,67,69,10,38,75,56,57,16,78,93,57,27,5,66,84,60,18,22,82,43,2,83,91,53,90,20,37,16,16,32
k_18,4,97,44,21,92,28,82,90,21,46,75,91,21,77,25,45,46,33,82,38,94,90,32,64,96,42,43,22,88,25,20,94,12,57,3,87,33,13,68,70,12,40,40,16,40,99,16,78,35,93,40,60,14,43,86,62,92,9,34,86,92,68,83,8,7
k_19,36,76,17,98,88,91,6,2,23,52,74,21,97,41,34,71,28,49,4,38,42,17,75,25,60,31,68,28,21,32,24,7,88,55,32,93,29,36,40,8,100,95,86,32,80,71,32,4,16,77,29,64,15,39,49,54,64,27,27,100,14,61,31,29,15
k_20,1,48,75,56,51,65,93,91,40,35,3,2,61,43,69,60,94,31,47,23,25,26,92,23,99,57,53,7,2,37,70,49,38,67,24,51,45,7,54,21,24,66,60,18,36,50,48,35,59,17,9,56,68,32,35,83,86,44,45,38,60,78,58,55,54
k_21,23,52,8,45,2,23,45,36,28,10,67,36,8,7,7,48,12,3,73,26,43,83,62,56,100,80,32,11,69,59,54,53,72,98,82,73,89,37,7,95,27,16,43,44,25,4,2,20,33,26,44,30,89,33,13,34,77,50,20,26,96,93,46,66,84
k_22,63,18,14,67,3,89,98,27,43,6,27,86,85,82,99,43,15,57,11,21,39,3,43,55,60,38,76,70,81,70,7,48,82,32,24,45,55,19,68,17,79,70,68,97,57,85,40,10,40,70,23,51,29,32,73,42,92,60,24,18,74,69,58,97,28
k_23,69,96,81,94,18,45,7,44,14,98,37,35,15,22,41,66,1,64,24,65,77,50,5,85,96,78,53,16,39,80,63,29,99,28,55,69,75,62,84,21,97,50,35,5,66,56,68,11,72,29,34,30,99,5,26,61,27,70,60,69,21,13,77,69,44
k_24,28,65,65,2,32,35,88,100,75,35,36,40,67,94,4,4,62,14,22,73,28,50,100,48,95,55,77,38,80,61,64,80,29,13,84,26,72,72,66,26,75,59,94,63,22,84,22,64,27,33,77,86,4,19,55,92,28,4,14,42,98,10,53,42,14
k_25,100,42,3,80,3,49,38,11,60,9,78,39,98,90,76,81,11,19,51,59,99,39,1,47,6,87,25,27,39,54,40,45,39,73,71,76,77,60,7,14,53,17,86,55,12,24,55,41,49,83,33,35,5,17,63,14,98,96,25,56,29,25,18,42,93
k_26,90,24,48,13,57,7,58,20,84,85,47,37,33,42,73,40,10,25,97,30,97,46,80,57,58,7,38,20,3,95,61,10,77,75,70,19,57,33,64,37,21,6,71,97,62,37,87,72,6,96,48,67,32,98,18,58,15,71,1,85,19,3,4,47,8
k_27,79,9,4,45,7,95,21,1,89,68,37,97,1,61,9,35,42,96,99,71,98,55,31,54,81,60,65,9,39,77,22,98,55,68,13,36,18,100,65,4,41,95,65,83,5,81,55,68,29,19,90,55,42,84,29,35,82,93,82,17,44,39,13,83,17
k_28,65,76,83,64,55,6,14,23,62,27,73,43,38,60,21,67,20,54,97,82,94,50,70,98,47,56,72,7,66,23,18,41,60,50,22,97,80,99,43,72,38,63,68,94,26,26,22,98,22,23,77,42,80,88,75,67,68,51,59,79,30,86,100,85,61
k_29,50,8,50,80,9,31,23,8,69,4,58,15,89,97,38,86,12,69,1,23,39,30,41,4,68,33,59,26,52,100,43,93,15,8,95,2,78,75,73,20,71,89,61,4,30,91,87,16,84,25,47,42,5,75,5,49,59,28,4,78,22,85,23,50,10
k_30,27,34,81,76,96,13,32,81,57,53,99,55,10,77,97,79,77,18,10,68,86,38,7,35,68,97,56,96,13,30,60,1,41,33,6,57,69,96,78,57,62,5,40,15,62,2,91,38,42,44,90,46,85,67,78,2,71,18,71,96,98,51,96,53,65
k_31,30,24,30,24,14,3,34,36,88,51,98,12,56,83,37,79,83,85,59,66,18,66,86,35,80,71,31,31,17,48,23,45,51,62,5,40,76,40,100,79,66,44,61,57,75,37,55,18,89,60,18,56,57,28,81,68,14,16,26,76,69,19,63,41,75
k_32,75,75,18,77,34,65,40,98,75,72,58,87,27,72,15,40,11,17,78,64,56,90,24,65,77,52,76,3,9,27,40,78,64,31,49,83,94,48,54,36,12,64,1,77,23,6,43,75,13,54,83,99,8,59,41,52,89,34,35,31,14,100,24,7,7
k_33,41,90,71,98,31,23,61,98,72,67,60,25,93,93,57,41,24,94,8,35,85,80,70,30,83,54,98,50,48,72,42,54,34,30,73,30,42,98,88,30,6,63,34,28,33,95,6,58,71,82,88,31,70,33,30,62,51,67,58,50,18,61,26,31,86
k_34,2,13,85,86,87,69,60,31,54,49,15,23,1,10,68,3,82,21,84,86,95,55,83,94,49,59,92,13,69,86,56,6,50,95,35,53,14,67,29,88,27,71,63,79,93,25,6,73,38,61,79,8,9,78,1,18,34,76,9,50,66,7,22,89,22
k_35,26,93,94,37,3,27,4,70,49,12,68,55,34,55,26,56,70,62,81,61,24,96,64,52,99,46,91,38,73,79,28,71,47,48,11,77,22,13,97,91,32,67,80,10,40,98,1,15,18,98,17,63,80,62,21,93,43,40,6,74,18,30,93,25,55
k_36,3,81,54,20,35,86,77,54,75,15,65,59,55,53,46,2,4,13,1,94,80,81,70,60,66,90,66,65,21,87,63,55,46,60,36,26,63,11,79,15,21,38,51,37,6,48,75,46,67,43,92,95,93,95,59,30,72,71,25,14,89,26,78,22,66
k_37,89,47,95,41,52,64,81,89,22,50,27,66,76,62,40,2,73,89,87,71,21,54,85,4,82,79,1,54,72,20,67,49,92,71,57,100,57,81,50,8,60,32,13,85,50,38,16,79,98,79,1,12,66,82,63,24,8,33,74,71,6,63,41,20,19
k_38,99,17,45,89,70,90,57,66,18,25,44,31,36,64,89,34,4,70,39,88,52,5,22,92,78,5,3,40,74,86,71,9,12,66,44,45,64,93,57,86,57,93,24,46,5,72,32,31,19,62,83,87,11,3,55,75,47,59,76,91,54,33,18,100,26
k_39,64,64,54,7,19,32,96,89,67,85,73,79,95,80,57,48,26,6,44,24,20,16,90,89,11,75,85,87,21,97,46,13,93,20,35,63,16,49,40,24,98,45,39,38,51,39,78,23,23,12,100,74,78,93,6,52,28,11,58,61,76,7,12,50,99
k_40,45,93,85,92,91,36,73,91,23,54,58,5,6,7,80,54,19,95,43,84,100,90,61,88,36,95,97,7,44,25,61,94,91,77,85,22,9,43,94,70,86,45,58,22,46,34,68,40,76,85,53,56,36,47,27,19,60,96,88,20,87,38,89,12,90
k_41,52,69,91,92,75,36,60,54,10,29,88,14,1,18,25,60,59,13,90,33,84,38,13,12,49,29,47,55,77,11,45,69,28,17,28,30,100,39,79,83,50,71,74,65,24,72,23,56,91,38,98,47,25,92,53,40,8,84,10,82,80,99,23,61,62
k_42,8,37,15,66,19,25,36,75,94,64,17,29,13,94,29,85,53,47,2,30,52,41,84,4,6,16,38,74,24,59,34,96,43,8,95,82,51,31,57,63,62,32,74,51,40,50,89,75,42,64,86,65,4,9,56,7,29,31,68,51,1,22,30,64,70
k_43,54,68,89,55,17,45,62,63,14,49,76,59,93,63,90,67,75,40,6,5,84,22,29,99,14,14,62,77,36,84,27,60,59,98,37,2,34,79,19,38,83,64,11,7,49,4,16,93,52,81,32,98,29,32,56,6,22,17,64,27,91,38,96,10,63
k_44,81,18,73,54,81,94,52,89,83,36,91,91,42,9,2,45,4,42,90,26,10,8,21,73,36,6,43,51,51,16,20,96,91,88,48,80,4,71,6,58,29,86,22,44,94,11,56,53,58,29,53,46,87,20,20,15,41,32,48,26,98,88,8,52,100
k_45,97,13,75,76,34,21,70,17,7,40,92,95,59,65,7,62,16,51,31,69,43,56,78,40,40,87,40,35,92,18,51,74,49,6,13,5,84,37,74,28,67,76,59,67,70,38,63,51,76,28,14,41,43,44,34,88,52,25,98,27,25,38,96,40,81
k_46,7,10,43,27,23,51,79,97,69,42,43,24,96,77,43,66,14,84,29,33,97,63,38,21,40,35,9,92,44,34,77,82,33,93,63,85,14,57,3,41,20,6,7,47,93,60,5,99,65,92,41,74,25,61,52,78,13,74,20,17,78,91,92,88,95
k_47,88,31,98,59,72,3,1,5,26,14,28,17,96,26,24,98,40,22,91,9,79,78,100,77,4,44,51,81,7,79,74,21,28,49,18,66,67,97,87,10,71,58,75,49,71,65,71,19,93,65,50,97,9,11,10,64,85,79,83,77,14,95,22,70,7
k_48,62,30,32,23,36,51,38,22,76,79,34,8,94,40,53,36,14,59,22,55,20,31,55,7,32,83,93,40,100,56,45,56,91,1,7,78,12,95,12,99,87,34,67,21,82,14,94,80,99,20,54,16,57,27,4,63,35,31,56,56,79,53,71,21,45
k_49,44,89,13,69,45,56,93,27,81,24,37,75,85,71,39,72,82,26,19,40,13,66,62,34,34,29,9,9,7,42,32,13,54,40,34,5,49,34,42,52,40,84,55,7,77,73,39,39,44,33,16,71,83,60,36,99,61,39,64,73,79,88,38,50,26
k_50,95,77,49,59,95,9,14,24,90,36,63,23,85,38,33,2,76,28,18,57,14,84,53,21,89,50,27,41,21,37,84,44,35,23,40,100,72,90,63,64,55,86,72,29,67,35,57,15,60,85,75,44,73,33,21,34,5,24,22,46,66,74,98,64,3
k_51,65,12,37,88,75,60,39,80,49,79,56,90,64,18,87,14,12,57,25,25,24,3,46,23,97,8,17,17,21,86,3,19,35,42,72,52,19,94,95,77,3,47,55,95,18,99,45,95,73,29,50,11,87,28,54,50,87,14,75,25,58,61,51,72,19
k_52,49,36,64,61,78,73,78,72,83,24,91,93,80,45,95,3,46,13,7,10,20,15,78,64,22,92,11,100,4,61,82,85,90,48,1,73,55,3,82,79,63,4,48,69,11,14,33,57,41,39,18,26,39,96,63,41,83,93,38,63,5,87,2,46,88
k_53,78,33,83,57,51,22,77,16,93,47,55,59,17,100,24,87,43,67,90,99,82,84,49,92,78,71,74,17,11,60,74,62,67,58,48,31,51,83,21,54,95,49,67,21,90,30,79,42,66,54,97,87,44,47,93,5,65,12,83,47,67,82,64,86,11
k_54,20,62,81,20,22,11,12,49,47,24,52,13,94,23,3,71,67,57,24,14,57,98,7,63,32,62,81,49,66,93,18,56,44,3,44,20,27,67,24,37,97,45,26,37,97,6,52,76,38,3,76,47,58,48,89,70,97,59,56,67,60,53,36,50,8
k_55,85,54,80,10,24,44,22,19,39,63,12,60,98,7,36,55,23,7,20,32,92,67,30,68,74,14,100,4,6,86,89,97,69,37,43,98,71,77,75,98,71,95,20,24,26,95,51,67,62,93,84,55,7,94,16,47,1,61,15,39,19,70,7,26,1
k_56,29,45,48,29,37,53,97,46,55,83,60,40,61,51,20,88,75,58,85,37,4,100,98,81,37,83,7,55,94,52,84,54,17,7,32,9,57,87,68,83,33,60,88,65,37,4,88,50,94,80,22,20,49,25,45,11,5,46,94,10,66,83,91,33,14
k_57,40,53,13,27,41,28,17,10,6,26,56,82,52,53,60,44,73,81,26,31,8,100,8,50,30,70,80,86,37,76,20,61,49,70,38,72,67,79,9,41,79,44,10,44,26,87,57,32,52,36,59,6,56,16,55,34,9,21,94,72,9,76,2,62,73
k_58,16,5,99,39,53,56,98,79,39,68,69,55,78,81,15,68,9,47,89,75,19,12,42,23,74,40,4,16,1,27,65,96,59,61,20,28,71,89,66,41,74,12,5,89,8,84,84,66,46,64,12,54,51,13,24,45,86,18,3,50,35,28,57,59,99
k_59,34,72,43,44,76,66,53,64,47,58,45,62,88,77,33,71,54,8,13,37,4,15,29,8,65,57,93,61,74,94,27,55,8,21,9,44,22,40,18,95,39,20,25,57,60,41,38,48,70,94,100,17,94,17,13,59,19,74,52,37,42,29,48,13,20
k_60,93,12,51,97,35,72,33,88,31,95,2,8,38,39,23,36,9,60,98,52,93,54,35,47,4,81,5,57,11,27,41,91,73,13,91,16,49,87,72,93,98,33,27,78,31,57,1,24,65,59,38,79,16,84,28,42,48,71,92,72,31,78,65,20,12
k_61,46,84,3,66,57,74,4,14,43,100,76,16,55,40,62,48,30,32,92,19,46,11,49,12,93,98,62,78,34,26,99,4,15,60,74,53,47,42,47,32,75,10,82,89,37,73,15,9,62,55,22,72,76,99,75,73,6,95,75,65,36,32,90,73,61
k_62,23,84,91,51,25,99,59,5,26,15,38,24,24,63,80,31,17,90,48,10,28,27,85,42,22,53,83,57,14,7,15,88,100,78,4,50,82,83,30,65,78,56,65,14,45,59,65,39,10,87,41,66,29,43,34,96,89,48,22,54,44,98,98,43,25
k_63,66,13,46,85,91,96,89,27,37,41,65,50,82,47,87,50,38,41,42,85,78,14,97,13,28,8,95,28,50,27,55,2,11,42,53,67,27,86,11,12,96,75,21,56,54,96,53,67,36,64,26,6,91,51,4,55,2,51,75,88,3,5,31,52,37
k_64,88,16,67,46,85,14,63,5,52,43,35,27,34,99,50,89,49,19,39,81,32,67,4,89,48,4,75,48,9,89,5,20,43,87,50,49,52,58,6,52,33,52,63,44,6,91,11,79,87,31,30,30,96,88,29,70,17,35,76,24,57,39,21,73,97
k_65,21,31,93,70,55,69,83,76,59,82,9,76,77,28,75,95,27,72,37,3,71,98,67,55,59,82,62,87,67,32,70,42,61,83,2,59,24,54,90,31,76,70,38,22,33,18,79,51,70,19,100,93,83,51,29,62,9,30,32,85,17,40,28,5,15
k_66,21,51,62,12,99,57,12,6,74,68,17,66,50,71,32,94,8,49,85,91,69,33,57,52,53,63,92,25,97,18,70,48,39,59,59,27,85,86,61,11,58,34,98,2,10,17,100,59,100,90,21,76,82,58,97,51,94,81,39,92,50,13,70,82,19
k_67,11,25,42,95,24,70,1,43,84,49,4,30,96,45,36,27,25,82,89,43,46,59,32,48,44,42,65,33,33,82,62,95,72,10,90,42,18,100,61,30,5,71,30,66,62,80,85,76,37,100,22,48,57,57,5,32,45,14,80,30,51,97,74,39,24
k_68,88,4,33,65,94,86,18,70,85,4,22,17,85,11,91,70,27,7,75,5,45,19,59,77,99,21,71,63,83,81,55,38,97,22,45,30,78,89,81,94,78,60,50,52,14,65,12,78,48,47,59,21,46,92,43,9,29,41,75,19,83,95,78,72,21
k_69,14,1,86,36,17,3,82,9,38,12,73,6,23,33,21,93,30,49,29,75,97,78,61,13,100,87,60,2,3,48,78,93,58,20,1,70,23,28,28,97,34,66,39,25,62,50,96,64,15,2,12,37,60,86,25,78,16,52,63,70,94,63,4,98,62
k_70,99,43,15,84,5,22,42,91,66,83,39,32,21,36,77,21,26,50,51,4,40,94,25,57,95,31,97,72,6,83,55,45,64,12,65,86,48,63,2,69,54,8,94,66,54,51,5,11,89,76,42,24,19,17,1,42,57,5,57,75,59,87,60,75,28
k_71,75,39,33,1,1,95,76,69,41,23,13,9,78,50,13,57,60,40,99,80,78,73,71,53,79,8,51,93,92,15,40,5,16,76,50,36,11,12,52,18,79,86,37,85,4,63,96,19,5,12,49,33,43,3,99,17,58,53,88,87,99,95,23,85,48
k_72,21,70,95,31,75,68,4,37,35,29,66,16,38,88,50,31,62,30,78,17,61,15,12,23,87,4,7,53,92,17,11,92,79,98,51,23,49,47,70,82,9,33,1,85,7,10,69,25,48,59,80,54,82,36,94,91,32,63,13,6,98,69,10,12,25
k_73,17,37,6,15,49,75,3,26,83,97,13,92,50,54,73,3,69,21,57,59,32,60,31,69,15,64,15,40,58,72,3,77,98,5,100,55,59,89,21,83,24,3,55,68,44,11,25,75,33,19,59,60,59,44,94,5,48,70,12,89,6,50,14,5,15
k_74,40,28,74,12,94,22,52,11,87,6,51,17,95,46,28,51,51,12,81,55,76,16,3,34,90,29,87,82,12,78,49,65,31,24,58,96,40,65,94,83,94,43,36,1,43,44,20,96,43,93,86,50,62,31,60,12,8,37,9,82,62,97,88,79,50
k_75,4,77,9,94,73,50,27,89,39,58,31,51,27,60,84,61,31,78,62,42,80,36,37,83,42,17,52,19,97,15,2,95,94,61,60,25,13,23,12,90,50,50,19,28,58,2,1,60,54,19,56,15,47,7,19,26,7,85,83,81,87,97,78,49,21
k_76,47,82,41,33,14,89,79,4,27,99,56,97,50,75,14,45,38,79,29,25,73,33,45,69,100,10,11,62,39,35,5,4,20,51,24,73,40,33,80,89,62,14,39,68,37,53,54,87,91,32,87,94,77,52,35,44,21,72,94,64,23,70,50,3,42
k_77,76,3,54,91,71,74,4,7,58,39,95,92,82,35,58,34,77,59,66,85,20,15,51,84,66,71,12,89,22,68,45,47,50,92,26,39,95,56,62,97,16,53,52,69,61,39,94,44,67,8,43,68,11,81,45,6,10,19,32,27,8,50,83,73,48
k_78,87,100,45,11,70,10,55,13,49,89,22,26,66,76,24,47,99,68,50,90,97,72,51,18,60,31,47,1,87,40,37,76,94,70,53,80,86,94,81,71,71,63,19,60,11,85,49,9,36,59,3,89,10,7,47,88,97,95,58,93,100,4,92,2,50
k_79,90,28,12,28,25,99,13,70,59,51,16,64,23,79,42,55,32,85,81,79,34,33,6,46,15,41,58,72,5,86,32,13,53,50,47,9,98,14,8,7,55,58,84,79,9,88,24,86,64,10,63,83,40,18,4,12,92,45,20,8,12,49,76,48,54
k_80,12,72,82,21,61,11,17,71,45,8,95,8,59,51,10,16,85,78,55,75,56,55,81,22,11,81,87,54,25,24,87,52,21,71,7,22,37,41,57,27,56,75,82,35,64,91,11,47,53,61,79,65,26,92,47,76,19,32,81,93,36,46,52,73,37
k_81,71,51,47,60,90,23,8,41,13,37,88,41,53,3,55,77,45,57,32,22,54,68,99,38,22,93,33,6,27,8,56,6,93,49,36,37,59,65,17,56,78,56,24,21,88,23,83,11,16,29,71,54,54,68,89,89,43,61,33,37,55,84,76,90,37
k_82,1,6,50,30,91,65,64,32,48,58,4,86,7,95,23,9,60,55,76,45,67,30,56,27,44,68,53,47,5,26,21,59,14,75,80,85,45,48,70,73,91,83,86,51,26,62,64,21,54,73,16,48,16,21,11,47,31,55,74,77,51,57,15,87,93
k_83,76,43,75,67,78,63,88,32,58,26,19,68,3,1,72,41,17,46,33,70,75,82,17,97,15,69,41,56,80,73,25,54,94,89,78,78,79,100,33,40,40,62,93,18,48,95,40,82,32,87,30,70,79,12,45,89,7,27,32,54,18,97,16,41,38
k_84,51,96,74,17,40,22,79,36,89,2,54,78,46,26,86,88,25,45,51,10,81,66,99,83,97,18,29,64,39,83,15,44,54,53,78,39,34,1,2,99,31,47,14,98,100,83,33,28,90,35,19,20,40,57,51,7,88,51,92,42,85,78,78,23,61
k_85,26,77,81,37,47,44,61,23,5,1,2,96,38,34,43,87,32,80,48,33,66,13,71,57,1,40,64,51,85,45,76,87,6,37,98,67,97,59,21,18,74,62,93,99,97,68,10,91,78,54,77,48,75,29,47,39,9,97,91,7,33,5,13,35,93
k_86,11,2,23,23,54,44,43,8,40,59,98,96,52,72,71,83,53,95,35,86,78,72,73,5,10,40,64,97,53,51,62,7,46,91,15,61,11,21,19,32,2,49,100,60,68,33,58,96,11,81,14,62,41,65,59,87,35,98,25,21,47,67,47,98,57
k_87,94,23,16,28,1,77,42,30,70,16,24,22,39,52,68,35,32,100,1,43,74,100,73,30,87,80,76,35,80,91,4,59,90,99,36,10,30,46,75,5,61,52,60,29,37,90,21,57,12,56,80,39,86,50,23,52,67,15,57,83,83,66,29,27,73
k_88,38,5,69,24,90,73,21,85,27,52,74,86,77,95,64,51,81,81,85,1,22,55,38,86,70,46,62,21,51,41,9,8,24,43,78,14,12,68,49,45,68,83,5,58,89,12,45,97,39,60,44,97,57,65,96,7,89,33,73,29,72,45,50,48,14
k_89,74,80,26,67,92,62,24,68,99,34,99,27,84,78,98,3,76,64,87,8,68,71,33,24,65,43,28,53,36,95,55,7,90,40,91,37,23,89,60,16,54,86,29,23,21,53,1,95,75,37,74,97,68,37,70,35,71,49,86,80,86,34,3,30,12
k_90,100,10,52,96,4,25,90,13,94,32,41,50,81,46,65,76,63,66,69,76,11,95,83,16,47,42,8,44,89,77,59,27,35,53,36,38,76,77,44,9,87,57,84,82,63,72,86,58,69,100,88,30,100,82,54,7,63,3,32,77,30,67,14,66,99
k_91,42,66,42,98,73,57,68,7,94,44,42,28,9,61,91,97,6,79,21,2,93,83,10,1,54,86,7,20,27,12,16,26,96,10,97,6,1,73,72,37,59,3,25,61,7,97,67,90,61,58,85,25,41,31,55,76,99,22,21,63,78,56,2,41,32
k_92,45,25,100,13,14,57,55,85,49,3,43,62,65,67,63,91,11,2,6,24,18,86,49,70,5,29,96,33,70,88,74,84,48,89,41,53,51,41,95,56,28,45,15,49,93,60,40,14,51,91,64,17,76,36,2,94,39,96,45,8,2,55,62,30,89
k_93,29,17,35,85,27,45,92,56,48,18,85,58,73,60,84,3,47,97,41,63,48,13,11,87,59,32,73,22,53,98,84,77,7,46,46,83,52,96,61,19,100,51,86,40,70,54,44,6,16,91,31,57,77,87,71,89,70,23,41,16,61,24,58,48,15
k_94,21,51,27,79,81,7,2,30,8,26,19,79,63,23,75,82,26,94,39,12,98,31,59,78,16,59,31,9,66,26,2,41,44,81,9,53,42,11,93,7,97,42,2,91,98,25,100,94,32,80,96,1,64,92,48,51,47,14,24,17,41,2,96,70,70
k_95,21,62,10,15,80,84,88,21,92,12,69,35,14,93,92,26,20,69,28,9,99,82,41,39,20,43,43,1,12,78,20,21,41,27,54,75,33,29,87,93,76,55,20,79,17,13,97,25,9,33,7,14,49,20,10,28,40,42,44,13,1,14,39,58,4
k_96,73,75,9,27,31,8,85,53,87,62,62,88,42,83,66,8,18,31,60,8,75,5,82,75,31,46,40,87,78,77,85,76,12,9,4,78,24,37,62,69,61,27,82,95,73,99,60,60,33,17,26,44,39,74,78,63,29,79,37,81,44,96,22,54,50
k_97,55,75,79,42,64,74,95,84,3,58,5,21,56,2,27,37,10,94,13,60,30,75,90,92,18,47,9,84,3,23,12,97,51,14,75,13,46,82,31,60,2,68,30,5,11,90,19,52,57,39,1,67,58,1,6,54,49,99,13,79,82,57,52,7,77
k_98,10,1,95,95,81,78,55,6,70,6,93,39,31,37,73,37,95,96,77,92,49,18,3,23,60,89,25,85,48,87,39,95,2,13,77,96,19,40,86,32,80,1,86,17,90,31,16,32,53,87,26,73,11,7,76,90,41,2,36,20,13,22,65,52,53
k_99,67,32,44,10,52,12,69,26,62,15,5,94,53,83,99,36,56,92,10,37,3,12,67,36,5,96,39,83,20,79,77,53,48,100,32,43,65,11,60,21,2,76,45,41,55,26,41,86,88,14,41,97,70,37,32,39,20,6,12,28,60,98,92,19,73
